4427_20023_000000_000000	TO THE NEAR-SIGHTED.	TO THE NEAR SIGHTED.	false	1.35	19.45	22.416025
4427_20023_000001_000000	Purblind and short-sighted friends!	Purblind and short sighted friends!	true	20.27	22.6	23.024687
4427_20023_000001_000001	You will listen to me,--_you_ will sympathize with me; for you know by painful experience what I mean when I say that we near-sighted people do not receive from our hawk-eyed neighbors that sympathy and consideration to which we are justly entitled.	You will listen to me,--underscore you underscore will sympathize with me; for you know by painful experience what I mean when I say that we near sighted people do not receive from our hawk eyed neighbors that sympathy and consideration to which we are justly entitled.	false	22.64	36.91	22.359558
4427_20023_000001_000002	If we were blind, we should be abundantly pitied, but as we are only half-blind, such comments as these are all the consolation we get.	If we were blind, we should be abundantly pitied, but as we are only half blind, such comments as these are all the consolation we get.	true	37.16	45.93	23.964788
4427_20023_000001_000003	"Oh! _near-sighted_, is she?	"Oh! underscore near sighted underscore, is she?	false	45.93	48.28	18.758549
4427_20023_000001_000004	Yes, it is very fashionable now-a-days for young ladies to carry eye-glasses, and call themselves near-sighted!" Or, "Pooh!	Yes, it is very fashionable now a days for young ladies to carry eye glasses, and call themselves near sighted!" Or, "Pooh!	true	48.44	55.215	20.878757
4427_20023_000001_000005	It's all affectation.	It's all affectation.	true	55.215	56.8	25.333288
4427_20023_000001_000006	She can see as well as any body, if she chooses.	She can see as well as any body, if she chooses.	true	56.81	59.43	24.80149
4427_20023_000001_000007	She thinks it is pretty to half shut her eyes, and cut her acquaintances." I meet my friend A----, some morning, who returns my salutation with cold politeness, and says, "How cleverly you managed to cut me at the concert last night!" "At the concert!	She thinks it is pretty to half shut her eyes, and cut her acquaintances." I meet my friend A----, some morning, who returns my salutation with cold politeness, and says, "How cleverly you managed to cut me at the concert last night!" "At the concert!	false	59.43	73.57	20.361029
4427_20023_000001_000008	I did not see you." "O no!	I did not see you." "O no!	true	73.58	75.93	22.20399
4427_20023_000001_000009	You could see well enough to bow to pretty Miss B----, and her handsome cousin; but as for seeing your old schoolmate, two seats behind her,--of course you are too near-sighted!"	You could see well enough to bow to pretty Miss B----, and her handsome cousin; but as for seeing your old schoolmate, two seats behind her,--of course you are too near sighted!"	false	75.93	85.84	24.015095
4427_20023_000001_000010	In vain I protest that I could not see her,--that three yards is a great distance to my eyes.	In vain I protest that I could not see her,--that three yards is a great distance to my eyes.	true	85.94	91.99	24.63062
4427_20023_000001_000011	She leaves me with an incredulous smile, and that most provoking phrase, "O yes!	She leaves me with an incredulous smile, and that most provoking phrase, "O yes!	true	92.09	97.5	22.982588
4427_20023_000001_000012	I _suppose_ so!" and distrusts me ever afterwards.	I underscore suppose underscore so!" and distrusts me ever afterwards.	false	97.5	101.53	22.027428
4427_20023_000001_000013	Alas! we see just enough to seal our own condemnation.	Alas! we see just enough to seal our own condemnation.	true	101.72	105.82	23.473522
4427_20023_000002_000000	Who is free from this malady?	Who is free from this malady?	true	106.67	108.64	22.423141
4427_20023_000002_000001	As I look around in society, I see staring glassy ellipses on every side "in the place where eyes ought to grow,"--and perhaps most of the unfortunate owls get along very comfortably with their artificial eyes.	As I look around in society, I see staring glassy ellipses on every side "in the place where eyes ought to grow,"--and perhaps most of the unfortunate owls get along very comfortably with their artificial eyes.	true	108.77	121.99	24
4427_20023_000002_000002	But imagine a bashful youth, awkward and near-sighted, whose friends dissuade him from wearing glasses.	But imagine a bashful youth, awkward and near sighted, whose friends dissuade him from wearing glasses.	true	122.15	128.53	22.715385
4427_20023_000002_000003	Is there in the universe an individual more unlucky, more blundering, more sincerely to be pitied?	Is there in the universe an individual more unlucky, more blundering, more sincerely to be pitied?	false	128.66	135.58	23.292503
4427_20023_000003_000000	See that little boy, who, having put on his father's spectacles, is enjoying for the first time a clear and distinct view of the evening sky.	See that little boy, who, having put on his father's spectacles, is enjoying for the first time a clear and distinct view of the evening sky.	true	136.22	145.18	23
4427_20023_000003_000001	"Oh! is that pretty little yellow dot a star?" exclaims the delighted child.	"Oh! is that pretty little yellow dot a star?" exclaims the delighted child.	true	145.43	150.73	25.668049
4427_20023_000003_000002	Poor innocent! a star had always been to him a dim, cloudy spot, a little nebula, which the magic glass has now resolved; and he can hardly believe that this brilliant point is not an optical illusion.	Poor innocent! a star had always been to him a dim, cloudy spot, a little nebula, which the magic glass has now resolved; and he can hardly believe that this brilliant point is not an optical illusion.	true	151.25	165.1	24.210188
4427_20023_000003_000003	But when his mother assures him that the stars always appear so to her, and he turns to look in her face, he says, "Why, mother! how beautiful you look!	But when his mother assures him that the stars always appear so to her, and he turns to look in her face, he says, "Why, mother! how beautiful you look!	true	165.32	175.36	24.629725
4427_20023_000003_000004	Please to give me some little spectacles, _all my own!_" She could not resist this entreaty,--(who could?)--and little "Squire Specs" does not mind the shouts of his companions or the high-sounding nicknames they give him, he so rejoices in what seems to him a new sense, a _second sight_.	Please to give me some little spectacles, underscore all my own!underscore" She could not resist this entreaty,--(who could?)--and little "Squire Specs" does not mind the shouts of his companions or the high sounding nicknames they give him, he so rejoices in what seems to him a new sense, a underscore second sight underscore.	false	175.55	195.51	24.704523
4427_20023_000004_000000	I was summoned, the other day, to welcome a family of cousins from a distant State, whom I had not seen for a very long time.	I was summoned, the other day, to welcome a family of cousins from a distant State, whom I had not seen for a very long time.	false	195.51	202.72	21
4427_20023_000004_000001	They were accompanied, I was told, by a Boston lady, a stranger to us.	They were accompanied, I was told, by a Boston lady, a stranger to us.	true	202.79	207.13	24
4427_20023_000004_000002	I entered the room with considerable _empressement_, but when my eye detected the dim outline of a circle of bonneted figures, I stopped in despair in the middle of the room, not knowing which was which, or whom I ought to speak to first, and at last made an embarrassed half-bow, half-courtesy, to the company in general.	I entered the room with considerable underscore empressement underscore, but when my eye detected the dim outline of a circle of bonneted figures, I stopped in despair in the middle of the room, not knowing which was which, or whom I ought to speak to first, and at last made an embarrassed half bow, half courtesy, to the company in general.	false	207.44	227.32	24.648071
4427_20023_000004_000003	A confused murmur of greetings and introductions followed, and, throwing aside my air of stiff, ceremonious politeness, I rushed, with a smiling face, to the nearest lady, shook hands with her in the most cordial manner, and then, in passing, bowed formally to the next, who I concluded was the stranger.	A confused murmur of greetings and introductions followed, and, throwing aside my air of stiff, ceremonious politeness, I rushed, with a smiling face, to the nearest lady, shook hands with her in the most cordial manner, and then, in passing, bowed formally to the next, who I concluded was the stranger.	false	227.78	246.85	22.502577
4427_20023_000004_000004	What then was my surprise and utter confusion when she caught me by the hand, and, drawing me towards her, kissed me emphatically several times.	What then was my surprise and utter confusion when she caught me by the hand, and, drawing me towards her, kissed me emphatically several times.	false	247.31	255.73	23
4427_20023_000004_000005	"How _do_ you do, dear?	"How underscore do underscore you do, dear?	false	255.83	257.52	22.131765
4427_20023_000004_000006	Have you quite forgotten me?	Have you quite forgotten me?	true	257.52	259.21	29.144861
4427_20023_000004_000007	Ah!	Ah!	true	259.7	260.265	100
4427_20023_000004_000008	You don't remember the times when you used to ride a cock-horse, on my knee, to Banbury Cross, to see the old lady get on her white horse!" What could I say?	You don't remember the times when you used to ride a cock horse, on my knee, to Banbury Cross, to see the old lady get on her white horse!" What could I say?	false	260.265	269.11	20
4427_20023_000004_000009	I was petrified.	I was petrified.	true	269.18	270.66	29.673166
4427_20023_000004_000010	I could not smile, I could not speak.	I could not smile, I could not speak.	true	270.66	273.42	30.222918
4427_20023_000004_000011	My only feeling was mortification at my most awkward mistake.	My only feeling was mortification at my most awkward mistake.	true	273.42	277.57	24.29516
4427_20023_000004_000012	Yet I ought to have become accustomed to such embarrassments, for they are of very frequent occurrence.	Yet I ought to have become accustomed to such embarrassments, for they are of very frequent occurrence.	false	277.64	283.24	26.036766
4427_20023_000005_000000	"Why, Julia! what is the matter?	"Why, Julia! what is the matter?	true	283.82	286.06	22.27707
