459_127521_000000_000000	PART THREE--My Shore Adventure	PART THREE-My Shore Adventure	false	23.16	27.18	19.97593
459_127521_000001_000000	13	thirteen	true	27.18	28.21	27.89266
459_127521_000002_000000	How My Shore Adventure Began	How My Shore Adventure Began	true	28.55	30.73	19.674522
459_127521_000003_000000	THE appearance of the island when I came on deck next morning was altogether changed.	THE appearance of the island when I came on deck next morning was altogether changed.	true	33.11	38.23	23.937689
459_127521_000003_000001	Although the breeze had now utterly ceased, we had made a great deal of way during the night and were now lying becalmed about half a mile to the south-east of the low eastern coast. Grey-coloured woods covered a large part of the surface.	Although the breeze had now utterly ceased, we had made a great deal of way during the night and were now lying becalmed about half a mile to the south-east of the low eastern coast. Grey coloured woods covered a large part of the surface.	true	38.6	53.08	20.045118
459_127521_000003_000002	This even tint was indeed broken up by streaks of yellow sand-break in the lower lands, and by many tall trees of the pine family, out-topping the others--some singly, some in clumps; but the general colouring was uniform and sad. The hills ran up clear above the vegetation in spires of naked rock. All were strangely shaped, and the Spy-glass, which was by three or four hundred feet the tallest on the island, was likewise the strangest in configuration, running up sheer from almost every side and then suddenly cut off at the top like a pedestal to put a statue on.	This even tint was indeed broken up by streaks of yellow sand break in the lower lands, and by many tall trees of the pine family, out topping the others-some singly, some in clumps; but the general colouring was uniform and sad. The hills ran up clear above the vegetation in spires of naked rock. All were strangely shaped, and the Spy glass, which was by three or four hundred feet the tallest on the island, was likewise the strangest in configuration, running up sheer from almost every side and then suddenly cut off at the top like a pedestal to put a statue on.	true	53.69	91.15	22.440067
459_127521_000004_000000	The HISPANIOLA was rolling scuppers under in the ocean swell.	The HISPANIOLA was rolling scuppers under in the ocean swell.	true	92.3	96.01	21.82363
459_127521_000004_000001	The booms were tearing at the blocks, the rudder was banging to and fro, and the whole ship creaking, groaning, and jumping like a manufactory.	The booms were tearing at the blocks, the rudder was banging to and fro, and the whole ship creaking, groaning, and jumping like a manufactory.	true	96.5	106.3	24.605703
459_127521_000004_000002	I had to cling tight to the backstay, and the world turned giddily before my eyes, for though I was a good enough sailor when there was way on, this standing still and being rolled about like a bottle was a thing I never learned to stand without a qualm or so, above all in the morning, on an empty stomach.	I had to cling tight to the backstay, and the world turned giddily before my eyes, for though I was a good enough sailor when there was way on, this standing still and being rolled about like a bottle was a thing I never learned to stand without a qualm or so, above all in the morning, on an empty stomach.	false	107.48	124.93	21.495916
459_127521_000005_000000	Perhaps it was this--perhaps it was the look of the island, with its grey, melancholy woods, and wild stone spires, and the surf that we could both see and hear foaming and thundering on the steep beach--at least, although the sun shone bright and hot, and the shore birds were fishing and crying all around us, and you would have thought anyone would have been glad to get to land after being so long at sea, my heart sank, as the saying is, into my boots; and from the first look onward, I hated the very thought of Treasure Island.	Perhaps it was this-perhaps it was the look of the island, with its grey, melancholy woods, and wild stone spires, and the surf that we could both see and hear foaming and thundering on the steep beach-at least, although the sun shone bright and hot, and the shore birds were fishing and crying all around us, and you would have thought anyone would have been glad to get to land after being so long at sea, my heart sank, as the saying is, into my boots; and from the first look onward, I hated the very thought of Treasure Island.	true	126.14	157.66	21.915932
459_127521_000006_000000	We had a dreary morning's work before us, for there was no sign of any wind, and the boats had to be got out and manned, and the ship warped three or four miles round the corner of the island and up the narrow passage to the haven behind Skeleton Island.	We had a dreary morning's work before us, for there was no sign of any wind, and the boats had to be got out and manned, and the ship warped three or four miles round the corner of the island and up the narrow passage to the haven behind Skeleton Island.	false	159.08	173.53	23.812807
459_127521_000006_000001	I volunteered for one of the boats, where I had, of course, no business.	I volunteered for one of the boats, where I had, of course, no business.	true	174.26	178.42	22.61596
459_127521_000006_000002	The heat was sweltering, and the men grumbled fiercely over their work.	The heat was sweltering, and the men grumbled fiercely over their work.	true	179.03	182.83	22.177221
