4592_22179_000000_000000	"Yes, and yet he is quite different.	"Yes, and yet he is quite different.	false	0	0.42	0
4592_22179_000000_000001	They say men are friends when they are quite different.	They say men are friends when they are quite different.	false	0.42	1.02	5
4592_22179_000000_000002	That must be true.	That must be true.	false	1.02	1.26	-4
4592_22179_000000_000003	Really he is quite unlike him-- in everything."	Really he is quite unlike him- in everything."	false	1.26	1.83	21
4592_22179_000001_000000	"Yes, but he's wonderful."	"Yes, but he's wonderful."	false	1.83	2.07	-4
4592_22179_000002_000000	"Well, good night," said Natasha.	"Well, good night," said Natasha.	false	2.07	2.4	17
4592_22179_000003_000000	And the same mischievous smile lingered for a long time on her face as if it had been forgotten there.	And the same mischievous smile lingered for a long time on her face as if it had been forgotten there.	false	2.4	3.675	23
4592_22179_000004_000000	CHAPTER XVIII	CHAPTER eighteen	true	3.675	4.87	26.304388
4592_22179_000005_000000	It was a long time before Pierre could fall asleep that night.	It was a long time before Pierre could fall asleep that night.	true	5.87	9.01	21.007572
4592_22179_000005_000001	He paced up and down his room, now turning his thoughts on a difficult problem and frowning, now suddenly shrugging his shoulders and wincing, and now smiling happily.	He paced up and down his room, now turning his thoughts on a difficult problem and frowning, now suddenly shrugging his shoulders and wincing, and now smiling happily.	false	9.02	17.86	22.243362
4592_22179_000006_000000	He was thinking of Prince Andrew, of Natasha, and of their love, at one moment jealous of her past, then reproaching himself for that feeling.	He was thinking of Prince Andrew, of Natasha, and of their love, at one moment jealous of her past, then reproaching himself for that feeling.	true	18.38	27.13	22.975384
4592_22179_000006_000001	It was already six in the morning and he still paced up and down the room.	It was already six in the morning and he still paced up and down the room.	true	27.44	31.21	27.495546
4592_22179_000007_000000	"Well, what's to be done if it cannot be avoided?	"Well, what's to be done if it cannot be avoided?	true	31.82	35.14	22.233088
4592_22179_000007_000001	What's to be done?	What's to be done?	true	35.51	36.61	22.082102
4592_22179_000007_000002	Evidently it has to be so," said he to himself, and hastily undressing he got into bed, happy and agitated but free from hesitation or indecision.	Evidently it has to be so," said he to himself, and hastily undressing he got into bed, happy and agitated but free from hesitation or indecision.	true	36.8	45.79	21.54
4592_22179_000008_000000	"Strange and impossible as such happiness seems, I must do everything that she and I may be man and wife," he told himself.	"Strange and impossible as such happiness seems, I must do everything that she and I may be man and wife," he told himself.	true	46.07	53.74	20.649118
4592_22179_000009_000000	A few days previously Pierre had decided to go to Petersburg on the Friday.	A few days previously Pierre had decided to go to Petersburg on the Friday.	true	54.14	58.09	23
4592_22179_000009_000001	When he awoke on the Thursday, Savelich came to ask him about packing for the journey.	When he awoke on the Thursday, Savelich came to ask him about packing for the journey.	true	58.25	62.68	23.24726
4592_22179_000010_000000	"What, to Petersburg?	"What, to Petersburg?	true	63.11	64.485	24.285555
4592_22179_000010_000001	What is Petersburg?	What is Petersburg?	true	64.485	65.805	25.63732
4592_22179_000010_000002	Who is there in Petersburg?" he asked involuntarily, though only to himself.	Who is there in Petersburg?" he asked involuntarily, though only to himself.	true	65.805	70.2	20.130886
4592_22179_000010_000003	"Oh, yes, long ago before this happened I did for some reason mean to go to Petersburg," he reflected.	"Oh, yes, long ago before this happened I did for some reason mean to go to Petersburg," he reflected.	true	70.2	75.82	19.890333
4592_22179_000010_000004	"Why?	"Why?	true	76.04	76.78	25.018301
4592_22179_000010_000005	But perhaps I shall go.	But perhaps I shall go.	true	77.33	78.76	24.38174
4592_22179_000010_000006	What a good fellow he is and how attentive, and how he remembers everything," he thought, looking at Savelich's old face, "and what a pleasant smile he has!"	What a good fellow he is and how attentive, and how he remembers everything," he thought, looking at Savelich's old face, "and what a pleasant smile he has!"	true	79.25	87.61	23.174126
4592_22179_000011_000000	"Well, Savelich, do you still not wish to accept your freedom?" Pierre asked him.	"Well, Savelich, do you still not wish to accept your freedom?" Pierre asked him.	true	88.61	93.46	21.53233
4592_22179_000012_000000	"What's the good of freedom to me, your excellency?	"What's the good of freedom to me, your excellency?	true	94.91	97.47	23.479532
4592_22179_000012_000001	We lived under the late count--the kingdom of heaven be his!--and we have lived under you too, without ever being wronged."	We lived under the late count-the kingdom of heaven be his!--and we have lived under you too, without ever being wronged."	true	97.47	105.01	20.867918
4592_22179_000013_000000	"And your children?"	"And your children?"	true	105.26	106.39	27.789696
4592_22179_000014_000000	"The children will live just the same.	"The children will live just the same.	true	106.82	108.91	18.522398
4592_22179_000014_000001	With such masters one can live."	With such masters one can live."	true	108.92	111.07	23.087408
