4592_26872_000000_000000	CHAPTER X	CHAPTER ten	false	3.39	7.29	19.632565
4592_26872_000001_000000	Natasha had married in the early spring of 1813, and in 1820 already had three daughters besides a son for whom she had longed and whom she was now nursing.	Natasha had married in the early spring of eighteen thirteen, and in eighteen twenty already had three daughters besides a son for whom she had longed and whom she was now nursing.	true	7.29	18.73	19.923376
4592_26872_000001_000001	She had grown stouter and broader, so that it was difficult to recognize in this robust, motherly woman the slim, lively Natasha of former days.	She had grown stouter and broader, so that it was difficult to recognize in this robust, motherly woman the slim, lively Natasha of former days.	true	19.22	28.57	18
4592_26872_000001_000002	Her features were more defined and had a calm, soft, and serene expression.	Her features were more defined and had a calm, soft, and serene expression.	true	29	33.88	17
4592_26872_000001_000003	In her face there was none of the ever-glowing animation that had formerly burned there and constituted its charm.	In her face there was none of the ever glowing animation that had formerly burned there and constituted its charm.	true	34.1	40.78	16
4592_26872_000001_000004	Now her face and body were often all that one saw, and her soul was not visible at all.	Now her face and body were often all that one saw, and her soul was not visible at all.	true	41.18	46.3	15.638843
4592_26872_000001_000005	All that struck the eye was a strong, handsome, and fertile woman.	All that struck the eye was a strong, handsome, and fertile woman.	true	46.85	50.8	19.34007
4592_26872_000001_000006	The old fire very rarely kindled in her face now.	The old fire very rarely kindled in her face now.	false	51.2	54.07	18.7324
4592_26872_000001_000007	That happened only when, as was the case that day, her husband returned home, or a sick child was convalescent, or when she and Countess Mary spoke of Prince Andrew (she never mentioned him to her husband, who she imagined was jealous of Prince Andrew's memory), or on the rare occasions when something happened to induce her to sing, a practice she had quite abandoned since her marriage.	That happened only when, as was the case that day, her husband returned home, or a sick child was convalescent, or when she and Countess Mary spoke of Prince Andrew (she never mentioned him to her husband, who she imagined was jealous of Prince Andrew's memory), or on the rare occasions when something happened to induce her to sing, a practice she had quite abandoned since her marriage.	false	54.35	76.96	20.136528
4592_26872_000001_000008	At the rare moments when the old fire did kindle in her handsome, fully developed body she was even more attractive than in former days.	At the rare moments when the old fire did kindle in her handsome, fully developed body she was even more attractive than in former days.	true	77.33	85.57	17
4592_26872_000002_000000	Since their marriage Natasha and her husband had lived in Moscow, in Petersburg, on their estate near Moscow, or with her mother, that is to say, in Nicholas' house.	Since their marriage Natasha and her husband had lived in Moscow, in Petersburg, on their estate near Moscow, or with her mother, that is to say, in Nicholas' house.	true	86.33	96.28	19
