4731_95870_000000_000000	CHAPTER X	CHAPTER ten	true	15.885	16.845	21.544785
4731_95870_000001_000000	CONTRACEPTIVES OR ABORTION?	CONTRACEPTIVES o r ABORTION?	false	16.845	18.76	23.252048
4731_95870_000002_000000	Society has not yet learned the significance of the age-long effort of the feminine spirit to free itself of the burden of excessive childbearing.	Society has not yet learned the significance of the age long effort of the feminine spirit to free itself of the burden of excessive childbearing.	true	20.6	27.85	19
4731_95870_000002_000001	It has been singularly blind to the real forces underlying the cause of infanticide, child abandonment and abortion. It has permitted the highest and most powerful thing in woman's nature to be hindered, diverted, repressed and confused.	It has been singularly blind to the real forces underlying the cause of infanticide, child abandonment and abortion. It has permitted the highest and most powerful thing in woman's nature to be hindered, diverted, repressed and confused.	false	28.25	42.22	21.209421
4731_95870_000002_000002	Society has permitted this inner urge of woman to be rendered violent by repression until it has expressed itself in cruel forms of family limitation, which this same society has promptly labeled "crimes" and sought to punish.	Society has permitted this inner urge of woman to be rendered violent by repression until it has expressed itself in cruel forms of family limitation, which this same society has promptly labeled "crimes" and sought to punish.	true	42.44	55.36	19.975107
4731_95870_000002_000003	It has gone on blindly forcing women into these "crimes," deaf alike to their entreaties and to the lessons of history.	It has gone on blindly forcing women into these "crimes," deaf alike to their entreaties and to the lessons of history.	true	55.67	61.9	19.853592
4731_95870_000003_000000	As we have seen in the second chapter of this book, child abandonment and infanticide are by no means obsolete practices.	As we have seen in the second chapter of this book, child abandonment and infanticide are by no means obsolete practices.	true	62.78	69.58	18
4731_95870_000003_000001	As for abortion, it has not decreased but increased with the advance of civilization. The reader will recall that one authority says that there are 1,000,000 abortions in the United States every year, while another estimates double that number.	As for abortion, it has not decreased but increased with the advance of civilization. The reader will recall that one authority says that there are one million abortions in the United States every year, while another estimates double that number.	false	69.8	82.48	21.209993
4731_95870_000004_000000	Most of the women of the middle and upper classes in America seem secure in their knowledge of contraceptives as a means of birth control.	Most of the women of the middle and upper classes in America seem secure in their knowledge of contraceptives as a means of birth control.	true	82.91	90.1	20.14092
4731_95870_000004_000001	Under present conditions, when the laws in most states regard this knowledge, howsoever it be imparted, as illicit, and the federal statutes prohibit the sending of it through the mails, even the women in more fortunate circumstances sometimes have difficulty in getting scientific information.	Under present conditions, when the laws in most states regard this knowledge, howsoever it be imparted, as illicit, and the federal statutes prohibit the sending of it through the mails, even the women in more fortunate circumstances sometimes have difficulty in getting scientific information.	false	90.38	106.18	20.48974
4731_95870_000004_000002	Nevertheless, so strong is their purpose that they do obtain it and use it, correctly or incorrectly.	Nevertheless, so strong is their purpose that they do obtain it and use it, correctly or incorrectly.	true	106.43	111.85	22.025066
4731_95870_000005_000000	The great majority of women, however, belong to the working class. Nearly all of these women will fall into one of two general groups--the ones who are having children against their wills, and those who, to escape this evil, find refuge in abortion.	The great majority of women, however, belong to the working class. Nearly all of these women will fall into one of two general groups-the ones who are having children against their wills, and those who, to escape this evil, find refuge in abortion.	true	112.37	125.65	19.846966
4731_95870_000005_000001	Being given their choice by society--to continue to be overburdened mothers or to submit to a humiliating, repulsive, painful and too often gravely dangerous operation, those women in whom the feminine urge to freedom is strongest choose the abortionist.	Being given their choice by society-to continue to be overburdened mothers or to submit to a humiliating, repulsive, painful and too often gravely dangerous operation, those women in whom the feminine urge to freedom is strongest choose the abortionist.	true	126.11	140.92	20.80646
4731_95870_000005_000002	One group goes on bringing children to birth, hoping that they will be born dead or die.	One group goes on bringing children to birth, hoping that they will be born dead or die.	true	141.77	146.56	15
4731_95870_000005_000003	The women of the other group strive consciously by drastic means to protect themselves and the children already born.	The women of the other group strive consciously by drastic means to protect themselves and the children already born.	true	146.81	152.71	19.574577
4731_95870_000006_000000	"Our examinations," says Dr. Max Hirsch, an authority on the subject, "have informed us that the largest number of abortions (in the United States) are performed on married women.	"Our examinations," says dr Max Hirsch, an authority on the subject, "have informed us that the largest number of abortions (in the United States) are performed on married women.	true	153.35	162.64	20.481394
4731_95870_000006_000001	This fact brings us to the conclusion that contraceptive measures among the upper classes and the practice of abortion among the lower class, are the real means employed to regulate the number of offspring."	This fact brings us to the conclusion that contraceptive measures among the upper classes and the practice of abortion among the lower class, are the real means employed to regulate the number of offspring."	true	162.95	173.68	20.937193
4731_95870_000007_000000	Thus a high percentage of women in comfortable circumstances escape overbreeding by the use of contraceptives.	Thus a high percentage of women in comfortable circumstances escape overbreeding by the use of contraceptives.	true	173.96	179.98	20.120869
4731_95870_000007_000001	A similarly high percentage of women not in comfortable circumstances are forced to submit to forced maternity, because their only alternative at present is abortion.	A similarly high percentage of women not in comfortable circumstances are forced to submit to forced maternity, because their only alternative at present is abortion.	true	180.2	189.28	19.359465
4731_95870_000007_000002	When accidental conception takes place, some women of both classes resort to abortion if they can obtain the services of an abortionist.	When accidental conception takes place, some women of both classes resort to abortion if they can obtain the services of an abortionist.	true	189.5	197.115	20
