4731_95875_000001_000000	CHAPTER XV	CHAPTER fifteen
4731_95875_000002_000000	LEGISLATING WOMAN'S MORALS	LEGISLATING WOMAN'S MORALS
4731_95875_000003_000001	This will be no easy undertaking; it is usually much easier to enact statutes than to revise them.	This will be no easy undertaking; it is usually much easier to enact statutes than to revise them.
4731_95875_000003_000002	Laws are seldom exactly what they seem, rarely what their advocates claim for them.	Laws are seldom exactly what they seem, rarely what their advocates claim for them.
4731_95875_000005_000000	Woman, bent upon her freedom and seeking to make a better world, will not permit the indecent and unclean forces of reaction to mask themselves forever behind the plea that it is necessary to keep her in ignorance to preserve her purity.	Woman, bent upon her freedom and seeking to make a better world, will not permit the indecent and unclean forces of reaction to mask themselves forever behind the plea that it is necessary to keep her in ignorance to preserve her purity.
4731_95875_000005_000001	In the birth-control movement, she has already begun to fight for her right to have, without legal interference, all knowledge pertaining to her sex nature.	In the birth control movement, she has already begun to fight for her right to have, without legal interference, all knowledge pertaining to her sex nature.
4731_95875_000005_000003	It is most important because it is to purify the very fountain of the race and make the race completely free.	It is most important because it is to purify the very fountain of the race and make the race completely free.
4731_95875_000006_000000	The first and most dramatic of the three great struggles for liberty reached its apex, as we know, in the American Revolution.	The first and most dramatic of the three great struggles for liberty reached its apex, as we know, in the American Revolution.
4731_95875_000006_000001	It had for its object the right to hold such political beliefs as one might choose, and to act in accordance with those beliefs.	It had for its object the right to hold such political beliefs as one might choose, and to act in accordance with those beliefs.
4731_95875_000008_000001	If the obscenity laws are not radically revised or repealed, few reactionaries will dare to face the public derision that will greet their attempts to use them to stay woman's progress.	If the obscenity laws are not radically revised or repealed, few reactionaries will dare to face the public derision that will greet their attempts to use them to stay woman's progress.
4731_95875_000009_000000	The French have a saying concerning "mort main"--the dead hand.	The French have a saying concerning "mort main"--the dead hand.
4731_95875_000009_000001	This hand of the past reaches up into the present to smother the rising flame of modern ideals, to reforge our chains when we have broken them, to arrest progress.	This hand of the past reaches up into the present to smother the rising flame of modern ideals, to reforge our chains when we have broken them, to arrest progress.
4731_95875_000009_000002	It is the hand of such as have lived on earth but have not loved humanity.	It is the hand of such as have lived on earth but have not loved humanity.
4731_95875_000009_000003	At the call of those who fear progress and freedom, it rises from the gloom of forgotten things to oppress the living.	At the call of those who fear progress and freedom, it rises from the gloom of forgotten things to oppress the living.
4731_95875_000010_000000	It is the dead hand that holds imprisoned within the obscenity laws all direct information concerning birth control.	It is the dead hand that holds imprisoned within the obscenity laws all direct information concerning birth control.
4731_95875_000010_000001	It is the dead hand that thus compels millions of American women to remain in the bondage of maternity.	It is the dead hand that thus compels millions of American women to remain in the bondage of maternity.
4731_95875_000011_000001	In that year, however, the General Assembly of New York passed an act which specifically included the subject of contraceptives.	In that year, however, the General Assembly of New York passed an act which specifically included the subject of contraceptives.
4731_95875_000011_000002	The act made it exactly as great an offense to give such information as to exhibit the sort of pictures and writings at which the legislation was ostensibly aimed.	The act made it exactly as great an offense to give such information as to exhibit the sort of pictures and writings at which the legislation was ostensibly aimed.
4731_95875_000012_000003	This act made it a crime to use the mails to convey contraceptives or information concerning contraceptives.	This act made it a crime to use the mails to convey contraceptives or information concerning contraceptives.
4731_95875_000013_000001	Meanwhile, the provisions regarding contraceptives had been dropped from the amended New York State law of 1872.	Meanwhile, the provisions regarding contraceptives had been dropped from the amended New York State law of eighteen seventy two.
4731_95875_000013_000002	In 1873, however, a new section, said to have been drafted by Comstock himself, was substituted for the one enacted in 1872, and that section is essentially the substance of the present law.	In eighteen seventy three, however, a new section, said to have been drafted by Comstock himself, was substituted for the one enacted in eighteen seventy two, and that section is essentially the substance of the present law.
4731_95875_000013_000003	None of these acts made it an offense to prevent conception--all of them provided punishment for anyone disseminating information concerning the prevention of conception.	None of these acts made it an offense to prevent conception-all of them provided punishment for anyone disseminating information concerning the prevention of conception.
4731_95875_000014_000000	Comstock has passed out of public notice.	Comstock has passed out of public notice.
4731_95875_000014_000001	His body has been entombed but the evil that he did lives after him.	His body has been entombed but the evil that he did lives after him.
4731_95875_000014_000006	Each year this hand reaches out to compel the birth of hundreds of thousands of infants who must die before they are twelve months old.	Each year this hand reaches out to compel the birth of hundreds of thousands of infants who must die before they are twelve months old.
4731_95875_000015_000000	Like many laws upon our statute books, these are being persistently and intelligently violated.	Like many laws upon our statute books, these are being persistently and intelligently violated.
4731_95875_000015_000002	They limit their families to one, two or three well-cared-for children.	They limit their families to one, two or three well cared for children.
4731_95875_000015_000003	Usually the prosecutor who presents the case against a birth-control advocate, trapped by a detective hired by the Comstock Society, has no children at all or a small family.	Usually the prosecutor who presents the case against a birth control advocate, trapped by a detective hired by the Comstock Society, has no children at all or a small family.
4731_95875_000015_000004	The family of the judge who passes upon the case is likely to be smaller still.	The family of the judge who passes upon the case is likely to be smaller still.
4731_95875_000015_000005	The words "It is the law" sums it all up for these officials when they pass sentence in court.	The words "It is the law" sums it all up for these officials when they pass sentence in court.
4731_95875_000016_000001	Millions of them know nothing of reliable contraceptives. When women of the impoverished strata of society do not break these laws against contraceptives, they violate those laws of their inner beings which tell them not to bring children into the world to live in want, disease and general misery.	Millions of them know nothing of reliable contraceptives. When women of the impoverished strata of society do not break these laws against contraceptives, they violate those laws of their inner beings which tell them not to bring children into the world to live in want, disease and general misery.
4731_95875_000016_000002	They break the first law of nature, which is that of self preservation.	They break the first law of nature, which is that of self preservation.
4731_95875_000017_000003	The darkness that surrounded the whole field of sex was made as complete as possible.	The darkness that surrounded the whole field of sex was made as complete as possible.
4731_95875_000018_000001	The rapidity with which women are going into industry, the increasing hardship and poverty of the lower strata of society, the arousing of public conscience, have all operated to give force and volume to the demand for woman's right to control her own body that she may work out her own salvation.	The rapidity with which women are going into industry, the increasing hardship and poverty of the lower strata of society, the arousing of public conscience, have all operated to give force and volume to the demand for woman's right to control her own body that she may work out her own salvation.
4731_95875_000019_000000	Those who believe in strictly legal measures, as well as those who believe both in legal measures and in open defiance of these brutal and unjust laws, are demanding amendments to the obscenity statutes, which shall remove information concerning contraceptives from its present classification among things filthy and obscene.	Those who believe in strictly legal measures, as well as those who believe both in legal measures and in open defiance of these brutal and unjust laws, are demanding amendments to the obscenity statutes, which shall remove information concerning contraceptives from its present classification among things filthy and obscene.
4731_95875_000022_000000	This proposed amendment should without doubt include midwives as well as nurses.	This proposed amendment should without doubt include midwives as well as nurses.
4731_95875_000022_000003	It does exist, however, and was specifically declared by the New York State Court of Appeals, as we shall see when we consider that court's opinion in the Sanger case, farther on in the book.	It does exist, however, and was specifically declared by the New York State Court of Appeals, as we shall see when we consider that court's opinion in the Sanger case, farther on in the book.
4731_95875_000024_000000	Shall we go on indefinitely driving the now healthy mother of two children into the hands of the abortionist, where she goes in preference to constant ill health, overwork and the witnessing of dying and starving babies?	Shall we go on indefinitely driving the now healthy mother of two children into the hands of the abortionist, where she goes in preference to constant ill health, overwork and the witnessing of dying and starving babies?
4731_95875_000025_000003	They will do it at once unless, like men, they use the ballot for those political honors which many years of experience have taught men to be hollow.	They will do it at once unless, like men, they use the ballot for those political honors which many years of experience have taught men to be hollow.
4731_95875_000026_000000	It is only a question of how long it will take women to make up their minds to this result.	It is only a question of how long it will take women to make up their minds to this result.
4731_95875_000026_000002	Man has not protected woman in matters most vital to her--but she is awaking and will sooner or later realize this and assert herself.	Man has not protected woman in matters most vital to her-but she is awaking and will sooner or later realize this and assert herself.
