4734_220951_000000_000000	PART ONE: ON THE INFLUENCE OF THE PROPHETS IN THE EVOLUTION OF HUMANITY	PART ONE: ON THE INFLUENCE OF THE PROPHETS IN THE EVOLUTION OF HUMANITY	false	0	16.8	19.665077
4734_220951_000001_000000	1: NATURE IS GOVERNED BY ONE UNIVERSAL LAW	one: NATURE IS GOVERNED BY ONE UNIVERSAL LAW	true	16.8	21.04	21.13672
4734_220951_000002_000000	Nature is that condition, that reality, which in appearance consists in life and death, or, in other words, in the composition and decomposition of all things.	Nature is that condition, that reality, which in appearance consists in life and death, or, in other words, in the composition and decomposition of all things.	true	22.37	33.73	21.681885
4734_220951_000003_000000	This Nature is subjected to an absolute organization, to determined laws, to a complete order and a finished design, from which it will never depart--to such a degree, indeed, that if you look carefully and with keen sight, from the smallest invisible atom up to such large bodies of the world of existence as the globe of the sun or the other great stars and luminous spheres, whether you regard their arrangement, their composition, their form or their movement, you will find that all are in the highest degree of organization and are under one law from which they will never depart.	This Nature is subjected to an absolute organization, to determined laws, to a complete order and a finished design, from which it will never depart-to such a degree, indeed, that if you look carefully and with keen sight, from the smallest invisible atom up to such large bodies of the world of existence as the globe of the sun or the other great stars and luminous spheres, whether you regard their arrangement, their composition, their form or their movement, you will find that all are in the highest degree of organization and are under one law from which they will never depart.	false	34.4	71.44	21.663755
4734_220951_000004_000000	But when you look at Nature itself, you see that it has no intelligence, no will.	But when you look at Nature itself, you see that it has no intelligence, no will.	true	72.05	77.56	20.390003
4734_220951_000004_000001	For instance, the nature of fire is to burn; it burns without will or intelligence.	For instance, the nature of fire is to burn; it burns without will or intelligence.	true	78.08	84.31	21.535889
4734_220951_000004_000002	The nature of water is fluidity; it flows without will or intelligence.	The nature of water is fluidity; it flows without will or intelligence.	true	84.8	90.01	20.682495
4734_220951_000004_000003	The nature of the sun is radiance; it shines without will or intelligence.	The nature of the sun is radiance; it shines without will or intelligence.	true	90.53	95.44	20.71336
4734_220951_000004_000004	The nature of vapor is to ascend; it ascends without will or intelligence.	The nature of vapor is to ascend; it ascends without will or intelligence.	true	95.87	101.02	22.213533
4734_220951_000004_000005	Thus it is clear that the natural movements of all things are compelled; there are no voluntary movements except those of animals and, above all, those of man.	Thus it is clear that the natural movements of all things are compelled; there are no voluntary movements except those of animals and, above all, those of man.	true	101.66	112.24	22.123978
4734_220951_000004_000006	Man is able to resist and to oppose Nature because he discovers the constitution of things, and through this he commands the forces of Nature; all the inventions he has made are due to his discovery of the constitution of things.	Man is able to resist and to oppose Nature because he discovers the constitution of things, and through this he commands the forces of Nature; all the inventions he has made are due to his discovery of the constitution of things.	false	112.97	127.96	20.549295
4734_220951_000004_000007	For example, he invented the telegraph, which is the means of communication between the East and the West.	For example, he invented the telegraph, which is the means of communication between the East and the West.	true	128.42	134.41	22.394144
4734_220951_000004_000008	It is evident, then, that man rules over Nature.	It is evident, then, that man rules over Nature.	true	134.69	137.77	18.94577
4734_220951_000005_000000	Now, when you behold in existence such organizations, arrangements and laws, can you say that all these are the effect of Nature, though Nature has neither intelligence nor perception?	Now, when you behold in existence such organizations, arrangements and laws, can you say that all these are the effect of Nature, though Nature has neither intelligence nor perception?	true	138.56	149.29	20.389242
4734_220951_000005_000001	If not, it becomes evident that this Nature, which has neither perception nor intelligence, is in the grasp of Almighty God, Who is the Ruler of the world of Nature; whatever He wishes, He causes Nature to manifest.	If not, it becomes evident that this Nature, which has neither perception nor intelligence, is in the grasp of Almighty God, Who is the Ruler of the world of Nature; whatever He wishes, He causes Nature to manifest.	true	149.99	164.17	21.212833
4734_220951_000006_000000	One of the things which has appeared in the world of existence, and which is one of the requirements of Nature, is human life.	One of the things which has appeared in the world of existence, and which is one of the requirements of Nature, is human life.	true	165.02	171.91	21.125343
4734_220951_000006_000001	Considered from this point of view man is the branch; nature is the root.	Considered from this point of view man is the branch; nature is the root.	true	172.91	177.58	20.69027
4734_220951_000006_000002	Then can the will and the intelligence, and the perfections which exist in the branch, be absent in the root?	Then can the will and the intelligence, and the perfections which exist in the branch, be absent in the root?	false	177.95	185.28	18.543018
4734_220951_000007_000000	It is said that Nature in its own essence is in the grasp of the power of God, Who is the Eternal Almighty One: He holds Nature within accurate regulations and laws, and rules over it.(1)	It is said that Nature in its own essence is in the grasp of the power of God, Who is the Eternal Almighty One: He holds Nature within accurate regulations and laws, and rules over it.(one)	false	185.28	200.22	20.015217
4734_220951_000008_000000	2: PROOFS AND EVIDENCES OF THE EXISTENCE OF GOD	two: PROOFS AND EVIDENCES OF THE EXISTENCE OF GOD	true	200.22	204.67	20.808283
4734_220951_000009_000000	One of the proofs and demonstrations of the existence of God is the fact that man did not create himself: nay, his creator and designer is another than himself.	One of the proofs and demonstrations of the existence of God is the fact that man did not create himself: nay, his creator and designer is another than himself.	true	205.67	216.16	21.958124
4734_220951_000010_000000	It is certain and indisputable that the creator of man is not like man because a powerless creature cannot create another being.	It is certain and indisputable that the creator of man is not like man because a powerless creature cannot create another being.	true	216.8	224.62	21.947464
4734_220951_000010_000001	The maker, the creator, has to possess all perfections in order that he may create.	The maker, the creator, has to possess all perfections in order that he may create.	true	224.99	230.74	22.573463
4734_220951_000011_000000	Can the creation be perfect and the creator imperfect?	Can the creation be perfect and the creator imperfect?	true	231.35	234.67	25.322618
4734_220951_000011_000001	Can a picture be a masterpiece and the painter imperfect in his art?	Can a picture be a masterpiece and the painter imperfect in his art?	true	235.01	239.14	23.452826
4734_220951_000011_000002	For it is his art and his creation.	For it is his art and his creation.	true	239.51	241.63	22.61057
4734_220951_000011_000003	Moreover, the picture cannot be like the painter; otherwise, the painting would have created itself.	Moreover, the picture cannot be like the painter; otherwise, the painting would have created itself.	true	242.36	248.32	22.506338
4734_220951_000011_000004	However perfect the picture may be, in comparison with the painter it is in the utmost degree of imperfection.	However perfect the picture may be, in comparison with the painter it is in the utmost degree of imperfection.	true	248.81	255.03	21.580406
4734_220951_000012_000000	The contingent world is the source of imperfections: God is the origin of perfections.	The contingent world is the source of imperfections: God is the origin of perfections.	false	255.03	260.77	19.063059
4734_220951_000012_000001	The imperfections of the contingent world are in themselves a proof of the perfections of God.	The imperfections of the contingent world are in themselves a proof of the perfections of God.	true	261.26	266.62	21.760477
4734_220951_000013_000000	For example, when you look at man, you see that he is weak.	For example, when you look at man, you see that he is weak.	true	267.53	271.42	20.610126
4734_220951_000013_000001	This very weakness of the creature is a proof of the power of the Eternal Almighty One, because, if there were no power, weakness could not be imagined.	This very weakness of the creature is a proof of the power of the Eternal Almighty One, because, if there were no power, weakness could not be imagined.	false	271.61	279.88	22.721619
4734_220951_000013_000002	Then the weakness of the creature is a proof of the power of God; for if there were no power, there could be no weakness; so from this weakness it becomes evident that there is power in the world.	Then the weakness of the creature is a proof of the power of God; for if there were no power, there could be no weakness; so from this weakness it becomes evident that there is power in the world.	false	280.34	293.5	22.768938
4734_220951_000013_000003	Again, in the contingent world there is poverty; then necessarily wealth exists, since poverty is apparent in the world.	Again, in the contingent world there is poverty; then necessarily wealth exists, since poverty is apparent in the world.	true	293.87	301.81	19.735657
4734_220951_000013_000004	In the contingent world there is ignorance; necessarily knowledge exists, because ignorance is found; for if there were no knowledge, neither would there be ignorance.	In the contingent world there is ignorance; necessarily knowledge exists, because ignorance is found; for if there were no knowledge, neither would there be ignorance.	true	302.42	312.37	20.870024
4734_220951_000013_000005	Ignorance is the nonexistence of knowledge, and if there were no existence, nonexistence could not be realized.	Ignorance is the nonexistence of knowledge, and if there were no existence, nonexistence could not be realized.	true	312.77	319.48	19.203972
