475_125001_000000_000000	REGINALD ON HOUSE-PARTIES	REGINALD ON HOUSE PARTIES	false	18.69	30.39	18.701757
475_125001_000001_000000	The drawback is, one never really _knows_ one's hosts and hostesses.	The drawback is, one never really underscore knows underscore one's hosts and hostesses.	false	30.39	36.85	21.492197
475_125001_000001_000001	One gets to know their fox-terriers and their chrysanthemums, and whether the story about the go-cart can be turned loose in the drawing-room, or must be told privately to each member of the party, for fear of shocking public opinion; but one's host and hostess are a sort of human hinterland that one never has the time to explore.	One gets to know their fox terriers and their chrysanthemums, and whether the story about the go cart can be turned loose in the drawing room, or must be told privately to each member of the party, for fear of shocking public opinion; but one's host and hostess are a sort of human hinterland that one never has the time to explore.	false	37.49	59.29	19.796495
475_125001_000002_000000	There was a fellow I stayed with once in Warwickshire who farmed his own land, but was otherwise quite steady.	There was a fellow I stayed with once in Warwickshire who farmed his own land, but was otherwise quite steady.	true	60.29	66.73	20.323061
475_125001_000002_000001	Should never have suspected him of having a soul, yet not very long afterwards he eloped with a lion-tamer's widow and set up as a golf-instructor somewhere on the Persian Gulf; dreadfully immoral, of course, because he was only an indifferent player, but still, it showed imagination.	Should never have suspected him of having a soul, yet not very long afterwards he eloped with a lion tamer's widow and set up as a golf instructor somewhere on the Persian Gulf; dreadfully immoral, of course, because he was only an indifferent player, but still, it showed imagination.	false	67.07	85.75	20.652067
475_125001_000002_000002	His wife was really to be pitied, because he had been the only person in the house who understood how to manage the cook's temper, and now she has to put "D.V." on her dinner invitations.	His wife was really to be pitied, because he had been the only person in the house who understood how to manage the cook's temper, and now she has to put "d v" on her dinner invitations.	true	86.03	97.27	19.409288
475_125001_000002_000003	Still, that's better than a domestic scandal; a woman who leaves her cook never wholly recovers her position in Society.	Still, that's better than a domestic scandal; a woman who leaves her cook never wholly recovers her position in Society.	true	97.61	105.58	20.608492
475_125001_000003_000000	I suppose the same thing holds good with the hosts; they seldom have more than a superficial acquaintance with their guests, and so often just when they do get to know you a bit better, they leave off knowing you altogether.	I suppose the same thing holds good with the hosts; they seldom have more than a superficial acquaintance with their guests, and so often just when they do get to know you a bit better, they leave off knowing you altogether.	true	107.09	120.22	20.914412
475_125001_000003_000001	There was _rather_ a breath of winter in the air when I left those Dorsetshire people.	There was underscore rather underscore a breath of winter in the air when I left those Dorsetshire people.	false	120.95	125.89	22.4273
475_125001_000003_000002	You see, they had asked me down to shoot, and I'm not particularly immense at that sort of thing.	You see, they had asked me down to shoot, and I'm not particularly immense at that sort of thing.	true	126.17	132.1	19.806643
475_125001_000003_000003	There's such a deadly sameness about partridges; when you've missed one, you've missed the lot--at least, that's been my experience.	There's such a deadly sameness about partridges; when you've missed one, you've missed the lot-at least, that's been my experience.	false	132.41	140.14	20.805172
475_125001_000003_000004	And they tried to rag me in the smoking-room about not being able to hit a bird at five yards, a sort of bovine ragging that suggested cows buzzing round a gadfly and thinking they were teasing it.	And they tried to rag me in the smoking room about not being able to hit a bird at five yards, a sort of bovine ragging that suggested cows buzzing round a gadfly and thinking they were teasing it.	true	141.08	153.67	20.058853
475_125001_000003_000005	So I got up the next morning at early dawn--I know it was dawn, because there were lark-noises in the sky, and the grass looked as if it had been left out all night--and hunted up the most conspicuous thing in the bird line that I could find, and measured the distance, as nearly as it would let me, and shot away all I knew. They said afterwards that it was a tame bird; that's simply _silly_, because it was awfully wild at the first few shots.	So I got up the next morning at early dawn-I know it was dawn, because there were lark noises in the sky, and the grass looked as if it had been left out all night-and hunted up the most conspicuous thing in the bird line that I could find, and measured the distance, as nearly as it would let me, and shot away all I knew. They said afterwards that it was a tame bird; that's simply underscore silly underscore, because it was awfully wild at the first few shots.	false	154.61	181.6	19.53786
475_125001_000003_000006	Afterwards it quieted down a bit, and when its legs had stopped waving farewells to the landscape I got a gardener-boy to drag it into the hall, where everybody must see it on their way to the breakfast-room.	Afterwards it quieted down a bit, and when its legs had stopped waving farewells to the landscape I got a gardener boy to drag it into the hall, where everybody must see it on their way to the breakfast room.	true	181.94	193.39	19.308048
475_125001_000003_000007	I breakfasted upstairs myself.	I breakfasted upstairs myself.	true	194.06	196.6	20.737024
475_125001_000003_000008	I gathered afterwards that the meal was tinged with a very unchristian spirit.	I gathered afterwards that the meal was tinged with a very unchristian spirit.	true	197.27	202.15	21.785381
475_125001_000003_000009	I suppose it's unlucky to bring peacock's feathers into a house; anyway, there was a blue-pencilly look in my hostess's eye when I took my departure.	I suppose it's unlucky to bring peacock's feathers into a house; anyway, there was a blue pencilly look in my hostess's eye when I took my departure.	true	202.94	212.53	22.096567
475_125001_000004_000000	Some hostesses, of course, will forgive anything, even unto pavonicide (is there such a word?), as long as one is nice-looking and sufficiently unusual to counterbalance some of the others; and there _are_ others--the girl, for instance, who reads Meredith, and appears at meals with unnatural punctuality in a frock that's made at home and repented at leisure.	Some hostesses, of course, will forgive anything, even unto pavonicide (is there such a word?), as long as one is nice looking and sufficiently unusual to counterbalance some of the others; and there underscore are underscore others-the girl, for instance, who reads Meredith, and appears at meals with unnatural punctuality in a frock that's made at home and repented at leisure.	false	213.29	236.02	20.463467
475_125001_000004_000001	She eventually finds her way to India and gets married, and comes home to admire the Royal Academy, and to imagine that an indifferent prawn curry is for ever an effective substitute for all that we have been taught to believe is luncheon.	She eventually finds her way to India and gets married, and comes home to admire the Royal Academy, and to imagine that an indifferent prawn curry is for ever an effective substitute for all that we have been taught to believe is luncheon.	true	236.42	250.3	20.810844
475_125001_000004_000002	It's then that she is really dangerous; but at her worst she is never quite so bad as the woman who fires _Exchange and Mart_ questions at you without the least provocation. Imagine the other day, just when I was doing my best to understand half the things I was saying, being asked by one of those seekers after country home truths how many fowls she could keep in a run ten feet by six, or whatever it was!	It's then that she is really dangerous; but at her worst she is never quite so bad as the woman who fires underscore Exchange and Mart underscore questions at you without the least provocation. Imagine the other day, just when I was doing my best to understand half the things I was saying, being asked by one of those seekers after country home truths how many fowls she could keep in a run ten feet by six, or whatever it was!	false	250.79	279.49	20.752052
475_125001_000004_000003	I told her whole crowds, as long as she kept the door shut, and the idea didn't seem to have struck her before; at least, she brooded over it for the rest of dinner.	I told her whole crowds, as long as she kept the door shut, and the idea didn't seem to have struck her before; at least, she brooded over it for the rest of dinner.	true	280.1	290.17	20.296362
475_125001_000005_000000	Of course, as I say, one never really _knows_ one's ground, and one may make mistakes occasionally.	Of course, as I say, one never really underscore knows underscore one's ground, and one may make mistakes occasionally.	false	290.96	298.45	19.621641
475_125001_000005_000001	But then one's mistakes sometimes turn out assets in the long-run: if we had never bungled away our American colonies we might never have had the boy from the States to teach us how to wear our hair and cut our clothes, and we must get our ideas from somewhere, I suppose.	But then one's mistakes sometimes turn out assets in the long run: if we had never bungled away our American colonies we might never have had the boy from the States to teach us how to wear our hair and cut our clothes, and we must get our ideas from somewhere, I suppose.	false	299.03	315.4	21.172483
475_125001_000005_000002	Even the Hooligan was probably invented in China centuries before we thought of him.	Even the Hooligan was probably invented in China centuries before we thought of him.	true	315.83	320.77	17.623777
475_125001_000005_000003	England must wake up, as the Duke of Devonshire said the other day; wasn't it?	England must wake up, as the Duke of Devonshire said the other day; wasn't it?	true	321.32	327.13	21.233767
475_125001_000005_000004	Oh, well, it was someone else. Not that I ever indulge in despair about the Future; there always have been men who have gone about despairing of the Future, and when the Future arrives it says nice, superior things about their having acted according to their lights.	Oh, well, it was someone else. Not that I ever indulge in despair about the Future; there always have been men who have gone about despairing of the Future, and when the Future arrives it says nice, superior things about their having acted according to their lights.	false	327.35	343.21	21.131716
475_125001_000005_000005	It is dreadful to think that other people's grandchildren may one day rise up and call one amiable.	It is dreadful to think that other people's grandchildren may one day rise up and call one amiable.	true	343.79	350.14	19
475_125001_000006_000000	There are moments when one sympathises with Herod.	There are moments when one sympathises with Herod.	true	351.29	354.79	18.549952
