480_126292_000000_000000	THE ADVENTURES OF CHANTICLEER AND PARTLET	THE ADVENTURES OF CHANTICLEER AND PARTLET	false	12.57	28.29	20.236383
480_126292_000001_000000	1.	one.	true	28.29	28.87	18.952085
480_126292_000001_000001	HOW THEY WENT TO THE MOUNTAINS TO EAT NUTS	HOW THEY WENT TO THE MOUNTAINS TO EAT NUTS	true	29.51	32.17	19.867239
480_126292_000002_000000	'The nuts are quite ripe now,' said Chanticleer to his wife Partlet, 'suppose we go together to the mountains, and eat as many as we can, before the squirrel takes them all away.' 'With all my heart,' said Partlet, 'let us go and make a holiday of it together.'	'The nuts are quite ripe now,' said Chanticleer to his wife Partlet, 'suppose we go together to the mountains, and eat as many as we can, before the squirrel takes them all away.' 'With all my heart,' said Partlet, 'let us go and make a holiday of it together.'	true	35	51.37	20.272036
480_126292_000003_000000	So they went to the mountains; and as it was a lovely day, they stayed there till the evening.	So they went to the mountains; and as it was a lovely day, they stayed there till the evening.	true	52.85	58.12	20.798641
480_126292_000003_000001	Now, whether it was that they had eaten so many nuts that they could not walk, or whether they were lazy and would not, I do not know: however, they took it into their heads that it did not become them to go home on foot.	Now, whether it was that they had eaten so many nuts that they could not walk, or whether they were lazy and would not, I do not know: however, they took it into their heads that it did not become them to go home on foot.	false	59.09	72.85	18.287592
480_126292_000003_000002	So Chanticleer began to build a little carriage of nutshells: and when it was finished, Partlet jumped into it and sat down, and bid Chanticleer harness himself to it and draw her home.	So Chanticleer began to build a little carriage of nutshells: and when it was finished, Partlet jumped into it and sat down, and bid Chanticleer harness himself to it and draw her home.	true	73.49	85.09	19.764322
480_126292_000003_000003	'That's a good joke!' said Chanticleer; 'no, that will never do; I had rather by half walk home; I'll sit on the box and be coachman, if you like, but I'll not draw.' While this was passing, a duck came quacking up and cried out, 'You thieving vagabonds, what business have you in my grounds?	'That's a good joke!' said Chanticleer; 'no, that will never do; I had rather by half walk home; I'll sit on the box and be coachman, if you like, but I'll not draw.' While this was passing, a duck came quacking up and cried out, 'You thieving vagabonds, what business have you in my grounds?	false	86.21	107.47	18.83708
480_126292_000003_000004	I'll give it you well for your insolence!' and upon that she fell upon Chanticleer most lustily.	I'll give it you well for your insolence!' and upon that she fell upon Chanticleer most lustily.	true	108.08	115.06	19.225063
480_126292_000003_000005	But Chanticleer was no coward, and returned the duck's blows with his sharp spurs so fiercely that she soon began to cry out for mercy; which was only granted her upon condition that she would draw the carriage home for them.	But Chanticleer was no coward, and returned the duck's blows with his sharp spurs so fiercely that she soon began to cry out for mercy; which was only granted her upon condition that she would draw the carriage home for them.	true	115.73	129.16	18.309393
480_126292_000003_000006	This she agreed to do; and Chanticleer got upon the box, and drove, crying, 'Now, duck, get on as fast as you can.' And away they went at a pretty good pace.	This she agreed to do; and Chanticleer got upon the box, and drove, crying, 'Now, duck, get on as fast as you can.' And away they went at a pretty good pace.	false	129.83	141.4	19.698765
