4800_38660_000002_000000	CHAPTER XIX	CHAPTER nineteen
4800_38660_000003_000000	"A tumbler of the old Marcobrunner, David, and a slice of the game pie--before I say one word about what we owe to that angel upstairs.	"A tumbler of the old Marcobrunner, David, and a slice of the game pie-before I say one word about what we owe to that angel upstairs.
4800_38660_000003_000001	Off with the wine, my dear boy; you look as pale as death!"	Off with the wine, my dear boy; you look as pale as death!"
4800_38660_000004_000000	With those words Mr. Engelman lit his pipe, and waited in silence until the good eating and drinking had done their good work.	With those words mr Engelman lit his pipe, and waited in silence until the good eating and drinking had done their good work.
4800_38660_000005_000000	"Now carry your mind back to last night," he began.	"Now carry your mind back to last night," he began.
4800_38660_000005_000001	"You remember my going out to get a breath of fresh air.	"You remember my going out to get a breath of fresh air.
4800_38660_000005_000002	Can you guess what that meant?"	Can you guess what that meant?"
4800_38660_000006_000000	I guessed of course that it meant a visit to Madame Fontaine.	I guessed of course that it meant a visit to Madame Fontaine.
4800_38660_000007_000000	"Quite right, David.	"Quite right, David.
4800_38660_000007_000005	I told her that one of the doctors was evidently puzzled, and that the other had acknowledged that the malady was so far incomprehensible to him.	I told her that one of the doctors was evidently puzzled, and that the other had acknowledged that the malady was so far incomprehensible to him.
4800_38660_000007_000006	She clasped her hands in despair--she said, 'Oh, if my poor husband had been alive!' I naturally asked what she meant.	She clasped her hands in despair-she said, 'Oh, if my poor husband had been alive!' I naturally asked what she meant.
4800_38660_000007_000007	I wish I could give her explanation, David, in her own delightful words.	I wish I could give her explanation, David, in her own delightful words.
4800_38660_000007_000009	Some person in her husband's employment at the University of Wurzburg had been attacked by a malady presenting exactly the same symptoms from which Mr. Keller was suffering.	Some person in her husband's employment at the University of Wurzburg had been attacked by a malady presenting exactly the same symptoms from which mr Keller was suffering.
4800_38660_000007_000011	Alone among them Doctor Fontaine understood the case.	Alone among them Doctor Fontaine understood the case.
4800_38660_000007_000012	He made up the medicine that he administered with his own hand.	He made up the medicine that he administered with his own hand.
4800_38660_000007_000013	Madame Fontaine, under her husband's instructions, assisted in nursing the sick man, and in giving the nourishment prescribed when he was able to eat.	Madame Fontaine, under her husband's instructions, assisted in nursing the sick man, and in giving the nourishment prescribed when he was able to eat.
4800_38660_000007_000014	His extraordinary recovery is remembered in the University to this day."	His extraordinary recovery is remembered in the University to this day."
4800_38660_000008_000000	I interrupted Mr. Engelman at that point.	I interrupted mr Engelman at that point.
4800_38660_000008_000001	"Of course you asked her for the prescription?" I said.	"Of course you asked her for the prescription?" I said.
4800_38660_000008_000002	"I begin to understand it now."	"I begin to understand it now."
4800_38660_000009_000000	"No, David; you don't understand it yet.	"No, David; you don't understand it yet.
4800_38660_000009_000001	I certainly asked her for the prescription.	I certainly asked her for the prescription.
4800_38660_000009_000002	No such thing was known to be in existence--she reminded me that her husband had made up the medicine himself.	No such thing was known to be in existence-she reminded me that her husband had made up the medicine himself.
4800_38660_000009_000003	But she remembered that the results had exceeded his anticipations, and that only a part of the remedy had been used.	But she remembered that the results had exceeded his anticipations, and that only a part of the remedy had been used.
4800_38660_000009_000004	The bottle might still perhaps be found at Wurzburg.	The bottle might still perhaps be found at Wurzburg.
4800_38660_000009_000005	Or it might be in a small portmanteau belonging to her husband, which she had found in his bedroom, and had brought away with her, to be examined at some future time.	Or it might be in a small portmanteau belonging to her husband, which she had found in his bedroom, and had brought away with her, to be examined at some future time.
4800_38660_000009_000006	'I have not had the heart to open it yet,' she said; 'but for Mr. Keller's sake, I will look it over before you go away.' There is a Christian woman, David, if ever there was one yet! After the manner in which poor Keller had treated her, she was as eager to help him as if he had been her dearest friend.	'I have not had the heart to open it yet,' she said; 'but for mr Keller's sake, I will look it over before you go away.' There is a Christian woman, David, if ever there was one yet! After the manner in which poor Keller had treated her, she was as eager to help him as if he had been her dearest friend.
4800_38660_000009_000007	Minna offered to take her place.	Minna offered to take her place.
4800_38660_000009_000008	'Why should you distress yourself, mamma?' she said.	'Why should you distress yourself, mamma?' she said.
4800_38660_000009_000009	'Tell me what the bottle is like, and let me try if I can find it.' No!	'Tell me what the bottle is like, and let me try if I can find it.' No!
4800_38660_000009_000010	It was quite enough for Madame Fontaine that there was an act of mercy to be done.	It was quite enough for Madame Fontaine that there was an act of mercy to be done.
4800_38660_000009_000011	At any sacrifice of her own feelings, she was prepared to do it."	At any sacrifice of her own feelings, she was prepared to do it."
4800_38660_000010_000000	I interrupted him again, eager to hear the end.	I interrupted him again, eager to hear the end.
4800_38660_000012_000001	"I can show it to you, if you like.	"I can show it to you, if you like.
4800_38660_000012_000002	She has herself requested me to keep it under lock and key, so long as it is wanted in this house."	She has herself requested me to keep it under lock and key, so long as it is wanted in this house."
4800_38660_000013_000000	He opened an old cabinet, and took out a long narrow bottle of dark-blue glass.	He opened an old cabinet, and took out a long narrow bottle of dark blue glass.
4800_38660_000013_000002	The glass stopper was carefully secured by a piece of leather, for the better preservation, I suppose, of the liquid inside. Down one side of the bottle ran a narrow strip of paper, notched at regular intervals to indicate the dose that was to be given.	The glass stopper was carefully secured by a piece of leather, for the better preservation, I suppose, of the liquid inside. Down one side of the bottle ran a narrow strip of paper, notched at regular intervals to indicate the dose that was to be given.
4800_38660_000013_000003	No label appeared on it; but, examining the surface of the glass carefully, I found certain faintly-marked stains, which suggested that the label might have been removed, and that some traces of the paste or gum by which it had been secured had not been completely washed away.	No label appeared on it; but, examining the surface of the glass carefully, I found certain faintly marked stains, which suggested that the label might have been removed, and that some traces of the paste or gum by which it had been secured had not been completely washed away.
4800_38660_000013_000004	I held the bottle up to the light, and found that it was still nearly half full.	I held the bottle up to the light, and found that it was still nearly half full.
4800_38660_000013_000005	Mr. Engelman forbade me to remove the stopper.	mr Engelman forbade me to remove the stopper.
4800_38660_000013_000006	It was very important, he said, that no air should be admitted to the bottle, except when there was an actual necessity for administering the remedy.	It was very important, he said, that no air should be admitted to the bottle, except when there was an actual necessity for administering the remedy.
4800_38660_000014_000000	"I took it away with me the same night," he went on.	"I took it away with me the same night," he went on.
4800_38660_000014_000002	Madame Fontaine, always just in her views, said, 'You had better wait and consult the doctors.' She made but one condition (the generous creature!) relating to herself.	Madame Fontaine, always just in her views, said, 'You had better wait and consult the doctors.' She made but one condition (the generous creature!) relating to herself.
4800_38660_000014_000003	'If the remedy is tried,' she said, 'I must ask you to give it a fair chance by permitting me to act as nurse; the treatment of the patient when he begins to feel the benefit of the medicine is of serious importance.	'If the remedy is tried,' she said, 'I must ask you to give it a fair chance by permitting me to act as nurse; the treatment of the patient when he begins to feel the benefit of the medicine is of serious importance.
4800_38660_000014_000004	I know this from my husband's instructions, and it is due to his memory (to say nothing of what is due to Mr. Keller) that I should be at the bedside.' It is needless to say that I joyfully accepted the offered help.	I know this from my husband's instructions, and it is due to his memory (to say nothing of what is due to mr Keller) that I should be at the bedside.' It is needless to say that I joyfully accepted the offered help.
4800_38660_000014_000005	So the night passed.	So the night passed.
4800_38660_000014_000006	The next morning, soon after you fell asleep, the doctors came.	The next morning, soon after you fell asleep, the doctors came.
4800_38660_000014_000007	You may imagine what they thought of poor Keller, when I tell you that they recommended me to write instantly to Fritz in London summoning him to his father's bedside.	You may imagine what they thought of poor Keller, when I tell you that they recommended me to write instantly to Fritz in London summoning him to his father's bedside.
4800_38660_000014_000008	I was just in time to catch the special mail which left this morning.	I was just in time to catch the special mail which left this morning.
4800_38660_000014_000009	Don't blame me, David.	Don't blame me, David.
4800_38660_000014_000010	I could not feel absolutely sure of the new medicine; and, with time of such terrible importance, and London so far off, I was really afraid to miss a post."	I could not feel absolutely sure of the new medicine; and, with time of such terrible importance, and London so far off, I was really afraid to miss a post."
4800_38660_000015_000000	I was far from blaming him--and I said so.	I was far from blaming him-and I said so.
4800_38660_000015_000001	In his place I should have done what he did.	In his place I should have done what he did.
4800_38660_000015_000002	We arranged that I should write to Fritz by that night's mail, on the chance that my announcement of the better news might reach him before he left London.	We arranged that I should write to Fritz by that night's mail, on the chance that my announcement of the better news might reach him before he left London.
4800_38660_000016_000000	"My letter despatched," Mr. Engelman continued, "I begged both the doctors to speak with me before they went away, in my private room.	"My letter despatched," mr Engelman continued, "I begged both the doctors to speak with me before they went away, in my private room.
4800_38660_000016_000001	There I told them, in the plainest words I could find, exactly what I have told you.	There I told them, in the plainest words I could find, exactly what I have told you.
4800_38660_000016_000002	Doctor Dormann behaved like a gentleman.	Doctor Dormann behaved like a gentleman.
4800_38660_000016_000003	He said, 'Let me see the lady, and speak to her myself, before the new remedy is tried.' As for the other, what do you think he did?	He said, 'Let me see the lady, and speak to her myself, before the new remedy is tried.' As for the other, what do you think he did?
4800_38660_000016_000004	Walked out of the house (the old brute!) and declined any further attendance on the patient.	Walked out of the house (the old brute!) and declined any further attendance on the patient.
4800_38660_000017_000000	After what I had seen myself of the housekeeper's temper on the previous evening, this last piece of news failed to surprise me.	After what I had seen myself of the housekeeper's temper on the previous evening, this last piece of news failed to surprise me.
4800_38660_000018_000000	"Well," Mr. Engelman resumed, "Doctor Dormann asked his questions, and smelt and tasted the medicine, and with Madame Fontaine's full approval took away a little of it to be analyzed.	"Well," mr Engelman resumed, "Doctor Dormann asked his questions, and smelt and tasted the medicine, and with Madame Fontaine's full approval took away a little of it to be analyzed.
4800_38660_000018_000001	That came to nothing!	That came to nothing!
4800_38660_000018_000002	The medicine kept its own secret.	The medicine kept its own secret.
4800_38660_000018_000005	Half an hour since we tried the second.	Half an hour since we tried the second.
4800_38660_000018_000008	But for you we might never have known Madame Fontaine."	But for you we might never have known Madame Fontaine."
4800_38660_000019_000000	The door opened as he spoke, and I found myself confronted by a second surprise.	The door opened as he spoke, and I found myself confronted by a second surprise.
4800_38660_000019_000001	Minna came in, wearing a cook's apron, and asked if her mother had rung for her yet.	Minna came in, wearing a cook's apron, and asked if her mother had rung for her yet.
