4856_12103_000000_000000	Something in the unnatural calmness of her tone startled him; he turned to question her.	Something in the unnatural calmness of her tone startled him; he turned to question her.	false	0.42	7.62	17.346447
4856_12103_000000_000001	She had gone, but in the glimpse which he had of her face he read a little of the anguish which at that moment wrung her young heart, and happening at the same time to catch his sister's eye, he walked away, silent and uncomfortable.	She had gone, but in the glimpse which he had of her face he read a little of the anguish which at that moment wrung her young heart, and happening at the same time to catch his sister's eye, he walked away, silent and uncomfortable.	false	7.62	23.1	21.180473
4856_12103_000001_000000	_Chapter XX_	underscore Chapter twenty underscore	false	23.1	24.81	25.260601
4856_12103_000002_000000	FORGING THE FETTERS	FORGING THE FETTERS	true	24.81	26.47	24.705048
4856_12103_000003_000000	During the weeks immediately following Darrell's departure the daily routine of life at The Pines continued in the accustomed channels, but there was not a member of the family, including Mr. Underwood himself, to whom it did not seem strangely empty, as though some essential element were missing.	During the weeks immediately following Darrell's departure the daily routine of life at The Pines continued in the accustomed channels, but there was not a member of the family, including mr Underwood himself, to whom it did not seem strangely empty, as though some essential element were missing.	true	27.5	46.57	21.01265
4856_12103_000004_000000	To Kate her present life, compared with the first months of her return home, was like the narrow current creeping sluggishly beneath the icy fetters of winter as compared with the same stream laughing and singing on its way under summer skies.	To Kate her present life, compared with the first months of her return home, was like the narrow current creeping sluggishly beneath the icy fetters of winter as compared with the same stream laughing and singing on its way under summer skies.	false	47.42	63.1	22.63582
4856_12103_000004_000001	But she was learning the lesson that all must learn; that the world sweeps relentlessly onward with no pause for individual woe, and each must keep step in its ceaseless march, no matter how weary the brain or how heavy the heart.	But she was learning the lesson that all must learn; that the world sweeps relentlessly onward with no pause for individual woe, and each must keep step in its ceaseless march, no matter how weary the brain or how heavy the heart.	true	63.8	80.29	21.767353
4856_12103_000005_000000	Walcott's visits continued with the same frequency, but he was less annoying in his attentions than formerly.	Walcott's visits continued with the same frequency, but he was less annoying in his attentions than formerly.	true	81.47	88.78	22.527708
4856_12103_000005_000001	It had gradually dawned upon him that Kate was no longer a child, but a woman; and a woman with a will as indomitable as her father's once it was aroused.	It had gradually dawned upon him that Kate was no longer a child, but a woman; and a woman with a will as indomitable as her father's once it was aroused.	true	89.18	99.85	18
4856_12103_000005_000002	He was not displeased at the discovery; on the contrary, he looked forward with all the keener anticipation to the pleasure of what he mentally termed the "taming" process, once she was fairly within his power.	He was not displeased at the discovery; on the contrary, he looked forward with all the keener anticipation to the pleasure of what he mentally termed the "taming" process, once she was fairly within his power.	true	101.12	115.48	24
4856_12103_000005_000003	Meantime, he was content to make a study of her, sitting evening after evening either in conversation with her father or listening while she played and sang, but always watching her every movement, scanning every play of her features.	Meantime, he was content to make a study of her, sitting evening after evening either in conversation with her father or listening while she played and sang, but always watching her every movement, scanning every play of her features.	false	116.21	132.49	21.688997
