492_131890_000000_000000	Chapter IX	Chapter nine	true	22.665	23.62	20.605719
492_131890_000001_000000	IN WHICH THE RED SEA AND THE INDIAN OCEAN PROVE PROPITIOUS TO THE DESIGNS OF PHILEAS FOGG	IN WHICH THE RED SEA AND THE INDIAN OCEAN PROVE PROPITIOUS TO THE DESIGNS OF PHILEAS FOGG	false	23.78	31.78	19.146776
492_131890_000002_000000	The distance between Suez and Aden is precisely thirteen hundred and ten miles, and the regulations of the company allow the steamers one hundred and thirty-eight hours in which to traverse it.	The distance between Suez and Aden is precisely thirteen hundred and ten miles, and the regulations of the company allow the steamers one hundred and thirty eight hours in which to traverse it.	false	32.48	45.33	18.891891
492_131890_000002_000001	The Mongolia, thanks to the vigorous exertions of the engineer, seemed likely, so rapid was her speed, to reach her destination considerably within that time.	The Mongolia, thanks to the vigorous exertions of the engineer, seemed likely, so rapid was her speed, to reach her destination considerably within that time.	true	45.33	58	16
492_131890_000002_000002	The greater part of the passengers from Brindisi were bound for India some for Bombay, others for Calcutta by way of Bombay, the nearest route thither, now that a railway crosses the Indian peninsula. Among the passengers was a number of officials and military officers of various grades, the latter being either attached to the regular British forces or commanding the Sepoy troops, and receiving high salaries ever since the central government has assumed the powers of the East India Company: for the sub-lieutenants get 280 pounds, brigadiers, 2,400 pounds, and generals of divisions, 4,000 pounds.	The greater part of the passengers from Brindisi were bound for India some for Bombay, others for Calcutta by way of Bombay, the nearest route thither, now that a railway crosses the Indian peninsula. Among the passengers was a number of officials and military officers of various grades, the latter being either attached to the regular British forces or commanding the Sepoy troops, and receiving high salaries ever since the central government has assumed the powers of the East India Company: for the sub lieutenants get two hundred eighty pounds, brigadiers, two thousand four hundred pounds, and generals of divisions, four thousand pounds.	false	58.1	114.97	19.657791
492_131890_000002_000003	What with the military men, a number of rich young Englishmen on their travels, and the hospitable efforts of the purser, the time passed quickly on the Mongolia.	What with the military men, a number of rich young Englishmen on their travels, and the hospitable efforts of the purser, the time passed quickly on the Mongolia.	false	115.37	129.52	20
492_131890_000002_000004	The best of fare was spread upon the cabin tables at breakfast, lunch, dinner, and the eight o'clock supper, and the ladies scrupulously changed their toilets twice a day; and the hours were whirled away, when the sea was tranquil, with music, dancing, and games.	The best of fare was spread upon the cabin tables at breakfast, lunch, dinner, and the eight o'clock supper, and the ladies scrupulously changed their toilets twice a day; and the hours were whirled away, when the sea was tranquil, with music, dancing, and games.	true	129.68	152.92	20
492_131890_000003_000000	But the Red Sea is full of caprice, and often boisterous, like most long and narrow gulfs.	But the Red Sea is full of caprice, and often boisterous, like most long and narrow gulfs.	false	154.64	163.6	19.666454
492_131890_000003_000001	When the wind came from the African or Asian coast the Mongolia, with her long hull, rolled fearfully.	When the wind came from the African or Asian coast the Mongolia, with her long hull, rolled fearfully.	false	164	173.26	19
492_131890_000003_000002	Then the ladies speedily disappeared below; the pianos were silent; singing and dancing suddenly ceased.	Then the ladies speedily disappeared below; the pianos were silent; singing and dancing suddenly ceased.	true	173.84	182.14	17
492_131890_000003_000003	Yet the good ship ploughed straight on, unretarded by wind or wave, towards the straits of Bab-el-Mandeb.	Yet the good ship ploughed straight on, unretarded by wind or wave, towards the straits of Bab el Mandeb.	false	182.3	194.175	21.536837
492_131890_000003_000004	What was Phileas Fogg doing all this time?	What was Phileas Fogg doing all this time?	true	194.175	197.26	17
492_131890_000003_000005	It might be thought that, in his anxiety, he would be constantly watching the changes of the wind, the disorderly raging of the billows--every chance, in short, which might force the Mongolia to slacken her speed, and thus interrupt his journey.	It might be thought that, in his anxiety, he would be constantly watching the changes of the wind, the disorderly raging of the billows-every chance, in short, which might force the Mongolia to slacken her speed, and thus interrupt his journey.	false	197.51	215.86	17
492_131890_000003_000006	But, if he thought of these possibilities, he did not betray the fact by any outward sign.	But, if he thought of these possibilities, he did not betray the fact by any outward sign.	false	216.02	222.58	20.550457
492_131890_000004_000000	Always the same impassible member of the Reform Club, whom no incident could surprise, as unvarying as the ship's chronometers, and seldom having the curiosity even to go upon the deck, he passed through the memorable scenes of the Red Sea with cold indifference; did not care to recognise the historic towns and villages which, along its borders, raised their picturesque outlines against the sky; and betrayed no fear of the dangers of the Arabic Gulf, which the old historians always spoke of with horror, and upon which the ancient navigators never ventured without propitiating the gods by ample sacrifices.	Always the same impassible member of the Reform Club, whom no incident could surprise, as unvarying as the ship's chronometers, and seldom having the curiosity even to go upon the deck, he passed through the memorable scenes of the Red Sea with cold indifference; did not care to recognise the historic towns and villages which, along its borders, raised their picturesque outlines against the sky; and betrayed no fear of the dangers of the Arabic Gulf, which the old historians always spoke of with horror, and upon which the ancient navigators never ventured without propitiating the gods by ample sacrifices.	false	223.79	280.84	19.74174
492_131890_000004_000001	How did this eccentric personage pass his time on the Mongolia?	How did this eccentric personage pass his time on the Mongolia?	true	281.12	286.78	15
492_131890_000004_000002	He made his four hearty meals every day, regardless of the most persistent rolling and pitching on the part of the steamer; and he played whist indefatigably, for he had found partners as enthusiastic in the game as himself.	He made his four hearty meals every day, regardless of the most persistent rolling and pitching on the part of the steamer; and he played whist indefatigably, for he had found partners as enthusiastic in the game as himself.	true	287.15	305.02	18
492_131890_000004_000003	A tax-collector, on the way to his post at Goa; the Rev. Decimus Smith, returning to his parish at Bombay; and a brigadier-general of the English army, who was about to rejoin his brigade at Benares, made up the party, and, with Mr. Fogg, played whist by the hour together in absorbing silence.	A tax collector, on the way to his post at Goa; the reverend Decimus Smith, returning to his parish at Bombay; and a brigadier general of the English army, who was about to rejoin his brigade at Benares, made up the party, and, with mr Fogg, played whist by the hour together in absorbing silence.	false	305.24	334.71	19.566507
492_131890_000005_000000	As for Passepartout, he, too, had escaped sea-sickness, and took his meals conscientiously in the forward cabin.	As for Passepartout, he, too, had escaped sea sickness, and took his meals conscientiously in the forward cabin.	false	334.71	343.48	20.284414
492_131890_000005_000001	He rather enjoyed the voyage, for he was well fed and well lodged, took a great interest in the scenes through which they were passing, and consoled himself with the delusion that his master's whim would end at Bombay.	He rather enjoyed the voyage, for he was well fed and well lodged, took a great interest in the scenes through which they were passing, and consoled himself with the delusion that his master's whim would end at Bombay.	false	343.49	359.92	18
492_131890_000005_000002	He was pleased, on the day after leaving Suez, to find on deck the obliging person with whom he had walked and chatted on the quays.	He was pleased, on the day after leaving Suez, to find on deck the obliging person with whom he had walked and chatted on the quays.	false	360.29	370.27	18
492_131890_000006_000000	"If I am not mistaken," said he, approaching this person, with his most amiable smile, "you are the gentleman who so kindly volunteered to guide me at Suez?"	"If I am not mistaken," said he, approaching this person, with his most amiable smile, "you are the gentleman who so kindly volunteered to guide me at Suez?"	false	370.88	381.69	18
492_131890_000007_000000	"Ah!	"Ah!	true	381.69	382.41	24.80117
492_131890_000007_000001	I quite recognise you.	I quite recognise you.	true	382.41	383.77	20.76072
492_131890_000007_000002	You are the servant of the strange Englishman--"	You are the servant of the strange Englishman-"	true	383.9	386.11	18
492_131890_000008_000000	"Just so, monsieur--"	"Just so, monsieur-"	true	386.48	387.82	19.479809
492_131890_000009_000000	"Fix."	"Fix."	true	388.1	388.9	24.728584
492_131890_000010_000000	"Monsieur Fix," resumed Passepartout, "I'm charmed to find you on board.	"Monsieur Fix," resumed Passepartout, "I'm charmed to find you on board.	false	389.12	393.55	17.47945
492_131890_000010_000001	Where are you bound?"	Where are you bound?"	true	394.01	395.7	18.599363
