4957_30119_000000_000000	Again a silence fell upon the group.	Again a silence fell upon the group.	false	0	5.22	22.673359
4957_30119_000000_000001	Said Uncle John, finally:	Said Uncle john, finally:	false	5.22	6.33	21
4957_30119_000001_000000	"If the deed to the Bogue tract can be found, Joe and Ethel will be rich.	"If the deed to the Bogue tract can be found, Joe and Ethel will be rich.	false	6.33	11.76	23
4957_30119_000001_000001	I wonder what became of the paper."	I wonder what became of the paper."	false	11.76	14.82	22.928036
4957_30119_000002_000000	No one answered, for here was another mystery.	No one answered, for here was another mystery.	false	14.82	19.83	23.782875
4957_30119_000003_000000	CHAPTER XXIV.	CHAPTER twenty four.	true	19.83	21.16	27.55838
4957_30119_000004_000000	PEGGY HAS REVENGE.	PEGGY HAS REVENGE.	true	21.29	22.84	21.46698
4957_30119_000005_000000	Joe Wegg made a rapid recovery, his strength returning under the influence of pleasant surroundings and frequent visits from Ethel and Uncle John's three nieces.	Joe Wegg made a rapid recovery, his strength returning under the influence of pleasant surroundings and frequent visits from Ethel and Uncle John's three nieces.	true	23.69	32.56	23.85861
4957_30119_000005_000001	Not a word was hinted to either the invalid or the school teacher regarding the inquiries Mr. Merrick was making about the deed to the Bogue timber lands, which, if found, would make the young couple independent.	Not a word was hinted to either the invalid or the school teacher regarding the inquiries mr Merrick was making about the deed to the Bogue timber lands, which, if found, would make the young couple independent.	false	32.75	44.05	22
4957_30119_000005_000002	Joe was planning to exploit a new patent as soon as he could earn enough to get it introduced, and Ethel exhibited a sublime confidence in the boy's ability that rendered all question of money insignificant.	Joe was planning to exploit a new patent as soon as he could earn enough to get it introduced, and Ethel exhibited a sublime confidence in the boy's ability that rendered all question of money insignificant.	true	44.15	55.965	23
4957_30119_000006_000000	Joe's sudden appearance in the land of his birth and his generally smashed up condition were a nine days' wonder in Millville.	Joe's sudden appearance in the land of his birth and his generally smashed up condition were a nine days' wonder in Millville.	true	55.965	63.34	20
4957_30119_000006_000001	The gossips wanted to know all the whys and wherefores, but the boy kept his room in the hotel, or only walked out when accompanied by Ethel or one of the three nieces.	The gossips wanted to know all the whys and wherefores, but the boy kept his room in the hotel, or only walked out when accompanied by Ethel or one of the three nieces.	true	63.47	72.73	21
4957_30119_000006_000002	Sometimes they took him to ride, as he grew better, and the fact that Joe "were hand an' glove wi' the nabobs" lent him a distinction he had never before possessed.	Sometimes they took him to ride, as he grew better, and the fact that Joe "were hand an' glove wi' the nabobs" lent him a distinction he had never before possessed.	false	72.83	81.88	24.420143
4957_30119_000007_000000	McNutt, always busy over somebody else's affairs, was very curious to know what had caused the accident Joe had suffered.	McNutt, always busy over somebody else's affairs, was very curious to know what had caused the accident Joe had suffered.	true	82.13	89.29	22.324629
4957_30119_000007_000001	Notwithstanding the little affair of the letter, in which he had not appeared with especial credit, Peggy made an effort to interview the young man that resulted in his complete discomfiture.	Notwithstanding the little affair of the letter, in which he had not appeared with especial credit, Peggy made an effort to interview the young man that resulted in his complete discomfiture.	false	89.3	99.81	23.425694
4957_30119_000007_000002	But that did not deter him from indulging in various vivid speculations about Joe Wegg, which the simple villagers listened to with attention.	But that did not deter him from indulging in various vivid speculations about Joe Wegg, which the simple villagers listened to with attention.	true	99.81	108.13	21.605196
4957_30119_000007_000003	For one thing, he confided to "the boys" at the store that, in his opinion, the man who had murdered Cap'n Wegg had tried to murder his son also, and it wasn't likely Joe could manage to escape him a second time.	For one thing, he confided to "the boys" at the store that, in his opinion, the man who had murdered Cap'n Wegg had tried to murder his son also, and it wasn't likely Joe could manage to escape him a second time.	true	108.32	121.03	22.25259
4957_30119_000007_000004	Another tale evolved from Peggy's fertile imagination was that Joe, being about to starve to death in the city, had turned burglar and been shot in the arm in an attempt at housebreaking.	Another tale evolved from Peggy's fertile imagination was that Joe, being about to starve to death in the city, had turned burglar and been shot in the arm in an attempt at housebreaking.	false	121.34	132.28	26.087002
4957_30119_000008_000000	"Wouldn't be s'prised," said the agent, in an awed voice, "ef the p'lice was on his track now.	"Wouldn't be s'prised," said the agent, in an awed voice, "e f the p'lice was on his track now.	false	132.29	137.91	23.60862
4957_30119_000008_000001	P'raps there's a reward offered, boys; let's keep an eye on him!"	P'raps there's a reward offered, boys; let's keep an eye on him!"	false	137.91	140.86	23.021059
4957_30119_000009_000000	He waylaid the nieces once or twice, and tried to secure from them a verification of his somber suspicions, which they mischievously fostered.	He waylaid the nieces once or twice, and tried to secure from them a verification of his somber suspicions, which they mischievously fostered.	true	140.93	149.38	22
4957_30119_000010_000000	The girls found him a source of much amusement, and relieved their own disappointment at finding the "Wegg Mystery" a pricked bubble by getting McNutt excited over many sly suggestions of hidden crimes.	The girls found him a source of much amusement, and relieved their own disappointment at finding the "Wegg Mystery" a pricked bubble by getting McNutt excited over many sly suggestions of hidden crimes.	true	149.45	161.115	21.693846
4957_30119_000010_000001	They knew he was harmless, for even his neighbors needed proof of any assertion he made; moreover, the investigation Uncle John was making would soon set matters right; so the young ladies did not hesitate to "have fun" at the little agent's expense.	They knew he was harmless, for even his neighbors needed proof of any assertion he made; moreover, the investigation Uncle john was making would soon set matters right; so the young ladies did not hesitate to "have fun" at the little agent's expense.	false	161.115	175.21	22.580555
4957_30119_000011_000000	One of McNutt's numerous occupations was raising a "patch" of watermelons each year on the lot back of the house.	One of McNutt's numerous occupations was raising a "patch" of watermelons each year on the lot back of the house.	false	175.4	181.365	21
4957_30119_000011_000001	These he had fostered with great care since the plants had first sprouted through the soil, and in these late August days two or three hundreds of fine, big melons were just getting ripe.	These he had fostered with great care since the plants had first sprouted through the soil, and in these late August days two or three hundreds of fine, big melons were just getting ripe.	true	181.365	190.575	21
4957_30119_000011_000002	He showed the patch with much pride one day to the nieces, saying:	He showed the patch with much pride one day to the nieces, saying:	true	190.575	194.22	22
4957_30119_000012_000000	"Here's the most extry-fine melling-patch in this county, ef I do say it myself.	"Here's the most extry fine melling patch in this county, e f I do say it myself.	false	194.22	198.825	23
4957_30119_000012_000001	Dan Brayley he thinks he kin raise mellings, but the ol' fool ain't got a circumstance to this.	Dan Brayley he thinks he kin raise mellings, but the ol' fool ain't got a circumstance to this.	true	198.825	204.15	23
4957_30119_000012_000002	Ain't they beauties?"	Ain't they beauties?"	false	204.15	205.395	20.175226
4957_30119_000013_000000	"It seems to me," observed Patsy, gravely, "that Brayley's are just as good.	"It seems to me," observed Patsy, gravely, "that Brayley's are just as good.	true	205.395	210.12	24.981405
4957_30119_000013_000001	We passed his place this morning and wondered how he could raise such enormous melons."	We passed his place this morning and wondered how he could raise such enormous melons."	true	210.12	214.27	20
4957_30119_000014_000000	"'Normous!	"'Normous!	true	214.31	215.13	20.726875
4957_30119_000014_000001	Brayley's!"	Brayley's!"	true	215.13	216.015	20.69319
4957_30119_000015_000000	"I'm sure they are finer than these," said Beth.	"I'm sure they are finer than these," said Beth.	true	216.015	218.235	21.500605
4957_30119_000016_000000	"Well, I'll be jiggered!" Peggy's eyes stared as they had never stared before.	"Well, I'll be jiggered!" Peggy's eyes stared as they had never stared before.	true	218.235	222.675	24.940836
4957_30119_000016_000001	"Dan Brayley, he's a miser'ble ol' skinflint.	"Dan Brayley, he's a miser'ble ol' skinflint.	false	222.675	226.02	26.568619
4957_30119_000016_000002	Thet man couldn't raise decent mellings ef he tried."	Thet man couldn't raise decent mellings e f he tried."	false	226.02	229.24	22.934381
4957_30119_000017_000000	"What do you charge for melons, Mr. McNutt?" inquired Louise.	"What do you charge for melons, mr McNutt?" inquired Louise.	true	229.31	232.27	21.995922
4957_30119_000018_000000	"Charge?	"Charge?	true	232.43	233.23	38.17413
4957_30119_000018_000001	Why--er--fifty cents a piece is my price to nabobs; an' dirt cheap at that!"	Why-er-fifty cents a piece is my price to nabobs; an' dirt cheap at that!"	true	233.63	237.675	22.680386
4957_30119_000019_000000	"That is too much," declared Patsy.	"That is too much," declared Patsy.	true	237.675	239.56	29.654184
4957_30119_000019_000001	"Mr. Brayley says he will sell his melons for fifteen cents each."	"mr Brayley says he will sell his melons for fifteen cents each."	true	239.84	243.345	18.97903
4957_30119_000020_000000	"Him!	"Him!	true	243.345	243.795	21.346395
4957_30119_000020_000001	Fifteen cents!" gasped Peggy, greatly disappointed.	Fifteen cents!" gasped Peggy, greatly disappointed.	true	243.795	246.825	24.14634
4957_30119_000020_000002	"Say, Brayley's a disturbin' element in these parts.	"Say, Brayley's a disturbin' element in these parts.	false	246.825	249.45	22.822361
4957_30119_000020_000003	He oughter go to jail fer asking fifteen cents fer them mean little mellings o' his'n."	He oughter go to jail fer asking fifteen cents fer them mean little mellings o' his'n."	false	249.45	254.04	19
4957_30119_000021_000000	"They seem as large as yours," murmured Louise.	"They seem as large as yours," murmured Louise.	true	254.04	256.15	15
4957_30119_000022_000000	"But they ain't.	"But they ain't.	true	256.22	257.04	30.152243
4957_30119_000022_000001	An' Brayley's a cheat an' a rascal, while a honester man ner me don't breathe.	An' Brayley's a cheat an' a rascal, while a honester man n e r me don't breathe.	false	257.04	261.825	23.406225
4957_30119_000022_000002	Nobody likes Brayley 'round Millville.	Nobody likes Brayley 'round Millville.	true	261.825	263.73	17
4957_30119_000022_000003	Why, on'y las' winter he called me a meddler--in public!--an' said as I shot off my mouth too much.	Why, on'y las' winter he called me a meddler-in public!--an' said as I shot off my mouth too much.	false	263.73	269.505	22.824104
4957_30119_000022_000004	Me!"	Me!"	true	269.505	270.1	12
4957_30119_000023_000000	"How impolite."	"How impolite."	true	270.41	271.72	31.391087
4957_30119_000024_000000	"But that's Dan Brayley.	"But that's Dan Brayley.	true	272.03	273.42	27.189487
4957_30119_000024_000001	My mellings at fifty cents is better 'n his'n at fifteen."	My mellings at fifty cents is better 'n his'n at fifteen."	false	273.42	276.54	22.579712
