4957_36386_000000_000000	She put my hand to her lips before I was aware of her, and kissed it, and ran back into her room.	She put my hand to her lips before I was aware of her, and kissed it, and ran back into her room.	false	0	1.44	23.027666
4957_36386_000001_000000	I sat down on the place which she had occupied.	I sat down on the place which she had occupied.	false	1.44	1.92	23.256132
4957_36386_000001_000001	She had looked at me for one moment when she kissed my hand.	She had looked at me for one moment when she kissed my hand.	false	1.92	2.88	31.111885
4957_36386_000001_000002	I forgot Ambrose and his confession; I forgot the coming trial; I forgot my professional duties and my English friends.	I forgot Ambrose and his confession; I forgot the coming trial; I forgot my professional duties and my English friends.	false	2.88	4.38	19
4957_36386_000001_000003	There I sat, in a fool's elysium of my own making, with absolutely nothing in my mind but the picture of Naomi's face at the moment when she had last looked at me!	There I sat, in a fool's elysium of my own making, with absolutely nothing in my mind but the picture of Naomi's face at the moment when she had last looked at me!	false	4.38	10.08	24.15489
4957_36386_000002_000000	I have already mentioned that I was in love with her.	I have already mentioned that I was in love with her.	false	10.08	13.2	23.804241
4957_36386_000002_000001	I merely add this to satisfy you that I tell the truth.	I merely add this to satisfy you that I tell the truth.	false	13.2	16.62	26.010372
4957_36386_000003_000000	CHAPTER XI.	CHAPTER eleven.	true	16.62	17.68	27.94254
4957_36386_000004_000000	THE PEBBLE AND THE WINDOW.	THE PEBBLE AND THE WINDOW.	true	18.08	19.75	25.33524
4957_36386_000005_000000	MISS MEADOWCROFT and I were the only representatives of the family at the farm who attended the trial.	MISS MEADOWCROFT and I were the only representatives of the family at the farm who attended the trial.	true	20.51	25.39	23
4957_36386_000005_000001	We went separately to Narrabee. Excepting the ordinary greetings at morning and night, Miss Meadowcroft had not said one word to me since the time when I had told her that I did _not_ believe John Jago to be a living man.	We went separately to Narrabee. Excepting the ordinary greetings at morning and night, Miss Meadowcroft had not said one word to me since the time when I had told her that I did underscore not underscore believe john Jago to be a living man.	false	25.52	35.02	24.738409
4957_36386_000006_000000	I have purposely abstained from encumbering my narrative with legal details.	I have purposely abstained from encumbering my narrative with legal details.	true	35.3	40.15	25
4957_36386_000006_000001	I now propose to state the nature of the defense in the briefest outline only.	I now propose to state the nature of the defense in the briefest outline only.	true	40.16	45.19	23.661268
4957_36386_000007_000000	We insisted on making both the prisoners plead not guilty.	We insisted on making both the prisoners plead not guilty.	true	45.41	48.645	26
4957_36386_000007_000001	This done, we took an objection to the legality of the proceedings at starting.	This done, we took an objection to the legality of the proceedings at starting.	true	48.645	52.93	24.724848
4957_36386_000007_000002	We appealed to the old English law, that there should be no conviction for murder until the body of the murdered person was found, or proof of its destruction obtained beyond a doubt.	We appealed to the old English law, that there should be no conviction for murder until the body of the murdered person was found, or proof of its destruction obtained beyond a doubt.	true	53.09	62.8	24.970015
4957_36386_000007_000003	We denied that sufficient proof had been obtained in the case now before the court.	We denied that sufficient proof had been obtained in the case now before the court.	true	63.38	68.26	25.401985
4957_36386_000008_000000	The judges consulted, and decided that the trial should go on.	The judges consulted, and decided that the trial should go on.	true	68.66	72.1	24.96472
4957_36386_000009_000000	We took our next objection when the confessions were produced in evidence.	We took our next objection when the confessions were produced in evidence.	true	72.68	76.9	22.818539
4957_36386_000009_000001	We declared that they had been extorted by terror, or by undue influence; and we pointed out certain minor particulars in which the two confessions failed to corroborate each other.	We declared that they had been extorted by terror, or by undue influence; and we pointed out certain minor particulars in which the two confessions failed to corroborate each other.	true	77	88.03	24.503405
4957_36386_000009_000002	For the rest, our defense on this occasion was, as to essentials, what our defense had been at the inquiry before the magistrate.	For the rest, our defense on this occasion was, as to essentials, what our defense had been at the inquiry before the magistrate.	true	88.4	95.98	23.190819
4957_36386_000009_000003	Once more the judges consulted, and once more they overruled our objection.	Once more the judges consulted, and once more they overruled our objection.	true	96.2	101.11	24.311937
4957_36386_000009_000004	The confessions were admitted in evidence.	The confessions were admitted in evidence.	true	101.39	103.66	20.556253
4957_36386_000009_000005	On their side, the prosecution produced one new witness in support of their case.	On their side, the prosecution produced one new witness in support of their case.	true	104.15	109.39	25.380661
4957_36386_000009_000006	It is needless to waste time in recapitulating his evidence.	It is needless to waste time in recapitulating his evidence.	true	109.4	113.2	25.848701
4957_36386_000009_000007	He contradicted himself gravely on cross-examination.	He contradicted himself gravely on cross examination.	true	113.3	117.1	23.400366
4957_36386_000009_000008	We showed plainly, and after investigation proved, that he was not to be believed on his oath.	We showed plainly, and after investigation proved, that he was not to be believed on his oath.	true	117.2	123.285	26.325335
4957_36386_000010_000000	The chief-justice summed up.	The chief justice summed up.	true	123.285	125.29	25.254736
4957_36386_000011_000000	He charged, in relation to the confessions, that no weight should be attached to a confession incited by hope or fear; and he left it to the jury to determine whether the confessions in this case had been so influenced.	He charged, in relation to the confessions, that no weight should be attached to a confession incited by hope or fear; and he left it to the jury to determine whether the confessions in this case had been so influenced.	true	125.39	138.25	23.400623
4957_36386_000011_000001	In the course of the trial, it had been shown for the defense that the sheriff and the governor of the prison had told Ambrose, with his father's knowledge and sanction, that the case was clearly against him; that the only chance of sparing his family the disgrace of his death by public execution lay in making a confession; and that they would do their best, if he did confess, to have his sentence commuted to imprisonment for life.	In the course of the trial, it had been shown for the defense that the sheriff and the governor of the prison had told Ambrose, with his father's knowledge and sanction, that the case was clearly against him; that the only chance of sparing his family the disgrace of his death by public execution lay in making a confession; and that they would do their best, if he did confess, to have his sentence commuted to imprisonment for life.	true	138.89	164.53	24.433043
4957_36386_000011_000002	As for Silas, he was proved to have been beside himself with terror when he made his abominable charge against his brother.	As for Silas, he was proved to have been beside himself with terror when he made his abominable charge against his brother.	true	164.75	172.275	23.955208
4957_36386_000011_000003	We had vainly trusted to the evidence on these two points to induce the court to reject the confessions: and we were destined to be once more disappointed in anticipating that the same evidence would influence the verdict of the jury on the side of mercy.	We had vainly trusted to the evidence on these two points to induce the court to reject the confessions: and we were destined to be once more disappointed in anticipating that the same evidence would influence the verdict of the jury on the side of mercy.	true	172.275	187.36	24.165348
4957_36386_000011_000004	After an absence of an hour, they returned into court with a verdict of "Guilty" against both the prisoners.	After an absence of an hour, they returned into court with a verdict of "Guilty" against both the prisoners.	true	187.94	194.77	25.853083
4957_36386_000012_000000	Being asked in due form if they had anything to say in mitigation of their sentence, Ambrose and Silas solemnly declared their innocence, and publicly acknowledged that their respective confessions had been wrung from them by the hope of escaping the hangman's hands.	Being asked in due form if they had anything to say in mitigation of their sentence, Ambrose and Silas solemnly declared their innocence, and publicly acknowledged that their respective confessions had been wrung from them by the hope of escaping the hangman's hands.	false	194.93	210.24	21.750944
