500_125123_000001_000000	Chapter 10	Chapter ten
500_125123_000002_000000	A MARRIAGE CONTRACT	A MARRIAGE CONTRACT
500_125123_000004_000002	He invests his property.	He invests his property.
500_125123_000004_000003	He goes, in a condescending amateurish way, into the City, attends meetings of Directors, and has to do with traffic in Shares.	He goes, in a condescending amateurish way, into the City, attends meetings of Directors, and has to do with traffic in Shares.
500_125123_000004_000005	Have no antecedents, no established character, no cultivation, no ideas, no manners; have Shares.	Have no antecedents, no established character, no cultivation, no ideas, no manners; have Shares.
500_125123_000004_000007	Where does he come from?	Where does he come from?
500_125123_000004_000008	Shares.	Shares.
500_125123_000004_000009	Where is he going to?	Where is he going to?
500_125123_000004_000011	What are his tastes?	What are his tastes?
500_125123_000004_000012	Shares. Has he any principles?	Shares. Has he any principles?
500_125123_000004_000014	What squeezes him into Parliament? Shares.	What squeezes him into Parliament? Shares.
500_125123_000004_000015	Perhaps he never of himself achieved success in anything, never originated anything, never produced anything?	Perhaps he never of himself achieved success in anything, never originated anything, never produced anything?
500_125123_000005_000002	Wards of his, perhaps?	Wards of his, perhaps?
500_125123_000005_000003	Yet that can scarcely be, for they are older than himself. Veneering has been in their confidence throughout, and has done much to lure them to the altar.	Yet that can scarcely be, for they are older than himself. Veneering has been in their confidence throughout, and has done much to lure them to the altar.
500_125123_000005_000004	He has mentioned to Twemlow how he said to Mrs Veneering, 'Anastatia, this must be a match.' He has mentioned to Twemlow how he regards Sophronia Akershem (the mature young lady) in the light of a sister, and Alfred Lammle (the mature young gentleman) in the light of a brother.	He has mentioned to Twemlow how he said to Mrs Veneering, 'Anastatia, this must be a match.' He has mentioned to Twemlow how he regards Sophronia Akershem (the mature young lady) in the light of a sister, and Alfred Lammle (the mature young gentleman) in the light of a brother.
500_125123_000005_000006	He has answered, 'Not exactly.' Whether Sophronia was adopted by his mother?	He has answered, 'Not exactly.' Whether Sophronia was adopted by his mother?
500_125123_000005_000007	He has answered, 'Not precisely so.' Twemlow's hand has gone to his forehead with a lost air.	He has answered, 'Not precisely so.' Twemlow's hand has gone to his forehead with a lost air.
500_125123_000007_000000	'My dear Twemlow,' says Veneering, 'your ready response to Anastatia's unceremonious invitation is truly kind, and like an old, old friend.	'My dear Twemlow,' says Veneering, 'your ready response to Anastatia's unceremonious invitation is truly kind, and like an old, old friend.
500_125123_000008_000001	Not, however, that he has the least notion of its being his own case.	Not, however, that he has the least notion of its being his own case.
500_125123_000009_000000	'Our friends, Alfred and Sophronia,' pursues Veneering the veiled prophet: 'our friends Alfred and Sophronia, you will be glad to hear, my dear fellows, are going to be married.	'Our friends, Alfred and Sophronia,' pursues Veneering the veiled prophet: 'our friends Alfred and Sophronia, you will be glad to hear, my dear fellows, are going to be married.
