5115_26950_000000_000000	The one cord vibrated to its utmost.	The one cord vibrated to its utmost.	false	5.46	7.29	19
5115_26950_000000_000001	Baldassarre clutched his own palms, driving his long nails into them, and burst into a sob with the rest.	Baldassarre clutched his own palms, driving his long nails into them, and burst into a sob with the rest.	false	7.29	15.51	17
5115_26950_000001_000000	CHAPTER TWENTY FIVE.	CHAPTER TWENTY FIVE.	true	15.51	16.935	21.409687
5115_26950_000002_000000	OUTSIDE THE DUOMO.	OUTSIDE THE DUOMO.	true	16.935	18.28	22
5115_26950_000003_000000	While Baldassarre was possessed by the voice of Savonarola, he had not noticed that another man had entered through the doorway behind him, and stood not far off observing him.	While Baldassarre was possessed by the voice of Savonarola, he had not noticed that another man had entered through the doorway behind him, and stood not far off observing him.	true	18.86	28.12	18
5115_26950_000003_000001	It was Piero di Cosimo, who took no heed of the preaching, having come solely to look at the escaped prisoner.	It was Piero di Cosimo, who took no heed of the preaching, having come solely to look at the escaped prisoner.	true	28.19	33.88	19
5115_26950_000003_000002	During the pause, in which the preacher and his audience had given themselves up to inarticulate emotion, the new-comer advanced and touched Baldassarre on the arm.	During the pause, in which the preacher and his audience had given themselves up to inarticulate emotion, the new comer advanced and touched Baldassarre on the arm.	true	34.1	42.06	16
5115_26950_000003_000003	He looked round with the tears still slowly rolling down his face, but with a vigorous sigh, as if he had done with that outburst.	He looked round with the tears still slowly rolling down his face, but with a vigorous sigh, as if he had done with that outburst.	false	42.06	48.54	18
5115_26950_000003_000004	The painter spoke to him in a low tone--	The painter spoke to him in a low tone-	true	48.54	50.77	20
5115_26950_000004_000000	"Shall I cut your cords for you?	"Shall I cut your cords for you?	true	50.81	52.365	19
5115_26950_000004_000001	I have heard how you were made prisoner."	I have heard how you were made prisoner."	true	52.365	54.31	18
5115_26950_000005_000000	Baldassarre did not reply immediately; he glanced suspiciously at the officious stranger.	Baldassarre did not reply immediately; he glanced suspiciously at the officious stranger.	true	54.62	59.08	17
5115_26950_000005_000001	At last he said, "If you will."	At last he said, "If you will."	true	59.3	61.33	21.464792
5115_26950_000006_000000	"Better come outside," said Piero.	"Better come outside," said Piero.	false	61.79	63.675	21.803207
5115_26950_000007_000000	Baldassarre again looked at him suspiciously; and Piero, partly guessing his thought, smiled, took out a knife, and cut the cords.	Baldassarre again looked at him suspiciously; and Piero, partly guessing his thought, smiled, took out a knife, and cut the cords.	false	63.675	70.33	19
5115_26950_000007_000001	He began to think that the idea of the prisoner's madness was not improbable, there was something so peculiar in the expression of his face.	He began to think that the idea of the prisoner's madness was not improbable, there was something so peculiar in the expression of his face.	false	70.37	76.99	18
5115_26950_000007_000002	"Well," he thought, "if he does any mischief, he'll soon get tied up again.	"Well," he thought, "if he does any mischief, he'll soon get tied up again.	true	77.12	80.44	22
5115_26950_000007_000003	The poor devil shall have a chance, at least."	The poor devil shall have a chance, at least."	true	80.54	82.78	22
5115_26950_000008_000000	"You are afraid of me," he said again, in an undertone; "you don't want to tell me anything about yourself."	"You are afraid of me," he said again, in an undertone; "you don't want to tell me anything about yourself."	true	83.06	88.12	19
5115_26950_000009_000000	Baldassarre was folding his arms in enjoyment of the long-absent muscular sensation.	Baldassarre was folding his arms in enjoyment of the long absent muscular sensation.	true	88.25	92.65	17
5115_26950_000009_000001	He answered Piero with a less suspicious look and a tone which had some quiet decision in it.	He answered Piero with a less suspicious look and a tone which had some quiet decision in it.	true	93.02	97.57	17
5115_26950_000010_000000	"No, I have nothing to tell."	"No, I have nothing to tell."	true	97.7	99.28	20.482296
5115_26950_000011_000000	"As you please," said Piero, "but perhaps you want shelter, and may not know how hospitable we Florentines are to visitors with torn doublets and empty stomachs.	"As you please," said Piero, "but perhaps you want shelter, and may not know how hospitable we Florentines are to visitors with torn doublets and empty stomachs.	false	99.35	107.205	17
5115_26950_000011_000001	There's an hospital for poor travellers outside all our gates, and, if you liked, I could put you in the way to one. There's no danger from your French soldier.	There's an hospital for poor travellers outside all our gates, and, if you liked, I could put you in the way to one. There's no danger from your French soldier.	false	107.205	114.72	18
5115_26950_000011_000002	He has been sent off."	He has been sent off."	true	114.72	116.235	20
5115_26950_000012_000000	Baldassarre nodded, and turned in silent acceptance of the offer, and he and Piero left the church together.	Baldassarre nodded, and turned in silent acceptance of the offer, and he and Piero left the church together.	true	116.235	121.93	20
5115_26950_000013_000000	"You wouldn't like to sit to me for your portrait, should you?" said Piero, as they went along the Via dell' Oriuolo, on the way to the gate of Santa Croce.	"You wouldn't like to sit to me for your portrait, should you?" said Piero, as they went along the Via dell' Oriuolo, on the way to the gate of Santa Croce.	true	122.33	129.94	16
5115_26950_000013_000001	"I am a painter: I would give you money to get your portrait."	"I am a painter: I would give you money to get your portrait."	true	130.04	133.24	22.94582
5115_26950_000014_000000	The suspicion returned into Baldassarre's glance, as he looked at Piero, and said decidedly, "No."	The suspicion returned into Baldassarre's glance, as he looked at Piero, and said decidedly, "no"	true	133.34	138.57	17
5115_26950_000015_000000	"Ah!" said the painter, curtly.	"Ah!" said the painter, curtly.	false	138.57	140.13	22.489887
5115_26950_000015_000001	"Well, go straight on, and you'll find the Porta Santa Croce, and outside it there's an hospital for travellers.	"Well, go straight on, and you'll find the Porta Santa Croce, and outside it there's an hospital for travellers.	true	140.13	145.17	18
5115_26950_000015_000002	So you'll not accept any service from me?"	So you'll not accept any service from me?"	false	145.17	147.045	15
5115_26950_000016_000000	"I give you thanks for what you have done already.	"I give you thanks for what you have done already.	true	147.045	148.935	16
5115_26950_000016_000001	I need no more."	I need no more."	true	148.935	150.01	17
5115_26950_000017_000000	"It is well," said Piero, with a shrug, and they turned away from each other.	"It is well," said Piero, with a shrug, and they turned away from each other.	true	150.23	153.64	20
5115_26950_000018_000000	"A mysterious old tiger!" thought the artist, "well worth painting. Ugly--with deep lines--looking as if the plough and the harrow had gone over his heart.	"A mysterious old tiger!" thought the artist, "well worth painting. Ugly-with deep lines-looking as if the plough and the harrow had gone over his heart.	true	153.71	161.38	20
