5189_56574_000000_000000	The Other, being Disinclined to Change or Diversity of Scene, remained all his Life in One Place.	The Other, being Disinclined to Change or Diversity of Scene, remained all his Life in One Place.	false	0	7.08	20.072287
5189_56574_000000_000001	He therefore Became Narrow-Minded and Provincial, and gained None of the Culture and Liberality of Nature which comes from Contact with various Scenes of Life.	He therefore Became Narrow Minded and Provincial, and gained None of the Culture and Liberality of Nature which comes from Contact with various Scenes of Life.	false	7.08	14.73	20.991068
5189_56574_000001_000000	MORALS:	MORALS:	false	14.73	15	15
5189_56574_000002_000000	This Fable teaches that a Rolling Stone Gathers No Moss, and a Setting Hen Never Grows Fat.	This Fable teaches that a Rolling Stone Gathers No Moss, and a Setting Hen Never Grows Fat.	false	15	19.68	20.528797
5189_56574_000003_000000	A LETTER	A LETTER	true	19.68	20.265	17
5189_56574_000004_000000	FROM PETROLEUM V. NASBY	FROM PETROLEUM v NASBY	true	20.265	22.48	22
5189_56574_000005_000000	I AM REQUESTED TO ACT AS CHAPLAIN OF THE CLEVELAND CONVENTION.--THAT BEAUTIFUL CITY VISITED FOR THAT PURPOSE.	I a m REQUESTED TO a c t AS CHAPLAIN OF THE CLEVELAND CONVENTION.--THAT BEAUTIFUL CITY VISITED FOR THAT PURPOSE.	false	23.63	30.97	22.731203
5189_56574_000006_000000	POST OFFIS, CONFEDRIT X ROADS, (wich is in the Stait uv Kentucky), September 20, 1866.	POST OFFIS, c o n f e d r i t X ROADS, (wich is in the Stait u v Kentucky), september twentieth eighteen sixty six.	false	32.15	40.36	25.156153
5189_56574_000007_000000	I wuz sent for to come to Washington, from my comfortable quarters at the Post Offis, to attend the convenshun uv sich soldiers and sailors uv the United States ez bleeve in a Union uv 36 States, and who hev sworn allejinse to a flag with 36 stars onto it, at Cleveland.	I w u z sent for to come to Washington, from my comfortable quarters at the Post Offis, to attend the convenshun u v sich soldiers and sailors u v the United States e z bleeve in a Union u v thirty six States, and who h e v sworn allejinse to a flag with thirty six stars onto it, at Cleveland.	false	41.69	59.53	21.66
5189_56574_000007_000001	My esteemed and life-long friend and co-laborer, Rev.	My esteemed and life-long friend and co laborer, Rev.	true	60.35	64.38	20.65378
5189_56574_000007_000002	Henry Ward Beecher, wuz to hev bin the chaplin uv the convenshun, but he failed us, and it wuz decided in a Cabinet meetin that I shood take his place.	Henry Ward Beecher, w u z to h e v bin the chaplin u v the convenshun, but he failed us, and it w u z decided in a Cabinet meetin that I shood take his place.	false	64.38	73.96	21.339989
5189_56574_000007_000003	I didn't see the necessity uv hevin a chaplin at every little convenshun uv our party, and so stated; but Seward remarked, with a groan, that ef ever there wuz a party, since parties wuz invented, wich needed prayin for, ours wuz that party.	I didn't see the necessity u v hevin a chaplin at every little convenshun u v our party, and so stated; but Seward remarked, with a groan, that e f ever there w u z a party, since parties w u z invented, wich needed prayin for, ours w u z that party.	false	74.51	90.3	21.531658
5189_56574_000007_000004	"And, Parson," sed he, glancin' at a list uv delegates, "ef yoo hev any agonizin petitions, any prayers uv extra fervency, offer em up for these fellers.	"And, Parson," s e d he, glancin' at a list u v delegates, "e f yoo h e v any agonizin petitions, any prayers u v extra fervency, offer em up for these fellers.	false	90.3	104.05	20.29366
5189_56574_000007_000005	Ef there is any efficacy in prayer, it's my honest, unbiased opinion that there never wuz in the history uv the world, nor never will be agin, sich a magnificent chance to make it manifest.	e f there is any efficacy in prayer, it's my honest, unbiased opinion that there never w u z in the history u v the world, nor never will be agin, sich a magnificent chance to make it manifest.	false	104.78	116.86	20.840498
5189_56574_000007_000006	Try yoor-self particularly on Custer; tho', after all," continyood he, in a musin, abstracted sort uv a way, wich he's fallen into lately, "the fellow is sich a triflin bein, that he reely kin hardly be held 'sponsible for what he's doin; and the balance uv em, good Hevens! they'r mostly druv to it by hunger." And the Secretary maundered on suthin about "sixty days" and "ninety days," payin no more attention to the rest uv us than ez ef we wuzn't there at all.	Try yoor self particularly on Custer; tho', after all," continyood he, in a musin, abstracted sort u v a way, wich he's fallen into lately, "the fellow is sich a triflin bein, that he reely kin hardly be held 'sponsible for what he's doin; and the balance u v em, good Hevens! they'r mostly d r u v to it by hunger." And the Secretary maundered on suthin about "sixty days" and "ninety days," payin no more attention to the rest u v us than e z e f we wuzn't there at all.	false	117.23	147.01	21.092474
5189_56574_000008_000000	So, receevin transportashen and suffishent money from the secret service fund for expenses, I departed for Cleveland, and after a tejus trip thro' an Ablishn country, I arrived there.	So, receevin transportashen and suffishent money from the secret service fund for expenses, I departed for Cleveland, and after a tejus trip thro' an Ablishn country, I arrived there.	true	147.89	159.88	20.832727
5189_56574_000008_000001	My thots were gloomy beyond expression.	My thots were gloomy beyond expression.	true	160.25	162.6	21.831352
5189_56574_000008_000002	I hed recently gone through this same country ez chaplin to the Presidential tour, and every stashen hed its pecooliar onpleasant remembrances.	I hed recently gone through this same country e z chaplin to the Presidential tour, and every stashen hed its pecooliar onpleasant remembrances.	false	162.6	170.35	21
5189_56574_000008_000003	Here wuz where the cheers for Grant were vociferous, with nary a snort for His Eggslency; there wuz where the peasantry laft in his face when he went thro' with the regler ritooal uv presentin the constitooshn and the flag with 36 stars onto it to a deestrick assessor; there wuz--but why recount my sufferins?	Here w u z where the cheers for Grant were vociferous, with nary a snort for His Eggslency; there w u z where the peasantry laft in his face when he went thro' with the regler ritooal u v presentin the constitooshn and the flag with thirty six stars onto it to a deestrick assessor; there w u z-but why recount my sufferins?	false	171.29	191.41	22.074179
5189_56574_000008_000004	Why harrow up the public bosom, or lasserate the public mind?	Why harrow up the public bosom, or lasserate the public mind?	true	191.9	196.03	26.19986
5189_56574_000008_000005	Suffice to say, I endoored it; suffice to say that I hed strength left to ride up Bank street, in Cleveland, the seen uv the most awful insult the Eggsecutive ever receeved.	Suffice to say, I endoored it; suffice to say that I hed strength left to ride up Bank street, in Cleveland, the seen u v the most awful insult the Eggsecutive ever receeved.	false	196.85	208.3	21.612143
