5239_31629_000002_000001	His escape from death had in it something of the marvellous.	His escape from death had in it something of the marvellous.
5239_31629_000002_000002	He says:	He says:
5239_31629_000003_000001	It was a little before eight o'clock on the morning of May 8 that the end came.	It was a little before eight o'clock on the morning of may eighth that the end came.
5239_31629_000003_000003	A terror came upon me, but I could not explain my fear.	A terror came upon me, but I could not explain my fear.
5239_31629_000004_000001	It was quite dark, the sun being obscured by ashes and fine volcanic dust.	It was quite dark, the sun being obscured by ashes and fine volcanic dust.
5239_31629_000004_000002	The air was dead about me, so dead that the floating dust seemingly was not disturbed.	The air was dead about me, so dead that the floating dust seemingly was not disturbed.
5239_31629_000005_000000	"It was like a terrible hurricane, and where a fraction of a second before there had been a perfect calm, I felt myself drawn into a vortex and I had to brace myself firmly.	"It was like a terrible hurricane, and where a fraction of a second before there had been a perfect calm, I felt myself drawn into a vortex and I had to brace myself firmly.
5239_31629_000005_000002	The mysterious force levelled a row of strong trees, tearing them up by the roots and leaving bare a space of ground fifteen yards wide and more than one hundred yards long. Transfixed I stood, not knowing in what direction to flee.	The mysterious force levelled a row of strong trees, tearing them up by the roots and leaving bare a space of ground fifteen yards wide and more than one hundred yards long. Transfixed I stood, not knowing in what direction to flee.
5239_31629_000005_000005	It moved with a rapidity that made it impossible for anything to escape it.	It moved with a rapidity that made it impossible for anything to escape it.
5239_31629_000006_000001	It is impossible for me to tell how long I stood there inert.	It is impossible for me to tell how long I stood there inert.
5239_31629_000006_000002	Probably it was only a few seconds, but so vivid were my impressions that it now seems as though I stood as a spectator for many minutes.	Probably it was only a few seconds, but so vivid were my impressions that it now seems as though I stood as a spectator for many minutes.
5239_31629_000006_000003	When I recovered possession of my senses I ran to my house and collected the members of the family, all of whom were panic stricken.	When I recovered possession of my senses I ran to my house and collected the members of the family, all of whom were panic stricken.
5239_31629_000006_000004	I hurried them to the seashore, where we boarded a small steamship, in which we made the trip in safety to Fort de France.	I hurried them to the seashore, where we boarded a small steamship, in which we made the trip in safety to Fort de France.
5239_31629_000008_000000	WHAT HAPPENED ON THE "HORACE"	WHAT HAPPENED ON THE "HORACE"
5239_31629_000009_000000	The British steamer Horace experienced the effect of the explosion when farther from land.	The British steamer Horace experienced the effect of the explosion when farther from land.
5239_31629_000009_000002	We quote engineer Anderson's story:	We quote engineer Anderson's story:
5239_31629_000010_000001	The air seemed heavy and oppressive.	The air seemed heavy and oppressive.
5239_31629_000010_000002	The weather conditions were not at all unlike those which precede the great West Indian hurricanes, but, knowing it was not the season of the year for them, we all remarked in the engine room that there must be a heavy storm approaching.	The weather conditions were not at all unlike those which precede the great West Indian hurricanes, but, knowing it was not the season of the year for them, we all remarked in the engine room that there must be a heavy storm approaching.
5239_31629_000013_000000	GREAT FLASHES OF LIGHT	GREAT FLASHES OF LIGHT
5239_31629_000016_000000	"There would suddenly come great flashes of light from the dark bank toward Martinique.	"There would suddenly come great flashes of light from the dark bank toward Martinique.
5239_31629_000016_000002	All night this continued, and it was not until day came that the flashes disappeared. The dark bank that covered the horizon toward Martinique, however, did not fade away with the breaking of day, and at eight in the morning of the 9th (Friday) the whole section of the sky in that direction seemed dark and troubled.	All night this continued, and it was not until day came that the flashes disappeared. The dark bank that covered the horizon toward Martinique, however, did not fade away with the breaking of day, and at eight in the morning of the ninth (Friday) the whole section of the sky in that direction seemed dark and troubled.
5239_31629_000017_000001	I noticed a sort of grit that got into my mouth from the end of the cigar I was smoking.	I noticed a sort of grit that got into my mouth from the end of the cigar I was smoking.
