5246_30101_000004_000000	PEGGY PRESENTS HIS BILL.	PEGGY PRESENTS HIS BILL.
5246_30101_000005_000000	Millville waited in agonized suspense for three days for tangible evidence that "the nabob was in their midst," as Nib Corkins poetically expressed it; but the city folks seemed glued to the farm and no one of them had yet appeared in the village.	Millville waited in agonized suspense for three days for tangible evidence that "the nabob was in their midst," as Nib Corkins poetically expressed it; but the city folks seemed glued to the farm and no one of them had yet appeared in the village.
5246_30101_000005_000001	As a matter of fact, Patsy and Uncle John were enthusiastically fishing in the Little Bill, far up in the pine woods, and having "the time of their lives" in spite of their scant success in capturing trout.	As a matter of fact, Patsy and Uncle john were enthusiastically fishing in the Little Bill, far up in the pine woods, and having "the time of their lives" in spite of their scant success in capturing trout.
5246_30101_000005_000002	Old Hucks could go out before breakfast and bring in an ample supply of speckled beauties for Mary to fry; but Uncle John's splendid outfit seemed scorned by the finny folk, and after getting her dress torn in sundry places and a hook in the fleshy part of her arm Patsy learned to seek shelter behind a tree whenever her uncle cast his fly.	Old Hucks could go out before breakfast and bring in an ample supply of speckled beauties for Mary to fry; but Uncle John's splendid outfit seemed scorned by the finny folk, and after getting her dress torn in sundry places and a hook in the fleshy part of her arm Patsy learned to seek shelter behind a tree whenever her uncle cast his fly.
5246_30101_000006_000002	Here she practiced persistently, shooting at sixty yards with much skill.	Here she practiced persistently, shooting at sixty yards with much skill.
5246_30101_000006_000003	But occasionally, when Louise tired of her novel and her cushions in the hammock, the two girls would play tennis or croquet together--Beth invariably winning.	But occasionally, when Louise tired of her novel and her cushions in the hammock, the two girls would play tennis or croquet together-Beth invariably winning.
5246_30101_000007_000000	Such delightful laziness could brook no interference for the first days of their arrival, and it was not until Peggy McNutt ventured over on Monday morning for a settlement with Mr. Merrick that any from the little world around them dared intrude upon the dwellers at the Wegg farm.	Such delightful laziness could brook no interference for the first days of their arrival, and it was not until Peggy McNutt ventured over on Monday morning for a settlement with mr Merrick that any from the little world around them dared intrude upon the dwellers at the Wegg farm.
5246_30101_000008_000000	Although the agent had been late in starting from Millville and Nick Thorne's sorrel mare had walked every step of the way, Peggy was obliged to wait in the yard a good half hour for the "nabob" to finish his breakfast.	Although the agent had been late in starting from Millville and Nick Thorne's sorrel mare had walked every step of the way, Peggy was obliged to wait in the yard a good half hour for the "nabob" to finish his breakfast.
5246_30101_000008_000001	During that time he tried to decide which of the two statements of accounts that he had prepared he was most justified in presenting.	During that time he tried to decide which of the two statements of accounts that he had prepared he was most justified in presenting.
5246_30101_000008_000002	He had learned from the liveryman at the Junction that Mr. Merrick had paid five dollars for a trip that was usually made for two, and also that the extravagant man had paid seventy-five cents more to Lucky Todd, the hotel keeper, than his bill came to.	He had learned from the liveryman at the Junction that mr Merrick had paid five dollars for a trip that was usually made for two, and also that the extravagant man had paid seventy five cents more to Lucky Todd, the hotel keeper, than his bill came to.
5246_30101_000008_000004	Also he charged a round commission on the wages of Lon Taft and Ned Long, and doubled the liveryman's bill for hauling the goods over from the Junction.	Also he charged a round commission on the wages of Lon Taft and Ned Long, and doubled the liveryman's bill for hauling the goods over from the Junction.
