5261_19371_000001_000000	NOTES TO LECTURE XIII	NOTES TO LECTURE thirteen
5261_19371_000004_000000	numbers which very fairly represent the distances of the then known planets from the sun in the order specified.	numbers which very fairly represent the distances of the then known planets from the sun in the order specified.
5261_19371_000005_000000	Ceres was discovered on the 1st of January, 1801, by Piazzi; Pallas in March, 1802, by Olbers; Juno in 1804, by Harding; and Vesta in 1807, by Olbers.	Ceres was discovered on the first of January, eighteen o one, by Piazzi; Pallas in March, eighteen o two, by Olbers; Juno in eighteen o four, by Harding; and Vesta in eighteen o seven, by Olbers.
5261_19371_000005_000001	No more asteroids were discovered till 1845, but there are now several hundreds known.	No more asteroids were discovered till eighteen forty five, but there are now several hundreds known.
5261_19371_000005_000002	Their diameters range from 500 to 20 miles.	Their diameters range from five hundred to twenty miles.
5261_19371_000006_000001	It was first knowingly seen by Galle, of Berlin, on the 23rd of September, 1846.	It was first knowingly seen by Galle, of Berlin, on the twenty third of September, eighteen forty six.
5261_19371_000007_000000	LECTURE XIII	LECTURE thirteen
5261_19371_000008_000000	THE DISCOVERY OF THE ASTEROIDS	THE DISCOVERY OF THE ASTEROIDS
5261_19371_000009_000000	Up to the time of Herschel, astronomical interest centred on the solar system.	Up to the time of Herschel, astronomical interest centred on the solar system.
5261_19371_000009_000001	Since that time it has been divided, and a great part of our attention has been given to the more distant celestial bodies.	Since that time it has been divided, and a great part of our attention has been given to the more distant celestial bodies.
5261_19371_000010_000000	Those who have read the third lecture in Part I. will remember the speculation in which Kepler indulged respecting the arrangements of the planets, the order in which they succeeded one another in space, and the law of their respective distances from the sun; and his fanciful guess about the five regular solids inscribed and circumscribed about their orbits.	Those who have read the third lecture in Part one will remember the speculation in which Kepler indulged respecting the arrangements of the planets, the order in which they succeeded one another in space, and the law of their respective distances from the sun; and his fanciful guess about the five regular solids inscribed and circumscribed about their orbits.
5261_19371_000011_000000	The rude coincidences were, however, accidental, and he failed to discover any true law.	The rude coincidences were, however, accidental, and he failed to discover any true law.
5261_19371_000011_000001	No thoroughly satisfactory law is known at the present day.	No thoroughly satisfactory law is known at the present day.
5261_19371_000011_000002	And yet, if the nebular hypothesis or anything like it be true, there must be some law to be discovered hereafter, though it may be a very complicated one.	And yet, if the nebular hypothesis or anything like it be true, there must be some law to be discovered hereafter, though it may be a very complicated one.
5261_19371_000012_000000	An empirical relation is, however, known: it was suggested by Tatius, and published by Bode, of Berlin, in 1772.	An empirical relation is, however, known: it was suggested by Tatius, and published by Bode, of Berlin, in seventeen seventy two.
5261_19371_000014_000001	Neptune's distance, however, turns out to be more nearly 30 times the earth's distance than 38.8.	Neptune's distance, however, turns out to be more nearly thirty times the earth's distance than thirty eight point eight.
5261_19371_000016_000000	The gap between Mars and Jupiter, which had often been noticed, and which Kepler filled with a hypothetical planet too small to see, comes into great prominence by this law of Bode.	The gap between Mars and Jupiter, which had often been noticed, and which Kepler filled with a hypothetical planet too small to see, comes into great prominence by this law of Bode.
5261_19371_000016_000001	So much so, that towards the end of last century an enthusiastic German, von Zach, after some search himself for the expected planet, arranged a committee of observing astronomers, or, as he termed it, a body of astronomical detective police, to begin a systematic search for this missing subject of the sun.	So much so, that towards the end of last century an enthusiastic German, von Zach, after some search himself for the expected planet, arranged a committee of observing astronomers, or, as he termed it, a body of astronomical detective police, to begin a systematic search for this missing subject of the sun
5261_19371_000018_000000	In 1800 the preliminaries were settled: the heavens near the zodiac were divided into twenty-four regions, each of which was intrusted to one observer to be swept.	In eighteen hundred the preliminaries were settled: the heavens near the zodiac were divided into twenty four regions, each of which was intrusted to one observer to be swept.
5261_19371_000018_000001	Meanwhile, however, quite independently of these arrangements in Germany, and entirely unknown to this committee, a quiet astronomer in Sicily, Piazzi, was engaged in making a catalogue of the stars.	Meanwhile, however, quite independently of these arrangements in Germany, and entirely unknown to this committee, a quiet astronomer in Sicily, Piazzi, was engaged in making a catalogue of the stars.
5261_19371_000018_000002	His attention was directed to a certain region in Taurus by an error in a previous catalogue, which contained a star really non-existent.	His attention was directed to a certain region in Taurus by an error in a previous catalogue, which contained a star really non-existent.
5261_19371_000019_000000	In the course of his scrutiny, on the 1st of January, 1801, he noticed a small star which next evening appeared to have shifted.	In the course of his scrutiny, on the first of January, eighteen o one, he noticed a small star which next evening appeared to have shifted.
5261_19371_000019_000001	He watched it anxiously for successive evenings, and by the 24th of January he was quite sure he had got hold of some moving body, not a star: probably, he thought, a comet.	He watched it anxiously for successive evenings, and by the twenty fourth of January he was quite sure he had got hold of some moving body, not a star: probably, he thought, a comet.
