5261_19373_000000_000000	LECTURE XV	LECTURE fifteen	true	19.53	20.8	25.50369
5261_19373_000001_000000	THE DISCOVERY OF NEPTUNE	THE DISCOVERY OF NEPTUNE	true	21.02	23.05	23.953781
5261_19373_000002_000000	We approach to-night perhaps the greatest, certainly the most conspicuous, triumphs of the theory of gravitation.	We approach to night perhaps the greatest, certainly the most conspicuous, triumphs of the theory of gravitation.	true	23.57	30.28	26.503752
5261_19373_000002_000001	The explanation by Newton of the observed facts of the motion of the moon, the way he accounted for precession and nutation and for the tides, the way in which Laplace explained every detail of the planetary motions--these achievements may seem to the professional astronomer equally, if not more, striking and wonderful; but of the facts to be explained in these cases the general public are necessarily more or less ignorant, and so no beauty or thoroughness of treatment appeals to them, nor can excite their imaginations.	The explanation by Newton of the observed facts of the motion of the moon, the way he accounted for precession and nutation and for the tides, the way in which Laplace explained every detail of the planetary motions-these achievements may seem to the professional astronomer equally, if not more, striking and wonderful; but of the facts to be explained in these cases the general public are necessarily more or less ignorant, and so no beauty or thoroughness of treatment appeals to them, nor can excite their imaginations.	true	30.53	60.07	22.570402
5261_19373_000002_000002	But to predict in the solitude of the study, with no weapons other than pen, ink, and paper, an unknown and enormously distant world, to calculate its orbit when as yet it had never been seen, and to be able to say to a practical astronomer, "Point your telescope in such a direction at such a time, and you will see a new planet hitherto unknown to man"--this must always appeal to the imagination with dramatic intensity, and must awaken some interest in almost the dullest.	But to predict in the solitude of the study, with no weapons other than pen, ink, and paper, an unknown and enormously distant world, to calculate its orbit when as yet it had never been seen, and to be able to say to a practical astronomer, "Point your telescope in such a direction at such a time, and you will see a new planet hitherto unknown to man"--this must always appeal to the imagination with dramatic intensity, and must awaken some interest in almost the dullest.	false	60.41	90.4	24.250092
5261_19373_000003_000000	Prediction is no novelty in science; and in astronomy least of all is it a novelty.	Prediction is no novelty in science; and in astronomy least of all is it a novelty.	true	91.1	96.1	21.40915
5261_19373_000003_000001	Thousands of years ago, Thales, and others whose very names we have forgotten, could predict eclipses with some certainty, though with only rough accuracy.	Thousands of years ago, Thales, and others whose very names we have forgotten, could predict eclipses with some certainty, though with only rough accuracy.	true	96.35	105.67	21.475712
5261_19373_000003_000002	And many other phenomena were capable of prediction by accumulated experience.	And many other phenomena were capable of prediction by accumulated experience.	true	105.98	110.53	22.30631
5261_19373_000003_000003	We have seen, for instance (coming to later times), how a gap between Mars and Jupiter caused a missing planet to be suspected and looked for, and to be found in a hundred pieces.	We have seen, for instance (coming to later times), how a gap between Mars and Jupiter caused a missing planet to be suspected and looked for, and to be found in a hundred pieces.	true	110.87	121	25.048214
5261_19373_000003_000004	We have seen, also, how the abnormal proper-motion of Sirius suggested to Bessel the existence of an unseen companion.	We have seen, also, how the abnormal proper motion of Sirius suggested to Bessel the existence of an unseen companion.	true	121.34	128.89	23.973396
5261_19373_000003_000005	And these last instances seem to approach very near the same class of prediction as that of the discovery of Neptune.	And these last instances seem to approach very near the same class of prediction as that of the discovery of Neptune.	false	129.2	135.94	25.845207
