5261_19373_000000_000000	LECTURE XV	LECTURE fifteen
5261_19373_000001_000000	THE DISCOVERY OF NEPTUNE	THE DISCOVERY OF NEPTUNE
5261_19373_000002_000000	We approach to-night perhaps the greatest, certainly the most conspicuous, triumphs of the theory of gravitation.	We approach to night perhaps the greatest, certainly the most conspicuous, triumphs of the theory of gravitation.
5261_19373_000003_000000	Prediction is no novelty in science; and in astronomy least of all is it a novelty.	Prediction is no novelty in science; and in astronomy least of all is it a novelty.
5261_19373_000003_000001	Thousands of years ago, Thales, and others whose very names we have forgotten, could predict eclipses with some certainty, though with only rough accuracy.	Thousands of years ago, Thales, and others whose very names we have forgotten, could predict eclipses with some certainty, though with only rough accuracy.
5261_19373_000003_000002	And many other phenomena were capable of prediction by accumulated experience.	And many other phenomena were capable of prediction by accumulated experience.
5261_19373_000003_000003	We have seen, for instance (coming to later times), how a gap between Mars and Jupiter caused a missing planet to be suspected and looked for, and to be found in a hundred pieces.	We have seen, for instance (coming to later times), how a gap between Mars and Jupiter caused a missing planet to be suspected and looked for, and to be found in a hundred pieces.
5261_19373_000003_000004	We have seen, also, how the abnormal proper-motion of Sirius suggested to Bessel the existence of an unseen companion.	We have seen, also, how the abnormal proper motion of Sirius suggested to Bessel the existence of an unseen companion.
5261_19373_000003_000007	Mainly, the difference lies, first, in the grounds on which the prediction is based; second, on the difficulty of the investigation whereby it is accomplished; third, in the completeness and the accuracy with which it can be verified.	Mainly, the difference lies, first, in the grounds on which the prediction is based; second, on the difficulty of the investigation whereby it is accomplished; third, in the completeness and the accuracy with which it can be verified.
5261_19373_000004_000000	In 1781, Sir William Herschel discovered the planet Uranus.	In seventeen eighty one, Sir William Herschel discovered the planet Uranus.
5261_19373_000004_000004	If a wrong entry were discovered, it might of course have been due to some clerical error, though that is hardly probable considering the care taken over these things, or it might have been some tailless comet or other, or it might have been the newly found planet.	If a wrong entry were discovered, it might of course have been due to some clerical error, though that is hardly probable considering the care taken over these things, or it might have been some tailless comet or other, or it might have been the newly found planet.
5261_19373_000005_000001	If only he had reduced and compared his observations, he would have anticipated Herschel by twelve years.	If only he had reduced and compared his observations, he would have anticipated Herschel by twelve years.
5261_19373_000005_000002	As it was, he missed it altogether.	As it was, he missed it altogether.
5261_19373_000005_000003	It was seen once by Bradley also.	It was seen once by Bradley also.
5261_19373_000005_000004	Altogether it had been seen twenty times.	Altogether it had been seen twenty times.
5261_19373_000006_000000	These old observations of Flamsteed and those of Le Monnier, combined with those made after Herschel's discovery, were very useful in determining an exact orbit for the new planet, and its motion was considered thoroughly known.	These old observations of Flamsteed and those of Le Monnier, combined with those made after Herschel's discovery, were very useful in determining an exact orbit for the new planet, and its motion was considered thoroughly known.
5261_19373_000007_000000	For a time Uranus seemed to travel regularly and as expected, in the orbit which had been calculated for it; but early in the present century it began to be slightly refractory, and by 1820 its actual place showed quite a distinct discrepancy from its position as calculated with the aid of the old observations.	For a time Uranus seemed to travel regularly and as expected, in the orbit which had been calculated for it; but early in the present century it began to be slightly refractory, and by eighteen twenty its actual place showed quite a distinct discrepancy from its position as calculated with the aid of the old observations.
5261_19373_000007_000001	It was at first thought that this discrepancy must be due to inaccuracies in the older observations, and they were accordingly rejected, and tables prepared for the planet based on the newer and more accurate observations only.	It was at first thought that this discrepancy must be due to inaccuracies in the older observations, and they were accordingly rejected, and tables prepared for the planet based on the newer and more accurate observations only.
5261_19373_000007_000002	But by 1830 it became apparent that it would not accurately obey even these.	But by eighteen thirty it became apparent that it would not accurately obey even these.
5261_19373_000007_000005	This discrepancy is quite distinct, but still it is very small, and had two objects been in the heavens at once, the actual Uranus and the theoretical Uranus, no unaided eye could possibly have distinguished them or detected that they were other than a single star.	This discrepancy is quite distinct, but still it is very small, and had two objects been in the heavens at once, the actual Uranus and the theoretical Uranus, no unaided eye could possibly have distinguished them or detected that they were other than a single star.
5261_19373_000011_000001	Some cause was evidently at work on this distant planet, causing it to disagree with its motion as calculated according to the law of gravitation.	Some cause was evidently at work on this distant planet, causing it to disagree with its motion as calculated according to the law of gravitation.
5261_19373_000011_000002	Some thought that the exact law of gravitation did not apply to so distant a body.	Some thought that the exact law of gravitation did not apply to so distant a body.
5261_19373_000011_000003	Others surmised the presence of some foreign and unknown body, some comet, or some still more distant planet perhaps, whose gravitative attraction for Uranus was the cause of the whole difficulty--some perturbations, in fact, which had not been taken into account because of our ignorance of the existence of the body which caused them.	Others surmised the presence of some foreign and unknown body, some comet, or some still more distant planet perhaps, whose gravitative attraction for Uranus was the cause of the whole difficulty-some perturbations, in fact, which had not been taken into account because of our ignorance of the existence of the body which caused them.
5261_19373_000012_000000	But though such an idea was mentioned among astronomers, it was not regarded with any special favour, and was considered merely as one among a number of hypotheses which could be suggested as fairly probable.	But though such an idea was mentioned among astronomers, it was not regarded with any special favour, and was considered merely as one among a number of hypotheses which could be suggested as fairly probable.
5261_19373_000013_000000	It is perfectly right not to attach much importance to unelaborated guesses.	It is perfectly right not to attach much importance to unelaborated guesses.
5261_19373_000013_000002	A later stage still occurs when the theory has been actually and completely verified by agreement with observation.	A later stage still occurs when the theory has been actually and completely verified by agreement with observation.
5261_19373_000015_000000	ANCIENT OBSERVATIONS (casually made, as of a star).	ANCIENT OBSERVATIONS (casually made, as of a star).
5261_19373_000017_000000	MODERN OBSERVATIONS.	MODERN OBSERVATIONS.
5261_19373_000020_000000	Something was evidently the matter with the planet.	Something was evidently the matter with the planet.
5261_19373_000020_000002	Could it be an outer planet?	Could it be an outer planet?
5261_19373_000021_000000	The ordinary problem of perturbation is difficult enough: Given a disturbing planet in such and such a position, to find the perturbations it produces.	The ordinary problem of perturbation is difficult enough: Given a disturbing planet in such and such a position, to find the perturbations it produces.
5261_19373_000022_000000	But the inverse problem: Given the perturbations, to find the planet which causes them--such a problem had never yet been attacked, and by only a few had its possibility been conceived.	But the inverse problem: Given the perturbations, to find the planet which causes them-such a problem had never yet been attacked, and by only a few had its possibility been conceived.
5261_19373_000022_000001	Bessel made preparations for trying what he could do at it in 1840, but he was prevented by fatal illness.	Bessel made preparations for trying what he could do at it in eighteen forty, but he was prevented by fatal illness.
5261_19373_000023_000001	In January, 1843, he graduated as Senior Wrangler, and shortly afterwards he set to work.	In January, eighteen forty three, he graduated as Senior Wrangler, and shortly afterwards he set to work.
5261_19373_000026_000000	Was it likely that a young and unknown man should have successfully solved so extremely difficult a problem?	Was it likely that a young and unknown man should have successfully solved so extremely difficult a problem?
5261_19373_000026_000001	It was altogether unlikely. Still, he would test him: he would ask for further explanations concerning some of the perturbations which he himself had specially noticed, and see if Mr. Adams could explain these also by his hypothesis.	It was altogether unlikely. Still, he would test him: he would ask for further explanations concerning some of the perturbations which he himself had specially noticed, and see if mr Adams could explain these also by his hypothesis.
5261_19373_000026_000002	If he could, there might be something in his theory.	If he could, there might be something in his theory.
5261_19373_000026_000003	If he failed--well, there was an end of it.	If he failed-well, there was an end of it.
5261_19373_000026_000004	The questions were not difficult. They concerned the error of the radius vector.	The questions were not difficult. They concerned the error of the radius vector.
5261_19373_000026_000006	He did not answer Professor Airy's letter.	He did not answer Professor Airy's letter.
5261_19373_000027_000001	If observatories were conducted on these unsystematic and spasmodic principles, they would not be the calm, accurate, satisfactory places they are.	If observatories were conducted on these unsystematic and spasmodic principles, they would not be the calm, accurate, satisfactory places they are.
5261_19373_000028_000001	I do not suppose that Mr. Adams himself could feel all that confidence in his attempted prediction.	I do not suppose that mr Adams himself could feel all that confidence in his attempted prediction.
5261_19373_000028_000002	So there the matter dropped.	So there the matter dropped.
5261_19373_000028_000003	Mr. Adams's communication was pigeon-holed, and remained in seclusion for eight or nine months.	mr Adams's communication was pigeon holed, and remained in seclusion for eight or nine months.
5261_19373_000029_000000	Meanwhile, and quite independently, something of the same sort was going on in France.	Meanwhile, and quite independently, something of the same sort was going on in France.
5261_19373_000029_000001	A brilliant young mathematician, born in Normandy in 1811, had accepted the post of Astronomical Professor at the Ecole Polytechnique, then recently founded by Napoleon.	A brilliant young mathematician, born in Normandy in eighteen eleven, had accepted the post of Astronomical Professor at the Ecole Polytechnique, then recently founded by Napoleon.
5261_19373_000029_000002	His first published papers directed attention to his wonderful powers; and the official head of astronomy in France, the famous Arago, suggested to him the unexplained perturbations of Uranus as a worthy object for his fresh and well-armed vigour.	His first published papers directed attention to his wonderful powers; and the official head of astronomy in France, the famous Arago, suggested to him the unexplained perturbations of Uranus as a worthy object for his fresh and well armed vigour.
5261_19373_000030_000000	At once he set to work in a thorough and systematic way.	At once he set to work in a thorough and systematic way.
5261_19373_000030_000001	He first considered whether the discrepancies could be due to errors in the tables or errors in the old observations.	He first considered whether the discrepancies could be due to errors in the tables or errors in the old observations.
5261_19373_000030_000003	This part of the work he published in November, 1845.	This part of the work he published in November, eighteen forty five.
5261_19373_000031_000001	He introduced several fresh terms into these perturbations, but none of them of sufficient magnitude to do more than slightly lessen the unexplained perturbations.	He introduced several fresh terms into these perturbations, but none of them of sufficient magnitude to do more than slightly lessen the unexplained perturbations.
5261_19373_000032_000000	He next examined the various hypotheses that had been suggested to account for them:--Was it a failure in the law of gravitation?	He next examined the various hypotheses that had been suggested to account for them:--Was it a failure in the law of gravitation?
5261_19373_000032_000001	Was it due to the presence of a resisting medium?	Was it due to the presence of a resisting medium?
5261_19373_000032_000003	Or was it due to a collision with some comet?	Or was it due to a collision with some comet?
5261_19373_000033_000000	All these he examined and dismissed for various reasons one after the other.	All these he examined and dismissed for various reasons one after the other.
5261_19373_000033_000001	It was due to some steady continuous cause--for instance, some unknown planet.	It was due to some steady continuous cause-for instance, some unknown planet.
5261_19373_000033_000002	Could this planet be inside the orbit of Uranus?	Could this planet be inside the orbit of Uranus?
5261_19373_000033_000003	No, for then it would perturb Saturn and Jupiter also, and they were not perturbed by it.	No, for then it would perturb Saturn and Jupiter also, and they were not perturbed by it.
5261_19373_000033_000004	It must, therefore, be some planet outside the orbit of Uranus, and in all probability, according to Bode's empirical law, at nearly double the distance from the sun that Uranus is.	It must, therefore, be some planet outside the orbit of Uranus, and in all probability, according to Bode's empirical law, at nearly double the distance from the sun that Uranus is.
5261_19373_000033_000005	Lastly he proceeded to examine where this planet was, and what its orbit must be to produce the observed disturbances.	Lastly he proceeded to examine where this planet was, and what its orbit must be to produce the observed disturbances.
5261_19373_000036_000001	This was, after all, the real tug of war.	This was, after all, the real tug of war.
5261_19373_000036_000002	So many unknown quantities: its mass, its distance, its excentricity, the obliquity of its orbit, its position at any time--nothing known, in fact, about the planet except the microscopic disturbance it caused in Uranus, some thousand million miles away from it.	So many unknown quantities: its mass, its distance, its excentricity, the obliquity of its orbit, its position at any time-nothing known, in fact, about the planet except the microscopic disturbance it caused in Uranus, some thousand million miles away from it.
5261_19373_000037_000000	Without going into further detail, suffice it to say that in June, 1846, he published his last paper, and in it announced to the world his theoretical position for the planet.	Without going into further detail, suffice it to say that in June, eighteen forty six, he published his last paper, and in it announced to the world his theoretical position for the planet.
5261_19373_000038_000001	So striking a coincidence seemed sufficient to justify a Herschelian "sweep" for a week or two.	So striking a coincidence seemed sufficient to justify a Herschelian "sweep" for a week or two.
5261_19373_000039_000000	But a sweep for so distant a planet would be no easy matter.	But a sweep for so distant a planet would be no easy matter.
5261_19373_000039_000001	When seen in a large telescope it would still only look like a star, and it would require considerable labour and watching to sift it out from the other stars surrounding it.	When seen in a large telescope it would still only look like a star, and it would require considerable labour and watching to sift it out from the other stars surrounding it.
5261_19373_000039_000002	We know that Uranus had been seen twenty times, and thought to be a star, before its true nature was by Herschel discovered; and Uranus is only about half as far away as Neptune is.	We know that Uranus had been seen twenty times, and thought to be a star, before its true nature was by Herschel discovered; and Uranus is only about half as far away as Neptune is.
5261_19373_000042_000000	"The past year has given to us the new [minor] planet Astraea; it has done more--it has given us the probable prospect of another. We see it as Columbus saw America from the shores of Spain.	"The past year has given to us the new [minor] planet Astraea; it has done more-it has given us the probable prospect of another. We see it as Columbus saw America from the shores of Spain.
5261_19373_000042_000001	Its movements have been felt trembling along the far-reaching line of our analysis with a certainty hardly inferior to ocular demonstration."	Its movements have been felt trembling along the far reaching line of our analysis with a certainty hardly inferior to ocular demonstration."
5261_19373_000043_000000	It was about time to begin to look for it.	It was about time to begin to look for it.
5261_19373_000043_000001	So the Astronomer-Royal thought on reading Leverrier's paper.	So the Astronomer Royal thought on reading Leverrier's paper.
5261_19373_000044_000001	He thus, without giving an excessive time to the business, accumulated a host of observations, which he intended afterwards to reduce and sift at his leisure.	He thus, without giving an excessive time to the business, accumulated a host of observations, which he intended afterwards to reduce and sift at his leisure.
5261_19373_000045_000000	The wretched man thus actually saw the planet twice--on August 4th and August 12th, 1846--without knowing it.	The wretched man thus actually saw the planet twice-on august fourth and august twelfth eighteen forty six--without knowing it.
5261_19373_000045_000001	If only he had had a map of the heavens containing telescopic stars down to the tenth magnitude, and if he had compared his observations with this map as they were made, the process would have been easy, and the discovery quick.	If only he had had a map of the heavens containing telescopic stars down to the tenth magnitude, and if he had compared his observations with this map as they were made, the process would have been easy, and the discovery quick.
5261_19373_000045_000002	But he had no such map.	But he had no such map.
5261_19373_000045_000003	Nevertheless one was in existence: it had just been completed in that country of enlightened method and industry--Germany.	Nevertheless one was in existence: it had just been completed in that country of enlightened method and industry-Germany.
5261_19373_000045_000004	Dr. Bremiker had not, indeed, completed his great work--a chart of the whole zodiac down to stars of the tenth magnitude--but portions of it were completed, and the special region where the new planet was expected happened to be among the portions already just done.	dr Bremiker had not, indeed, completed his great work-a chart of the whole zodiac down to stars of the tenth magnitude-but portions of it were completed, and the special region where the new planet was expected happened to be among the portions already just done.
