54_121080_000000_000000	"What have you discovered?" asked Morrel.	"What have you discovered?" asked Morrel.	false	0	3.24	18.919874
54_121080_000001_000000	"I have just discovered how a gardener may get rid of the dormice that eat his peaches."	"I have just discovered how a gardener may get rid of the dormice that eat his peaches."	false	3.24	21.585	20.638292
54_121080_000002_000000	Chapter 62.	Chapter sixty two.	true	21.585	23.11	21.456905
54_121080_000002_000001	Ghosts.	Ghosts.	true	23.45	24.46	20.699646
54_121080_000003_000000	At first sight, the exterior of the house at Auteuil gave no indications of splendor, nothing one would expect from the destined residence of the magnificent Count of Monte Cristo; but this simplicity was according to the will of its master, who positively ordered nothing to be altered outside.	At first sight, the exterior of the house at Auteuil gave no indications of splendor, nothing one would expect from the destined residence of the magnificent Count of Monte Cristo; but this simplicity was according to the will of its master, who positively ordered nothing to be altered outside.	false	26.39	47.2	18
54_121080_000003_000001	The splendor was within.	The splendor was within.	true	47.42	49.15	21
54_121080_000003_000002	Indeed, almost before the door opened, the scene changed.	Indeed, almost before the door opened, the scene changed.	true	49.46	53.82	20.728056
54_121080_000003_000003	M. Bertuccio had outdone himself in the taste displayed in furnishing, and in the rapidity with which it was executed. It is told that the Duc d'Antin removed in a single night a whole avenue of trees that annoyed Louis XIV.; in three days M. Bertuccio planted an entirely bare court with poplars, large spreading sycamores to shade the different parts of the house, and in the foreground, instead of the usual paving-stones, half hidden by the grass, there extended a lawn but that morning laid down, and upon which the water was yet glistening.	M. Bertuccio had outdone himself in the taste displayed in furnishing, and in the rapidity with which it was executed. It is told that the Duc d'Antin removed in a single night a whole avenue of trees that annoyed Louis the fourteenth.; in three days m Bertuccio planted an entirely bare court with poplars, large spreading sycamores to shade the different parts of the house, and in the foreground, instead of the usual paving stones, half hidden by the grass, there extended a lawn but that morning laid down, and upon which the water was yet glistening.	false	53.82	94.48	18
54_121080_000003_000004	For the rest, the orders had been issued by the count; he himself had given a plan to Bertuccio, marking the spot where each tree was to be planted, and the shape and extent of the lawn which was to take the place of the paving-stones.	For the rest, the orders had been issued by the count; he himself had given a plan to Bertuccio, marking the spot where each tree was to be planted, and the shape and extent of the lawn which was to take the place of the paving stones.	true	95.03	110.5	19.826551
54_121080_000003_000005	Thus the house had become unrecognizable, and Bertuccio himself declared that he scarcely knew it, encircled as it was by a framework of trees.	Thus the house had become unrecognizable, and Bertuccio himself declared that he scarcely knew it, encircled as it was by a framework of trees.	true	110.9	120.85	17
54_121080_000003_000006	The overseer would not have objected, while he was about it, to have made some improvements in the garden, but the count had positively forbidden it to be touched.	The overseer would not have objected, while he was about it, to have made some improvements in the garden, but the count had positively forbidden it to be touched.	true	121.34	131.11	19
54_121080_000003_000007	Bertuccio made amends, however, by loading the ante-chambers, staircases, and mantle-pieces with flowers.	Bertuccio made amends, however, by loading the ante chambers, staircases, and mantle pieces with flowers.	true	132.17	139.36	17
54_121080_000004_000000	What, above all, manifested the shrewdness of the steward, and the profound science of the master, the one in carrying out the ideas of the other, was that this house which appeared only the night before so sad and gloomy, impregnated with that sickly smell one can almost fancy to be the smell of time, had in a single day acquired the aspect of life, was scented with its master's favorite perfumes, and had the very light regulated according to his wish.	What, above all, manifested the shrewdness of the steward, and the profound science of the master, the one in carrying out the ideas of the other, was that this house which appeared only the night before so sad and gloomy, impregnated with that sickly smell one can almost fancy to be the smell of time, had in a single day acquired the aspect of life, was scented with its master's favorite perfumes, and had the very light regulated according to his wish.	true	140.81	172.12	17
54_121080_000004_000001	When the count arrived, he had under his touch his books and arms, his eyes rested upon his favorite pictures; his dogs, whose caresses he loved, welcomed him in the ante-chamber; the birds, whose songs delighted him, cheered him with their music; and the house, awakened from its long sleep, like the sleeping beauty in the wood, lived, sang, and bloomed like the houses we have long cherished, and in which, when we are forced to leave them, we leave a part of our souls.	When the count arrived, he had under his touch his books and arms, his eyes rested upon his favorite pictures; his dogs, whose caresses he loved, welcomed him in the ante chamber; the birds, whose songs delighted him, cheered him with their music; and the house, awakened from its long sleep, like the sleeping beauty in the wood, lived, sang, and bloomed like the houses we have long cherished, and in which, when we are forced to leave them, we leave a part of our souls.	false	173.15	205.57	21.855227
54_121080_000004_000002	The servants passed gayly along the fine court-yard; some, belonging to the kitchens, gliding down the stairs, restored but the previous day, as if they had always inhabited the house; others filling the coach-houses, where the equipages, encased and numbered, appeared to have been installed for the last fifty years; and in the stables the horses replied with neighs to the grooms, who spoke to them with much more respect than many servants pay their masters.	The servants passed gayly along the fine court yard; some, belonging to the kitchens, gliding down the stairs, restored but the previous day, as if they had always inhabited the house; others filling the coach houses, where the equipages, encased and numbered, appeared to have been installed for the last fifty years; and in the stables the horses replied with neighs to the grooms, who spoke to them with much more respect than many servants pay their masters.	true	206.72	237.52	21
54_121080_000005_000000	The library was divided into two parts on either side of the wall, and contained upwards of two thousand volumes; one division was entirely devoted to novels, and even the volume which had been published but the day before was to be seen in its place in all the dignity of its red and gold binding.	The library was divided into two parts on either side of the wall, and contained upwards of two thousand volumes; one division was entirely devoted to novels, and even the volume which had been published but the day before was to be seen in its place in all the dignity of its red and gold binding.	true	238.64	259.03	20
54_121080_000005_000001	On the other side of the house, to match with the library, was the conservatory, ornamented with rare flowers, that bloomed in china jars; and in the midst of the greenhouse, marvellous alike to sight and smell, was a billiard-table which looked as if it had been abandoned during the past hour by players who had left the balls on the cloth.	On the other side of the house, to match with the library, was the conservatory, ornamented with rare flowers, that bloomed in china jars; and in the midst of the greenhouse, marvellous alike to sight and smell, was a billiard table which looked as if it had been abandoned during the past hour by players who had left the balls on the cloth.	true	259.97	283.12	20
54_121080_000005_000002	One chamber alone had been respected by the magnificent Bertuccio.	One chamber alone had been respected by the magnificent Bertuccio.	true	283.55	287.74	18
54_121080_000005_000003	Before this room, to which you could ascend by the grand, and go out by the back staircase, the servants passed with curiosity, and Bertuccio with terror.	Before this room, to which you could ascend by the grand, and go out by the back staircase, the servants passed with curiosity, and Bertuccio with terror.	true	288.23	299.16	20.954079
54_121080_000005_000004	At five o'clock precisely, the count arrived before the house at Auteuil, followed by Ali.	At five o'clock precisely, the count arrived before the house at Auteuil, followed by Ali.	false	299.16	306.7	21.695007
54_121080_000005_000005	Bertuccio was awaiting this arrival with impatience, mingled with uneasiness; he hoped for some compliments, while, at the same time, he feared to have frowns.	Bertuccio was awaiting this arrival with impatience, mingled with uneasiness; he hoped for some compliments, while, at the same time, he feared to have frowns.	true	307.28	317.65	19.864408
54_121080_000005_000006	Monte Cristo descended into the courtyard, walked all over the house, without giving any sign of approbation or pleasure, until he entered his bedroom, situated on the opposite side to the closed room; then he approached a little piece of furniture, made of rosewood, which he had noticed at a previous visit.	Monte Cristo descended into the courtyard, walked all over the house, without giving any sign of approbation or pleasure, until he entered his bedroom, situated on the opposite side to the closed room; then he approached a little piece of furniture, made of rosewood, which he had noticed at a previous visit.	true	318.23	338.56	21.381838
54_121080_000005_000007	"That can only be to hold gloves," he said.	"That can only be to hold gloves," he said.	true	338.9	342.85	22.513403
54_121080_000006_000000	"Will your excellency deign to open it?" said the delighted Bertuccio, "and you will find gloves in it." Elsewhere the count found everything he required--smelling-bottles, cigars, knick-knacks.	"Will your excellency deign to open it?" said the delighted Bertuccio, "and you will find gloves in it." Elsewhere the count found everything he required-smelling bottles, cigars, knick knacks.	true	343.49	355.42	19.496218
54_121080_000007_000000	"Good," he said; and M. Bertuccio left enraptured, so great, so powerful, and real was the influence exercised by this man over all who surrounded him.	"Good," he said; and m Bertuccio left enraptured, so great, so powerful, and real was the influence exercised by this man over all who surrounded him.	false	356.09	368.26	21.068048
54_121080_000007_000001	At precisely six o'clock the clatter of horses' hoofs was heard at the entrance door; it was our captain of Spahis, who had arrived on Medeah.	At precisely six o'clock the clatter of horses' hoofs was heard at the entrance door; it was our captain of Spahis, who had arrived on Medeah.	true	368.66	378.49	22.906263
54_121080_000007_000002	"I am sure I am the first," cried Morrel; "I did it on purpose to have you a minute to myself, before every one came.	"I am sure I am the first," cried Morrel; "I did it on purpose to have you a minute to myself, before every one came.	true	378.5	387.37	19.223352
54_121080_000007_000003	Julie and Emmanuel have a thousand things to tell you.	Julie and Emmanuel have a thousand things to tell you.	true	387.68	391.6	20.92171
54_121080_000007_000004	Ah, really this is magnificent!	Ah, really this is magnificent!	true	391.76	394.51	21.763748
54_121080_000007_000005	But tell me, count, will your people take care of my horse?"	But tell me, count, will your people take care of my horse?"	true	394.82	398.5	21.309235
54_121080_000008_000000	"Do not alarm yourself, my dear Maximilian--they understand."	"Do not alarm yourself, my dear Maximilian-they understand."	true	399.23	403	19.593513
54_121080_000009_000000	"I mean, because he wants petting.	"I mean, because he wants petting.	true	403.52	405.76	23.020523
54_121080_000009_000001	If you had seen at what a pace he came--like the wind!"	If you had seen at what a pace he came-like the wind!"	true	406.04	410.2	19.837046
54_121080_000010_000000	"I should think so,--a horse that cost 5,000 francs!" said Monte Cristo, in the tone which a father would use towards a son.	"I should think so,--a horse that cost five thousand francs!" said Monte Cristo, in the tone which a father would use towards a son.	false	411.68	420.76	23.259327
54_121080_000011_000000	"Do you regret them?" asked Morrel, with his open laugh.	"Do you regret them?" asked Morrel, with his open laugh.	false	421.76	425.56	23.916763
54_121080_000012_000000	"I?	"I?	true	425.81	426.55	23.913269
54_121080_000012_000001	Certainly not," replied the count.	Certainly not," replied the count.	true	426.59	428.79	20
54_121080_000012_000002	"No; I should only regret if the horse had not proved good."	"No; I should only regret if the horse had not proved good."	false	428.79	433.54	21.017046
54_121080_000013_000000	"It is so good, that I have distanced M. de Chateau-Renaud, one of the best riders in France, and M. Debray, who both mount the minister's Arabians; and close on their heels are the horses of Madame Danglars, who always go at six leagues an hour."	"It is so good, that I have distanced m de Chateau Renaud, one of the best riders in France, and m Debray, who both mount the minister's Arabians; and close on their heels are the horses of Madame Danglars, who always go at six leagues an hour."	false	433.85	451.33	20.850605
54_121080_000014_000000	"Then they follow you?" asked Monte Cristo.	"Then they follow you?" asked Monte Cristo.	true	452.03	454.54	22.48643
54_121080_000015_000000	"See, they are here." And at the same minute a carriage with smoking horses, accompanied by two mounted gentlemen, arrived at the gate, which opened before them.	"See, they are here." And at the same minute a carriage with smoking horses, accompanied by two mounted gentlemen, arrived at the gate, which opened before them.	true	455	467.74	21.30443
54_121080_000015_000001	The carriage drove round, and stopped at the steps, followed by the horsemen.	The carriage drove round, and stopped at the steps, followed by the horsemen.	true	468.02	472.78	23.448288
54_121080_000015_000002	The instant Debray had touched the ground, he was at the carriage-door.	The instant Debray had touched the ground, he was at the carriage door.	true	473.99	478.12	21
54_121080_000015_000003	He offered his hand to the baroness, who, descending, took it with a peculiarity of manner imperceptible to every one but Monte Cristo.	He offered his hand to the baroness, who, descending, took it with a peculiarity of manner imperceptible to every one but Monte Cristo.	true	478.13	488.11	20
54_121080_000015_000004	But nothing escaped the count's notice, and he observed a little note, passed with the facility that indicates frequent practice, from the hand of Madame Danglars to that of the minister's secretary.	But nothing escaped the count's notice, and he observed a little note, passed with the facility that indicates frequent practice, from the hand of Madame Danglars to that of the minister's secretary.	true	488.36	502.06	19.915615
54_121080_000015_000005	After his wife the banker descended, as pale as though he had issued from his tomb instead of his carriage.	After his wife the banker descended, as pale as though he had issued from his tomb instead of his carriage.	true	502.79	509.95	20.832014
54_121080_000015_000006	Madame Danglars threw a rapid and inquiring glance which could only be interpreted by Monte Cristo, around the court-yard, over the peristyle, and across the front of the house, then, repressing a slight emotion, which must have been seen on her countenance if she had not kept her color, she ascended the steps, saying to Morrel, "Sir, if you were a friend of mine, I should ask you if you would sell your horse."	Madame Danglars threw a rapid and inquiring glance which could only be interpreted by Monte Cristo, around the court yard, over the peristyle, and across the front of the house, then, repressing a slight emotion, which must have been seen on her countenance if she had not kept her color, she ascended the steps, saying to Morrel, "Sir, if you were a friend of mine, I should ask you if you would sell your horse."	false	511.1	539.65	20.833437
54_121080_000016_000000	Morrel smiled with an expression very like a grimace, and then turned round to Monte Cristo, as if to ask him to extricate him from his embarrassment.	Morrel smiled with an expression very like a grimace, and then turned round to Monte Cristo, as if to ask him to extricate him from his embarrassment.	false	540.5	550.36	23
54_121080_000016_000001	The count understood him.	The count understood him.	true	550.7	552.33	25.802895
54_121080_000016_000002	"Ah, madame," he said, "why did you not make that request of me?"	"Ah, madame," he said, "why did you not make that request of me?"	false	552.33	557.26	22.116348
54_121080_000017_000000	"With you, sir," replied the baroness, "one can wish for nothing, one is so sure to obtain it.	"With you, sir," replied the baroness, "one can wish for nothing, one is so sure to obtain it.	true	558.53	564.64	19.861883
54_121080_000017_000001	If it were so with M. Morrel"--	If it were so with m Morrel"--	false	565.1	567.31	16
54_121080_000018_000000	"Unfortunately," replied the count, "I am witness that M. Morrel cannot give up his horse, his honor being engaged in keeping it."	"Unfortunately," replied the count, "I am witness that m Morrel cannot give up his horse, his honor being engaged in keeping it."	false	568.28	577.6	21.050842
54_121080_000019_000000	"How so?"	"How so?"	true	578.15	579.1	22.700476
54_121080_000020_000000	"He laid a wager he would tame Medeah in the space of six months.	"He laid a wager he would tame Medeah in the space of six months.	true	579.62	584.47	21.903704
54_121080_000020_000001	You understand now that if he were to get rid of the animal before the time named, he would not only lose his bet, but people would say he was afraid; and a brave captain of Spahis cannot risk this, even to gratify a pretty woman, which is, in my opinion, one of the most sacred obligations in the world."	You understand now that if he were to get rid of the animal before the time named, he would not only lose his bet, but people would say he was afraid; and a brave captain of Spahis cannot risk this, even to gratify a pretty woman, which is, in my opinion, one of the most sacred obligations in the world."	true	585.47	606.25	20.9735
54_121080_000021_000000	"You see my position, madame," said Morrel, bestowing a grateful smile on Monte Cristo.	"You see my position, madame," said Morrel, bestowing a grateful smile on Monte Cristo.	true	606.83	612.49	20.793629
54_121080_000022_000000	"It seems to me," said Danglars, in his coarse tone, ill-concealed by a forced smile, "that you have already got horses enough." Madame Danglars seldom allowed remarks of this kind to pass unnoticed, but, to the surprise of the young people, she pretended not to hear it, and said nothing.	"It seems to me," said Danglars, in his coarse tone, ill concealed by a forced smile, "that you have already got horses enough." Madame Danglars seldom allowed remarks of this kind to pass unnoticed, but, to the surprise of the young people, she pretended not to hear it, and said nothing.	true	613.07	634.24	19.964602
54_121080_000022_000001	Monte Cristo smiled at her unusual humility, and showed her two immense porcelain jars, over which wound marine plants, of a size and delicacy that nature alone could produce.	Monte Cristo smiled at her unusual humility, and showed her two immense porcelain jars, over which wound marine plants, of a size and delicacy that nature alone could produce.	true	634.79	647.74	17
54_121080_000022_000002	The baroness was astonished. "Why," said she, "you could plant one of the chestnut-trees in the Tuileries inside!	The baroness was astonished. "Why," said she, "you could plant one of the chestnut trees in the Tuileries inside!	true	648.38	656.5	21.739088
54_121080_000022_000003	How can such enormous jars have been manufactured?"	How can such enormous jars have been manufactured?"	true	656.54	659.73	17
54_121080_000023_000000	"Ah, madame," replied Monte Cristo, "you must not ask of us, the manufacturers of fine porcelain, such a question.	"Ah, madame," replied Monte Cristo, "you must not ask of us, the manufacturers of fine porcelain, such a question.	false	659.73	668.47	20.858849
54_121080_000023_000001	It is the work of another age, constructed by the genii of earth and water."	It is the work of another age, constructed by the genii of earth and water."	true	668.78	674.02	20
54_121080_000024_000000	"How so?--at what period can that have been?"	"How so?--at what period can that have been?"	true	674.66	678.37	23.228355
54_121080_000025_000000	"I do not know; I have only heard that an emperor of China had an oven built expressly, and that in this oven twelve jars like this were successively baked.	"I do not know; I have only heard that an emperor of China had an oven built expressly, and that in this oven twelve jars like this were successively baked.	true	679.46	690.82	20
54_121080_000025_000001	Two broke, from the heat of the fire; the other ten were sunk three hundred fathoms deep into the sea.	Two broke, from the heat of the fire; the other ten were sunk three hundred fathoms deep into the sea.	true	691.4	697.99	20
54_121080_000025_000002	The sea, knowing what was required of her, threw over them her weeds, encircled them with coral, and encrusted them with shells; the whole was cemented by two hundred years beneath these almost impervious depths, for a revolution carried away the emperor who wished to make the trial, and only left the documents proving the manufacture of the jars and their descent into the sea.	The sea, knowing what was required of her, threw over them her weeds, encircled them with coral, and encrusted them with shells; the whole was cemented by two hundred years beneath these almost impervious depths, for a revolution carried away the emperor who wished to make the trial, and only left the documents proving the manufacture of the jars and their descent into the sea.	false	698.51	724.45	18
54_121080_000025_000003	At the end of two hundred years the documents were found, and they thought of bringing up the jars.	At the end of two hundred years the documents were found, and they thought of bringing up the jars.	true	725.72	731.65	19
54_121080_000025_000004	Divers descended in machines, made expressly on the discovery, into the bay where they were thrown; but of ten three only remained, the rest having been broken by the waves.	Divers descended in machines, made expressly on the discovery, into the bay where they were thrown; but of ten three only remained, the rest having been broken by the waves.	true	732.56	745.96	21.021154
