543_133211_000000_000000	XXIV	twenty four	true	6.225	7.45	18.550564
543_133211_000001_000000	OF PAQUETTE AND FRIAR GIROFLEE.	OF PAQUETTE AND FRIAR g i r o f l e e.	false	7.49	10.74	19.601799
543_133211_000002_000000	Upon their arrival at Venice, Candide went to search for Cacambo at every inn and coffee-house, and among all the ladies of pleasure, but to no purpose.	Upon their arrival at Venice, Candide went to search for Cacambo at every inn and coffee house, and among all the ladies of pleasure, but to no purpose.	true	10.74	20.53	15
543_133211_000002_000001	He sent every day to inquire on all the ships that came in. But there was no news of Cacambo.	He sent every day to inquire on all the ships that came in. But there was no news of Cacambo.	false	20.54	28.23	16
543_133211_000003_000000	"What!" said he to Martin, "I have had time to voyage from Surinam to Bordeaux, to go from Bordeaux to Paris, from Paris to Dieppe, from Dieppe to Portsmouth, to coast along Portugal and Spain, to cross the whole Mediterranean, to spend some months, and yet the beautiful Cunegonde has not arrived!	"What!" said he to Martin, "I have had time to voyage from Surinam to Bordeaux, to go from Bordeaux to Paris, from Paris to Dieppe, from Dieppe to Portsmouth, to coast along Portugal and Spain, to cross the whole Mediterranean, to spend some months, and yet the beautiful Cunegonde has not arrived!	false	28.23	48.465	16
543_133211_000003_000001	Instead of her I have only met a Parisian wench and a Perigordian Abbe.	Instead of her I have only met a Parisian wench and a Perigordian Abbe.	false	48.465	52.98	11
543_133211_000003_000002	Cunegonde is dead without doubt, and there is nothing for me but to die.	Cunegonde is dead without doubt, and there is nothing for me but to die.	true	52.98	58.48	18.915667
543_133211_000003_000003	Alas! how much better it would have been for me to have remained in the paradise of El Dorado than to come back to this cursed Europe!	Alas! how much better it would have been for me to have remained in the paradise of El Dorado than to come back to this cursed Europe!	false	58.55	67.68	18
543_133211_000003_000004	You are in the right, my dear Martin: all is misery and illusion."	You are in the right, my dear Martin: all is misery and illusion."	true	67.68	73.39	15
543_133211_000004_000000	He fell into a deep melancholy, and neither went to see the opera, nor any of the other diversions of the Carnival; nay, he was proof against the temptations of all the ladies.	He fell into a deep melancholy, and neither went to see the opera, nor any of the other diversions of the Carnival; nay, he was proof against the temptations of all the ladies.	true	73.49	85.845	17
543_133211_000005_000000	"You are in truth very simple," said Martin to him, "if you imagine that a mongrel valet, who has five or six millions in his pocket, will go to the other end of the world to seek your mistress and bring her to you to Venice.	"You are in truth very simple," said Martin to him, "if you imagine that a mongrel valet, who has five or six millions in his pocket, will go to the other end of the world to seek your mistress and bring her to you to Venice.	false	85.845	101.38	13
543_133211_000005_000001	If he find her, he will keep her to himself; if he do not find her he will get another.	If he find her, he will keep her to himself; if he do not find her he will get another.	true	101.45	107.295	14
543_133211_000005_000002	I advise you to forget your valet Cacambo and your mistress Cunegonde."	I advise you to forget your valet Cacambo and your mistress Cunegonde."	false	107.295	112.89	12
543_133211_000006_000000	Martin was not consoling.	Martin was not consoling.	true	112.89	115.35	15
543_133211_000006_000001	Candide's melancholy increased; and Martin continued to prove to him that there was very little virtue or happiness upon earth, except perhaps in El Dorado, where nobody could gain admittance.	Candide's melancholy increased; and Martin continued to prove to him that there was very little virtue or happiness upon earth, except perhaps in El Dorado, where nobody could gain admittance.	false	115.35	128.35	14
543_133211_000007_000000	While they were disputing on this important subject and waiting for Cunegonde, Candide saw a young Theatin friar in St. Mark's Piazza, holding a girl on his arm.	While they were disputing on this important subject and waiting for Cunegonde, Candide saw a young Theatin friar in saint Mark's Piazza, holding a girl on his arm.	true	128.39	139.635	17
543_133211_000007_000001	The Theatin looked fresh coloured, plump, and vigorous; his eyes were sparkling, his air assured, his look lofty, and his step bold.	The Theatin looked fresh coloured, plump, and vigorous; his eyes were sparkling, his air assured, his look lofty, and his step bold.	true	139.635	150.705	17
543_133211_000007_000002	The girl was very pretty, and sang; she looked amorously at her Theatin, and from time to time pinched his fat cheeks.	The girl was very pretty, and sang; she looked amorously at her Theatin, and from time to time pinched his fat cheeks.	true	150.705	159.73	17
543_133211_000008_000000	"At least you will allow me," said Candide to Martin, "that these two are happy.	"At least you will allow me," said Candide to Martin, "that these two are happy.	true	159.74	164.73	14
543_133211_000008_000001	Hitherto I have met with none but unfortunate people in the whole habitable globe, except in El Dorado; but as to this pair, I would venture to lay a wager that they are very happy."	Hitherto I have met with none but unfortunate people in the whole habitable globe, except in El Dorado; but as to this pair, I would venture to lay a wager that they are very happy."	true	164.73	176.28	13
543_133211_000009_000000	"I lay you they are not," said Martin.	"I lay you they are not," said Martin.	true	176.28	179.01	18.582682
