5513_39477_000000_000000	But when they got within doors he picked her up in his arms, kissed her and spoke to her.	But when they got within doors he picked her up in his arms, kissed her and spoke to her.	false	0	3.21	15.240098
5513_39477_000001_000000	"Silvia, what a light-hearted childish creature you are.	"Silvia, what a light-hearted childish creature you are.	false	3.21	4.14	8
5513_39477_000001_000001	Your courage under misfortune shall be a lesson to me, but I cannot, I cannot bear to see it."	Your courage under misfortune shall be a lesson to me, but I cannot, I cannot bear to see it."	false	4.14	6.09	17
5513_39477_000002_000000	Here the tears stood suddenly in his eyes, and he lay down upon the ottoman and wept, paying no heed to her until presently he was aroused by her licking his cheek and his ear.	Here the tears stood suddenly in his eyes, and he lay down upon the ottoman and wept, paying no heed to her until presently he was aroused by her licking his cheek and his ear.	false	6.09	7.53	8
5513_39477_000003_000000	After tea she led him to the drawing room and scratched at the door till he opened it, for this was part of the house which he had shut up, thinking three or four rooms enough for them now, and to save the dusting of it.	After tea she led him to the drawing room and scratched at the door till he opened it, for this was part of the house which he had shut up, thinking three or four rooms enough for them now, and to save the dusting of it.	false	7.53	9.93	16.10726
5513_39477_000003_000001	Then it seemed she would have him play to her on the pianoforte: she led him to it, nay, what is more, she would herself pick out the music he was to play.	Then it seemed she would have him play to her on the pianoforte: she led him to it, nay, what is more, she would herself pick out the music he was to play.	false	9.93	14.01	14
5513_39477_000003_000002	First it was a fugue of Handel's, then one of Mendelssohn's Songs Without Words, and then "The Diver," and then music from Gilbert and Sullivan; but each piece of music she picked out was gayer than the last one.	First it was a fugue of Handel's, then one of Mendelssohn's Songs Without Words, and then "The Diver," and then music from Gilbert and Sullivan; but each piece of music she picked out was gayer than the last one.	false	14.01	19.44	14.629771
5513_39477_000003_000003	Thus they sat happily engrossed for perhaps an hour in the candle light until the extreme cold in that unwarmed room stopped his playing and drove them downstairs to the fire.	Thus they sat happily engrossed for perhaps an hour in the candle light until the extreme cold in that unwarmed room stopped his playing and drove them downstairs to the fire.	false	19.44	20.97	8
5513_39477_000003_000004	Thus did she admirably comfort her husband when he was dispirited.	Thus did she admirably comfort her husband when he was dispirited.	false	20.97	21.51	-20
5513_39477_000004_000000	Yet next morning when he woke he was distressed when he found that she was not in the bed with him but was lying curled up at the foot of it. During breakfast she hardly listened when he spoke, and then impatiently, but sat staring at the dove.	Yet next morning when he woke he was distressed when he found that she was not in the bed with him but was lying curled up at the foot of it. During breakfast she hardly listened when he spoke, and then impatiently, but sat staring at the dove.	true	21.51	34.81	14
5513_39477_000005_000000	Mr. Tebrick sat silently looking out of window for some time, then he took out his pocket book; in it there was a photograph of his wife taken soon after their wedding.	mr Tebrick sat silently looking out of window for some time, then he took out his pocket book; in it there was a photograph of his wife taken soon after their wedding.	true	35.66	44.89	14
