5519_39481_000000_000000	One day he tried taking with him the stereoscope and a pack of cards.	One day he tried taking with him the stereoscope and a pack of cards.
5519_39481_000001_000000	But though his Silvia was affectionate and amiable enough to let him put the stereoscope over her muzzle, yet she would not look through it, but kept turning her head to lick his hand, and it was plain to him that now she had quite forgotten the use of the instrument.	But though his Silvia was affectionate and amiable enough to let him put the stereoscope over her muzzle, yet she would not look through it, but kept turning her head to lick his hand, and it was plain to him that now she had quite forgotten the use of the instrument.
5519_39481_000001_000001	It was the same too with the cards.	It was the same too with the cards.
5519_39481_000001_000002	For with them she was pleased enough, but only delighting to bite at them, and flip them about with her paws, and never considering for a moment whether they were diamonds or clubs, or hearts, or spades or whether the card was an ace or not.	For with them she was pleased enough, but only delighting to bite at them, and flip them about with her paws, and never considering for a moment whether they were diamonds or clubs, or hearts, or spades or whether the card was an ace or not.
5519_39481_000001_000003	So it was evident that she had forgotten the nature of cards too.	So it was evident that she had forgotten the nature of cards too.
5519_39481_000002_000000	Thereafter he only brought them things which she could better enjoy, that is sugar, grapes, raisins, and butcher's meat.	Thereafter he only brought them things which she could better enjoy, that is sugar, grapes, raisins, and butcher's meat.
5519_39481_000004_000000	Sorel was a clumsy little beast of a cheery and indeed puppyish disposition; Kasper was fierce, the largest of the five, even in his play he would always bite, and gave his godfather many a sharp nip as time went on.	Sorel was a clumsy little beast of a cheery and indeed puppyish disposition; Kasper was fierce, the largest of the five, even in his play he would always bite, and gave his godfather many a sharp nip as time went on.
5519_39481_000004_000001	Esther was of a dark complexion, a true brunette and very sturdy; Angelica the brightest red and the most exactly like her mother; while Selwyn was the smallest cub, of a very prying, inquisitive and cunning temper, but delicate and undersized.	esther was of a dark complexion, a true brunette and very sturdy; Angelica the brightest red and the most exactly like her mother; while Selwyn was the smallest cub, of a very prying, inquisitive and cunning temper, but delicate and undersized.
5519_39481_000005_000000	Thus Mr. Tebrick had a whole family now to occupy him, and, indeed, came to love them with very much of a father's love and partiality.	Thus mr Tebrick had a whole family now to occupy him, and, indeed, came to love them with very much of a father's love and partiality.
5519_39481_000006_000001	After her in his affections came Selwyn, whom he soon saw was the most intelligent of the whole litter.	After her in his affections came Selwyn, whom he soon saw was the most intelligent of the whole litter.
5519_39481_000007_000001	He was not, however, above playing tricks on the others, and one day when Mr. Tebrick was by, he made believe that there was a mouse in a hole some little way off.	He was not, however, above playing tricks on the others, and one day when mr Tebrick was by, he made believe that there was a mouse in a hole some little way off.
5519_39481_000008_000001	On the next visit it was the same thing.	On the next visit it was the same thing.
5519_39481_000008_000003	But clever as he was, little Selwyn could never understand it, and if his mother remembered anything about watches it was a subject which she never attempted to explain to her children.	But clever as he was, little Selwyn could never understand it, and if his mother remembered anything about watches it was a subject which she never attempted to explain to her children.
5519_39481_000009_000000	One day Mr. Tebrick left the earth as usual and ran down the slope to the road, when he was surprised to find a carriage waiting before his house and a coachman walking about near his gate.	One day mr Tebrick left the earth as usual and ran down the slope to the road, when he was surprised to find a carriage waiting before his house and a coachman walking about near his gate.
5519_39481_000009_000001	Mr. Tebrick went in and found that his visitor was waiting for him.	mr Tebrick went in and found that his visitor was waiting for him.
5519_39481_000012_000000	After some conversation on indifferent topics Canon Fox said to him:	After some conversation on indifferent topics Canon Fox said to him:
5519_39481_000013_000000	"I have called really to ask about my niece."	"I have called really to ask about my niece."
5519_39481_000014_000000	Mr. Tebrick was silent for some time and then said:	mr Tebrick was silent for some time and then said:
5519_39481_000016_000001	I have heard she is not living with you any longer."	I have heard she is not living with you any longer."
5519_39481_000017_000000	"No.	"no
5519_39481_000017_000003	I see her every day now."	I see her every day now."
5519_39481_000018_000000	"Indeed.	"Indeed.
5519_39481_000018_000001	Where does she live?"	Where does she live?"
5519_39481_000019_000001	I ought to tell you that she has changed her shape.	I ought to tell you that she has changed her shape.
5519_39481_000019_000002	She is a fox."	She is a fox."
5519_39481_000020_000000	The Rev.	The Rev.
5519_39481_000022_000000	"No--I never see anyone if I can avoid it.	"No-I never see anyone if I can avoid it.
5519_39481_000022_000001	You are the first person I have spoken to for months."	You are the first person I have spoken to for months."
5519_39481_000023_000000	"Quite right, too, my dear fellow.	"Quite right, too, my dear fellow.
5519_39481_000023_000001	I quite understand--in the circumstances." Then the cleric shook him by the hand, got into his carriage and drove away.	I quite understand-in the circumstances." Then the cleric shook him by the hand, got into his carriage and drove away.
