5583_41259_000000_000000	LETTER the 14th LAURA in continuation	LETTER the fourteenth LAURA in continuation	true	27.75	31.39	20.775314
5583_41259_000001_000000	Arm yourself my amiable young Freind with all the philosophy you are Mistress of; summon up all the fortitude you possess, for alas! in the perusal of the following Pages your sensibility will be most severely tried.	Arm yourself my amiable young Freind with all the philosophy you are Mistress of; summon up all the fortitude you possess, for alas! in the perusal of the following Pages your sensibility will be most severely tried.	false	32.54	48.37	20.678148
5583_41259_000001_000001	Ah! what were the misfortunes I had before experienced and which I have already related to you, to the one I am now going to inform you of.	Ah! what were the misfortunes I had before experienced and which I have already related to you, to the one I am now going to inform you of.	false	48.77	58.45	20.326132
5583_41259_000001_000002	The Death of my Father and my Mother and my Husband though almost more than my gentle Nature could support, were trifles in comparison to the misfortune I am now proceeding to relate.	The Death of my Father and my Mother and my Husband though almost more than my gentle Nature could support, were trifles in comparison to the misfortune I am now proceeding to relate.	true	59.21	70.9	19.313826
5583_41259_000001_000003	The morning after our arrival at the Cottage, Sophia complained of a violent pain in her delicate limbs, accompanied with a disagreable Head-ake She attributed it to a cold caught by her continued faintings in the open air as the Dew was falling the Evening before.	The morning after our arrival at the Cottage, Sophia complained of a violent pain in her delicate limbs, accompanied with a disagreable Head ake She attributed it to a cold caught by her continued faintings in the open air as the Dew was falling the Evening before.	true	71.81	89.44	20.975033
5583_41259_000001_000004	This I feared was but too probably the case; since how could it be otherwise accounted for that I should have escaped the same indisposition, but by supposing that the bodily Exertions I had undergone in my repeated fits of frenzy had so effectually circulated and warmed my Blood as to make me proof against the chilling Damps of Night, whereas, Sophia lying totally inactive on the ground must have been exposed to all their severity.	This I feared was but too probably the case; since how could it be otherwise accounted for that I should have escaped the same indisposition, but by supposing that the bodily Exertions I had undergone in my repeated fits of frenzy had so effectually circulated and warmed my Blood as to make me proof against the chilling Damps of Night, whereas, Sophia lying totally inactive on the ground must have been exposed to all their severity.	true	90.35	117.7	20.704042
5583_41259_000001_000005	I was most seriously alarmed by her illness which trifling as it may appear to you, a certain instinctive sensibility whispered me, would in the End be fatal to her.	I was most seriously alarmed by her illness which trifling as it may appear to you, a certain instinctive sensibility whispered me, would in the End be fatal to her.	true	118.49	130.42	21.770744
5583_41259_000002_000000	Alas! my fears were but too fully justified; she grew gradually worse--and I daily became more alarmed for her.	Alas! my fears were but too fully justified; she grew gradually worse-and I daily became more alarmed for her.	true	130.88	139.81	21.182268
5583_41259_000002_000001	At length she was obliged to confine herself solely to the Bed allotted us by our worthy Landlady--.	At length she was obliged to confine herself solely to the Bed allotted us by our worthy Landlady-.	true	140.66	146.5	17
5583_41259_000002_000002	Her disorder turned to a galloping Consumption and in a few days carried her off.	Her disorder turned to a galloping Consumption and in a few days carried her off.	true	147.35	152.92	20.40786
5583_41259_000002_000003	Amidst all my Lamentations for her (and violent you may suppose they were) I yet received some consolation in the reflection of my having paid every attention to her, that could be offered, in her illness.	Amidst all my lamentations for her (and violent you may suppose they were) I yet received some consolation in the reflection of my having paid every attention to her, that could be offered, in her illness.	false	153.8	166.72	19.887188
5583_41259_000002_000004	I had wept over her every Day--had bathed her sweet face with my tears and had pressed her fair Hands continually in mine--.	I had wept over her every Day-had bathed her sweet face with my tears and had pressed her fair Hands continually in mine-.	true	167.63	176.08	20.436886
5583_41259_000002_000005	"My beloved Laura (said she to me a few Hours before she died) take warning from my unhappy End and avoid the imprudent conduct which had occasioned it...	"My beloved Laura (said she to me a few Hours before she died) take warning from my unhappy End and avoid the imprudent conduct which had occasioned it...	false	176.96	187.9	18.186338
5583_41259_000002_000006	Beware of fainting-fits...	Beware of fainting fits...	true	188.48	190.51	20.858421
5583_41259_000002_000007	Though at the time they may be refreshing and agreable yet beleive me they will in the end, if too often repeated and at improper seasons, prove destructive to your Constitution...	Though at the time they may be refreshing and agreable yet beleive me they will in the end, if too often repeated and at improper seasons, prove destructive to your Constitution...	true	191.42	202.96	18.760544
5583_41259_000002_000008	My fate will teach you this..	My fate will teach you this..	true	203.63	205.42	20.908033
5583_41259_000002_000009	I die a Martyr to my greif for the loss of Augustus..	I die a Martyr to my greif for the loss of Augustus..	true	206.03	209.71	17
5583_41259_000002_000010	One fatal swoon has cost me my Life..	One fatal swoon has cost me my Life..	true	210.26	213.43	20.668987
5583_41259_000002_000011	Beware of swoons Dear Laura....	Beware of swoons Dear Laura....	true	214.13	216.28	24.812748
5583_41259_000002_000012	A frenzy fit is not one quarter so pernicious; it is an exercise to the Body and if not too violent, is I dare say conducive to Health in its consequences--Run mad as often as you chuse; but do not faint--"	A frenzy fit is not one quarter so pernicious; it is an exercise to the Body and if not too violent, is I dare say conducive to Health in its consequences-Run mad as often as you chuse; but do not faint-"	true	216.71	231.85	20.6252
5583_41259_000003_000000	These were the last words she ever addressed to me..	These were the last words she ever addressed to me..	true	232.76	235.96	18
5583_41259_000003_000001	It was her dieing Advice to her afflicted Laura, who has ever most faithfully adhered to it.	It was her dieing Advice to her afflicted Laura, who has ever most faithfully adhered to it.	true	237.05	242.95	18.877865
5583_41259_000004_000000	After having attended my lamented freind to her Early Grave, I immediately (tho' late at night) left the detested Village in which she died, and near which had expired my Husband and Augustus.	After having attended my lamented freind to her Early Grave, I immediately (tho' late at night) left the detested Village in which she died, and near which had expired my Husband and Augustus.	true	244.25	257.41	21.117567
5583_41259_000004_000001	I had not walked many yards from it before I was overtaken by a stage-coach, in which I instantly took a place, determined to proceed in it to Edinburgh, where I hoped to find some kind some pitying Freind who would receive and comfort me in my afflictions.	I had not walked many yards from it before I was overtaken by a stage coach, in which I instantly took a place, determined to proceed in it to Edinburgh, where I hoped to find some kind some pitying Freind who would receive and comfort me in my afflictions.	true	258.29	275.05	19.354153
5583_41259_000005_000000	It was so dark when I entered the Coach that I could not distinguish the Number of my Fellow-travellers; I could only perceive that they were many.	It was so dark when I entered the Coach that I could not distinguish the Number of my Fellow travellers; I could only perceive that they were many.	true	276.05	285.16	20.727585
5583_41259_000005_000001	Regardless however of anything concerning them, I gave myself up to my own sad Reflections.	Regardless however of anything concerning them, I gave myself up to my own sad Reflections.	true	286.25	292.66	19.96893
5583_41259_000005_000002	A general silence prevailed--A silence, which was by nothing interrupted but by the loud and repeated snores of one of the Party.	A general silence prevailed-A silence, which was by nothing interrupted but by the loud and repeated snores of one of the Party.	true	293.42	301.69	18.010262
5583_41259_000006_000000	"What an illiterate villain must that man be! (thought I to myself) What a total want of delicate refinement must he have, who can thus shock our senses by such a brutal noise!	"What an illiterate villain must that man be! (thought I to myself) What a total want of delicate refinement must he have, who can thus shock our senses by such a brutal noise!	false	302.66	314.56	21.43922
5583_41259_000006_000001	He must I am certain be capable of every bad action!	He must I am certain be capable of every bad action!	true	314.93	318.61	22
5583_41259_000006_000002	There is no crime too black for such a Character!" Thus reasoned I within myself, and doubtless such were the reflections of my fellow travellers.	There is no crime too black for such a Character!" Thus reasoned I within myself, and doubtless such were the reflections of my fellow travellers.	true	319.22	329.02	21.273125
5583_41259_000007_000000	At length, returning Day enabled me to behold the unprincipled Scoundrel who had so violently disturbed my feelings.	At length, returning Day enabled me to behold the unprincipled Scoundrel who had so violently disturbed my feelings.	true	330.29	338.11	20.094357
5583_41259_000007_000001	It was Sir Edward the father of my Deceased Husband.	It was Sir Edward the father of my Deceased Husband.	true	338.78	342.31	22.751242
