5622_41172_000000_000000	The child ill, yet she had thought of coming herself.	The child ill, yet she had thought of coming herself.	false	0	5.1	19.62844
5622_41172_000000_000001	Their daughter ill, and this hostile tone.	Their daughter ill, and this hostile tone.	false	5.1	8.67	24.159164
5622_41172_000001_000000	The innocent festivities over the election, and this gloomy, burdensome love to which he had to return struck Vronsky by their contrast.	The innocent festivities over the election, and this gloomy, burdensome love to which he had to return struck Vronsky by their contrast.	false	8.67	17.34	23.729038
5622_41172_000001_000001	But he had to go, and by the first train that night he set off home.	But he had to go, and by the first train that night he set off home.	false	17.34	27.465	21.13944
5622_41172_000002_000000	Chapter 32	Chapter thirty two	true	27.465	28.78	26.945688
5622_41172_000003_000000	Before Vronsky's departure for the elections, Anna had reflected that the scenes constantly repeated between them each time he left home, might only make him cold to her instead of attaching him to her, and resolved to do all she could to control herself so as to bear the parting with composure.	Before Vronsky's departure for the elections, Anna had reflected that the scenes constantly repeated between them each time he left home, might only make him cold to her instead of attaching him to her, and resolved to do all she could to control herself so as to bear the parting with composure.	false	29.18	46.51	21
5622_41172_000003_000001	But the cold, severe glance with which he had looked at her when he came to tell her he was going had wounded her, and before he had started her peace of mind was destroyed.	But the cold, severe glance with which he had looked at her when he came to tell her he was going had wounded her, and before he had started her peace of mind was destroyed.	true	46.88	58.57	20.78199
5622_41172_000004_000000	In solitude afterwards, thinking over that glance which had expressed his right to freedom, she came, as she always did, to the same point--the sense of her own humiliation.	In solitude afterwards, thinking over that glance which had expressed his right to freedom, she came, as she always did, to the same point-the sense of her own humiliation.	true	59.15	70.66	23
5622_41172_000004_000001	"He has the right to go away when and where he chooses.	"He has the right to go away when and where he chooses.	true	71.36	74.895	14
5622_41172_000004_000002	Not simply to go away, but to leave me.	Not simply to go away, but to leave me.	true	74.895	77.41	21
5622_41172_000004_000003	He has every right, and I have none.	He has every right, and I have none.	true	77.48	79.56	21
5622_41172_000004_000004	But knowing that, he ought not to do it.	But knowing that, he ought not to do it.	false	79.56	82.18	22.961277
5622_41172_000004_000005	What has he done, though?...	What has he done, though?...	true	82.34	83.98	24.677628
5622_41172_000004_000006	He looked at me with a cold, severe expression.	He looked at me with a cold, severe expression.	true	84.47	87.34	20
5622_41172_000004_000007	Of course that is something indefinable, impalpable, but it has never been so before, and that glance means a great deal," she thought.	Of course that is something indefinable, impalpable, but it has never been so before, and that glance means a great deal," she thought.	true	87.41	96.825	24
5622_41172_000004_000008	"That glance shows the beginning of indifference."	"That glance shows the beginning of indifference."	true	96.825	100.6	27.101397
5622_41172_000005_000000	And though she felt sure that a coldness was beginning, there was nothing she could do, she could not in any way alter her relations to him.	And though she felt sure that a coldness was beginning, there was nothing she could do, she could not in any way alter her relations to him.	true	101.3	109.83	23.172949
5622_41172_000005_000001	Just as before, only by love and by charm could she keep him.	Just as before, only by love and by charm could she keep him.	true	109.83	114.06	21.3392
5622_41172_000005_000002	And so, just as before, only by occupation in the day, by morphine at night, could she stifle the fearful thought of what would be if he ceased to love her.	And so, just as before, only by occupation in the day, by morphine at night, could she stifle the fearful thought of what would be if he ceased to love her.	false	114.06	123.64	22.096674
5622_41172_000005_000003	It is true there was still one means; not to keep him--for that she wanted nothing more than his love--but to be nearer to him, to be in such a position that he would not leave her.	It is true there was still one means; not to keep him-for that she wanted nothing more than his love-but to be nearer to him, to be in such a position that he would not leave her.	false	124.04	136.93	18.548643
5622_41172_000005_000004	That means was divorce and marriage.	That means was divorce and marriage.	true	137.06	139.9	23
