5655_46267_000003_000000	CHAPTER III.	CHAPTER three.
5655_46267_000004_000000	THE VALENTINE PARTY.	THE VALENTINE PARTY.
5655_46267_000005_000000	"Now we can tell Ginger about the bear," was Keith's first remark, when he awoke early next morning.	"Now we can tell Ginger about the bear," was Keith's first remark, when he awoke early next morning.
5655_46267_000007_000000	"Then let's go down before breakfast," exclaimed Keith, springing out of bed and beginning to dress himself.	"Then let's go down before breakfast," exclaimed Keith, springing out of bed and beginning to dress himself.
5655_46267_000007_000001	A little while later, the old coloured coachman saw them run past the window, where he was warming himself by the kitchen stove.	A little while later, the old coloured coachman saw them run past the window, where he was warming himself by the kitchen stove.
5655_46267_000009_000000	Daphne, who had just been coaxed into filling a basket with a generous supply of cold victuals, pretended not to hear until he repeated his question.	Daphne, who had just been coaxed into filling a basket with a generous supply of cold victuals, pretended not to hear until he repeated his question.
5655_46267_000009_000002	Lak enough dee's settin' a rabbit trap.	Lak enough dee's settin' a rabbit trap.
5655_46267_000010_000000	Daphne had seen them setting rabbit traps there, but she knew well enough that was not what they had gone for now, and that the food they carried was not for the game of Robinson Crusoe, which they had played in the deserted cabin the summer before.	Daphne had seen them setting rabbit traps there, but she knew well enough that was not what they had gone for now, and that the food they carried was not for the game of Robinson Crusoe, which they had played in the deserted cabin the summer before.
5655_46267_000012_000001	It's nicer than any pets we ever had, except the ponies.	It's nicer than any pets we ever had, except the ponies.
5655_46267_000013_000000	"Haven't we had a lot of things, when you come to think of it?" exclaimed Malcolm.	"Haven't we had a lot of things, when you come to think of it?" exclaimed Malcolm.
5655_46267_000014_000000	"Yes, and the gold-fish, and the little baby alligator that froze to death in its tank," added Keith.	"Yes, and the gold fish, and the little baby alligator that froze to death in its tank," added Keith.
5655_46267_000014_000001	"But a bear like this would be nicer than any of them.	"But a bear like this would be nicer than any of them.
5655_46267_000014_000002	As soon as papa comes home I am going to ask him to buy us one."	As soon as papa comes home I am going to ask him to buy us one."
5655_46267_000015_000000	"Jonesy's nearly done for," said the tramp, pointing to the boy who lay curled up in the hay, coughing at nearly every breath.	"Jonesy's nearly done for," said the tramp, pointing to the boy who lay curled up in the hay, coughing at nearly every breath.
5655_46267_000016_000000	"Oh, goody!" cried Keith.	"Oh, goody!" cried Keith.
5655_46267_000017_000001	Give us one more day to rest up and get in a little better trim.	Give us one more day to rest up and get in a little better trim.
5655_46267_000017_000002	The poor beast's foot is still too lame for him to do his best, and you're too kind-hearted, I am sure, to want anything to suffer in order to give you pleasure."	The poor beast's foot is still too lame for him to do his best, and you're too kind hearted, I am sure, to want anything to suffer in order to give you pleasure."
5655_46267_000018_000000	"Of course," answered both the boys, agreeing so quickly to all the man's smooth speeches that, before they left the cabin, they had renewed their promise to keep silent one more day.	"Of course," answered both the boys, agreeing so quickly to all the man's smooth speeches that, before they left the cabin, they had renewed their promise to keep silent one more day.
5655_46267_000018_000001	The man was a shrewd one, and knew well how to make these unsuspecting little souls serve his purpose, like puppets tied to a string.	The man was a shrewd one, and knew well how to make these unsuspecting little souls serve his purpose, like puppets tied to a string.
5655_46267_000019_000000	Miss Allison was so busy with preparations for the party that she had no time all that day to notice what the boys were doing.	Miss Allison was so busy with preparations for the party that she had no time all that day to notice what the boys were doing.
5655_46267_000019_000001	When they came back from reciting their lessons to the minister, she sent them on several errands, but the rest of the time they divided between the cabin and the post-office.	When they came back from reciting their lessons to the minister, she sent them on several errands, but the rest of the time they divided between the cabin and the post office.
5655_46267_000020_000000	Every mail brought a few valentines to each of them, but it was not until the five o'clock train came that they found the long-looked-for letters from their father and mother.	Every mail brought a few valentines to each of them, but it was not until the five o'clock train came that they found the long looked for letters from their father and mother.
5655_46267_000021_000000	"I knew they'd each send us a valentine," cried Keith, tearing both of his open.	"I knew they'd each send us a valentine," cried Keith, tearing both of his open.
5655_46267_000021_000001	"I'll bet that papa's is a comic one.	"I'll bet that papa's is a comic one.
5655_46267_000021_000004	Isn't it a stunner?	Isn't it a stunner?
5655_46267_000021_000005	a base-ball player.	a base ball player.
5655_46267_000022_000002	They couldn't find anything down on the coast that they thought we would like."	They couldn't find anything down on the coast that they thought we would like."
5655_46267_000023_000000	"I don't know what to get with mine," said Keith, folding his two bills together.	"I don't know what to get with mine," said Keith, folding his two bills together.
