5656_44576_000002_000000	CHAPTER II	CHAPTER two
5656_44576_000003_000000	THE SIN OF MONOTONY	THE SIN OF MONOTONY
5656_44576_000004_000000	One day Ennui was born from Uniformity.	One day Ennui was born from Uniformity.
5656_44576_000006_000000	Our English has changed with the years so that many words now connote more than they did originally.	Our English has changed with the years so that many words now connote more than they did originally.
5656_44576_000007_000000	The monotonous speaker not only drones along in the same volume and pitch of tone but uses always the same emphasis, the same speed, the same thoughts--or dispenses with thought altogether.	The monotonous speaker not only drones along in the same volume and pitch of tone but uses always the same emphasis, the same speed, the same thoughts-or dispenses with thought altogether.
5656_44576_000008_000000	Monotony, the cardinal and most common sin of the public speaker, is not a transgression--it is rather a sin of omission, for it consists in living up to the confession of the Prayer Book: "We have left undone those things we ought to have done."	Monotony, the cardinal and most common sin of the public speaker, is not a transgression-it is rather a sin of omission, for it consists in living up to the confession of the Prayer Book: "We have left undone those things we ought to have done."
5656_44576_000010_000000	To tell you that your speech is monotonous may mean very little to you, so let us look at the nature--and the curse--of monotony in other spheres of life, then we shall appreciate more fully how it will blight an otherwise good speech.	To tell you that your speech is monotonous may mean very little to you, so let us look at the nature-and the curse-of monotony in other spheres of life, then we shall appreciate more fully how it will blight an otherwise good speech.
5656_44576_000011_000000	If the Victrola in the adjoining apartment grinds out just three selections over and over again, it is pretty safe to assume that your neighbor has no other records.	If the Victrola in the adjoining apartment grinds out just three selections over and over again, it is pretty safe to assume that your neighbor has no other records.
5656_44576_000011_000001	If a speaker uses only a few of his powers, it points very plainly to the fact that the rest of his powers are not developed.	If a speaker uses only a few of his powers, it points very plainly to the fact that the rest of his powers are not developed.
5656_44576_000011_000002	Monotony reveals our limitations.	Monotony reveals our limitations.
5656_44576_000012_000000	In its effect on its victim, monotony is actually deadly--it will drive the bloom from the cheek and the lustre from the eye as quickly as sin, and often leads to viciousness.	In its effect on its victim, monotony is actually deadly-it will drive the bloom from the cheek and the lustre from the eye as quickly as sin, and often leads to viciousness.
5656_44576_000012_000001	The worst punishment that human ingenuity has ever been able to invent is extreme monotony--solitary confinement.	The worst punishment that human ingenuity has ever been able to invent is extreme monotony-solitary confinement.
5656_44576_000012_000002	Lay a marble on the table and do nothing eighteen hours of the day but change that marble from one point to another and back again, and you will go insane if you continue long enough.	Lay a marble on the table and do nothing eighteen hours of the day but change that marble from one point to another and back again, and you will go insane if you continue long enough.
5656_44576_000013_000000	So this thing that shortens life, and is used as the most cruel of punishments in our prisons, is the thing that will destroy all the life and force of a speech.	So this thing that shortens life, and is used as the most cruel of punishments in our prisons, is the thing that will destroy all the life and force of a speech.
5656_44576_000013_000001	Avoid it as you would shun a deadly dull bore. The "idle rich" can have half-a-dozen homes, command all the varieties of foods gathered from the four corners of the earth, and sail for Africa or Alaska at their pleasure; but the poverty-stricken man must walk or take a street car--he does not have the choice of yacht, auto, or special train.	Avoid it as you would shun a deadly dull bore. The "idle rich" can have half a dozen homes, command all the varieties of foods gathered from the four corners of the earth, and sail for Africa or Alaska at their pleasure; but the poverty stricken man must walk or take a street car-he does not have the choice of yacht, auto, or special train.
5656_44576_000013_000002	He must spend the most of his life in labor and be content with the staples of the food-market.	He must spend the most of his life in labor and be content with the staples of the food market.
5656_44576_000013_000003	Monotony is poverty, whether in speech or in life.	Monotony is poverty, whether in speech or in life.
5656_44576_000013_000004	Strive to increase the variety of your speech as the business man labors to augment his wealth.	Strive to increase the variety of your speech as the business man labors to augment his wealth.
5656_44576_000014_000001	Nature in her wealth gives us endless variety; man with his limitations is often monotonous.	Nature in her wealth gives us endless variety; man with his limitations is often monotonous.
5656_44576_000014_000002	Get back to nature in your methods of speech-making.	Get back to nature in your methods of speech making.
5656_44576_000015_000000	The power of variety lies in its pleasure-giving quality.	The power of variety lies in its pleasure giving quality.
5656_44576_000015_000002	If you wish to teach or influence men, you must please them, first or last.	If you wish to teach or influence men, you must please them, first or last.
5656_44576_000015_000003	Strike the same note on the piano over and over again.	Strike the same note on the piano over and over again.
5656_44576_000015_000004	This will give you some idea of the displeasing, jarring effect monotony has on the ear.	This will give you some idea of the displeasing, jarring effect monotony has on the ear.
5656_44576_000015_000005	The dictionary defines "monotonous" as being synonymous with "wearisome." That is putting it mildly.	The dictionary defines "monotonous" as being synonymous with "wearisome." That is putting it mildly.
5656_44576_000015_000006	It is maddening.	It is maddening.
5656_44576_000017_000000	We obviate monotony in dress by replenishing our wardrobes.	We obviate monotony in dress by replenishing our wardrobes.
5656_44576_000017_000001	We avoid monotony in speech by multiplying our powers of speech.	We avoid monotony in speech by multiplying our powers of speech.
5656_44576_000017_000002	We multiply our powers of speech by increasing our tools.	We multiply our powers of speech by increasing our tools.
5656_44576_000018_000000	The carpenter has special implements with which to construct the several parts of a building.	The carpenter has special implements with which to construct the several parts of a building.
5656_44576_000018_000001	The organist has certain keys and stops which he manipulates to produce his harmonies and effects.	The organist has certain keys and stops which he manipulates to produce his harmonies and effects.
5656_44576_000018_000002	In like manner the speaker has certain instruments and tools at his command by which he builds his argument, plays on the feelings, and guides the beliefs of his audience.	In like manner the speaker has certain instruments and tools at his command by which he builds his argument, plays on the feelings, and guides the beliefs of his audience.
5656_44576_000018_000003	To give you a conception of these instruments, and practical help in learning to use them, are the purposes of the immediately following chapters.	To give you a conception of these instruments, and practical help in learning to use them, are the purposes of the immediately following chapters.
