5672_88363_000000_000000	CHAPTER XV	CHAPTER fifteen	false	1.11	23.265	19.68538
5672_88363_000001_000000	THE SUBSTITUTE FOR THE SALOON	THE SUBSTITUTE FOR THE SALOON	true	23.265	25.51	21.992498
5672_88363_000002_000000	This is a special commentary on chapter five, The Picture of Crowd Splendor.	This is a special commentary on chapter five, The Picture of Crowd Splendor.	true	26.3	31.21	18.887753
5672_88363_000002_000001	It refers as well to every other type of moving picture that gets into the slum.	It refers as well to every other type of moving picture that gets into the slum.	true	31.52	35.98	20.383701
5672_88363_000002_000002	But the masses have an extraordinary affinity for the Crowd Photoplay.	But the masses have an extraordinary affinity for the Crowd Photoplay.	true	36.26	40.48	18.869888
5672_88363_000002_000003	As has been said before, the mob comes nightly to behold its natural face in the glass.	As has been said before, the mob comes nightly to behold its natural face in the glass.	true	40.85	46.06	19
5672_88363_000002_000004	Politicians on the platform have swayed the mass below them.	Politicians on the platform have swayed the mass below them.	true	46.28	49.66	19.789335
5672_88363_000002_000005	But now, to speak in an Irish way, the crowd takes the platform, and looking down, sees itself swaying.	But now, to speak in an Irish way, the crowd takes the platform, and looking down, sees itself swaying.	true	49.76	56.08	21.301842
5672_88363_000002_000006	The slums are an astonishing assembly of cave-men crawling out of their shelters to exhibit for the first time in history a common interest on a tremendous scale in an art form.	The slums are an astonishing assembly of cave men crawling out of their shelters to exhibit for the first time in history a common interest on a tremendous scale in an art form.	true	56.45	66.075	15
5672_88363_000002_000007	Below the cliff caves were bar rooms in endless lines.	Below the cliff caves were bar rooms in endless lines.	true	66.075	69.58	21.18891
5672_88363_000002_000008	There are almost as many bar rooms to-day, yet this new thing breaks the lines as nothing else ever did.	There are almost as many bar rooms to day, yet this new thing breaks the lines as nothing else ever did.	true	69.74	76.15	20.538721
5672_88363_000002_000009	Often when a moving picture house is set up, the saloon on the right hand or the left declares bankruptcy.	Often when a moving picture house is set up, the saloon on the right hand or the left declares bankruptcy.	true	76.4	82.51	18.386835
5672_88363_000003_000000	Why do men prefer the photoplay to the drinking place?	Why do men prefer the photoplay to the drinking place?	true	83.21	86.44	18.355927
5672_88363_000003_000001	For no pious reason, surely.	For no pious reason, surely.	true	86.72	88.66	21.545868
5672_88363_000003_000002	Now they have fire pouring into their eyes instead of into their bellies.	Now they have fire pouring into their eyes instead of into their bellies.	true	88.76	92.565	21.591417
5672_88363_000003_000003	Blood is drawn from the guts to the brain.	Blood is drawn from the guts to the brain.	true	92.565	95.07	20.848944
5672_88363_000003_000004	Though the picture be the veriest mess, the light and movement cause the beholder to do a little reptilian thinking.	Though the picture be the veriest mess, the light and movement cause the beholder to do a little reptilian thinking.	false	95.07	101.53	20
5672_88363_000003_000005	After a day's work a street-sweeper enters the place, heavy as King Log.	After a day's work a street sweeper enters the place, heavy as King Log.	true	101.84	106.86	20
5672_88363_000003_000006	A ditch-digger goes in, sick and surly.	A ditch digger goes in, sick and surly.	true	106.86	109.42	18.789444
5672_88363_000003_000007	It is the state of the body when many men drink themselves into insensibility.	It is the state of the body when many men drink themselves into insensibility.	true	109.52	113.83	18.859552
5672_88363_000003_000008	But here the light is as strong in the eye as whiskey in the throat.	But here the light is as strong in the eye as whiskey in the throat.	true	113.99	117.82	17.05538
5672_88363_000003_000009	Along with the flare, shadow, and mystery, they face the existence of people, places, costumes, utterly novel.	Along with the flare, shadow, and mystery, they face the existence of people, places, costumes, utterly novel.	false	117.86	124.69	19
5672_88363_000003_000010	Immigrants are prodded by these swords of darkness and light to guess at the meaning of the catch-phrases and headlines that punctuate the play.	Immigrants are prodded by these swords of darkness and light to guess at the meaning of the catch phrases and headlines that punctuate the play.	true	125.06	132.91	19
5672_88363_000003_000011	They strain to hear their neighbors whisper or spell them out.	They strain to hear their neighbors whisper or spell them out.	true	133.28	136.6	17
5672_88363_000004_000000	The photoplays have done something to reunite the lower-class families. No longer is the fire-escape the only summer resort for big and little folks.	The photoplays have done something to reunite the lower class families. No longer is the fire escape the only summer resort for big and little folks.	true	136.82	145.15	20.274555
5672_88363_000004_000001	Here is more fancy and whim than ever before blessed a hot night. Here, under the wind of an electric fan, they witness everything, from a burial in Westminster to the birthday parade of the ruler of the land of Swat.	Here is more fancy and whim than ever before blessed a hot night. Here, under the wind of an electric fan, they witness everything, from a burial in Westminster to the birthday parade of the ruler of the land of Swat.	true	145.4	158.22	20.202625
5672_88363_000005_000000	The usual saloon equipment to delight the eye is one so-called "leg" picture of a woman, a photograph of a prize-fighter, and some colored portraits of goats to advertise various brands of beer.	The usual saloon equipment to delight the eye is one so-called "leg" picture of a woman, a photograph of a prize fighter, and some colored portraits of goats to advertise various brands of beer.	true	158.22	168.88	17
5672_88363_000005_000001	Many times, no doubt, these boys and young men have found visions of a sordid kind while gazing on the actress, the fighter, or the goats.	Many times, no doubt, these boys and young men have found visions of a sordid kind while gazing on the actress, the fighter, or the goats.	true	169.28	176.65	16
5672_88363_000005_000002	But what poor material they had in the wardrobes of memory for the trimmings and habiliments of vision, to make this lady into Freya, this prize-fighter into Thor, these goats into the harnessed steeds that drew his chariot!	But what poor material they had in the wardrobes of memory for the trimmings and habiliments of vision, to make this lady into Freya, this prize fighter into Thor, these goats into the harnessed steeds that drew his chariot!	true	176.93	190.24	17
5672_88363_000005_000003	Man's dreams are rearranged and glorified memories.	Man's dreams are rearranged and glorified memories.	true	190.55	193.75	19.66796
5672_88363_000005_000004	How could these people reconstruct the torn carpets and tin cans and waste-paper of their lives into mythology? How could memories of Ladies' Entrance squalor be made into Castles in Granada or Carcassonne?	How could these people reconstruct the torn carpets and tin cans and waste paper of their lives into mythology? How could memories of Ladies' Entrance squalor be made into Castles in Granada or Carcassonne?	false	194.09	207	19.958603
5672_88363_000005_000005	The things they drank to see, and saw but grotesquely, and paid for terribly, now roll before them with no after pain or punishment.	The things they drank to see, and saw but grotesquely, and paid for terribly, now roll before them with no after pain or punishment.	true	207	215.73	18
5672_88363_000005_000006	The mumbled conversation, the sociability for which they leaned over the tables, they have here in the same manner with far more to talk about.	The mumbled conversation, the sociability for which they leaned over the tables, they have here in the same manner with far more to talk about.	true	215.73	223.54	17
5672_88363_000005_000007	They come, they go home, men and women together, as casually and impulsively as the men alone ever entered a drinking-place, but discoursing now of far-off mountains and star-crossed lovers.	They come, they go home, men and women together, as casually and impulsively as the men alone ever entered a drinking place, but discoursing now of far off mountains and star crossed lovers.	false	223.76	234.55	18
5672_88363_000005_000008	As Padraic Colum says in his poem on the herdsman:--	As Padraic Colum says in his poem on the herdsman:--	true	234.68	238.11	22.555172
5672_88363_000006_000000	"With thoughts on white ships And the King of Spain's Daughter."	"With thoughts on white ships And the King of Spain's Daughter."	true	238.11	241.78	20.687101
5672_88363_000007_000000	This is why the saloon on the right hand and on the left in the slum is apt to move out when the photoplay moves in.	This is why the saloon on the right hand and on the left in the slum is apt to move out when the photoplay moves in.	false	242.48	248.59	15
5672_88363_000008_000000	But let us go to the other end of the temperance argument.	But let us go to the other end of the temperance argument.	true	248.66	251.71	19.602514
5672_88363_000008_000001	I beg to be allowed to relate a personal matter.	I beg to be allowed to relate a personal matter.	true	251.75	254.5	20.968906
5672_88363_000008_000002	For some time I was a field-worker for the Anti-Saloon League of Illinois, being sent every Sunday to a new region to make the yearly visit on behalf of the league.	For some time I was a field worker for the Anti Saloon League of Illinois, being sent every Sunday to a new region to make the yearly visit on behalf of the league.	true	254.84	264.075	17
5672_88363_000008_000003	Such a visitor is apt to speak to one church in a village, and two in the country, on each excursion, being met at the station by some leading farmer-citizen of the section, and driven to these points by him.	Such a visitor is apt to speak to one church in a village, and two in the country, on each excursion, being met at the station by some leading farmer citizen of the section, and driven to these points by him.	true	264.075	275.53	16
5672_88363_000008_000004	The talk with this man was worth it all to me.	The talk with this man was worth it all to me.	true	275.63	278.17	20.249353
5672_88363_000009_000000	The agricultural territory of the United States is naturally dry.	The agricultural territory of the United States is naturally dry.	true	278.24	282.31	15
5672_88363_000009_000001	This is because the cross-roads church is the only communal institution, and the voice of the cross-roads pastor is for teetotalism.	This is because the cross roads church is the only communal institution, and the voice of the cross roads pastor is for teetotalism.	true	282.47	289.995	19
5672_88363_000009_000002	The routine of the farm-hand, while by no means ideal in other respects, keeps him from craving drink as intensely as other toilers do.	The routine of the farm hand, while by no means ideal in other respects, keeps him from craving drink as intensely as other toilers do.	true	289.995	297.79	16
5672_88363_000009_000003	A day's work in the open air fills his veins at nightfall with an opiate of weariness instead of a high-strung nervousness.	A day's work in the open air fills his veins at nightfall with an opiate of weariness instead of a high strung nervousness.	true	298.04	304.93	18
5672_88363_000009_000004	The strong men of the community are church elders, not through fanaticism, but by right of leadership.	The strong men of the community are church elders, not through fanaticism, but by right of leadership.	true	305.3	310.99	18
5672_88363_000009_000005	Through their office they are committed to prohibition.	Through their office they are committed to prohibition.	true	311.09	313.63	22.644442
5672_88363_000009_000006	So opposition to the temperance movement is scattering.	So opposition to the temperance movement is scattering.	true	313.97	316.9	19.146484
5672_88363_000009_000007	The Anti-Saloon League has organized these leaders into a nation-wide machine.	The Anti Saloon League has organized these leaders into a nation-wide machine.	true	317	321.225	15
5672_88363_000009_000008	It sees that they get their weekly paper, instructing them in the tactics whereby local fights have been won.	It sees that they get their weekly paper, instructing them in the tactics whereby local fights have been won.	true	321.225	326.68	16
5672_88363_000009_000009	A subscription financing the State League is taken once a year.	A subscription financing the State League is taken once a year.	true	326.96	330.73	18.723148
5672_88363_000009_000010	It counts on the regular list of church benevolences.	It counts on the regular list of church benevolences.	true	330.83	333.79	17.854122
5672_88363_000009_000011	The state officers come in to help on the critical local fights.	The state officers come in to help on the critical local fights.	false	334.07	337.6	22.090809
5672_88363_000009_000012	Any country politician fears their non-partisan denunciation as he does political death.	Any country politician fears their non-partisan denunciation as he does political death.	true	337.85	343.36	15
