5740_97610_000000_000000	"A Merry Christmas to us all, my dears.	"A Merry Christmas to us all, my dears.	false	0	2.79	30.134298
5740_97610_000000_000001	God bless us!"	God bless us!"	false	2.79	3.84	17
5740_97610_000001_000000	Which all the family reechoed.	Which all the family reechoed.	false	3.84	5.58	28.681656
5740_97610_000002_000000	"God bless us every one!" said Tiny Tim, the last of all.	"God bless us every one!" said Tiny Tim, the last of all.	false	5.58	8.94	21
5740_97610_000003_000000	XXVIII.	twenty eight.	false	8.94	9.96	20.362698
5740_97610_000003_000001	CHRISTMAS IN SEVENTEEN SEVENTY-SIX*	CHRISTMAS IN SEVENTEEN SEVENTY SIX asterisk	false	9.96	12	8
5740_97610_000004_000000	*From "A Last Century Maid and Other Stories for Children," by A.H.W. Lippincott, 1895.	asterisk From "A Last Century Maid and Other Stories for Children," by a h w Lippincott, eighteen ninety five.	false	12	27.09	21.397793
5740_97610_000005_000000	ANNE HOLLINGSWORTH WHARTON	ANNE HOLLINGSWORTH WHARTON	true	27.09	29.62	28.05623
5740_97610_000006_000000	"On Christmas day in Seventy-six, Our gallant troops with bayonets fixed, To Trenton marched away."	"On Christmas day in Seventy six, Our gallant troops with bayonets fixed, To Trenton marched away."	true	30.53	37.81	23.713884
5740_97610_000007_000000	Children, have any of you ever thought of what little people like you were doing in this country more than a hundred years ago, when the cruel tide of war swept over its bosom?	Children, have any of you ever thought of what little people like you were doing in this country more than a hundred years ago, when the cruel tide of war swept over its bosom?	true	38.33	48.34	23
5740_97610_000007_000001	From many homes the fathers were absent, fighting bravely for the liberty which we now enjoy, while the mothers no less valiantly struggled against hardships and discomforts in order to keep a home for their children, whom you only know as your great-grandfathers and great-grandmothers, dignified gentlemen and beautiful ladies, whose painted portraits hang upon the walls in some of your homes.	From many homes the fathers were absent, fighting bravely for the liberty which we now enjoy, while the mothers no less valiantly struggled against hardships and discomforts in order to keep a home for their children, whom you only know as your great grandfathers and great grandmothers, dignified gentlemen and beautiful ladies, whose painted portraits hang upon the walls in some of your homes.	true	48.92	73.51	22.05182
5740_97610_000007_000002	Merry, romping children they were in those far-off times, yet their bright faces must have looked grave sometimes, when they heard the grown people talk of the great things that were happening around them.	Merry, romping children they were in those far off times, yet their bright faces must have looked grave sometimes, when they heard the grown people talk of the great things that were happening around them.	true	73.82	85.93	22.57573
5740_97610_000007_000003	Some of these little people never forgot the wonderful events of which they heard, and afterward related them to their children and grandchildren, which accounts for some of the interesting stories which you may still hear, if you are good children.	Some of these little people never forgot the wonderful events of which they heard, and afterward related them to their children and grandchildren, which accounts for some of the interesting stories which you may still hear, if you are good children.	true	86.33	100.06	21
5740_97610_000008_000000	The Christmas story that I have to tell you is about a boy and girl who lived in Bordentown, New Jersey.	The Christmas story that I have to tell you is about a boy and girl who lived in bordentown new jersey.	true	100.73	107.35	18
5740_97610_000008_000001	The father of these children was a soldier in General Washington's army, which was encamped a few miles north of Trenton, on the Pennsylvania side of the Delaware River. Bordentown, as you can see by looking on your map, if you have not hidden them all away for the holidays, is about seven miles south of Trenton, where fifteen hundred Hessians and a troop of British light horse were holding the town.	The father of these children was a soldier in General Washington's army, which was encamped a few miles north of Trenton, on the Pennsylvania side of the Delaware River. Bordentown, as you can see by looking on your map, if you have not hidden them all away for the holidays, is about seven miles south of Trenton, where fifteen hundred Hessians and a troop of British light horse were holding the town.	true	107.6	132.73	22.240482
5740_97610_000008_000002	Thus you see that the British, in force, were between Washington's army and Bordentown, besides which there were some British and Hessian troops in the very town.	Thus you see that the British, in force, were between Washington's army and Bordentown, besides which there were some British and Hessian troops in the very town.	true	133.13	143.77	21.319017
5740_97610_000008_000003	All this seriously interfered with Captain Tracy's going home to eat his Christmas dinner with his wife and children.	All this seriously interfered with Captain Tracy's going home to eat his Christmas dinner with his wife and children.	false	144.11	150.585	18
5740_97610_000008_000004	Kitty and Harry Tracy, who had not lived long enough to see many wars, could not imagine such a thing as Christmas without their father, and had busied themselves for weeks in making everything ready to have a merry time with him.	Kitty and Harry Tracy, who had not lived long enough to see many wars, could not imagine such a thing as Christmas without their father, and had busied themselves for weeks in making everything ready to have a merry time with him.	false	150.585	163.66	22
5740_97610_000008_000005	Kitty, who loved to play quite as much as any frolicsome Kitty of to-day, had spent all her spare time in knitting a pair of thick woollen stockings, which seems a wonderful feat for a little girl only eight years old to perform!	Kitty, who loved to play quite as much as any frolicsome Kitty of to day, had spent all her spare time in knitting a pair of thick woollen stockings, which seems a wonderful feat for a little girl only eight years old to perform!	true	164.12	177.4	23.15192
5740_97610_000008_000006	Can you not see her sitting by the great chimney-place, filled with its roaring, crackling logs, in her quaint, short-waisted dress, knitting away steadily, and puckering up her rosy, dimpled face over the strange twists and turns of that old stocking?	Can you not see her sitting by the great chimney place, filled with its roaring, crackling logs, in her quaint, short waisted dress, knitting away steadily, and puckering up her rosy, dimpled face over the strange twists and turns of that old stocking?	true	177.65	193.15	22.667086
5740_97610_000008_000007	I can see her, and I can also hear her sweet voice as she chatters away to her mother about "how 'sprised papa will be to find that his little girl can knit like a grown-up woman," while Harry spreads out on the hearth a goodly store of shellbarks that he has gathered and is keeping for his share of the 'sprise.	I can see her, and I can also hear her sweet voice as she chatters away to her mother about "how 'sprised papa will be to find that his little girl can knit like a grown up woman," while Harry spreads out on the hearth a goodly store of shellbarks that he has gathered and is keeping for his share of the 'sprise.	false	193.46	213.48	22.385208
5740_97610_000009_000000	"What if he shouldn't come?" asks Harry, suddenly.	"What if he shouldn't come?" asks Harry, suddenly.	false	213.48	216.01	26
5740_97610_000010_000000	"Oh, he'll come!	"Oh, he'll come!	true	216.02	217.48	22.629921
