580_126945_000003_000000	CHAPTER I	CHAPTER one
580_126945_000005_000000	Thucydides, an Athenian, wrote the history of the war between the Peloponnesians and the Athenians, beginning at the moment that it broke out, and believing that it would be a great war and more worthy of relation than any that had preceded it.	Thucydides, an Athenian, wrote the history of the war between the Peloponnesians and the Athenians, beginning at the moment that it broke out, and believing that it would be a great war and more worthy of relation than any that had preceded it.
580_126945_000005_000001	This belief was not without its grounds.	This belief was not without its grounds.
580_126945_000005_000002	The preparations of both the combatants were in every department in the last state of perfection; and he could see the rest of the Hellenic race taking sides in the quarrel; those who delayed doing so at once having it in contemplation.	The preparations of both the combatants were in every department in the last state of perfection; and he could see the rest of the Hellenic race taking sides in the quarrel; those who delayed doing so at once having it in contemplation.
580_126945_000005_000003	Indeed this was the greatest movement yet known in history, not only of the Hellenes, but of a large part of the barbarian world--I had almost said of mankind.	Indeed this was the greatest movement yet known in history, not only of the Hellenes, but of a large part of the barbarian world-I had almost said of mankind.
580_126945_000006_000002	The richest soils were always most subject to this change of masters; such as the district now called Thessaly, Boeotia, most of the Peloponnese, Arcadia excepted, and the most fertile parts of the rest of Hellas.	The richest soils were always most subject to this change of masters; such as the district now called Thessaly, Boeotia, most of the Peloponnese, Arcadia excepted, and the most fertile parts of the rest of Hellas.
580_126945_000006_000003	The goodness of the land favoured the aggrandizement of particular individuals, and thus created faction which proved a fertile source of ruin.	The goodness of the land favoured the aggrandizement of particular individuals, and thus created faction which proved a fertile source of ruin.
580_126945_000006_000005	Accordingly Attica, from the poverty of its soil enjoying from a very remote period freedom from faction, never changed its inhabitants.	Accordingly Attica, from the poverty of its soil enjoying from a very remote period freedom from faction, never changed its inhabitants.
580_126945_000006_000006	And here is no inconsiderable exemplification of my assertion that the migrations were the cause of there being no correspondent growth in other parts.	And here is no inconsiderable exemplification of my assertion that the migrations were the cause of there being no correspondent growth in other parts.
580_126945_000006_000007	The most powerful victims of war or faction from the rest of Hellas took refuge with the Athenians as a safe retreat; and at an early period, becoming naturalized, swelled the already large population of the city to such a height that Attica became at last too small to hold them, and they had to send out colonies to Ionia.	The most powerful victims of war or faction from the rest of Hellas took refuge with the Athenians as a safe retreat; and at an early period, becoming naturalized, swelled the already large population of the city to such a height that Attica became at last too small to hold them, and they had to send out colonies to Ionia.
580_126945_000007_000000	There is also another circumstance that contributes not a little to my conviction of the weakness of ancient times.	There is also another circumstance that contributes not a little to my conviction of the weakness of ancient times.
580_126945_000007_000003	The best proof of this is furnished by Homer.	The best proof of this is furnished by Homer.
580_126945_000008_000000	Indeed, they could not unite for this expedition till they had gained increased familiarity with the sea.	Indeed, they could not unite for this expedition till they had gained increased familiarity with the sea.
580_126945_000008_000002	He made himself master of what is now called the Hellenic sea, and ruled over the Cyclades, into most of which he sent the first colonies, expelling the Carians and appointing his own sons governors; and thus did his best to put down piracy in those waters, a necessary step to secure the revenues for his own use.	He made himself master of what is now called the Hellenic sea, and ruled over the Cyclades, into most of which he sent the first colonies, expelling the Carians and appointing his own sons governors; and thus did his best to put down piracy in those waters, a necessary step to secure the revenues for his own use.
580_126945_000009_000001	They would fall upon a town unprotected by walls, and consisting of a mere collection of villages, and would plunder it; indeed, this came to be the main source of their livelihood, no disgrace being yet attached to such an achievement, but even some glory.	They would fall upon a town unprotected by walls, and consisting of a mere collection of villages, and would plunder it; indeed, this came to be the main source of their livelihood, no disgrace being yet attached to such an achievement, but even some glory.
580_126945_000009_000002	An illustration of this is furnished by the honour with which some of the inhabitants of the continent still regard a successful marauder, and by the question we find the old poets everywhere representing the people as asking of voyagers--"Are they pirates?"--as if those who are asked the question would have no idea of disclaiming the imputation, or their interrogators of reproaching them for it.	An illustration of this is furnished by the honour with which some of the inhabitants of the continent still regard a successful marauder, and by the question we find the old poets everywhere representing the people as asking of voyagers-"Are they pirates?"--as if those who are asked the question would have no idea of disclaiming the imputation, or their interrogators of reproaching them for it.
580_126945_000010_000001	And the fact that the people in these parts of Hellas are still living in the old way points to a time when the same mode of life was once equally common to all.	And the fact that the people in these parts of Hellas are still living in the old way points to a time when the same mode of life was once equally common to all.
580_126945_000010_000004	Formerly, even in the Olympic contests, the athletes who contended wore belts across their middles; and it is but a few years since that the practice ceased.	Formerly, even in the Olympic contests, the athletes who contended wore belts across their middles; and it is but a few years since that the practice ceased.
580_126945_000010_000005	To this day among some of the barbarians, especially in Asia, when prizes for boxing and wrestling are offered, belts are worn by the combatants.	To this day among some of the barbarians, especially in Asia, when prizes for boxing and wrestling are offered, belts are worn by the combatants.
580_126945_000010_000006	And there are many other points in which a likeness might be shown between the life of the Hellenic world of old and the barbarian of to-day.	And there are many other points in which a likeness might be shown between the life of the Hellenic world of old and the barbarian of to day.
580_126945_000011_000000	With respect to their towns, later on, at an era of increased facilities of navigation and a greater supply of capital, we find the shores becoming the site of walled towns, and the isthmuses being occupied for the purposes of commerce and defence against a neighbour.	With respect to their towns, later on, at an era of increased facilities of navigation and a greater supply of capital, we find the shores becoming the site of walled towns, and the isthmuses being occupied for the purposes of commerce and defence against a neighbour.
580_126945_000011_000001	But the old towns, on account of the great prevalence of piracy, were built away from the sea, whether on the islands or the continent, and still remain in their old sites.	But the old towns, on account of the great prevalence of piracy, were built away from the sea, whether on the islands or the continent, and still remain in their old sites.
580_126945_000011_000002	For the pirates used to plunder one another, and indeed all coast populations, whether seafaring or not.	For the pirates used to plunder one another, and indeed all coast populations, whether seafaring or not.
580_126945_000012_000000	The islanders, too, were great pirates.	The islanders, too, were great pirates.
