580_126947_000000_000000	CHAPTER III	CHAPTER three	true	25.17	26.16	17
580_126947_000001_000000	_Congress of the Peloponnesian Confederacy at Lacedaemon_	underscore Congress of the Peloponnesian Confederacy at Lacedaemon underscore	false	26.16	32.64	19.103054
580_126947_000002_000000	The Athenians and Peloponnesians had these antecedent grounds of complaint against each other: the complaint of Corinth was that her colony of Potidaea, and Corinthian and Peloponnesian citizens within it, were being besieged; that of Athens against the Peloponnesians that they had incited a town of hers, a member of her alliance and a contributor to her revenue, to revolt, and had come and were openly fighting against her on the side of the Potidaeans.	The Athenians and Peloponnesians had these antecedent grounds of complaint against each other: the complaint of Corinth was that her colony of Potidaea, and Corinthian and Peloponnesian citizens within it, were being besieged; that of Athens against the Peloponnesians that they had incited a town of hers, a member of her alliance and a contributor to her revenue, to revolt, and had come and were openly fighting against her on the side of the Potidaeans.	false	32.64	62.5	19.093668
580_126947_000002_000001	For all this, war had not yet broken out: there was still truce for a while; for this was a private enterprise on the part of Corinth.	For all this, war had not yet broken out: there was still truce for a while; for this was a private enterprise on the part of Corinth.	true	63.32	73.03	19.973215
580_126947_000003_000000	But the siege of Potidaea put an end to her inaction; she had men inside it: besides, she feared for the place.	But the siege of Potidaea put an end to her inaction; she had men inside it: besides, she feared for the place.	true	74.21	82.51	20.25453
580_126947_000003_000001	Immediately summoning the allies to Lacedaemon, she came and loudly accused Athens of breach of the treaty and aggression on the rights of Peloponnese.	Immediately summoning the allies to Lacedaemon, she came and loudly accused Athens of breach of the treaty and aggression on the rights of Peloponnese.	true	84.08	92.65	18.911392
580_126947_000003_000002	With her, the Aeginetans, formally unrepresented from fear of Athens, in secret proved not the least urgent of the advocates for war, asserting that they had not the independence guaranteed to them by the treaty.	With her, the Aeginetans, formally unrepresented from fear of Athens, in secret proved not the least urgent of the advocates for war, asserting that they had not the independence guaranteed to them by the treaty.	true	93.14	106.06	18.501287
580_126947_000003_000003	After extending the summons to any of their allies and others who might have complaints to make of Athenian aggression, the Lacedaemonians held their ordinary assembly, and invited them to speak.	After extending the summons to any of their allies and others who might have complaints to make of Athenian aggression, the Lacedaemonians held their ordinary assembly, and invited them to speak.	true	106.61	118.48	18.431658
580_126947_000003_000004	There were many who came forward and made their several accusations; among them the Megarians, in a long list of grievances, called special attention to the fact of their exclusion from the ports of the Athenian empire and the market of Athens, in defiance of the treaty.	There were many who came forward and made their several accusations; among them the Megarians, in a long list of grievances, called special attention to the fact of their exclusion from the ports of the Athenian empire and the market of Athens, in defiance of the treaty.	false	119.24	134.71	17.769966
580_126947_000003_000005	Last of all the Corinthians came forward, and having let those who preceded them inflame the Lacedaemonians, now followed with a speech to this effect:	Last of all the Corinthians came forward, and having let those who preceded them inflame the Lacedaemonians, now followed with a speech to this effect:	false	135.26	143.82	19.005589
580_126947_000004_000000	"Lacedaemonians! the confidence which you feel in your constitution and social order, inclines you to receive any reflections of ours on other powers with a certain scepticism.	"Lacedaemonians! the confidence which you feel in your constitution and social order, inclines you to receive any reflections of ours on other powers with a certain scepticism.	false	143.82	155.32	17.581985
