5883_59268_000000_000000	THE SHOOTING-MATCH	THE SHOOTING MATCH	false	8.595	19.21	22.450588
5883_59268_000001_000000	BY A.B.	BY a b	true	19.22	20.28	19
5883_59268_000001_000001	LONGSTREET	LONGSTREET	true	20.28	21.25	29.115284
5883_59268_000002_000000	Shooting-matches are probably nearly coeval with the colonization of Georgia.	Shooting matches are probably nearly coeval with the colonization of Georgia.	true	22.01	26.35	14
5883_59268_000002_000001	They are still common throughout the Southern States, though they are not as common as they were twenty-five or thirty years ago. Chance led me to one about a year ago.	They are still common throughout the Southern States, though they are not as common as they were twenty five or thirty years ago. Chance led me to one about a year ago.	true	26.69	35.5	22.848137
5883_59268_000002_000002	I was traveling in one of the northeastern counties, when I overtook a swarthy, bright-eyed, smirky little fellow, riding a small pony, and bearing on his shoulder a long, heavy rifle, which, judging from its looks, I should say had done service in Morgan's corps.	I was traveling in one of the northeastern counties, when I overtook a swarthy, bright eyed, smirky little fellow, riding a small pony, and bearing on his shoulder a long, heavy rifle, which, judging from its looks, I should say had done service in Morgan's corps.	false	35.66	49.75	17
5883_59268_000003_000000	"Good morning, sir!" said I, reining up my horse as I came beside him.	"Good morning, sir!" said I, reining up my horse as I came beside him.	true	50.18	54.4	17.856062
5883_59268_000004_000000	"How goes it, stranger?" said he, with a tone of independence and self-confidence that awakened my curiosity to know a little of his character.	"How goes it, stranger?" said he, with a tone of independence and self confidence that awakened my curiosity to know a little of his character.	true	54.62	63.25	20
5883_59268_000005_000000	"Going driving?" inquired I.	"Going driving?" inquired i	true	63.53	65.59	26
5883_59268_000006_000000	"Not exactly," replied he, surveying my horse with a quizzical smile; "I haven't been a driving _by myself_ for a year or two; and my nose has got so bad lately, I can't carry a cold trail _without hounds to help me_."	"Not exactly," replied he, surveying my horse with a quizzical smile; "I haven't been a driving underscore by myself underscore for a year or two; and my nose has got so bad lately, I can't carry a cold trail underscore without hounds to help me underscore."	false	65.87	80.07	21.659853
5883_59268_000007_000000	Alone, and without hounds as he was, the question was rather a silly one; but it answered the purpose for which it was put, which was only to draw him into conversation, and I proceeded to make as decent a retreat as I could.	Alone, and without hounds as he was, the question was rather a silly one; but it answered the purpose for which it was put, which was only to draw him into conversation, and I proceeded to make as decent a retreat as I could.	false	80.07	91.45	16
5883_59268_000008_000000	"I didn't know," said I, "but that you were going to meet the huntsmen, or going to your stand."	"I didn't know," said I, "but that you were going to meet the huntsmen, or going to your stand."	true	91.94	97.06	18
5883_59268_000009_000000	"Ah, sure enough," rejoined he, "that _mout_ be a bee, as the old woman said when she killed a wasp.	"Ah, sure enough," rejoined he, "that underscore mout underscore be a bee, as the old woman said when she killed a wasp.	false	97.13	103.42	21.849888
5883_59268_000009_000001	It seems to me I ought to know you."	It seems to me I ought to know you."	true	103.43	106.12	22.933733
5883_59268_000010_000000	"Well, if you _ought_, why _don't_ you?"	"Well, if you underscore ought underscore, why underscore don't underscore you?"	false	106.43	108.7	25.681564
5883_59268_000011_000000	"What _mout_ your name be?"	"What underscore mout underscore your name be?"	false	109.49	111.1	20.425774
5883_59268_000012_000000	"It _might_ be anything," said I, with a borrowed wit, for I knew my man and knew what kind of conversation would please him most.	"It underscore might underscore be anything," said I, with a borrowed wit, for I knew my man and knew what kind of conversation would please him most.	false	111.74	119.86	23
5883_59268_000013_000000	"Well, what _is_ it, then?"	"Well, what underscore is underscore it, then?"	false	120.44	122.23	23.462185
5883_59268_000014_000000	"It _is_ Hall," said I; "but you know it might as well have been anything else."	"It underscore is underscore Hall," said I; "but you know it might as well have been anything else."	false	122.96	127.39	18.78762
5883_59268_000015_000000	"Pretty digging!" said he.	"Pretty digging!" said he.	true	128.09	130.6	20.251709
5883_59268_000015_000001	"I find you're not the fool I took you to be; so here's to a better acquaintance with you."	"I find you're not the fool I took you to be; so here's to a better acquaintance with you."	true	130.76	135.55	25.349522
