589_146346_000001_000000	CHAPTER VII	CHAPTER seven
589_146346_000002_000000	THE COUNTESS DE SANTIAGO	THE COUNTESS DE SANTIAGO
589_146346_000004_000000	The repetition irritated the girl, whose nerves were strained to snapping point.	The repetition irritated the girl, whose nerves were strained to snapping point.
589_146346_000004_000001	She could not parry the man's questions.	She could not parry the man's questions.
589_146346_000004_000002	She could not bear his grieved or offended reproaches.	She could not bear his grieved or offended reproaches.
589_146346_000004_000003	If he persisted, through these moments of suspense, she would scream or burst out crying.	If he persisted, through these moments of suspense, she would scream or burst out crying.
589_146346_000004_000004	Trembling, with tears in her voice, she heard herself answer.	Trembling, with tears in her voice, she heard herself answer.
589_146346_000004_000005	And yet it did not seem to be herself, but something within, stronger than she, that suddenly took control of her.	And yet it did not seem to be herself, but something within, stronger than she, that suddenly took control of her.
589_146346_000005_000000	"Why should I not wish to tell you?" the Something was saying.	"Why should I not wish to tell you?" the Something was saying.
589_146346_000005_000001	"The name is the same as your own--Smith.	"The name is the same as your own-Smith.
589_146346_000005_000002	Nelson Smith." And before the words had left her lips a taxi drew up at the door.	Nelson Smith." And before the words had left her lips a taxi drew up at the door.
589_146346_000006_000000	There was one instant of agony during which the previous suspense seemed nothing--an instant when the girl forgot what she had said, her soul pressing to the windows of her eyes.	There was one instant of agony during which the previous suspense seemed nothing-an instant when the girl forgot what she had said, her soul pressing to the windows of her eyes.
589_146346_000006_000001	Was it he who had come, or----	Was it he who had come, or----
589_146346_000007_000000	It was he.	It was he.
589_146346_000007_000001	Before she had time to finish the thought, he walked in, confident and smiling as when she had left him a few minutes--or a few years--ago; and in the wave of relief which overwhelmed her, Annesley forgot Ruthven Smith's question and her answer.	Before she had time to finish the thought, he walked in, confident and smiling as when she had left him a few minutes-or a few years-ago; and in the wave of relief which overwhelmed her, Annesley forgot Ruthven Smith's question and her answer.
589_146346_000007_000002	She remembered again, only with the shock of hearing him address the newcomer by the name she had given.	She remembered again, only with the shock of hearing him address the newcomer by the name she had given.
589_146346_000009_000000	"I--he asked me ...	"I-he asked me ...
589_146346_000009_000001	I told him," Annesley stammered, her eyes appealing, seeking to explain, and begging pardon.	I told him," Annesley stammered, her eyes appealing, seeking to explain, and begging pardon.
589_146346_000009_000002	"But if----"	"But if----"
589_146346_000010_000000	"Quite right.	"Quite right.
589_146346_000011_000002	Not only did he shake hands, but actually came out to the taxi with them, asking Annesley if he should tell his cousins of her engagement, or if she preferred to give the news herself?	Not only did he shake hands, but actually came out to the taxi with them, asking Annesley if he should tell his cousins of her engagement, or if she preferred to give the news herself?
589_146346_000012_000001	She dared not make such a suggestion without consulting the other person most concerned, so she answered that she would write Mrs. Smith or see her.	She dared not make such a suggestion without consulting the other person most concerned, so she answered that she would write mrs Smith or see her.
589_146346_000013_000001	"Well, you can trust me with Mrs. Ellsworth.	"Well, you can trust me with mrs Ellsworth.
589_146346_000013_000004	I'll remind her of it if you like--tell her you asked me.	I'll remind her of it if you like-tell her you asked me.
