5940_54613_000000_000000	[Illustration]	[Illustration]	false	0	0.6	15
5940_54613_000001_000000	_The Moral_	underscore The Moral underscore	false	0.6	2.37	20
5940_54613_000002_000000	_Money and jewels still, we find, Stamp strong impressions on the mind. But sweet discourse more potent riches yields; Of higher value is the pow'r it wields._	underscore Money and jewels still, we find, Stamp strong impressions on the mind. But sweet discourse more potent riches yields; Of higher value is the pow'r it wields.underscore	false	2.37	8.85	17.25836
5940_54613_000003_000000	_Another_	underscore Another underscore	false	8.85	9.6	29
5940_54613_000004_000000	_Civil behaviour costs indeed some pains, Requires of complaisance some little share; But soon or late its due reward it gains, And meets it often when we're not aware._	underscore Civil behaviour costs indeed some pains, Requires of complaisance some little share; But soon or late its due reward it gains, And meets it often when we're not aware.underscore	false	9.6	17.4	17.17587
5940_54613_000005_000000	_Blue Beard_	underscore Blue Beard underscore	false	17.4	19.08	20.438837
5940_54613_000006_000000	[Illustration]	[Illustration]	false	19.08	19.5	14
5940_54613_000007_000000	[Illustration: "'WHAT, IS NOT THE KEY OF MY CLOSET AMONG THE REST?'" (_page 40_)]	[Illustration: "'WHAT, IS NOT THE KEY OF MY CLOSET AMONG THE REST?'" (underscore page forty underscore)]	false	19.5	26.64	17.255764
5940_54613_000008_000000	Blue Beard	Blue Beard	true	26.64	27.46	19.060184
5940_54613_000009_000000	There was a man who had fine houses, both in town and country, a deal of silver and gold plate, embroidered furniture, and coaches gilded all over with gold.	There was a man who had fine houses, both in town and country, a deal of silver and gold plate, embroidered furniture, and coaches gilded all over with gold.	true	28.34	38.59	17
5940_54613_000009_000001	But this man had the misfortune to have a blue beard, which made him so frightfully ugly, that all the women and girls ran away from him.	But this man had the misfortune to have a blue beard, which made him so frightfully ugly, that all the women and girls ran away from him.	true	38.93	47.17	15
5940_54613_000010_000000	One of his neighbours, a lady of quality, had two daughters who were perfect beauties.	One of his neighbours, a lady of quality, had two daughters who were perfect beauties.	true	47.72	52.9	20
5940_54613_000010_000001	He desired of her one of them in marriage, leaving to her the choice which of the two she would bestow upon him.	He desired of her one of them in marriage, leaving to her the choice which of the two she would bestow upon him.	true	53.36	59.59	17
5940_54613_000010_000002	They would neither of them have him, and each made the other welcome of him, being not able to bear the thought of marrying a man who had a blue beard.	They would neither of them have him, and each made the other welcome of him, being not able to bear the thought of marrying a man who had a blue beard.	true	60.11	68.77	16
5940_54613_000010_000003	And what besides gave them disgust and aversion, was his having already been married to several wives, and nobody ever knew what became of them.	And what besides gave them disgust and aversion, was his having already been married to several wives, and nobody ever knew what became of them.	true	69.47	78.25	17
5940_54613_000011_000000	Blue Beard, to engage their affection, took them, with the lady their mother, and three or four ladies of their acquaintance, with other young people of the neighbourhood, to one of his country seats, where they stayed a whole week.	Blue Beard, to engage their affection, took them, with the lady their mother, and three or four ladies of their acquaintance, with other young people of the neighbourhood, to one of his country seats, where they stayed a whole week.	true	79.01	91.84	17
