6120_14976_000000_000000	So passed the first winter and spring in the little pink-and-white house.	So passed the first winter and spring in the little pink and white house.	false	0	7.77	24.182724
6120_14976_000000_000001	And with the first week of vacation there came visitors.	And with the first week of vacation there came visitors.	false	7.77	21.21	22.760445
6120_14976_000001_000000	CHAPTER XXIV	CHAPTER twenty four	true	21.21	22.51	29.979954
6120_14976_000002_000000	"Guardy Lud" was the first visitor, just for a night and a day.	"Guardy Lud" was the first visitor, just for a night and a day.	true	23.84	27.82	22.748072
6120_14976_000002_000001	He had come East for a flying business trip, and could not pass by his beloved wards without at least a glimpse.	He had come East for a flying business trip, and could not pass by his beloved wards without at least a glimpse.	true	28.07	34.66	24.563223
6120_14976_000002_000002	He dropped down into their midst quite unexpectedly the night before college closed, and found them with a bevy of young people at the supper-table, who opened their ranks right heartily, and took him in.	He dropped down into their midst quite unexpectedly the night before college closed, and found them with a bevy of young people at the supper table, who opened their ranks right heartily, and took him in.	true	34.91	45.1	29
6120_14976_000002_000003	He sat on the terrace in the moonlight with them afterwards, joking, telling them stories, and eating chocolates with the rest.	He sat on the terrace in the moonlight with them afterwards, joking, telling them stories, and eating chocolates with the rest.	true	45.35	52.12	22.082012
6120_14976_000002_000004	When they gathered about the piano for a sing, he joined in with a good old tenor, surprising them all by knowing a lot of the songs they sang.	When they gathered about the piano for a sing, he joined in with a good old tenor, surprising them all by knowing a lot of the songs they sang.	false	52.58	60.51	23.087917
6120_14976_000003_000000	After the young people were gone he lingered, wiping his eyes, and saying, "Bless my soul!" thoughtfully.	After the young people were gone he lingered, wiping his eyes, and saying, "Bless my soul!" thoughtfully.	true	60.51	66.88	23.715425
6120_14976_000003_000001	He told Julia Cloud over and over again how more than pleased he was with what she had done for his children, and insisted that her salary should be twice as large.	He told Julia Cloud over and over again how more than pleased he was with what she had done for his children, and insisted that her salary should be twice as large.	true	67.1	76.74	22.70341
6120_14976_000003_000002	He told her she was a big success, and should have more money at her command to do with as she pleased, and that he wanted the children to have a larger allowance during the coming year.	He told her she was a big success, and should have more money at her command to do with as she pleased, and that he wanted the children to have a larger allowance during the coming year.	false	76.74	85.51	20.897173
6120_14976_000003_000003	Allison had spoken of his work among the young people of the church, and he felt that it would have been the wish of their father and mother both that the young people should give liberally toward church-work.	Allison had spoken of his work among the young people of the church, and he felt that it would have been the wish of their father and mother both that the young people should give liberally toward church work.	false	86.06	96.07	25.705835
6120_14976_000003_000004	He would see that a sum was set aside in the bank for their use in any such plans as they might have for their Christian Endeavor work.	He would see that a sum was set aside in the bank for their use in any such plans as they might have for their Christian Endeavor work.	true	96.14	103.84	21.619757
6120_14976_000004_000000	They talked far into the night, for he had to hear all the stories of all their doings, and every minute or two one or the other of the children would break in to tell something about the other or to praise their dear Cloudy Jewel for her part in everything.	They talked far into the night, for he had to hear all the stories of all their doings, and every minute or two one or the other of the children would break in to tell something about the other or to praise their dear Cloudy Jewel for her part in everything.	true	104.12	116.62	25.816553
6120_14976_000005_000000	The next day they took him everywhere and showed him everything about the college and the place, introduced him to their favorite professors, at least those who were not already gone on their vacations, and took him for a long drive past their favorite haunts. Then he had to meet Jane Bristol and Howard Letchworth.	The next day they took him everywhere and showed him everything about the college and the place, introduced him to their favorite professors, at least those who were not already gone on their vacations, and took him for a long drive past their favorite haunts. Then he had to meet Jane Bristol and Howard Letchworth.	true	117.08	133.155	22.523071
6120_14976_000005_000001	Julia Cloud was greatly relieved and delighted when he set his approval upon both these young people as suitable friends for the children.	Julia Cloud was greatly relieved and delighted when he set his approval upon both these young people as suitable friends for the children.	false	133.155	140.89	25.89222
6120_14976_000006_000000	"They are both poor and earning their own living," said Julia Cloud, feeling that in view of the future and what it might contain she wanted to be entirely honest, that the weight of responsibility should not rest too heavily upon her.	"They are both poor and earning their own living," said Julia Cloud, feeling that in view of the future and what it might contain she wanted to be entirely honest, that the weight of responsibility should not rest too heavily upon her.	true	141.86	154.9	23.622131
6120_14976_000007_000000	"All the better for that, no doubt," said Guardy Lud thoughtfully, watching Jane Bristol's sweet smile as she talked over some committee plans with Allison.	"All the better for that, no doubt," said Guardy Lud thoughtfully, watching Jane Bristol's sweet smile as she talked over some committee plans with Allison.	true	155.33	163.33	22.867945
6120_14976_000007_000001	"I should say they were about as wholesome a couple of young people as could be found to match your two.	"I should say they were about as wholesome a couple of young people as could be found to match your two.	true	163.82	168.67	24.509645
6120_14976_000007_000002	Just keep 'em to that kind for a year or two more, and they'll choose that kind for life.	Just keep 'em to that kind for a year or two more, and they'll choose that kind for life.	false	168.92	173.7	29.429121
6120_14976_000007_000003	I'm entirely satisfied with the work you're doing, Miss Cloud.	I'm entirely satisfied with the work you're doing, Miss Cloud.	true	173.7	176.865	22.595182
6120_14976_000007_000004	I couldn't have found a better mother for 'em if I'd searched heaven, I'm sure."	I couldn't have found a better mother for 'em if I'd searched heaven, I'm sure."	true	176.865	180.43	23.773565
6120_14976_000008_000000	And so Julia Cloud was well content to go on with her beloved work as home-maker.	And so Julia Cloud was well content to go on with her beloved work as home maker.	true	180.83	185.65	24.857235
