6167_73972_000000_000000	CHAPTER XX	CHAPTER twenty	false	0.84	28.665	27.137316
6167_73972_000001_000000	THE WORSHIP OF FALSE GODS	THE WORSHIP OF FALSE GODS	true	28.665	30.76	27.299713
6167_73972_000002_000000	Several times during these notes I have spoken in a disparaging manner of the show-table; and I have not done so lightly, but with all the care and thought and power of observation that my limited capacity is worth; and, broadly, I have come to this: that shows, such as those at the fortnightly meetings of the Royal Horticultural Society, and their more important one in the early summer, whose object is to bring together beautiful flowers of all kinds, to a place where they may be seen, are of the utmost value; and that any shows anywhere for a like purpose, and especially where there are no money prizes, are also sure to be helpful. And the test question I put to myself at any show is this, Does this really help the best interests of horticulture?	Several times during these notes I have spoken in a disparaging manner of the show table; and I have not done so lightly, but with all the care and thought and power of observation that my limited capacity is worth; and, broadly, I have come to this: that shows, such as those at the fortnightly meetings of the Royal Horticultural Society, and their more important one in the early summer, whose object is to bring together beautiful flowers of all kinds, to a place where they may be seen, are of the utmost value; and that any shows anywhere for a like purpose, and especially where there are no money prizes, are also sure to be helpful. And the test question I put to myself at any show is this, Does this really help the best interests of horticulture?	false	31.94	84.94	22.778017
6167_73972_000002_000001	And as far as I can see that it does this, I think the show right and helpful; and whenever it does not, I think it harmful and misleading.	And as far as I can see that it does this, I think the show right and helpful; and whenever it does not, I think it harmful and misleading.	true	85.49	95.35	24.883
6167_73972_000003_000000	The love of gardening has so greatly grown and spread within the last few years, that the need of really good and beautiful garden flowers is already far in advance of the demand for the so-called "florists" flowers, by which I mean those that find favour in the exclusive shows of Societies for the growing and exhibition of such flowers as Tulips, Carnations, Dahlias, and Chrysanthemums.	The love of gardening has so greatly grown and spread within the last few years, that the need of really good and beautiful garden flowers is already far in advance of the demand for the so-called "florists" flowers, by which I mean those that find favour in the exclusive shows of Societies for the growing and exhibition of such flowers as Tulips, Carnations, Dahlias, and Chrysanthemums.	true	97.91	122.05	23.003963
6167_73972_000003_000001	In support of this I should like to know what proportion of demand there is, in Dahlias, for instance, between the show kinds, whose aim and object is the show-table, and the decorative kinds, that are indisputably better for garden use.	In support of this I should like to know what proportion of demand there is, in Dahlias, for instance, between the show kinds, whose aim and object is the show table, and the decorative kinds, that are indisputably better for garden use.	false	122.96	138.76	26.05392
6167_73972_000003_000002	Looking at the catalogue of a leading Dahlia nursery, I find that the decorative kinds fill ten pages, while the show kinds, including Pompones, fill only three.	Looking at the catalogue of a leading Dahlia nursery, I find that the decorative kinds fill ten pages, while the show kinds, including Pompones, fill only three.	true	139.82	151.93	27.386267
6167_73972_000003_000003	Is not this some indication of what is wanted in gardens?	Is not this some indication of what is wanted in gardens?	false	152.45	155.74	22.71524
6167_73972_000004_000000	I am of opinion that the show-table is unworthily used when its object is to be an end in itself, and that it should be only a means to a better end, and that when it exhibits what has become merely a "fancy," it loses sight of its honourable position as a trustworthy exponent of horticulture, and has degenerated to a baser use.	I am of opinion that the show table is unworthily used when its object is to be an end in itself, and that it should be only a means to a better end, and that when it exhibits what has become merely a "fancy," it loses sight of its honourable position as a trustworthy exponent of horticulture, and has degenerated to a baser use.	false	157.1	180.82	23.841034
6167_73972_000004_000001	When, as in Chrysanthemum shows, the flowers on the board are of _no use anywhere but on that board_, and for the purpose of gaining a money prize, I hold that the show-table has a debased aim, and a debasing influence.	When, as in Chrysanthemum shows, the flowers on the board are of underscore no use anywhere but on that board underscore, and for the purpose of gaining a money prize, I hold that the show table has a debased aim, and a debasing influence.	false	181.67	197.29	24.918072
6167_73972_000004_000002	Beauty, in all the best sense, is put aside in favour of set rules and measurements, and the production of a thing that is of no use or value; and individuals of a race of plants capable of producing the highest and most delightful forms of beauty, and of brightening our homes, and even gardens, during the dim days of early winter, are teased and tortured and fatted and bloated into ugly and useless monstrosities for no purpose but to gain money.	Beauty, in all the best sense, is put aside in favour of set rules and measurements, and the production of a thing that is of no use or value; and individuals of a race of plants capable of producing the highest and most delightful forms of beauty, and of brightening our homes, and even gardens, during the dim days of early winter, are teased and tortured and fatted and bloated into ugly and useless monstrosities for no purpose but to gain money.	false	198.32	228.27	23.18517
6167_73972_000004_000003	And when private gardeners go to these shows and see how the prizes are awarded, and how all the glory is accorded to the first-prize bloated monster, can we wonder that the effect on their minds is confusing, if not absolutely harmful?	And when private gardeners go to these shows and see how the prizes are awarded, and how all the glory is accorded to the first prize bloated monster, can we wonder that the effect on their minds is confusing, if not absolutely harmful?	false	228.27	244.42	22.8084
6167_73972_000005_000000	Shows of Carnations and Pansies, where the older rules prevail, are equally misleading, where the single flowers are arrayed in a flat circle of paper.	Shows of Carnations and Pansies, where the older rules prevail, are equally misleading, where the single flowers are arrayed in a flat circle of paper.	false	245.63	256.9	23.34785
6167_73972_000005_000001	As with the Chrysanthemum, every sort of trickery is allowed in arranging the petals of the Carnation blooms: petals are pulled out or stuck in, and they are twisted about, and groomed and combed, and manipulated with special tools--"dressed," as the show-word has it--dressed so elaborately that the dressing only stops short of applying actual paint and perfumery.	As with the Chrysanthemum, every sort of trickery is allowed in arranging the petals of the Carnation blooms: petals are pulled out or stuck in, and they are twisted about, and groomed and combed, and manipulated with special tools-"dressed," as the show word has it-dressed so elaborately that the dressing only stops short of applying actual paint and perfumery.	false	256.97	281.35	25.516735
6167_73972_000005_000002	Already in the case of Carnations a better influence is being felt, and at the London shows there are now classes for border Carnations set up in long-stalked bunches just as they grow.	Already in the case of Carnations a better influence is being felt, and at the London shows there are now classes for border Carnations set up in long stalked bunches just as they grow.	true	282.59	295.09	25.059101
6167_73972_000005_000003	It is only like this that their value as outdoor plants can be tested; for many of the show sorts have miserably weak stalks, and a very poor, lanky habit of growth.	It is only like this that their value as outdoor plants can be tested; for many of the show sorts have miserably weak stalks, and a very poor, lanky habit of growth.	true	295.43	306.58	26.253862
