6206_14958_000000_000000	CHAPTER VI	CHAPTER six	false	0.63	6.645	20.117563
6206_14958_000001_000000	The pleasant aromas of coffee and sausages were mingling in the air when "Guardy Lud" woke up and looked about the old-fashioned room with a sense of satisfaction.	The pleasant aromas of coffee and sausages were mingling in the air when "Guardy Lud" woke up and looked about the old-fashioned room with a sense of satisfaction.	false	6.645	28.72	21.70269
6206_14958_000001_000001	The very pictures on the walls rested him, they reminded him so much of the rooms in his boyhood home.	The very pictures on the walls rested him, they reminded him so much of the rooms in his boyhood home.	true	29.12	35.44	21
6206_14958_000001_000002	He had a feeling that old-fashioned things were best, and in spite of the fact that he owned a house most different from this one himself and knew that his wife would not for a minute have tolerated any old-fashioned things about unless they were so old-fashioned that they had become the latest rage, he could not help feeling that a woman brought up amid such simple surroundings would be the very best kind to mother these orphan children who had been left on his helpless hands.	He had a feeling that old-fashioned things were best, and in spite of the fact that he owned a house most different from this one himself and knew that his wife would not for a minute have tolerated any old-fashioned things about unless they were so old-fashioned that they had become the latest rage, he could not help feeling that a woman brought up amid such simple surroundings would be the very best kind to mother these orphan children who had been left on his helpless hands.	true	35.69	61.54	20
6206_14958_000001_000003	He would have loved to take them to his heart and his home; but his wife was not so minded, and that ended it.	He would have loved to take them to his heart and his home; but his wife was not so minded, and that ended it.	true	61.88	67.75	22.811438
6206_14958_000001_000004	But it rolled a great burden from his shoulders to feel that he might leave them in such capable hands.	But it rolled a great burden from his shoulders to feel that he might leave them in such capable hands.	true	67.97	73.06	18
6206_14958_000002_000000	They had a rollicking time at breakfast, for Guardy Lud was delighted with the crisp brown sausages, fried potatoes, and buckwheats with real maple-syrup; and he laughed, and ate, and told stories with the children, and kept the old dining-room walls ringing with joy as they had not resounded within the memory of Julia Cloud.	They had a rollicking time at breakfast, for Guardy Lud was delighted with the crisp brown sausages, fried potatoes, and buckwheats with real maple syrup; and he laughed, and ate, and told stories with the children, and kept the old dining room walls ringing with joy as they had not resounded within the memory of Julia Cloud.	true	73.52	91.18	21
6206_14958_000002_000001	Then suddenly the door opened, and there stood Ellen Robinson, disapproval and hauteur written in every line of her unpleasant face!	Then suddenly the door opened, and there stood Ellen Robinson, disapproval and hauteur written in every line of her unpleasant face!	false	91.25	98.95	23.52783
6206_14958_000002_000002	One could hardly imagine how those two, Julia and Ellen, could possibly be sisters.	One could hardly imagine how those two, Julia and Ellen, could possibly be sisters.	true	99.26	104.02	17
6206_14958_000003_000000	Dismay filled Julia Cloud's heart for an instant, and brought a pallor to her cheek.	Dismay filled Julia Cloud's heart for an instant, and brought a pallor to her cheek.	true	104.54	109.18	25.780764
6206_14958_000003_000001	How had she forgotten Ellen?	How had she forgotten Ellen?	true	109.49	111.31	21
6206_14958_000003_000002	What a fool she had been to tell Ellen to come early in the morning!	What a fool she had been to tell Ellen to come early in the morning!	true	111.47	114.79	18
6206_14958_000003_000003	But she had not realized that Mr. Luddington would be willing to come out to her humble home and stay all night.	But she had not realized that mr Luddington would be willing to come out to her humble home and stay all night.	true	115.01	120.22	16
6206_14958_000003_000004	She had supposed that the arrangements would be made in the city.	She had supposed that the arrangements would be made in the city.	true	120.32	123.31	18
6206_14958_000003_000005	However, it could not be helped now; and a glance at the kind, strong face of the white-haired man gave her courage.	However, it could not be helped now; and a glance at the kind, strong face of the white haired man gave her courage.	true	123.47	129.4	22
6206_14958_000003_000006	Ellen could not really spoil their plans with him there.	Ellen could not really spoil their plans with him there.	true	129.86	132.31	15
6206_14958_000003_000007	He felt that the arrangement was good, and with him to back her she felt she could stand out against any arguments her sister might bring forth.	He felt that the arrangement was good, and with him to back her she felt she could stand out against any arguments her sister might bring forth.	true	132.74	139.84	20
6206_14958_000004_000000	So she rose with a natural ease, and introduced her.	So she rose with a natural ease, and introduced her.	true	140.48	143.65	13
6206_14958_000004_000001	"My sister Mrs. Robinson, Mr. Luddington"; and Ellen stiffly and still disapprovingly acknowledged the introduction.	"My sister mrs Robinson, mr Luddington"; and Ellen stiffly and still disapprovingly acknowledged the introduction.	true	143.9	151.03	19
6206_14958_000005_000000	"I won't interrupt," she said disagreeably.	"I won't interrupt," she said disagreeably.	true	151.7	154.06	19.506346
6206_14958_000005_000001	"I'm just going up to look over some of my mother's things." And she turned to the back stairway, and went up, closing the door behind her.	"I'm just going up to look over some of my mother's things." And she turned to the back stairway, and went up, closing the door behind her.	true	154.31	161.11	20.291649
6206_14958_000006_000000	Mr. Luddington gazed after her a second; and then, taking his glasses off and wiping them energetically, he remarked:	mr Luddington gazed after her a second; and then, taking his glasses off and wiping them energetically, he remarked:	true	161.6	168.43	20
6206_14958_000007_000000	"Well, well, bless my soul!	"Well, well, bless my soul!	true	168.59	170.415	17
6206_14958_000007_000001	It must be getting late!	It must be getting late!	true	170.415	171.91	25
6206_14958_000007_000002	We've had such a good time I didn't realize.	We've had such a good time I didn't realize.	true	172.37	174.97	17
6206_14958_000007_000003	Those certainly were good buckwheats, Miss Cloud.	Those certainly were good buckwheats, Miss Cloud.	true	175.04	177.705	22
6206_14958_000007_000004	I shan't forget them very soon.	I shan't forget them very soon.	true	177.705	179.62	21.329739
6206_14958_000007_000005	And now I suppose we'd better get down to business.	And now I suppose we'd better get down to business.	true	179.66	182.445	17
6206_14958_000007_000006	Could we just go into the other room there, and close the door for a few minutes, not to be interrupted?" and he cast an anxious glance toward the stair-door again.	Could we just go into the other room there, and close the door for a few minutes, not to be interrupted?" and he cast an anxious glance toward the stair door again.	true	182.445	191.17	22
6206_14958_000008_000000	Julia Cloud smiled understandingly, and ushered them into the little parlor ablaze with fall sunshine, its windows wreathed about with crimsoning woodbine; and, as she caught the glow and glint from the window, she remembered the gray evening when she had looked out across into her future as she supposed it would be.	Julia Cloud smiled understandingly, and ushered them into the little parlor ablaze with fall sunshine, its windows wreathed about with crimsoning woodbine; and, as she caught the glow and glint from the window, she remembered the gray evening when she had looked out across into her future as she supposed it would be.	true	191.54	208.39	20
6206_14958_000008_000001	How beautiful and wonderful that the gray had changed to glow!	How beautiful and wonderful that the gray had changed to glow!	true	208.61	212.05	18
