6233_61741_000000_000000	CHAPTER THIRTY SEVEN.	CHAPTER THIRTY SEVEN.	false	1.59	4.74	19.731028
6233_61741_000001_000000	A MAN MISSING.	A MAN MISSING.	false	4.74	25.06	21.907001
6233_61741_000002_000000	The breakfast bell of Casa del Corvo had sounded its second and last summons--preceded by a still earlier signal from a horn, intended to call in the stragglers from remote parts of the plantation.	The breakfast bell of Casa del Corvo had sounded its second and last summons-preceded by a still earlier signal from a horn, intended to call in the stragglers from remote parts of the plantation.	true	26.39	38.23	18
6233_61741_000003_000000	The "field hands" labouring near had collected around the "quarter;" and in groups, squatted upon the grass, or seated upon stray logs, were discussing their diet--by no means spare--of "hog and hominy" corn-bread and "corn-coffee," with a jocosity that proclaimed a keen relish of these, their ordinary comestibles.	The "field hands" labouring near had collected around the "quarter;" and in groups, squatted upon the grass, or seated upon stray logs, were discussing their diet-by no means spare-of "hog and hominy" corn bread and "corn coffee," with a jocosity that proclaimed a keen relish of these, their ordinary comestibles.	true	38.93	58.21	20
6233_61741_000004_000000	The planter's family assembled in the _sala_ were about to begin breakfast, when it was discovered that one of its members was missing.	The planter's family assembled in the underscore sala underscore were about to begin breakfast, when it was discovered that one of its members was missing.	false	59.39	66.64	19
6233_61741_000005_000000	Henry was the absent one.	Henry was the absent one.	true	67.01	69.04	20.74308
6233_61741_000006_000000	At first there was but little notice taken of the circumstance.	At first there was but little notice taken of the circumstance.	true	69.53	72.97	16
6233_61741_000006_000001	Only the conjecture: that he would shortly make his appearance.	Only the conjecture: that he would shortly make his appearance.	true	73.1	76.51	26.76649
6233_61741_000007_000000	As several minutes passed without his coming in, the planter quietly observed that it was rather strange of Henry to be behind time, and wonder where he could be.	As several minutes passed without his coming in, the planter quietly observed that it was rather strange of Henry to be behind time, and wonder where he could be.	true	77.33	86.38	20
6233_61741_000008_000000	The breakfast of the South-western American is usually a well appointed meal.	The breakfast of the south-western American is usually a well appointed meal.	true	86.96	91.425	19
6233_61741_000008_000001	It is eaten at a fixed hour, and _table-d'hote_ fashion--all the members of the family meeting at the table.	It is eaten at a fixed hour, and underscore table d'hote underscore fashion-all the members of the family meeting at the table.	false	91.425	97.81	21
6233_61741_000009_000000	This habit is exacted by a sort of necessity, arising out of the nature of some of the viands peculiar to the country; many of which, as "Virginia biscuit," "buckwheat cakes," and "waffles," are only relished coming fresh from, the fire: so that the hour when breakfast is being eaten in the dining-room, is that in which the cook is broiling her skin in the kitchen.	This habit is exacted by a sort of necessity, arising out of the nature of some of the viands peculiar to the country; many of which, as "Virginia biscuit," "buckwheat cakes," and "waffles," are only relished coming fresh from, the fire: so that the hour when breakfast is being eaten in the dining room, is that in which the cook is broiling her skin in the kitchen.	true	98.45	120.1	22.381104
6233_61741_000010_000000	As the laggard, or late riser, may have to put up with cold biscuit, and no waffles or buckwheat cakes, there are few such on a Southern plantation.	As the laggard, or late riser, may have to put up with cold biscuit, and no waffles or buckwheat cakes, there are few such on a Southern plantation.	true	121.64	130.66	22
6233_61741_000011_000000	Considering this custom, it _was_ somewhat strange, that Henry Poindexter had not yet put in an appearance.	Considering this custom, it underscore was underscore somewhat strange, that Henry Poindexter had not yet put in an appearance.	false	131.45	137.05	15
6233_61741_000012_000000	"Where can the boy be?" asked his father, for the fourth time, in that tone of mild conjecture that scarce calls for reply.	"Where can the boy be?" asked his father, for the fourth time, in that tone of mild conjecture that scarce calls for reply.	true	137.63	145.45	22.91343
6233_61741_000013_000000	None was made by either of the other two guests at the table.	None was made by either of the other two guests at the table.	true	146.09	149.26	18
6233_61741_000013_000001	Louise only gave expression to a similar conjecture.	Louise only gave expression to a similar conjecture.	true	149.3	152.5	22.517225
6233_61741_000013_000002	For all that, there was a strangeness in her glance--as in the tone of her voice--that might have been observed by one closely scrutinising her features.	For all that, there was a strangeness in her glance-as in the tone of her voice-that might have been observed by one closely scrutinising her features.	true	152.9	161.53	18.923168
6233_61741_000014_000000	It could scarce be caused by the absence of her brother from the breakfast-table?	It could scarce be caused by the absence of her brother from the breakfast table?	true	162.53	166.51	20.0348
6233_61741_000014_000001	The circumstance was too trifling to call up an emotion; and clearly at that moment was she subject to one.	The circumstance was too trifling to call up an emotion; and clearly at that moment was she subject to one.	false	166.76	173.59	25.152033
6233_61741_000015_000000	What was it?	What was it?	true	174.02	175.09	23.741484
6233_61741_000015_000001	No one put the inquiry.	No one put the inquiry.	true	175.28	176.98	25.041138
6233_61741_000015_000002	Her father did not notice anything odd in her look.	Her father did not notice anything odd in her look.	true	177.56	180.525	21.478645
6233_61741_000015_000003	Much less Calhoun, who was himself markedly labouring to conceal some disagreeable thought under the guise of an assumed _naivete_.	Much less Calhoun, who was himself markedly labouring to conceal some disagreeable thought under the guise of an assumed underscore naivete underscore.	false	180.525	188.7	19.577784
6233_61741_000016_000000	Ever since entering the room he had maintained a studied silence; keeping his eyes averted, instead of, according to his usual custom, constantly straying towards his cousin.	Ever since entering the room he had maintained a studied silence; keeping his eyes averted, instead of, according to his usual custom, constantly straying towards his cousin.	true	188.7	198.91	20
6233_61741_000017_000000	He sate nervously in his chair; and once or twice might have been seen to start, as a servant entered the room.	He sate nervously in his chair; and once or twice might have been seen to start, as a servant entered the room.	true	199.37	206.44	21.15676
6233_61741_000018_000000	Beyond doubt he was under the influence of some extraordinary agitation.	Beyond doubt he was under the influence of some extraordinary agitation.	true	206.9	211.27	20
6233_61741_000019_000000	"Very strange Henry not being here to his breakfast!" remarked the planter, for about the tenth time.	"Very strange Henry not being here to his breakfast!" remarked the planter, for about the tenth time.	true	212	217.87	21.26237
6233_61741_000019_000001	"Surely he is not abed till this hour?	"Surely he is not abed till this hour?	true	218.06	220.365	15
6233_61741_000019_000002	No--no--he never lies so late.	No-no-he never lies so late.	true	220.365	222.88	20.368584
6233_61741_000019_000003	And yet if abroad, he couldn't be at such a distance as not to have heard the horn.	And yet if abroad, he couldn't be at such a distance as not to have heard the horn.	false	223.13	227.26	16
6233_61741_000019_000004	He _may_ be in his room?	He underscore may underscore be in his room?	false	227.3	228.9	14
6233_61741_000019_000005	It is just possible.	It is just possible.	true	228.9	230.26	19
6233_61741_000019_000006	Pluto!"	Pluto!"	true	230.3	231.4	29.621874
6233_61741_000020_000000	"Ho--ho!	"Ho-ho!	true	232.04	232.47	100
6233_61741_000020_000001	d'ye call me, Mass' Woodley?	d'ye call me, Mass' Woodley?	false	232.47	233.94	5
6233_61741_000020_000002	I'se hya." The sable coachee, acting as table waiter, was in the _sala_, hovering around the chairs.	I'se h y a." The sable coachee, acting as table waiter, was in the underscore sala underscore, hovering around the chairs.	false	233.94	239.74	19
6233_61741_000021_000000	"Go to Henry's sleeping-room.	"Go to Henry's sleeping room.	true	239.9	241.545	23.576956
6233_61741_000021_000001	If he's there, tell him we're at breakfast--half through with it."	If he's there, tell him we're at breakfast-half through with it."	false	241.545	245.02	23.972492
6233_61741_000022_000000	"He no dar, Mass' Woodley."	"He no dar, Mass' Woodley."	true	245.24	246.88	22.825108
6233_61741_000023_000000	"You have been to his room?"	"You have been to his room?"	true	247.25	248.88	19.199537
6233_61741_000024_000000	"Ho--ho!	"Ho-ho!	false	248.88	249.69	100
6233_61741_000024_000001	Yas. Dat am I'se no been to de room itseff; but I'se been to de 'table, to look atter Massa Henry hoss; an gib um him fodder an corn. Ho--ho!	Yas. Dat am I'se no been to de room itseff; but I'se been to de 'table, to look atter Massa Henry hoss; an gib um him fodder an corn. Ho-ho!	false	249.69	258.6	16
6233_61741_000024_000002	Dat same ole hoss he ain't dar; nor han't a been all ob dis mornin'.	Dat same ole hoss he ain't dar; nor han't a been all ob dis mornin'.	false	258.6	263.13	15
6233_61741_000024_000003	I war up by de fuss skreek ob day.	I war up by de fuss skreek ob day.	false	263.13	265.29	17
6233_61741_000024_000004	No hoss dar, no saddle, no bridle; and ob coass no Massa Henry.	No hoss dar, no saddle, no bridle; and ob coass no Massa Henry.	false	265.29	269.97	15
6233_61741_000024_000005	Ho--ho!	Ho-ho!	false	269.97	270.45	41
6233_61741_000024_000006	He been an gone out 'fore anb'dy wor 'tirrin' 'bout de place."	He been an gone out 'fore anb'dy wor 'tirrin' 'bout de place."	false	270.45	273.91	12
6233_61741_000025_000000	"Are you sure?" asked the planter, seriously stirred by the intelligence.	"Are you sure?" asked the planter, seriously stirred by the intelligence.	false	274.58	278.83	19.401545
6233_61741_000026_000000	"Satin, shoo, Mass' Woodley.	"Satin, shoo, Mass' Woodley.	true	279.17	280.86	18
6233_61741_000026_000001	Dar's no hoss doins in dat ere 'table, ceppin de sorrel ob Massa Cahoon. Spotty am in de 'closure outside. Massa Henry hoss ain't nowha."	Dar's no hoss doins in dat ere 'table, ceppin de sorrel ob Massa Cahoon. Spotty am in de 'closure outside. Massa Henry hoss ain't nowha."	false	280.86	289.63	15
6233_61741_000027_000000	"It don't follow that Master Henry himself is not in his room.	"It don't follow that Master Henry himself is not in his room.	true	290.33	293.85	17.823755
6233_61741_000027_000001	Go instantly, and see!"	Go instantly, and see!"	true	293.85	295.38	23
6233_61741_000028_000000	"Ho--ho!	"Ho-ho!	false	295.38	296.43	56.29389
6233_61741_000028_000001	I'se go on de instum, massr; but f'r all dat dis chile no speck find de young genl'um dar.	I'se go on de instum, m a s s r; but f'r all dat dis chile no speck find de young genl'um dar.	false	296.43	302.16	13
6233_61741_000028_000002	Ho! ho!	Ho! ho!	false	302.16	302.79	100
6233_61741_000028_000003	wha'ebber de ole hoss am, darr Massr Henry am too."	wha'ebber de ole hoss am, darr m a s s r Henry am too."	false	302.79	306.25	17
6233_61741_000029_000000	"There's something strange in all this," pursued the planter, as Pluto shuffled out of the sala.	"There's something strange in all this," pursued the planter, as Pluto shuffled out of the sala.	true	306.8	311.83	22.165432
6233_61741_000029_000001	"Henry from home; and at night too.	"Henry from home; and at night too.	true	311.87	314.32	22.220263
6233_61741_000029_000002	Where can he have gone?	Where can he have gone?	true	314.54	315.94	21.532522
6233_61741_000029_000003	I can't think of any one he would be visiting at such unseasonable hours!	I can't think of any one he would be visiting at such unseasonable hours!	true	316.25	320.11	15
