6288_63101_000000_000000	With which somewhat cryptic statement Susan turned and marched irritably into the house.	With which somewhat cryptic statement Susan turned and marched irritably into the house.	false	0	19.17	23.643196
6288_63101_000001_000000	CHAPTER XVII	CHAPTER seventeen	true	19.17	20.62	20
6288_63101_000002_000000	DANIEL BURTON TAKES THE PLUNGE	DANIEL BURTON TAKES THE PLUNGE	true	20.66	22.9	23
6288_63101_000003_000000	Dr. Stewart's second operation on Keith's eyes took place late in November.	dr Stewart's second operation on Keith's eyes took place late in November.	true	23.69	28.45	14
6288_63101_000003_000001	It was not a success.	It was not a success.	true	28.67	30.31	18
6288_63101_000003_000002	Far from increasing his vision, it lessened it.	Far from increasing his vision, it lessened it.	true	30.47	33.7	18
6288_63101_000003_000003	Only dimly now could he discern light at all.	Only dimly now could he discern light at all.	true	33.89	37.09	17
6288_63101_000004_000000	In a letter to Daniel Burton, Dr. Stewart stated the case freely and frankly, yet he declared that he had not given up hope--yet.	In a letter to Daniel Burton, dr Stewart stated the case freely and frankly, yet he declared that he had not given up hope-yet.	false	37.67	46.03	21
6288_63101_000004_000001	He had a plan which, with Mr. Burton's kind permission, he would carry out.	He had a plan which, with mr Burton's kind permission, he would carry out.	false	46.28	51.07	22.173677
6288_63101_000004_000002	He then went on to explain.	He then went on to explain.	true	51.32	53.32	20
6288_63101_000005_000000	In Paris there was a noted specialist in whom he had great confidence. He wished very much that this man could see Keith.	In Paris there was a noted specialist in whom he had great confidence. He wished very much that this man could see Keith.	false	53.72	61.72	21.66885
6288_63101_000005_000001	To take Keith over now, however, as war conditions were, would, of course, be difficult and hazardous.	To take Keith over now, however, as war conditions were, would, of course, be difficult and hazardous.	true	61.88	68.53	19
6288_63101_000005_000002	Besides, as he happened to know, this would not be necessary, for the great man was coming to this country some time in May.	Besides, as he happened to know, this would not be necessary, for the great man was coming to this country some time in May.	true	68.72	76.42	18
6288_63101_000005_000003	To bring Keith to his attention then would be a simple matter, and a chance well worth waiting for.	To bring Keith to his attention then would be a simple matter, and a chance well worth waiting for.	true	76.85	82.39	17
6288_63101_000005_000004	Meanwhile, the boy was as comfortable where he was as he could be anywhere, and, moreover, there were certain treatments which should still be continued.	Meanwhile, the boy was as comfortable where he was as he could be anywhere, and, moreover, there were certain treatments which should still be continued.	true	82.88	92.47	21.085646
6288_63101_000005_000005	With Daniel Burton's kind permission, therefore, the doctor would keep Keith where he was for the present, pending the arrival of the great specialist.	With Daniel Burton's kind permission, therefore, the doctor would keep Keith where he was for the present, pending the arrival of the great specialist.	true	92.66	101.65	19
6288_63101_000006_000000	It was a bitter blow.	It was a bitter blow.	true	101.99	103.6	22.493263
6288_63101_000006_000001	For days after the letter came, Daniel Burton shut himself up in his studio refusing to see any one but Susan, and almost refusing to see her.	For days after the letter came, Daniel Burton shut himself up in his studio refusing to see any one but Susan, and almost refusing to see her.	false	103.64	112.6	15
