6300_39660_000007_000000	Chapter XLVI.	Chapter forty six.
6300_39660_000007_000001	The Donation.	The Donation.
6300_39660_000008_000000	Colbert reappeared beneath the curtains.	Colbert reappeared beneath the curtains.
6300_39660_000010_000000	"Alas! yes, my lord."	"Alas! yes, my lord."
6300_39660_000011_000000	"Can he be right?	"Can he be right?
6300_39660_000011_000001	Can all this money be badly acquired?"	Can all this money be badly acquired?"
6300_39660_000012_000002	People generally find they have been so,--when they die."	People generally find they have been so,--when they die."
6300_39660_000013_000000	"In the first place, they commit the wrong of dying, Colbert."	"In the first place, they commit the wrong of dying, Colbert."
6300_39660_000014_000000	"That is true, my lord.	"That is true, my lord.
6300_39660_000014_000002	Against the king?"	Against the king?"
6300_39660_000016_000000	"That admits of no contradiction, my lord."	"That admits of no contradiction, my lord."
6300_39660_000017_000000	"Does it?	"Does it?
6300_39660_000018_000000	"That is beyond doubt."	"That is beyond doubt."
6300_39660_000019_000000	"And I might fairly keep for my own family, which is so needy, a good fortune,--the whole, even, of which I have earned?"	"And I might fairly keep for my own family, which is so needy, a good fortune,--the whole, even, of which I have earned?"
6300_39660_000020_000000	"I see no impediment to that, monseigneur."	"I see no impediment to that, monseigneur."
6300_39660_000021_000000	"I felt assured that in consulting you, Colbert, I should have good advice," replied Mazarin, greatly delighted.	"I felt assured that in consulting you, Colbert, I should have good advice," replied Mazarin, greatly delighted.
6300_39660_000023_000000	"Oh! no; a snare?	"Oh! no; a snare?
6300_39660_000023_000001	What for?	What for?
6300_39660_000024_000001	Did I not hear him say--'Distinguish that which the king has given you from that which you have given yourself.' Recollect, my lord, if he did not say something a little like that to you?--that is quite a theatrical speech."	Did I not hear him say-'Distinguish that which the king has given you from that which you have given yourself.' Recollect, my lord, if he did not say something a little like that to you?--that is quite a theatrical speech."
6300_39660_000025_000000	"That is possible."	"That is possible."
6300_39660_000027_000000	"To make restitution!" cried Mazarin, with great warmth.	"To make restitution!" cried Mazarin, with great warmth.
6300_39660_000029_000000	"What, of all!	"What, of all!
6300_39660_000029_000002	You speak just as the confessor did."	You speak just as the confessor did."
