6544_67863_000000_000000	Sylvia promised.	Sylvia promised.	false	0	0.66	100
6544_67863_000000_000001	It seemed to her the best of good news that they would soon see Grandmother Fulton, and she went happily off to bed thinking of all she would have to tell her grandmother, and of the long letters she would write to Flora and Grace.	It seemed to her the best of good news that they would soon see Grandmother Fulton, and she went happily off to bed thinking of all she would have to tell her grandmother, and of the long letters she would write to Flora and Grace.	false	0.66	13.86	25.444344
6544_67863_000000_000002	"And when summer comes they must both come and make me a visit," she thought, little knowing that when summer came no little southern girl would be allowed to visit a Boston girl.	"And when summer comes they must both come and make me a visit," she thought, little knowing that when summer came no little southern girl would be allowed to visit a Boston girl.	false	13.86	23.01	26.106112
6544_67863_000001_000000	CHAPTER XX	CHAPTER twenty	true	23.01	24.04	31.87846
6544_67863_000002_000000	"TWO LITTLE DARKY GIRLS"	"TWO LITTLE DARKY GIRLS"	true	24.26	25.99	26.350073
6544_67863_000003_000000	"When will Mr. Lincoln be President?" Sylvia asked a few mornings after her father's announcement of his intention to return to Boston.	"When will mr Lincoln be President?" Sylvia asked a few mornings after her father's announcement of his intention to return to Boston.	true	27.05	34	21.831558
6544_67863_000004_000000	"He was inaugurated yesterday," replied her mother.	"He was inaugurated yesterday," replied her mother.	true	34.79	37.75	24.148415
6544_67863_000005_000000	"Then can't Captain Carleton go north with us?" asked Sylvia, who had convinced herself that when Mr. Lincoln was in charge of the Government that all the troubles over Charleston's forts would end.	"Then can't Captain Carleton go north with us?" asked Sylvia, who had convinced herself that when mr Lincoln was in charge of the Government that all the troubles over Charleston's forts would end.	true	38.12	48.16	23.725412
6544_67863_000006_000000	But Mrs. Fulton shook her head.	But mrs Fulton shook her head.	true	48.35	50.08	26.01972
6544_67863_000007_000000	"Captain Carleton must stay and perhaps fight to defend the flag," she replied.	"Captain Carleton must stay and perhaps fight to defend the flag," she replied.	true	50.57	55.21	27.613102
6544_67863_000007_000001	"I wish we could leave at once, but we must stay as long as we can."	"I wish we could leave at once, but we must stay as long as we can."	true	55.31	59.05	21.966248
6544_67863_000008_000000	Sylvia listened soberly.	Sylvia listened soberly.	true	59.9	61.51	20.521835
6544_67863_000008_000001	She wondered what her mother would say if she knew of her promise to Mrs. Carleton to take a message to Fort Sumter if Mrs. Carleton should ask her to do so.	She wondered what her mother would say if she knew of her promise to mrs Carleton to take a message to Fort Sumter if mrs Carleton should ask her to do so.	true	61.52	69.31	20.518608
6544_67863_000009_000000	The warm days of early March made the southern city full of fragrance and beauty.	The warm days of early March made the southern city full of fragrance and beauty.	true	69.65	73.69	21.866598
6544_67863_000009_000001	Many flowers were in bloom, the hedges were green, and the air soft and warm.	Many flowers were in bloom, the hedges were green, and the air soft and warm.	true	73.88	78.55	23.89505
6544_67863_000009_000002	Sylvia and Grace often spoke of Flora, and wished that they could again visit the plantation.	Sylvia and Grace often spoke of Flora, and wished that they could again visit the plantation.	true	78.71	83.5	23.111698
6544_67863_000010_000000	Philip had brought Sylvia a letter from Flora, thanking her for the locket, and hoping that they would see each other again.	Philip had brought Sylvia a letter from Flora, thanking her for the locket, and hoping that they would see each other again.	true	84.26	89.89	26.506336
6544_67863_000010_000001	Philip had not come into the house.	Philip had not come into the house.	true	90.38	92.29	24.264294
6544_67863_000010_000002	He seemed much older to Sylvia than he did on her visit to the plantation in October.	He seemed much older to Sylvia than he did on her visit to the plantation in October.	false	92.69	96.88	23.212976
6544_67863_000010_000003	He said that Ralph was in the Confederate army.	He said that Ralph was in the Confederate army.	true	97.16	99.46	26.49782
6544_67863_000010_000004	"I'd be a soldier if I was only a little older," he declared; and Sylvia did not even ask him about Dinkie, or the ponies. She wished that she could tell him that very soon she was going to Boston, but she knew that she must not; so she said good-bye, and Philip walked down the path, and waved his cap to her as he reached the gate.	"I'd be a soldier if I was only a little older," he declared; and Sylvia did not even ask him about Dinkie, or the ponies. She wished that she could tell him that very soon she was going to Boston, but she knew that she must not; so she said good bye, and Philip walked down the path, and waved his cap to her as he reached the gate.	true	99.89	118.24	22.468523
6544_67863_000011_000000	It had been many weeks since the Butterfly had sailed about Charleston harbor.	It had been many weeks since the Butterfly had sailed about Charleston harbor.	true	118.55	122.29	30.49323
6544_67863_000011_000001	But the little boat was in the charge of an old negro who took good care of it.	But the little boat was in the charge of an old negro who took good care of it.	true	122.42	126.01	25
6544_67863_000011_000002	The negro knew Sylvia, and he knew that it was through her interest in Estralla that the little negro girl and her mother had been given their freedom.	The negro knew Sylvia, and he knew that it was through her interest in Estralla that the little negro girl and her mother had been given their freedom.	false	126.38	133.87	21.67981
6544_67863_000011_000003	Now and then he appeared at Aunt Connie's kitchen, and one warm day toward the last of March, when Sylvia was wandering about the garden, she saw Uncle Peter going up the walk to the rear of the house.	Now and then he appeared at Aunt Connie's kitchen, and one warm day toward the last of March, when Sylvia was wandering about the garden, she saw Uncle peter going up the walk to the rear of the house.	true	134.36	144.12	24.70667
6544_67863_000012_000000	"Oh, Uncle Peter!	"Oh, Uncle peter!	false	144.12	145.725	23.578325
6544_67863_000012_000001	Wait!" she called and ran to ask him about the boat.	Wait!" she called and ran to ask him about the boat.	true	145.725	149.08	22.532148
6544_67863_000013_000000	Uncle Peter had a great deal of news to tell.	Uncle peter had a great deal of news to tell.	true	149.12	151.45	19.680283
6544_67863_000013_000001	He said that unless Major Anderson and his soldiers left Fort Sumter at once that all the forts, and the new batteries built by the Confederates, would open fire upon Sumter and destroy it.	He said that unless Major Anderson and his soldiers left Fort Sumter at once that all the forts, and the new batteries built by the Confederates, would open fire upon Sumter and destroy it.	true	151.67	161.86	22.242695
6544_67863_000014_000000	"I hears a good deal, Missy, 'deed I does," he declared, "but I doan' let on as I hears.	"I hears a good deal, Missy, 'deed I does," he declared, "but I doan' let on as I hears.	true	161.9	167.89	22.382202
6544_67863_000014_000001	Massa Linkum he's gwine to send a lot o' big ships down here 'fore long.	Massa Linkum he's gwine to send a lot o' big ships down here 'fore long.	false	168.11	171.63	18
6544_67863_000014_000002	Yas, indeed."	Yas, indeed."	false	171.63	172.93	20.204126
6544_67863_000015_000000	"I wish I could have a sail in the Butterfly again," said Sylvia, a little wistfully.	"I wish I could have a sail in the Butterfly again," said Sylvia, a little wistfully.	true	173.24	177.67	24.095314
6544_67863_000016_000000	"Do you, Missy?	"Do you, Missy?	true	178.13	179.2	26.259447
6544_67863_000016_000001	Well, I reckons you can.	Well, I reckons you can.	true	179.72	181.24	23.107355
6544_67863_000016_000002	I doan' believe any body'd stop me a-givin' yo' a little sail 'roun' de harbor," said Uncle Peter. "I 'spec's Major Anderson is a-waitin' an' a-watchin' fer dem ships of Massa Linkum to come a-sailin' in," continued the old negro; for it was a time when the colored people were eager and hopeful for some news that might promise them their freedom.	I doan' believe any body'd stop me a givin' yo' a little sail 'roun' de harbor," said Uncle peter. "I 'spec's Major Anderson is a waitin' an' a watchin' fer dem ships of Massa Linkum to come a sailin' in," continued the old negro; for it was a time when the colored people were eager and hopeful for some news that might promise them their freedom.	false	181.43	199.33	21.757977
6544_67863_000017_000000	Sylvia knew that Mrs. Carleton was worried and unhappy.	Sylvia knew that mrs Carleton was worried and unhappy.	true	200.12	203.14	21.051714
6544_67863_000017_000001	It was known in Charleston that Fort Sumter was near the end of its food supplies, and that unless the Government at Washington sent reinforcements and provisions very soon by ships that the little garrison would be at the mercy of the Confederates, who were daily growing in strength.	It was known in Charleston that Fort Sumter was near the end of its food supplies, and that unless the Government at Washington sent reinforcements and provisions very soon by ships that the little garrison would be at the mercy of the Confederates, who were daily growing in strength.	true	203.27	217.41	21.391926
6544_67863_000018_000000	As Sylvia left Uncle Peter and walked back to the house she was thinking of her promise to Mrs. Carleton.	As Sylvia left Uncle peter and walked back to the house she was thinking of her promise to mrs Carleton.	false	217.41	223.15	24.531708
6544_67863_000019_000000	"Perhaps she won't ask me.	"Perhaps she won't ask me.	true	223.88	225.43	22.948442
6544_67863_000019_000001	But if I could go and see Captain Carleton, and tell him that she was going to Boston with us, and then bring her back a message, I know she'd be happier," thought the little girl.	But if I could go and see Captain Carleton, and tell him that she was going to Boston with us, and then bring her back a message, I know she'd be happier," thought the little girl.	true	225.47	234.97	23.016743
6544_67863_000019_000002	And she thought, too, of the pleasure it would be to once more sail the Butterfly to Fort Sumter.	And she thought, too, of the pleasure it would be to once more sail the Butterfly to Fort Sumter.	true	235.13	239.59	24
6544_67863_000020_000000	She sat down on the porch steps, and a moment later Estralla appeared bringing a plate of freshly baked sugar cookies from Aunt Connie.	She sat down on the porch steps, and a moment later Estralla appeared bringing a plate of freshly baked sugar cookies from Aunt Connie.	true	239.84	246.55	23.732285
6544_67863_000021_000000	"Mammy says she made these 'special for you, Missy," declared Estralla smilingly.	"Mammy says she made these 'special for you, Missy," declared Estralla smilingly.	true	247.19	252.01	19.884848
6544_67863_000022_000000	"I'll go and thank her myself," said Sylvia, taking the plate, and offering one of the cookies to Estralla.	"I'll go and thank her myself," said Sylvia, taking the plate, and offering one of the cookies to Estralla.	true	252.53	258.49	24.916443
6544_67863_000023_000000	"Uncle Pete he say as de soldiers at Fort Sumter mus' be gettin' hungry," said the little colored girl.	"Uncle Pete he say as de soldiers at Fort Sumter mus' be gettin' hungry," said the little colored girl.	false	258.86	264.37	23.16336
6544_67863_000023_000001	"I wish you and I could take Captain Carleton some of these cookies," responded Sylvia.	"I wish you and I could take Captain Carleton some of these cookies," responded Sylvia.	false	264.89	269.41	26.440735
6544_67863_000024_000000	"If you was black like I is we could go a-sailin' right off to de fort in plain daylight," said Estralla.	"If you was black like I is we could go a sailin' right off to de fort in plain daylight," said Estralla.	false	269.93	275.86	23.008013
6544_67863_000025_000000	Sylvia sprang to her feet so quickly that she nearly upset the plate of cookies.	Sylvia sprang to her feet so quickly that she nearly upset the plate of cookies.	true	276.5	281.14	26.210224
6544_67863_000026_000000	"Could we?	"Could we?	true	281.45	282.15	26.306187
6544_67863_000026_000001	Oh, Estralla, could we really?" she exclaimed.	Oh, Estralla, could we really?" she exclaimed.	false	282.15	285.34	30.430843
6544_67863_000027_000000	Estralla looked at her little mistress with wondering eyes.	Estralla looked at her little mistress with wondering eyes.	true	285.35	288.06	19
6544_67863_000028_000000	"Yas, course; nobody'd mind two leetle nigger gals.	"Yas, course; nobody'd mind two leetle nigger gals.	false	288.06	292.05	21.650715
6544_67863_000028_000001	But you ain't black, Missy."	But you ain't black, Missy."	false	292.05	293.83	22.67211
6544_67863_000029_000000	"But, Estralla, listen.	"But, Estralla, listen.	true	294.65	295.87	20.118977
6544_67863_000029_000001	I could be black.	I could be black.	true	295.94	297.225	28.650398
6544_67863_000029_000002	You could rub soot from the chimney all over my face and hands.	You could rub soot from the chimney all over my face and hands.	true	297.225	300.225	20
6544_67863_000029_000003	And I could pin my hair close on top of my head and twist one of your mammy's handkerchiefs tight over it.	And I could pin my hair close on top of my head and twist one of your mammy's handkerchiefs tight over it.	true	300.225	305.14	21.58895
6544_67863_000029_000004	Then nobody would know me." Sylvia had quite forgotten the fine cookies.	Then nobody would know me." Sylvia had quite forgotten the fine cookies.	true	305.3	309.61	21.11881
6544_67863_000029_000005	She was holding Estralla by the arm, and talking very rapidly. Estralla was almost frightened at Sylvia's eagerness.	She was holding Estralla by the arm, and talking very rapidly. Estralla was almost frightened at Sylvia's eagerness.	true	309.71	315.72	20.225739
6544_67863_000030_000000	"Yas, Missy; but what for do you wanter go?" she asked.	"Yas, Missy; but what for do you wanter go?" she asked.	false	315.72	319.62	24.639767
6544_67863_000031_000000	"Oh, Estralla!	"Oh, Estralla!	false	319.62	321.405	23.982979
6544_67863_000031_000001	If the men are hungry we could carry them something to eat.	If the men are hungry we could carry them something to eat.	true	321.405	324.34	23.248426
6544_67863_000031_000002	But most of all I want to see Captain Carleton, and get some message for his wife.	But most of all I want to see Captain Carleton, and get some message for his wife.	true	324.35	328.75	21.930143
6544_67863_000031_000003	She is so unhappy to go away without a word."	She is so unhappy to go away without a word."	true	328.79	331.75	21.603962
6544_67863_000032_000000	"Come 'long down in de garden," said Estralla, now as interested as Sylvia herself, "an' tells me more whar' nobody'll be hearin'," and the two little girls hurried off to a far corner of the pleasant garden.	"Come 'long down in de garden," said Estralla, now as interested as Sylvia herself, "an' tells me more whar' nobody'll be hearin'," and the two little girls hurried off to a far corner of the pleasant garden.	true	332.09	343.14	21.5802
6544_67863_000033_000000	"Uncl' Peter won' let us take the boat," Estralla objected as Sylvia told her how easy the plan would be; "an' how be you gwine to get all blacked up without folks knowin' it?"	"u n c l' peter won' let us take the boat," Estralla objected as Sylvia told her how easy the plan would be; "an' how be you gwine to get all blacked up without folks knowin' it?"	false	343.14	352.65	22.52463
6544_67863_000034_000000	But Sylvia had an answer for every objection.	But Sylvia had an answer for every objection.	false	352.65	356.02	19.728493
6544_67863_000035_000000	"I'll come to your cabin and dress up there, and I will ask your mammy to give me some food for a poor man.	"I'll come to your cabin and dress up there, and I will ask your mammy to give me some food for a poor man.	true	356.45	361.56	22.179703
6544_67863_000035_000001	Some cookies and a cake," she said.	Some cookies and a cake," she said.	true	361.56	364.06	27.042576
6544_67863_000035_000002	"We will start early to-morrow morning.	"We will start early to morrow morning.	true	364.73	366.67	24.859978
6544_67863_000035_000003	And, Estralla, we will have to tell Uncle Peter, or he won't let us have the boat."	And, Estralla, we will have to tell Uncle peter, or he won't let us have the boat."	true	366.77	370.84	25.666475
6544_67863_000036_000000	"Lan', Missy, I'll do jes' w'at yo' says.	"Lan', Missy, I'll do jes' w'at yo' says.	false	371.39	374.205	22.904455
6544_67863_000036_000001	But I reckon Uncle Pete won' let us.	But I reckon Uncle Pete won' let us.	true	374.205	376.02	22
6544_67863_000036_000002	Wat yo' mammy gwine to think w'en you ain't home to your dinner?" responded Estralla.	Wat yo' mammy gwine to think w'en you ain't home to your dinner?" responded Estralla.	false	376.02	380.74	22.164972
6544_67863_000036_000003	But she was finally convinced that Missy Sylvia could carry out the plan, and agreed to have a large quantity of soot ready at her mother's cabin the next morning.	But she was finally convinced that Missy Sylvia could carry out the plan, and agreed to have a large quantity of soot ready at her mother's cabin the next morning.	true	380.9	389.23	24.092262
6544_67863_000037_000000	Sylvia was glad that she had eaten only one of the cookies.	Sylvia was glad that she had eaten only one of the cookies.	true	389.93	392.77	20.044111
6544_67863_000037_000001	She carried the remainder to her room and then went to the kitchen.	She carried the remainder to her room and then went to the kitchen.	true	392.84	395.8	23.25731
6544_67863_000038_000000	"Will you make me a fine big cake, Aunt Connie?" she asked.	"Will you make me a fine big cake, Aunt Connie?" she asked.	false	396.5	399.85	28.235388
