6550_53320_000005_000001	BURTON'S ANATOMY OF MELANCHOLY.	BURTON'S ANATOMY OF MELANCHOLY.
6550_53320_000007_000003	There was an air of mystery about this that piqued my languid curiosity, and I determined to attempt the passage of that strait, and to explore the unknown regions beyond.	There was an air of mystery about this that piqued my languid curiosity, and I determined to attempt the passage of that strait, and to explore the unknown regions beyond.
6550_53320_000007_000004	The door yielded to my hand, with all that facility with which the portals of enchanted castles yield to the adventurous knight-errant.	The door yielded to my hand, with all that facility with which the portals of enchanted castles yield to the adventurous knight errant.
6550_53320_000008_000000	Now and then one of these personages would write something on a small slip of paper, and ring a bell, whereupon a familiar would appear, take the paper in profound silence, glide out of the room, and return shortly loaded with ponderous tomes, upon which the other would fall, tooth and nail, with famished voracity.	Now and then one of these personages would write something on a small slip of paper, and ring a bell, whereupon a familiar would appear, take the paper in profound silence, glide out of the room, and return shortly loaded with ponderous tomes, upon which the other would fall, tooth and nail, with famished voracity.
6550_53320_000009_000002	I found that these mysterious personages, whom I had mistaken for magi, were principally authors, and were in the very act of manufacturing books.	I found that these mysterious personages, whom I had mistaken for magi, were principally authors, and were in the very act of manufacturing books.
6550_53320_000010_000000	Being now in possession of the secret, I sat down in a corner, and watched the process of this book manufactory.	Being now in possession of the secret, I sat down in a corner, and watched the process of this book manufactory.
6550_53320_000010_000001	I noticed one lean, bilious-looking wight, who sought none but the most worm-eaten volumes, printed in black letter.	I noticed one lean, bilious looking wight, who sought none but the most worm eaten volumes, printed in black letter.
6550_53320_000010_000002	He was evidently constructing some work of profound erudition, that would be purchased by every man who wished to be thought learned, placed upon a conspicuous shelf of his library, or laid open upon his table--but never read.	He was evidently constructing some work of profound erudition, that would be purchased by every man who wished to be thought learned, placed upon a conspicuous shelf of his library, or laid open upon his table-but never read.
6550_53320_000010_000003	I observed him, now and then, draw a large fragment of biscuit out of his pocket, and gnaw; whether it was his dinner, or whether he was endeavoring to keep off that exhaustion of the stomach, produced by much pondering over dry works, I leave to harder students than myself to determine.	I observed him, now and then, draw a large fragment of biscuit out of his pocket, and gnaw; whether it was his dinner, or whether he was endeavoring to keep off that exhaustion of the stomach, produced by much pondering over dry works, I leave to harder students than myself to determine.
6550_53320_000011_000000	There was one dapper little gentleman in bright-colored clothes, with a chirping gossiping expression of countenance, who had all the appearance of an author on good terms with his bookseller.	There was one dapper little gentleman in bright colored clothes, with a chirping gossiping expression of countenance, who had all the appearance of an author on good terms with his bookseller.
6550_53320_000011_000001	After considering him attentively, I recognized in him a diligent getter-up of miscellaneous works, which bustled off well with the trade.	After considering him attentively, I recognized in him a diligent getter up of miscellaneous works, which bustled off well with the trade.
6550_53320_000011_000003	He made more stir and show of business than any of the others; dipping into various books, fluttering over the leaves of manuscripts, taking a morsel out of one, a morsel out of another, "line upon line, precept upon precept, here a little and there a little." The contents of his book seemed to be as heterogeneous as those of the witches' cauldron in Macbeth.	He made more stir and show of business than any of the others; dipping into various books, fluttering over the leaves of manuscripts, taking a morsel out of one, a morsel out of another, "line upon line, precept upon precept, here a little and there a little." The contents of his book seemed to be as heterogeneous as those of the witches' cauldron in Macbeth.
6550_53320_000012_000002	In like manner, the beauties and fine thoughts of ancient and obsolete authors are caught up by these flights of predatory writers, and cast forth, again to flourish and bear fruit in a remote and distant tract of time.	In like manner, the beauties and fine thoughts of ancient and obsolete authors are caught up by these flights of predatory writers, and cast forth, again to flourish and bear fruit in a remote and distant tract of time.
