6620_283138_000000_000000	APPENDIX IV.	APPENDIX i v.	false	23.1	24.72	25.513954
6620_283138_000000_000001	OF SOME VERBAL DISPUTES.	OF SOME VERBAL DISPUTES.	true	24.72	26.5	23.101786
6620_283138_000001_000000	Nothing is more usual than for philosophers to encroach upon the province of grammarians; and to engage in disputes of words, while they imagine that they are handling controversies of the deepest importance and concern.	Nothing is more usual than for philosophers to encroach upon the province of grammarians; and to engage in disputes of words, while they imagine that they are handling controversies of the deepest importance and concern.	true	28.37	39.91	19.18631
6620_283138_000001_000001	It was in order to avoid altercations, so frivolous and endless, that I endeavoured to state with the utmost caution the object of our present enquiry; and proposed simply to collect, on the one hand, a list of those mental qualities which are the object of love or esteem, and form a part of personal merit; and on the other hand, a catalogue of those qualities which are the object of censure or reproach, and which detract from the character of the person possessed of them; subjoining some reflections concerning the origin of these sentiments of praise or blame.	It was in order to avoid altercations, so frivolous and endless, that I endeavoured to state with the utmost caution the object of our present enquiry; and proposed simply to collect, on the one hand, a list of those mental qualities which are the object of love or esteem, and form a part of personal merit; and on the other hand, a catalogue of those qualities which are the object of censure or reproach, and which detract from the character of the person possessed of them; subjoining some reflections concerning the origin of these sentiments of praise or blame.	false	40.76	69.91	19.970436
6620_283138_000001_000002	On all occasions, where there might arise the least hesitation, I avoided the terms VIRTUE and VICE; because some of those qualities, which I classed among the objects of praise, receive, in the English language, the appellation of TALENTS, rather than of virtues; as some of the blameable or censurable qualities are often called defects, rather than vices.	On all occasions, where there might arise the least hesitation, I avoided the terms VIRTUE and VICE; because some of those qualities, which I classed among the objects of praise, receive, in the English language, the appellation of TALENTS, rather than of virtues; as some of the blameable or censurable qualities are often called defects, rather than vices.	false	71	90.25	19.948622
6620_283138_000001_000003	It may now, perhaps, be expected that before we conclude this moral enquiry, we should exactly separate the one from the other; should mark the precise boundaries of virtues and talents, vices and defects; and should explain the reason and origin of that distinction. But in order to excuse myself from this undertaking, which would, at last, prove only a grammatical enquiry, I shall subjoin the four following reflections, which shall contain all that I intend to say on the present subject.	It may now, perhaps, be expected that before we conclude this moral enquiry, we should exactly separate the one from the other; should mark the precise boundaries of virtues and talents, vices and defects; and should explain the reason and origin of that distinction. But in order to excuse myself from this undertaking, which would, at last, prove only a grammatical enquiry, I shall subjoin the four following reflections, which shall contain all that I intend to say on the present subject.	false	91.34	118.51	23.228552
6620_283138_000002_000000	First, I do not find that in the English, or any other modern tongue, the boundaries are exactly fixed between virtues and talents, vices and defects, or that a precise definition can be given of the one as contradistinguished from the other.	First, I do not find that in the English, or any other modern tongue, the boundaries are exactly fixed between virtues and talents, vices and defects, or that a precise definition can be given of the one as contradistinguished from the other.	true	119.33	132.93	22.622211
6620_283138_000002_000001	Were we to say, for instance, that the esteemable qualities alone, which are voluntary, are entitled to the appellations of virtues; we should soon recollect the qualities of courage, equanimity, patience, self-command; with many others, which almost every language classes under this appellation, though they depend little or not at all on our choice.	Were we to say, for instance, that the esteemable qualities alone, which are voluntary, are entitled to the appellations of virtues; we should soon recollect the qualities of courage, equanimity, patience, self command; with many others, which almost every language classes under this appellation, though they depend little or not at all on our choice.	false	132.93	150.58	22.723242
6620_283138_000002_000002	Should we affirm that the qualities alone, which prompt us to act our part in society, are entitled to that honourable distinction; it must immediately occur that these are indeed the most valuable qualities, and are commonly denominated the SOCIAL virtues; but that this very epithet supposes that there are also virtues of another species.	Should we affirm that the qualities alone, which prompt us to act our part in society, are entitled to that honourable distinction; it must immediately occur that these are indeed the most valuable qualities, and are commonly denominated the SOCIAL virtues; but that this very epithet supposes that there are also virtues of another species.	true	151.31	168.19	20.727526
6620_283138_000002_000003	Should we lay hold of the distinction between INTELLECTUAL and MORAL endowments, and affirm the last alone to be the real and genuine virtues, because they alone lead to action; we should find that many of those qualities, usually called intellectual virtues, such as prudence, penetration, discernment, discretion, had also a considerable influence on conduct.	Should we lay hold of the distinction between INTELLECTUAL and MORAL endowments, and affirm the last alone to be the real and genuine virtues, because they alone lead to action; we should find that many of those qualities, usually called intellectual virtues, such as prudence, penetration, discernment, discretion, had also a considerable influence on conduct.	true	168.83	188.44	19.155916
6620_283138_000002_000004	The distinction between the heart and the head may also be adopted: the qualities of the first may be defined such as in their immediate exertion are accompanied with a feeling of sentiment; and these alone may be called the genuine virtues: but industry, frugality, temperance, secrecy, perseverance, and many other laudable powers or habits, generally stilled virtues are exerted without any immediate sentiment in the person possessed of them, and are only known to him by their effects.	The distinction between the heart and the head may also be adopted: the qualities of the first may be defined such as in their immediate exertion are accompanied with a feeling of sentiment; and these alone may be called the genuine virtues: but industry, frugality, temperance, secrecy, perseverance, and many other laudable powers or habits, generally stilled virtues are exerted without any immediate sentiment in the person possessed of them, and are only known to him by their effects.	false	189.11	215.95	21.385496
6620_283138_000002_000005	It is fortunate, amidst all this seeming perplexity, that the question, being merely verbal, cannot possibly be of any importance.	It is fortunate, amidst all this seeming perplexity, that the question, being merely verbal, cannot possibly be of any importance.	true	216.92	224.08	20.900475
6620_283138_000002_000006	A moral, philosophical discourse needs not enter into all these caprices of language, which are so variable in different dialects, and in different ages of the same dialect.	A moral, philosophical discourse needs not enter into all these caprices of language, which are so variable in different dialects, and in different ages of the same dialect.	true	224.66	232.87	20
6620_283138_000002_000007	But on the whole, it seems to me, that though it is always allowed, that there are virtues of many different kinds, yet, when a man is called virtuous, or is denominated a man of virtue, we chiefly regard his social qualities, which are, indeed, the most valuable.	But on the whole, it seems to me, that though it is always allowed, that there are virtues of many different kinds, yet, when a man is called virtuous, or is denominated a man of virtue, we chiefly regard his social qualities, which are, indeed, the most valuable.	false	233.24	247.39	21.137203
6620_283138_000002_000008	It is, at the same time, certain, that any remarkable defect in courage, temperance, economy, industry, understanding, dignity of mind, would bereave even a very good-natured, honest man of this honourable appellation.	It is, at the same time, certain, that any remarkable defect in courage, temperance, economy, industry, understanding, dignity of mind, would bereave even a very good-natured, honest man of this honourable appellation.	true	248.15	261.01	18.883873
6620_283138_000002_000009	Who did ever say, except by way of irony, that such a one was a man of great virtue, but an egregious blockhead?	Who did ever say, except by way of irony, that such a one was a man of great virtue, but an egregious blockhead?	false	261.47	267.76	22.22097
6620_283138_000003_000000	But, Secondly, it is no wonder that languages should not be very precise in marking the boundaries between virtues and talents, vices and defects; since there is so little distinction made in our internal estimation of them.	But, Secondly, it is no wonder that languages should not be very precise in marking the boundaries between virtues and talents, vices and defects; since there is so little distinction made in our internal estimation of them.	true	268.82	280.24	19.406366
