6696_73295_000001_000000	A WELL-MATCHED SISTER AND BROTHER	A WELL MATCHED SISTER AND BROTHER
6696_73295_000003_000000	"My dearest Catherine, have you settled what to wear on your head to-night?	"My dearest Catherine, have you settled what to wear on your head to night?
6696_73295_000003_000001	I am determined, at all events, to be dressed exactly like you.	I am determined, at all events, to be dressed exactly like you.
6696_73295_000004_000000	"But it does not signify if they do," said Catherine, very innocently.	"But it does not signify if they do," said Catherine, very innocently.
6696_73295_000005_000000	"Signify! oh, heavens!	"Signify! oh, heavens!
6696_73295_000005_000001	I make it a rule never to mind what they say. They are very often amazingly impertinent, if you do not treat them with spirit, and make them keep their distance."	I make it a rule never to mind what they say. They are very often amazingly impertinent, if you do not treat them with spirit, and make them keep their distance."
6696_73295_000006_000000	"Are they?	"Are they?
6696_73295_000006_000002	They always behave very well to me."	They always behave very well to me."
6696_73295_000007_000000	"Oh! they give themselves such airs.	"Oh! they give themselves such airs.
6696_73295_000007_000002	By the by, though I have thought of it a hundred times, I have always forgot to ask you what is your favorite complexion in a man.	By the by, though I have thought of it a hundred times, I have always forgot to ask you what is your favorite complexion in a man.
6696_73295_000007_000003	Do you like them best dark or fair?"	Do you like them best dark or fair?"
6696_73295_000008_000000	"I hardly know.	"I hardly know.
6696_73295_000008_000001	I never much thought about it.	I never much thought about it.
6696_73295_000008_000002	Something between both, I think--brown: not fair, and not very dark."	Something between both, I think-brown: not fair, and not very dark."
6696_73295_000009_000000	"Very well, Catherine.	"Very well, Catherine.
6696_73295_000009_000002	I have not forgot your description of Mr. Tilney: 'a brown skin, with dark eyes, and rather dark hair.' Well, my taste is different.	I have not forgot your description of mr Tilney: 'a brown skin, with dark eyes, and rather dark hair.' Well, my taste is different.
6696_73295_000009_000003	I prefer light eyes; and as to complexion, do you know, I like a sallow better than any other.	I prefer light eyes; and as to complexion, do you know, I like a sallow better than any other.
6696_73295_000010_000000	"Betray you!	"Betray you!
6696_73295_000010_000001	What do you mean?"	What do you mean?"
6696_73295_000011_000000	"Nay, do not distress me.	"Nay, do not distress me.
6696_73295_000011_000001	I believe I have said too much.	I believe I have said too much.
6696_73295_000011_000002	Let us drop the subject."	Let us drop the subject."
6696_73295_000012_000002	They really put me quite out of countenance.	They really put me quite out of countenance.
6696_73295_000012_000003	Let us go and look at the arrivals. They will hardly follow us there."	Let us go and look at the arrivals. They will hardly follow us there."
6696_73295_000013_000000	Away they walked to the book; and while Isabella examined the names, it was Catherine's employment to watch the proceedings of these alarming young men.	Away they walked to the book; and while Isabella examined the names, it was Catherine's employment to watch the proceedings of these alarming young men.
6696_73295_000014_000001	I hope they are not so impertinent as to follow us.	I hope they are not so impertinent as to follow us.
6696_73295_000014_000003	I am determined I will not look up."	I am determined I will not look up."
6696_73295_000018_000000	"Well, I am amazingly glad I have got rid of them!	"Well, I am amazingly glad I have got rid of them!
6696_73295_000018_000001	And now what say you to going to Edgar's Buildings with me, and looking at my new hat?	And now what say you to going to Edgar's Buildings with me, and looking at my new hat?
6696_73295_000018_000002	You said you should like to see it."	You said you should like to see it."
6696_73295_000019_000000	Catherine readily agreed.	Catherine readily agreed.
6696_73295_000020_000000	"Oh! never mind that.	"Oh! never mind that.
6696_73295_000022_000000	"I shall not pay them any such compliment, I assure you.	"I shall not pay them any such compliment, I assure you.
6696_73295_000023_000000	Catherine had nothing to oppose against such reasoning; and therefore, to show the independence of Miss Thorpe, and her resolution of humbling the sex, they set off immediately, as fast as they could walk, in pursuit of the two young men.	Catherine had nothing to oppose against such reasoning; and therefore, to show the independence of Miss Thorpe, and her resolution of humbling the sex, they set off immediately, as fast as they could walk, in pursuit of the two young men.
6696_73295_000024_000000	Half a minute conducted them through the Pump-yard to the archway, opposite Union Passage; but here they were stopped.	Half a minute conducted them through the Pump yard to the archway, opposite Union Passage; but here they were stopped.
6696_73295_000025_000000	"Oh, these odious gigs!" said Isabella, looking up, "how I detest them!" But this detestation, though so just, was of short duration, for she looked again, and exclaimed, "Delightful!	"Oh, these odious gigs!" said Isabella, looking up, "how I detest them!" But this detestation, though so just, was of short duration, for she looked again, and exclaimed, "Delightful!
6696_73295_000025_000001	Mr. Morland and my brother!"	mr Morland and my brother!"
