6788_111574_000006_000000	THE MUSSEL AND OYSTER.	THE MUSSEL AND OYSTER.
6788_111574_000007_000002	It is a tug-of-war, your skill and strength against the muscles of the animal inside the tight shells.	It is a tug of war, your skill and strength against the muscles of the animal inside the tight shells.
6788_111574_000008_000001	You can imagine the Periwinkle's mantle as a tube enclosing the animal's body.	You can imagine the Periwinkle's mantle as a tube enclosing the animal's body.
6788_111574_000008_000002	The mantle of the Mussel or the Oyster is in two pieces; and each half forms its own shell.	The mantle of the Mussel or the Oyster is in two pieces; and each half forms its own shell.
6788_111574_000009_000000	The Snail, and other one-shelled molluscs, poke their heads out of the shell when feeding or moving.	The Snail, and other one shelled molluscs, poke their heads out of the shell when feeding or moving.
6788_111574_000009_000001	Oysters and their two-shelled cousins cannot do this, for the simple reason that they have no heads!	Oysters and their two shelled cousins cannot do this, for the simple reason that they have no heads!
6788_111574_000010_000001	In dense black masses they cling to the rocks; and, though heavy waves bang them like so many hammers, they stick tight.	In dense black masses they cling to the rocks; and, though heavy waves bang them like so many hammers, they stick tight.
6788_111574_000010_000003	On the piers and groynes, and the woodwork of the harbour, you can see other clusters of Mussels; they are placed where the high tide covers them.	On the piers and groynes, and the woodwork of the harbour, you can see other clusters of Mussels; they are placed where the high tide covers them.
6788_111574_000011_000000	Have you noticed how the Mussel anchors himself?	Have you noticed how the Mussel anchors himself?
6788_111574_000011_000001	He uses a bunch of threads, like so many cables or tiny ropes.	He uses a bunch of threads, like so many cables or tiny ropes.
6788_111574_000011_000002	It is interesting to know how these threads are made.	It is interesting to know how these threads are made.
6788_111574_000012_000001	He has a long, slender foot which can be pushed out of the shells.	He has a long, slender foot which can be pushed out of the shells.
6788_111574_000012_000002	Now the threads are fixed by the foot, just where the Mussel wishes to anchor himself.	Now the threads are fixed by the foot, just where the Mussel wishes to anchor himself.
6788_111574_000012_000003	They are made from a liquid which forms in the body of the creature.	They are made from a liquid which forms in the body of the creature.
6788_111574_000013_000000	Our ordinary Mussels do not make very long threads, but those of some kinds are so long that they can be woven into silky purses or stockings. The Mussel which makes such long anchor-threads might be called "the silkworm of the sea."	Our ordinary Mussels do not make very long threads, but those of some kinds are so long that they can be woven into silky purses or stockings. The Mussel which makes such long anchor threads might be called "the silkworm of the sea."
6788_111574_000014_000000	If the Mussel is such a stay-at-home, how does he find his food?	If the Mussel is such a stay at home, how does he find his food?
6788_111574_000014_000001	The answer is, that the food comes to him, brought by the ever-moving water. There are countless specks floating in the sea, mostly specks of vegetable stuff.	The answer is, that the food comes to him, brought by the ever moving water. There are countless specks floating in the sea, mostly specks of vegetable stuff.
6788_111574_000014_000002	These settle on the floor of the sea, just as dust settles on our house-floors; and the waves wash this "sea-dust" hither and thither.	These settle on the floor of the sea, just as dust settles on our house floors; and the waves wash this "sea dust" hither and thither.
6788_111574_000015_000001	Our British Oysters were famous even in the time of the Romans; they were carefully packed and sent to Rome, and, at the Roman feasts, surprising quantities of them were eaten.	Our British Oysters were famous even in the time of the romans; they were carefully packed and sent to Rome, and, at the Roman feasts, surprising quantities of them were eaten.
6788_111574_000016_000000	Many sea-animals have wonderfully large families, but the Oyster, with its millions and millions of eggs, beats most of them.	Many sea animals have wonderfully large families, but the Oyster, with its millions and millions of eggs, beats most of them.
6788_111574_000016_000001	Strangely enough, its eggs are not sent into the sea at once, but are kept between the Oyster's shells until they hatch.	Strangely enough, its eggs are not sent into the sea at once, but are kept between the Oyster's shells until they hatch.
6788_111574_000016_000002	Needless to say, these babies are very small indeed, else their nursery could not contain them all Though so small that thousands of them together look more like a pinch of dust than anything else, yet each one has two thin shells; so that, if you eat the parent Oyster, they grate on your teeth like sand.	Needless to say, these babies are very small indeed, else their nursery could not contain them all Though so small that thousands of them together look more like a pinch of dust than anything else, yet each one has two thin shells; so that, if you eat the parent Oyster, they grate on your teeth like sand.
6788_111574_000016_000003	Oysters, at this time, are "out of season"--that is, unfit for food.	Oysters, at this time, are "out of season"--that is, unfit for food.
6788_111574_000017_000000	At the right moment, the Oyster gets rid of its numerous family.	At the right moment, the Oyster gets rid of its numerous family.
6788_111574_000017_000001	It opens its shells, then shuts them rapidly; and, each time this happens, a cloud of young Oysters is puffed out like smoke.	It opens its shells, then shuts them rapidly; and, each time this happens, a cloud of young Oysters is puffed out like smoke.
6788_111574_000018_000000	They have no defence, and countless numbers of them are gobbled up by crabs, anemones, and others.	They have no defence, and countless numbers of them are gobbled up by crabs, anemones, and others.
6788_111574_000019_000000	For a time, the baby Oysters--which are known as "spat"--are able to swim here and there.	For a time, the baby Oysters-which are known as "spat"--are able to swim here and there.
