688_46588_000000_000000	XIX.	nineteen.	false	1.05	9.465	24.594343
688_46588_000001_000000	MY BLUE GUM GROVE.	MY BLUE GUM GROVE.	true	9.465	11.08	24.000982
688_46588_000002_000000	ONE of the first things I did on getting settled on my ranch, the second time I was in California, was to get a wagon and go down to my eucalyptus grove for a load of the pale green aromatic boughs with which to trim my attic study; for their fragrance is delightful and their delicate blue-green tone lends itself readily to decorative purposes. When the supply needed replenishing, I rode down on Mountain Billy and carried home the sweet-smelling branches on the saddle.	ONE of the first things I did on getting settled on my ranch, the second time I was in California, was to get a wagon and go down to my eucalyptus grove for a load of the pale green aromatic boughs with which to trim my attic study; for their fragrance is delightful and their delicate blue green tone lends itself readily to decorative purposes. When the supply needed replenishing, I rode down on Mountain Billy and carried home the sweet smelling branches on the saddle.	true	11.81	37.57	21.334213
688_46588_000003_000000	The grove served a more utilitarian purpose, however.	The grove served a more utilitarian purpose, however.	true	37.88	40.905	23.187243
688_46588_000003_000001	The eucalyptus is an Australian tree, with narrow straight-hanging leaves, and its rapid growth makes it useful for firewood.	The eucalyptus is an Australian tree, with narrow straight hanging leaves, and its rapid growth makes it useful for firewood.	true	40.905	47.98	23.28379
688_46588_000003_000002	A tree will grow forty feet in four years, and when cut off a few feet above the ground will spring up again and soon be ready to yield another crop.	A tree will grow forty feet in four years, and when cut off a few feet above the ground will spring up again and soon be ready to yield another crop.	false	47.99	56.11	24.09177
688_46588_000003_000003	My grove had never been cut, but would soon be old enough.	My grove had never been cut, but would soon be old enough.	false	56.18	59.53	21.827274
688_46588_000003_000004	In the photograph of a eucalyptus avenue near Los Angeles, the row of trees on the right have been cut near the ground and the branching trunks are the consequence.	In the photograph of a eucalyptus avenue near Los Angeles, the row of trees on the right have been cut near the ground and the branching trunks are the consequence.	true	59.84	68.73	23.03677
688_46588_000004_000000	[Illustration: EUCALYPTUS AVENUE, SHOWING POLLARDED TREES ON THE RIGHT, NEAR LOS ANGELES]	[Illustration: EUCALYPTUS AVENUE, SHOWING POLLARDED TREES ON THE RIGHT, NEAR LOS ANGELES]	false	68.73	69.27	-20
688_46588_000005_000000	My eucalyptus or blue gum grove was down near the big sycamore, and opposite the bare knoll where Romulus and the burrowing owls had their nightly battles.	My eucalyptus or blue gum grove was down near the big sycamore, and opposite the bare knoll where Romulus and the burrowing owls had their nightly battles.	true	69.27	78.25	23.503458
688_46588_000005_000001	On one side of it was a rustling cornfield always pleasant to look at.	On one side of it was a rustling cornfield always pleasant to look at.	true	78.5	82.33	21.258196
688_46588_000005_000002	After the bare yellow stubble and all the reds and browns of a California summer landscape, its rich dark green color and its stanch, strong stalks made it seem a very plain honest sort of field, and its greenness was most grateful to eyes unused to the bright colors and strong lights of California.	After the bare yellow stubble and all the reds and browns of a California summer landscape, its rich dark green color and its stanch, strong stalks made it seem a very plain honest sort of field, and its greenness was most grateful to eyes unused to the bright colors and strong lights of California.	true	82.4	99.01	22.213274
688_46588_000006_000000	Opposite the little grove, in a small house perched on a hill, an old sea-captain lived alone.	Opposite the little grove, in a small house perched on a hill, an old sea captain lived alone.	true	99.56	104.86	23.990795
688_46588_000006_000001	As I rode by one day, he sat with his feet hanging over the edge of the high piazza, looking off; as if on the prow of his vessel, gazing out to sea.	As I rode by one day, he sat with his feet hanging over the edge of the high piazza, looking off; as if on the prow of his vessel, gazing out to sea.	false	105.23	114.25	22.663057
688_46588_000006_000002	When I stopped to ask if he had seen anything noteworthy happen at the grove, he complained that it shut off his view and kept away the breeze from the ocean!	When I stopped to ask if he had seen anything noteworthy happen at the grove, he complained that it shut off his view and kept away the breeze from the ocean!	true	114.56	122.14	23.21672
688_46588_000006_000003	I was too much taken by surprise to apologize for my trees, but felt reproached; unwittingly I had destroyed the old captain's choicest pleasure.	I was too much taken by surprise to apologize for my trees, but felt reproached; unwittingly I had destroyed the old captain's choicest pleasure.	true	122.36	130.69	22.955965
688_46588_000006_000004	He had spoken in an impersonal way that I quite understood,--he had been taken unawares,--but the next time I rode past, as if to make up for any apparent rudeness, he came hurrying down the walk to tell me of a crow's nest he had seen in the grove.	He had spoken in an impersonal way that I quite understood,--he had been taken unawares,--but the next time I rode past, as if to make up for any apparent rudeness, he came hurrying down the walk to tell me of a crow's nest he had seen in the grove.	false	130.85	144.66	23.238724
688_46588_000006_000005	To mark it he had fastened a piece of paper to the wire fence by the road, and another paper to the nest tree, binding it on with a eucalyptus twig in true sailor fashion.	To mark it he had fastened a piece of paper to the wire fence by the road, and another paper to the nest tree, binding it on with a eucalyptus twig in true sailor fashion.	false	144.66	153.91	23.071777
688_46588_000007_000000	It was always a relief to leave the hot beating sun and the glare of the yellow fields and enter the cool shade of the quiet grove.	It was always a relief to leave the hot beating sun and the glare of the yellow fields and enter the cool shade of the quiet grove.	true	154.67	161.74	20.35429
688_46588_000007_000001	I could let down the fence and put it up behind me; thus having my small forest all to myself; and used to enjoy riding up and down the fragrant blue avenues.	I could let down the fence and put it up behind me; thus having my small forest all to myself; and used to enjoy riding up and down the fragrant blue avenues.	true	161.93	170.98	22.174145
688_46588_000007_000002	The eucalyptus-trees, although thirty or forty feet high, were lithe and slender; some of them could be spanned by the hands.	The eucalyptus trees, although thirty or forty feet high, were lithe and slender; some of them could be spanned by the hands.	true	171.41	178.57	22.195707
688_46588_000007_000003	The rows were planted ten feet apart, but the long branches interlaced, so one had to be on the alert, in riding down the lines, to bend low on the saddle or push aside the branches that obstructed the way.	The rows were planted ten feet apart, but the long branches interlaced, so one had to be on the alert, in riding down the lines, to bend low on the saddle or push aside the branches that obstructed the way.	true	178.97	190.24	21.902483
688_46588_000007_000004	The limbs were so slender and flexible that a touch was enough to bend back a green gate fifteen to twenty feet long, and Billy often pushed a branch aside with his nose.	The limbs were so slender and flexible that a touch was enough to bend back a green gate fifteen to twenty feet long, and Billy often pushed a branch aside with his nose.	true	190.52	199.96	23.021023
688_46588_000007_000005	In places, fallen trees barred our path, but Billy used to step carefully over them.	In places, fallen trees barred our path, but Billy used to step carefully over them.	true	200.57	205.72	22.483467
688_46588_000008_000000	The eucalyptus-trees change very curiously as they grow old.	The eucalyptus trees change very curiously as they grow old.	true	206.27	209.94	22.999311
688_46588_000008_000001	When young they are covered with branches low to the ground, and their aromatic tender leaves are light bluish green; afterwards they lose their lower branches, while their leaves become stiff and sickle-shaped, dull green and almost odorless.	When young they are covered with branches low to the ground, and their aromatic tender leaves are light bluish green; afterwards they lose their lower branches, while their leaves become stiff and sickle shaped, dull green and almost odorless.	true	209.94	222.79	23.592825
688_46588_000008_000002	The same changes are seen in the bark: first the trunks are smooth and green; then they are hung with shaggy shreds of bark; this in turn drops off so that the old trees are smooth again. Some of the young shoots have almost white stems, and their leaves have a pinkish tinge.	The same changes are seen in the bark: first the trunks are smooth and green; then they are hung with shaggy shreds of bark; this in turn drops off so that the old trees are smooth again. Some of the young shoots have almost white stems, and their leaves have a pinkish tinge.	true	223.07	238.66	22.519539
688_46588_000008_000003	Indeed, a young blue gum is as pretty a sight as one often sees; it is a tree of exquisite delicacy of coloring.	Indeed, a young blue gum is as pretty a sight as one often sees; it is a tree of exquisite delicacy of coloring.	true	238.88	245.7	21.7741
688_46588_000009_000000	[Illustration: EUCALYPTUS WOOD STORED FOR MARKET, IN A EUCALYPTUS GROVE NEAR LOS ANGELES]	[Illustration: EUCALYPTUS WOOD STORED FOR MARKET, IN A EUCALYPTUS GROVE NEAR LOS ANGELES]	false	245.7	246.555	-20
688_46588_000010_000000	Mountain Billy and I both liked to wander among the blue gums.	Mountain Billy and I both liked to wander among the blue gums.	true	246.555	249.49	25.005814
688_46588_000010_000001	Billy liked it, perhaps, for association's sake, for we had ridden through the eucalyptus at his home in northern California.	Billy liked it, perhaps, for association's sake, for we had ridden through the eucalyptus at his home in northern California.	true	249.77	256.15	21.591434
688_46588_000010_000002	I too had pleasant memories of the northern gums, but my first interest was in finding out who lived in my little woods.	I too had pleasant memories of the northern gums, but my first interest was in finding out who lived in my little woods.	true	256.43	262.87	22.260057
688_46588_000010_000003	A dog had once been seen driving a coyote wolf out of it, but that was merely in passing.	A dog had once been seen driving a coyote wolf out of it, but that was merely in passing.	true	263.27	268.6	22.11831
688_46588_000010_000004	I did not expect to meet wolves there.	I did not expect to meet wolves there.	true	268.94	271.06	23.64295
688_46588_000010_000005	It was said, however, to be a good place for tarantulas, so at first I stepped over the dead leaf carpet with great caution; but never seeing any of the big spiders, grew brave and sat indifferently right on the ground before the nests, or leaning up against the trees. The ground was almost as hard as a rock, for the eucalyptus absorbed all the moisture, and that may have had something to do with its freedom from snakes and scorpions, though it would not explain the absence of caterpillars and spiders, which just then were so common outside.	It was said, however, to be a good place for tarantulas, so at first I stepped over the dead leaf carpet with great caution; but never seeing any of the big spiders, grew brave and sat indifferently right on the ground before the nests, or leaning up against the trees. The ground was almost as hard as a rock, for the eucalyptus absorbed all the moisture, and that may have had something to do with its freedom from snakes and scorpions, though it would not explain the absence of caterpillars and spiders, which just then were so common outside.	true	271.46	300.55	22.865274
688_46588_000010_000006	Though in the grove a great deal, I never ran into but one cobweb, and was conscious of the pleasant freedom from falling caterpillars.	Though in the grove a great deal, I never ran into but one cobweb, and was conscious of the pleasant freedom from falling caterpillars.	true	301.1	308.41	21.359531
688_46588_000010_000007	Moreover, I never saw a lizard in the blue gums, though dozens of them were to be seen about the oaks and in the brush.	Moreover, I never saw a lizard in the blue gums, though dozens of them were to be seen about the oaks and in the brush.	true	308.57	315.01	21.67483
688_46588_000011_000000	It was a surprise to find so many feathered folks living in the eucalyptus, and I took a personal interest in each one of the inhabitants.	It was a surprise to find so many feathered folks living in the eucalyptus, and I took a personal interest in each one of the inhabitants.	true	315.71	322.42	22.422009
688_46588_000011_000001	The first time we started to go up and down the avenues we scared up a pair of turtle doves, beautiful, delicately tinted gentle creatures, fit tenants of the lovely grove.	The first time we started to go up and down the avenues we scared up a pair of turtle doves, beautiful, delicately tinted gentle creatures, fit tenants of the lovely grove.	true	322.94	332.53	23.739628
688_46588_000011_000002	They did not know my friendly interest in them, and flew to the ground trailing and trying to decoy me away in such a marked manner that when we passed a young dove a few yards farther on, it was easy to put two and two together.	They did not know my friendly interest in them, and flew to the ground trailing and trying to decoy me away in such a marked manner that when we passed a young dove a few yards farther on, it was easy to put two and two together.	true	332.84	345.43	23.063848
688_46588_000012_000000	Yellow-birds called _cheet'-tee, ca-cheet'-ta-tee_, and the grove became musical with the sweet calls of the young brood.	Yellow birds called underscore cheet'-tee, c a cheet'-ta tee underscore, and the grove became musical with the sweet calls of the young brood.	false	345.98	353.14	26.283598
688_46588_000012_000001	There was one nest with a roof of shaggy bark, and I wondered if the birds thought it would be pleasant to live under a roof, or whether the bark had fallen down on them after they built.	There was one nest with a roof of shaggy bark, and I wondered if the birds thought it would be pleasant to live under a roof, or whether the bark had fallen down on them after they built.	true	353.39	362.29	21.880926
688_46588_000012_000002	I could get no trace of the owners of the nest, and it troubled me, not liking to have any little homes in my wood that I did not know all about.	I could get no trace of the owners of the nest, and it troubled me, not liking to have any little homes in my wood that I did not know all about.	true	362.51	370.18	23.983831
688_46588_000012_000003	As we went down one aisle, a big bird went blundering out ahead of us, probably an owl, for afterwards we stumbled on a skeleton and feathers of one of the family.	As we went down one aisle, a big bird went blundering out ahead of us, probably an owl, for afterwards we stumbled on a skeleton and feathers of one of the family.	true	370.61	379.15	22
