6956_81870_000000_000000	CHAPTER VIII	CHAPTER eight	false	0.15	19.27	22.715912
6956_81870_000001_000000	MISS URSULA WINWOOD, hatless, but with a cotton sunshade swinging over her shoulder, and with a lean, shiny, mahogany-coloured Sussex spaniel trailing behind, walked in her calm, deliberate way down the long carriage drive of Drane's Court.	MISS URSULA WINWOOD, hatless, but with a cotton sunshade swinging over her shoulder, and with a lean, shiny, mahogany coloured Sussex spaniel trailing behind, walked in her calm, deliberate way down the long carriage drive of Drane's Court.	true	19.31	33.73	15
6956_81870_000001_000001	She was stout and florid, and had no scruples as to the avowal of her age, which was forty-three.	She was stout and florid, and had no scruples as to the avowal of her age, which was forty three.	true	33.89	39.25	14
6956_81870_000001_000002	She had clear blue eyes which looked steadily upon a complicated world of affairs, and a square, heavy chin which showed her capacity for dealing with it.	She had clear blue eyes which looked steadily upon a complicated world of affairs, and a square, heavy chin which showed her capacity for dealing with it.	true	39.41	47.2	16
6956_81870_000001_000003	Miss Ursula Winwood knew herself to be a notable person, and the knowledge did not make her vain or crotchety or imperious.	Miss Ursula Winwood knew herself to be a notable person, and the knowledge did not make her vain or crotchety or imperious.	true	47.36	54.31	15
6956_81870_000001_000004	She took her notability for granted, as she took her mature good looks and her independent fortune.	She took her notability for granted, as she took her mature good looks and her independent fortune.	true	54.35	59.14	17
6956_81870_000001_000005	For some years she had kept house for her widowed brother, Colonel Winwood, Conservative Member for the Division of the county in which they resided, and helped him efficiently in his political work.	For some years she had kept house for her widowed brother, Colonel Winwood, Conservative Member for the Division of the county in which they resided, and helped him efficiently in his political work.	false	59.33	69.36	18
6956_81870_000001_000006	The little township of Morebury--half a mile from the great gates of Drane's Court--felt Miss Winwood's control in diverse ways.	The little township of Morebury-half a mile from the great gates of Drane's Court-felt Miss Winwood's control in diverse ways.	true	69.36	75.94	18
6956_81870_000001_000007	Another town, a little further off, with five or six millions of inhabitants, was also, through its newspapers, aware of Miss Winwood. Many leagues, societies, associations, claimed her as President, Vice-President, or Member of Council.	Another town, a little further off, with five or six millions of inhabitants, was also, through its newspapers, aware of Miss Winwood. Many leagues, societies, associations, claimed her as President, Vice President, or Member of Council.	true	76.04	88.72	19
6956_81870_000001_000008	She had sat on Royal Commissions. Her name under an appeal for charity guaranteed the deserts of the beneficiaries.	She had sat on Royal Commissions. Her name under an appeal for charity guaranteed the deserts of the beneficiaries.	true	88.79	94.83	14
6956_81870_000001_000009	What she did not know about housing problems, factory acts, female prisons, hospitals, asylums for the blind, decayed gentlewomen, sweated trades, dogs' homes and Friendly Societies could not be considered in the light of knowledge.	What she did not know about housing problems, factory acts, female prisons, hospitals, asylums for the blind, decayed gentlewomen, sweated trades, dogs' homes and Friendly Societies could not be considered in the light of knowledge.	false	94.83	106.93	14
6956_81870_000001_000010	She sat on platforms with Royal princesses, Archbishops welcomed her as a colleague, and Cabinet Ministers sought her counsel.	She sat on platforms with Royal princesses, Archbishops welcomed her as a colleague, and Cabinet Ministers sought her counsel.	true	106.97	113.565	19
6956_81870_000002_000000	For some distance from the porch of the red-brick, creeper-covered Queen-Anne house the gravel drive between the lawns blazed in the afternoon sun.	For some distance from the porch of the red brick, creeper covered Queen Anne house the gravel drive between the lawns blazed in the afternoon sun	true	113.565	121.71	13
6956_81870_000002_000001	For this reason, the sunshade.	For this reason, the sunshade.	true	121.71	123.58	19.148664
6956_81870_000002_000002	But after a while came an avenue of beech and plane and oak casting delectable shade on the drive and its double edging of grass, and the far-stretching riot of flowers beneath the trees, foxgloves and canterbury bells and campanulas and delphiniums, all blues and purples and whites, with here and there the pink of dog-roses and gorgeous yellow splashes of celandine.	But after a while came an avenue of beech and plane and oak casting delectable shade on the drive and its double edging of grass, and the far stretching riot of flowers beneath the trees, foxgloves and canterbury bells and campanulas and delphiniums, all blues and purples and whites, with here and there the pink of dog roses and gorgeous yellow splashes of celandine.	false	123.68	146.49	18
6956_81870_000002_000003	On entering the stately coolness, Miss Winwood closed her sunshade and looked at her watch, a solid timepiece harboured in her belt.	On entering the stately coolness, Miss Winwood closed her sunshade and looked at her watch, a solid timepiece harboured in her belt.	true	146.49	153.915	18
6956_81870_000002_000004	A knitted brow betrayed mathematical calculation.	A knitted brow betrayed mathematical calculation.	true	153.915	157.12	16
6956_81870_000002_000005	It would take her five minutes to reach the lodge gate.	It would take her five minutes to reach the lodge gate.	true	157.22	160.06	25.12786
6956_81870_000002_000006	The train bringing her venerable uncle, Archdeacon Winwood, for a week's visit would not arrive at the station for another three minutes, and the two fat horses would take ten minutes to drag from the station the landau which she had sent to meet him.	The train bringing her venerable uncle, Archdeacon Winwood, for a week's visit would not arrive at the station for another three minutes, and the two fat horses would take ten minutes to drag from the station the landau which she had sent to meet him.	false	160.07	174.28	18
6956_81870_000002_000007	She had, therefore, eight minutes to spare.	She had, therefore, eight minutes to spare.	true	174.35	176.79	22
6956_81870_000002_000008	A rustic bench invited repose.	A rustic bench invited repose.	true	176.79	179.115	18.486591
6956_81870_000002_000009	Graciously she accepted the invitation.	Graciously she accepted the invitation.	true	179.115	181.63	21
6956_81870_000003_000000	Now, it must be observed that it was not Miss Winwood's habit to waste time.	Now, it must be observed that it was not Miss Winwood's habit to waste time.	true	181.85	186.25	13
6956_81870_000003_000001	Her appointments were kept to the minute, and her appointment (self-made on this occasion) was the welcoming of her uncle, the Archdeacon, on the threshold of Drane's Court.	Her appointments were kept to the minute, and her appointment (self made on this occasion) was the welcoming of her uncle, the Archdeacon, on the threshold of Drane's Court.	true	186.29	195.88	21
