6965_291718_000000_000000	Your affectionate Pussy.	Your affectionate Pussy.	false	0	1.65	24.162567
6965_291718_000001_000000	[Illustration: "Judge Dickinson's cat, who is a good hospitable old soul, in spite of her stupidity, invited me to tea, and asked Caesar too."--Page 60.]	[Illustration: "Judge Dickinson's cat, who is a good hospitable old soul, in spite of her stupidity, invited me to tea, and asked Caesar too."--Page sixty.]	false	1.65	7.83	24.951303
6965_291718_000002_000000	[Illustration: "When there suddenly came down on us a whole pailful of water." Page 61.]	[Illustration: "When there suddenly came down on us a whole pailful of water." Page sixty one.]	false	7.83	9.42	25.197355
6965_291718_000003_000000	[Illustration: "He lifted me out by the nape of my neck, holding me as far off from him as he could."--Page 68.]	[Illustration: "He lifted me out by the nape of my neck, holding me as far off from him as he could."--Page sixty eight.]	false	9.42	14.88	24.97697
6965_291718_000004_000000	VI.	VI.	false	14.88	15.285	13
6965_291718_000005_000000	My Dear Helen:	My Dear Helen:	true	15.285	16.63	22.988998
6965_291718_000006_000000	I will begin where I left off in my last letter.	I will begin where I left off in my last letter.	true	17.42	20.8	22.264149
6965_291718_000007_000000	As you may imagine, I did not get any sleep that night, not even so much as a cat's nap, as people say, though how cat's naps differ from men's and women's naps, I don't know.	As you may imagine, I did not get any sleep that night, not even so much as a cat's nap, as people say, though how cat's naps differ from men's and women's naps, I don't know.	true	21.41	34.84	22.747425
6965_291718_000007_000001	I shivered all night, and it hurt me terribly whenever I moved.	I shivered all night, and it hurt me terribly whenever I moved.	true	35.33	40.27	22.274342
6965_291718_000007_000002	Early in the morning your grandfather came downstairs, and when he saw how I looked, he swore again, that same oath: we all know very well what it means when he swears in that way: it means that he is going to do all he can for you, and is so sorry, that he is afraid of seeming too sorry.	Early in the morning your grandfather came downstairs, and when he saw how I looked, he swore again, that same oath: we all know very well what it means when he swears in that way: it means that he is going to do all he can for you, and is so sorry, that he is afraid of seeming too sorry.	false	40.88	61.66	19.745552
6965_291718_000007_000003	Don't you remember when you had that big double tooth pulled out, and he gave you five dollars, how he swore then?	Don't you remember when you had that big double tooth pulled out, and he gave you five dollars, how he swore then?	true	62.81	71.2	21.829107
6965_291718_000007_000004	Well, he took me up in his arms, and carried me into the dining-room; it was quite cool; there was a nice wood fire on the hearth, and Mary was setting the table for breakfast.	Well, he took me up in his arms, and carried me into the dining room; it was quite cool; there was a nice wood fire on the hearth, and Mary was setting the table for breakfast.	true	71.72	84.1	21.125713
6965_291718_000007_000005	He said to her in a very gruff voice, "Here you, Mary, you go up into the garret and bring down the cradle."	He said to her in a very gruff voice, "Here you, Mary, you go up into the garret and bring down the cradle."	true	84.56	93.55	21.695347
6965_291718_000008_000000	Sick as I was, I could not help laughing at the sight of her face.	Sick as I was, I could not help laughing at the sight of her face.	true	94.58	98.68	21.040365
6965_291718_000008_000001	It was enough to make any cat laugh.	It was enough to make any cat laugh.	true	98.84	101.53	23.601154
6965_291718_000009_000000	"You don't ever mean to say, sir, as you're going to put that cat into the cradle."	"You don't ever mean to say, sir, as you're going to put that cat into the cradle."	false	102.32	108.43	22.7212
6965_291718_000010_000000	"You do as I tell you," said he, in that most awful tone of his, which always makes you so afraid.	"You do as I tell you," said he, in that most awful tone of his, which always makes you so afraid.	true	109.25	117.13	20.456728
6965_291718_000010_000001	I felt afraid myself, though all the time he was stroking my head, and saying, "Poor pussy, there, poor pussy, lie still." In a few minutes Mary came down with the cradle, and set it down by the fire with such a bang that I wondered it did not break.	I felt afraid myself, though all the time he was stroking my head, and saying, "Poor pussy, there, poor pussy, lie still." In a few minutes Mary came down with the cradle, and set it down by the fire with such a bang that I wondered it did not break.	true	117.53	136.3	22.647366
6965_291718_000010_000002	You know she always bangs things when she is cross, but I never could see what good it does.	You know she always bangs things when she is cross, but I never could see what good it does.	true	136.67	142.78	21.889942
6965_291718_000010_000003	Then your grandfather made up a nice bed in the cradle, out of Charlie's winter blanket and an old pillow, and laid me down in it, all rolled up as I was in your petticoat.	Then your grandfather made up a nice bed in the cradle, out of Charlie's winter blanket and an old pillow, and laid me down in it, all rolled up as I was in your petticoat.	true	143.39	155.83	23.262062
6965_291718_000010_000004	When your mother came into the room she laughed almost as hard as she did when she saw me in the soft-soap barrel, and said, "Why, father, you are rather old to play cat's cradle!"	When your mother came into the room she laughed almost as hard as she did when she saw me in the soft soap barrel, and said, "Why, father, you are rather old to play cat's cradle!"	true	156.44	168.7	22.366604
6965_291718_000010_000005	The old gentleman laughed at this, till the tears ran down his red cheeks.	The old gentleman laughed at this, till the tears ran down his red cheeks.	true	169.25	174.46	23.25259
6965_291718_000010_000006	"Well," he said, "I tell you one thing; the game will last me till that poor cat gets well again." Then he went upstairs, and brought down a bottle of something very soft and slippery, like lard, and put it on my eyes, and it made them feel much better. After that he gave me some milk into which he had put some of his very best brandy: that was pretty hard to get down, but I understood enough of what they had said, to be sure that if I did not take something of the kind I should never get well.	"Well," he said, "I tell you one thing; the game will last me till that poor cat gets well again." Then he went upstairs, and brought down a bottle of something very soft and slippery, like lard, and put it on my eyes, and it made them feel much better. After that he gave me some milk into which he had put some of his very best brandy: that was pretty hard to get down, but I understood enough of what they had said, to be sure that if I did not take something of the kind I should never get well.	true	174.83	211.06	22.00891
6965_291718_000010_000007	After breakfast I tried to walk, but my right paw was entirely useless.	After breakfast I tried to walk, but my right paw was entirely useless.	true	212.06	217.63	23.46212
6965_291718_000010_000008	At first they thought it was broken, but finally decided that it was only sprained, and must be bandaged.	At first they thought it was broken, but finally decided that it was only sprained, and must be bandaged.	true	218.09	225.94	21.469528
6965_291718_000010_000009	The bandages were wet with something which smelled so badly it made me feel very sick, for the first day or two.	The bandages were wet with something which smelled so badly it made me feel very sick, for the first day or two.	true	226.49	233.5	22
6965_291718_000010_000010	Cats' noses are much more sensitive to smells than people's are; but I grew used to it, and it did my poor lame paw so much good that I would have borne it if it had smelled twice as badly.	Cats' noses are much more sensitive to smells than people's are; but I grew used to it, and it did my poor lame paw so much good that I would have borne it if it had smelled twice as badly.	false	233.81	246.19	24.091473
6965_291718_000010_000011	For three days I had to lie all the time in the cradle: if your grandfather caught me out of it, he would swear at me, and put me back again.	For three days I had to lie all the time in the cradle: if your grandfather caught me out of it, he would swear at me, and put me back again.	true	247.13	255.82	22.60768
6965_291718_000010_000012	Every morning he put the soft white stuff on my eyes, and changed the bandages on my leg.	Every morning he put the soft white stuff on my eyes, and changed the bandages on my leg.	true	256.55	262.69	22.052773
6965_291718_000010_000013	And, oh, my dear Helen, such good things as I had to eat!	And, oh, my dear Helen, such good things as I had to eat!	true	262.91	267.91	22.670183
6965_291718_000010_000014	I had almost the same things for my dinner that the rest of them did: it must be a splendid thing to be a man or a woman!	I had almost the same things for my dinner that the rest of them did: it must be a splendid thing to be a man or a woman!	true	268.01	276.07	22.43983
6965_291718_000010_000015	I do not think I shall ever again be contented to eat in the shed, and have only the old pieces which nobody wants.	I do not think I shall ever again be contented to eat in the shed, and have only the old pieces which nobody wants.	true	276.62	284.56	21
6965_291718_000011_000000	Two things troubled me very much while I was confined to the cradle: one was that everybody who came in to see your mother laughed as if they never could stop, at the first sight of me; and the other was that I heard poor Caesar mewing all around the house, and calling me with all his might; and I knew he thought I was dead.	Two things troubled me very much while I was confined to the cradle: one was that everybody who came in to see your mother laughed as if they never could stop, at the first sight of me; and the other was that I heard poor Caesar mewing all around the house, and calling me with all his might; and I knew he thought I was dead.	false	286.07	308.86	21.701416
6965_291718_000011_000001	I tried hard to make your kind mother notice his crying, for I knew she would be willing to let him come in and see me, but I could not make her understand.	I tried hard to make your kind mother notice his crying, for I knew she would be willing to let him come in and see me, but I could not make her understand.	false	309.47	319.24	21.051586
6965_291718_000011_000002	I suppose she thought it was only some common strolling cat who was hungry.	I suppose she thought it was only some common strolling cat who was hungry.	true	319.58	324.61	20
6965_291718_000011_000003	I have always noticed that people do not observe any difference between one cat's voice and another's; now they really are just as different as human voices.	I have always noticed that people do not observe any difference between one cat's voice and another's; now they really are just as different as human voices.	true	325.22	336.16	22.362926
6965_291718_000011_000004	Caesar has one of the finest, deepest-toned voices I ever heard.	Caesar has one of the finest, deepest toned voices I ever heard.	true	336.62	341.44	21.939754
6965_291718_000011_000005	One day, after I got well enough to be in the kitchen, he slipped in, between the legs of the butcher's boy who was bringing in some meat; but before I had time to say one word to him, Mary flew at him with the broom, and drove him out.	One day, after I got well enough to be in the kitchen, he slipped in, between the legs of the butcher's boy who was bringing in some meat; but before I had time to say one word to him, Mary flew at him with the broom, and drove him out.	true	341.96	357.04	21.892887
6965_291718_000011_000006	However, he saw that I was alive, and that was something.	However, he saw that I was alive, and that was something.	true	357.77	361.96	22.744404
6965_291718_000011_000007	I am afraid it will be some days yet before I can see him again, for they do not let me go out at all, and the bandages are not taken off my leg.	I am afraid it will be some days yet before I can see him again, for they do not let me go out at all, and the bandages are not taken off my leg.	true	362.39	373.66	22.013224
6965_291718_000011_000008	The cradle is carried upstairs, and I sleep on Charlie's blanket behind the stove.	The cradle is carried upstairs, and I sleep on Charlie's blanket behind the stove.	true	374.93	381.22	24.31688
6965_291718_000011_000009	I heard your mother say to-day that she really believed the cat had the rheumatism.	I heard your mother say to day that she really believed the cat had the rheumatism.	true	381.77	387.31	24.151892
6965_291718_000011_000010	I do not know what that is, but I think I have got it: it hurts me all over when I walk, and I feel as if I looked like Bill Jacobs's old cat, who, they say, is older than the oldest man in town; but of course that must be a slander.	I do not know what that is, but I think I have got it: it hurts me all over when I walk, and I feel as if I looked like Bill Jacobs's old cat, who, they say, is older than the oldest man in town; but of course that must be a slander.	true	387.71	405.25	23.99509
6965_291718_000012_000000	The thing I am most concerned about is my fur; it is coming off in spots: there is a bare spot on the back of my neck, on the place by which they lifted me up out of the soap barrel, half as large as your hand; and whenever I wash myself, I get my mouth full of hairs, which is very disagreeable.	The thing I am most concerned about is my fur; it is coming off in spots: there is a bare spot on the back of my neck, on the place by which they lifted me up out of the soap barrel, half as large as your hand; and whenever I wash myself, I get my mouth full of hairs, which is very disagreeable.	true	406.43	427.21	21.401516
6965_291718_000012_000001	I heard your grandfather say to-day, that he believed he would try Mrs. Somebody's Hair Restorer on the cat, at which everybody laughed so that ran out of the room as fast as I could go, and then they laughed still harder.	I heard your grandfather say to day, that he believed he would try mrs Somebody's Hair Restorer on the cat, at which everybody laughed so that ran out of the room as fast as I could go, and then they laughed still harder.	false	427.73	443.23	21.577448
