7030_64588_000001_000000	CHAPTER XIV.	CHAPTER fourteen.
7030_64588_000002_000000	Afloat on the Napo.--Down the Rapids.--Santa Rosa and its mulish Alcalde.--Pratt on Discipline.--Forest Music.--Coca.--Our Craft and Crew.--Storm on the Napo.	Afloat on the Napo.--Down the Rapids.--Santa Rosa and its mulish Alcalde.--Pratt on Discipline.--Forest Music.--Coca.--Our Craft and Crew.--Storm on the Napo.
7030_64588_000003_000000	We embarked November 20th on our voyage down the river.	We embarked november twentieth on our voyage down the river.
7030_64588_000003_000001	It is no easy matter to hire or cajole the Indians for any service.	It is no easy matter to hire or cajole the Indians for any service.
7030_64588_000003_000002	Out of feast-time they are out of town, and during the festival they are loth to leave, or are so full of chicha they do not know what they want.	Out of feast time they are out of town, and during the festival they are loth to leave, or are so full of chicha they do not know what they want.
7030_64588_000003_000005	They furnished three canoes, two for baggage and one covered with a palm-leaf awning for ourselves.	They furnished three canoes, two for baggage and one covered with a palm leaf awning for ourselves.
7030_64588_000003_000006	The canoes were of red cedar, and flat-bottomed; the paddles had oval blades, to which short, quick strokes were given perpendicularly to the water entering and leaving.	The canoes were of red cedar, and flat bottomed; the paddles had oval blades, to which short, quick strokes were given perpendicularly to the water entering and leaving.
7030_64588_000003_000007	But there was little need of paddling on this trip.	But there was little need of paddling on this trip.
7030_64588_000004_000000	The Napo starts off in furious haste, for the fall between Napo village and Santa Rosa, a distance of eighty miles, is three hundred and fifty feet.	The Napo starts off in furious haste, for the fall between Napo village and Santa Rosa, a distance of eighty miles, is three hundred and fifty feet.
7030_64588_000004_000001	We were about seven hours in the voyage down, and it takes seven days to pole back.	We were about seven hours in the voyage down, and it takes seven days to pole back.
7030_64588_000005_000000	In four hours we were abreast the little village of Aguano; on the opposite bank we could see the tambos of the gold washers.	In four hours we were abreast the little village of Aguano; on the opposite bank we could see the tambos of the gold washers.
7030_64588_000005_000001	At 5 P.M. we reached the deserted site of Old Santa Rosa, the village having been removed a few years ago on account of its unhealthy location.	At five p m we reached the deserted site of Old Santa Rosa, the village having been removed a few years ago on account of its unhealthy location.
7030_64588_000005_000002	It is now overgrown with sour orange and calabash trees, the latter bearing large fruit shells so useful to the Indians in making pilches or cups.	It is now overgrown with sour orange and calabash trees, the latter bearing large fruit shells so useful to the Indians in making pilches or cups.
7030_64588_000005_000003	In pitch darkness and in a drizzling rain we arrived at New Santa Rosa, and swung our hammocks in the Government House.	In pitch darkness and in a drizzling rain we arrived at New Santa Rosa, and swung our hammocks in the Government House.
7030_64588_000006_000000	Santa Rosa, once the prosperous capital of the Provincia del Oriente, now contains about two hundred men, women, and children.	Santa Rosa, once the prosperous capital of the Provincia del Oriente, now contains about two hundred men, women, and children.
7030_64588_000006_000001	The town is pleasantly situated on the left bank of the river, about fifteen feet above the water level.	The town is pleasantly situated on the left bank of the river, about fifteen feet above the water level.
7030_64588_000006_000002	A little bamboo church, open only when the missionary from Archidona makes his annual visit, stood near our quarters.	A little bamboo church, open only when the missionary from Archidona makes his annual visit, stood near our quarters.
7030_64588_000006_000003	The Indians were keeping one of their seven feasts in a hut near by, and their drumming was the last thing we heard as we turned into our hammocks, and the first in the morning.	The Indians were keeping one of their seven feasts in a hut near by, and their drumming was the last thing we heard as we turned into our hammocks, and the first in the morning.
7030_64588_000006_000006	It is embowered in a magnificent grove of plantains and papayas.	It is embowered in a magnificent grove of plantains and papayas.
7030_64588_000006_000008	In one corner stands a table (the only one we remember seeing on the Napo); on the opposite side are heaped up jars, pots, kettles, hunting and fishing implements, paddles, bows and arrows.	In one corner stands a table (the only one we remember seeing on the Napo); on the opposite side are heaped up jars, pots, kettles, hunting and fishing implements, paddles, bows and arrows.
7030_64588_000006_000009	Between the posts swing two chambiri hammocks.	Between the posts swing two chambiri hammocks.
7030_64588_000006_000011	When a stranger enters, he is invited to sit in a hammock; and at Santa Rosa we were always presented with a cup of guayusa; in Brazil with a cup of coffee.	When a stranger enters, he is invited to sit in a hammock; and at Santa Rosa we were always presented with a cup of guayusa; in Brazil with a cup of coffee.
7030_64588_000006_000012	Sandoval wore nothing but shirt and pantaloons; the dignity of the barefooted functionary was confined to his Spanish blood.	Sandoval wore nothing but shirt and pantaloons; the dignity of the barefooted functionary was confined to his Spanish blood.
7030_64588_000008_000000	At Santa Rosa we procured Indians and canoes for the Maranon.	At Santa Rosa we procured Indians and canoes for the Maranon.
7030_64588_000008_000001	This was not easily done.	This was not easily done.
7030_64588_000008_000002	The Indians seemed reluctant to quit their feasts and go on such a long voyage, and the alcalde was unwilling they should go, and manufactured a host of lies and excuses.	The Indians seemed reluctant to quit their feasts and go on such a long voyage, and the alcalde was unwilling they should go, and manufactured a host of lies and excuses.
7030_64588_000008_000003	He declared there was but one large canoe in town, and that we must send to Suno for another, and for men to man it.	He declared there was but one large canoe in town, and that we must send to Suno for another, and for men to man it.
7030_64588_000008_000005	After some time lost in word-fighting, we tried the virtues of authority.	After some time lost in word fighting, we tried the virtues of authority.
7030_64588_000010_000001	After this bombardment Sandoval was another man, and the two canoes and four Indians we wanted were forthcoming.	After this bombardment Sandoval was another man, and the two canoes and four Indians we wanted were forthcoming.
7030_64588_000010_000002	We had to wait, however, two days for the Indians to prepare their chicha for the journey and to cover the canoes with palm awnings.	We had to wait, however, two days for the Indians to prepare their chicha for the journey and to cover the canoes with palm awnings.
7030_64588_000010_000004	Unfortunately we had only fifty varas left; but, through the influence of the now good-natured alcalde, we induced the Indians to take the balance in coin.	Unfortunately we had only fifty varas left; but, through the influence of the now good-natured alcalde, we induced the Indians to take the balance in coin.
7030_64588_000010_000005	After many delays, we put our baggage into one canoe, and ourselves into the other, and pushed off into the rapid current of the Napo.	After many delays, we put our baggage into one canoe, and ourselves into the other, and pushed off into the rapid current of the Napo.
7030_64588_000010_000006	We had three styles of valediction on leaving.	We had three styles of valediction on leaving.
