708_129393_000000_000000	Farquharson Harris	Farquharson Harris	false	10.23	19.77	23.949038
708_129393_000001_000000	M	M	true	19.77	20.38	20.94798
708_129393_000002_000000	MACE, n.	MACE, n.	false	22.37	24.78	21.925184
708_129393_000002_000001	A staff of office signifying authority.	A staff of office signifying authority.	true	24.78	27.49	20
708_129393_000002_000002	Its form, that of a heavy club, indicates its original purpose and use in dissuading from dissent.	Its form, that of a heavy club, indicates its original purpose and use in dissuading from dissent.	true	27.65	34.18	19.578976
708_129393_000003_000000	MACHINATION, n.	MACHINATION, n.	false	35.18	37.62	21.029053
708_129393_000003_000001	The method employed by one's opponents in baffling one's open and honorable efforts to do the right thing.	The method employed by one's opponents in baffling one's open and honorable efforts to do the right thing.	true	37.62	44.05	17
708_129393_000004_000000	So plain the advantages of machination It constitutes a moral obligation, And honest wolves who think upon't with loathing Feel bound to don the sheep's deceptive clothing. So prospers still the diplomatic art, And Satan bows, with hand upon his heart.	So plain the advantages of machination It constitutes a moral obligation, And honest wolves who think upon't with loathing Feel bound to don the sheep's deceptive clothing. So prospers still the diplomatic art, And Satan bows, with hand upon his heart.	false	44.57	63.78	17
708_129393_000005_000000	R.S.K.	r s k	true	63.78	65.4	18
708_129393_000006_000000	MACROBIAN, n.	m a c r o b i a n, n.	false	65.4	69.9	21.023989
708_129393_000006_000001	One forgotten of the gods and living to a great age. History is abundantly supplied with examples, from Methuselah to Old Parr, but some notable instances of longevity are less well known.	One forgotten of the gods and living to a great age. History is abundantly supplied with examples, from Methuselah to Old Parr, but some notable instances of longevity are less well known.	true	69.9	82.72	15
708_129393_000006_000002	A Calabrian peasant named Coloni, born in 1753, lived so long that he had what he considered a glimpse of the dawn of universal peace. Scanavius relates that he knew an archbishop who was so old that he could remember a time when he did not deserve hanging.	A Calabrian peasant named Coloni, born in seventeen fifty three, lived so long that he had what he considered a glimpse of the dawn of universal peace. Scanavius relates that he knew an archbishop who was so old that he could remember a time when he did not deserve hanging.	false	82.79	102.64	18
708_129393_000006_000003	In 1566 a linen draper of Bristol, England, declared that he had lived five hundred years, and that in all that time he had never told a lie. There are instances of longevity (_macrobiosis_) in our own country. Senator Chauncey Depew is old enough to know better.	In fifteen sixty six a linen draper of Bristol, England, declared that he had lived five hundred years, and that in all that time he had never told a lie. There are instances of longevity (underscore macrobiosis underscore) in our own country. Senator Chauncey Depew is old enough to know better.	false	102.95	123.52	19
