7085_75807_000000_000000	When it was the Six Hundred and Ninth Night,	When it was the Six Hundred and Ninth Night,
7085_75807_000001_000004	Then Judar sat watching and after awhile, his feet appeared above the water and the fisher said, "He is dead and damned!	Then Judar sat watching and after awhile, his feet appeared above the water and the fisher said, "He is dead and damned!
7085_75807_000001_000009	"Whither went they?" enquired the Moor, and Judar replied, "I pinioned their hands behind them and cast them into the lake, where they were drowned, and the same fate is in store for thee." The Moor laughed and rejoined, saying, "O unhappy!	"Whither went they?" enquired the Moor, and Judar replied, "I pinioned their hands behind them and cast them into the lake, where they were drowned, and the same fate is in store for thee." The Moor laughed and rejoined, saying, "O unhappy!
7085_75807_000001_000011	Then he waited awhile; presently the Moor thrust both hands forth of the water and called out to him, saying, "Ho, good fellow, cast out thy net!" So Judar threw the net over him and drew him ashore, and lo! in each hand he held a fish as red as coral.	Then he waited awhile; presently the Moor thrust both hands forth of the water and called out to him, saying, "Ho, good fellow, cast out thy net!" So Judar threw the net over him and drew him ashore, and lo! in each hand he held a fish as red as coral.
7085_75807_000001_000012	Quoth the Moor, "Bring me the two caskets that are in the saddle bags." So Judar brought them and opened them to him, and he laid in each casket a fish and shut them up.	Quoth the Moor, "Bring me the two caskets that are in the saddle bags." So Judar brought them and opened them to him, and he laid in each casket a fish and shut them up.
7085_75807_000001_000013	Then he pressed Judar to his bosom and kissed him on the right cheek and the left, saying, "Allah save thee from all stress!	Then he pressed Judar to his bosom and kissed him on the right cheek and the left, saying, "Allah save thee from all stress!
7085_75807_000002_000000	When it was the Six Hundred and Tenth Night,	When it was the Six Hundred and Tenth Night,
7085_75807_000003_000004	Our father was wont to make use of this book, of which we had some small matter by heart, and each of us desired to possess it, that he might acquaint himself with what was therein.	Our father was wont to make use of this book, of which we had some small matter by heart, and each of us desired to possess it, that he might acquaint himself with what was therein.
7085_75807_000003_000008	As for the brand, if its bearer draw it and brandish it against an army, the army will be put to the rout; and if he say the while, 'Slay yonder host,' there will come forth of that sword lightning and fire, that will kill the whole many.	As for the brand, if its bearer draw it and brandish it against an army, the army will be put to the rout; and if he say the while, 'Slay yonder host,' there will come forth of that sword lightning and fire, that will kill the whole many.
7085_75807_000004_000000	When it was the Six Hundred and Eleventh Night,	When it was the Six Hundred and Eleventh Night,
7085_75807_000005_000003	"Nay," answered the Maghribi, "they are Ifrits in the guise of fish.	"Nay," answered the Maghribi, "they are Ifrits in the guise of fish.
