7085_75810_000000_000000	When it was the Six Hundred and Seventeenth Night,	When it was the Six Hundred and Seventeenth Night,	true	31.245	34.69	23
7085_75810_000001_000000	She said, It hath reached me, O auspicious King, that they seized Judar and carrying him forth of the house under cover of the night, at once packed him off to Suez, where they shackled him and set him to work as a galley slave; and he ceased not to serve thus in silence a whole year.[FN#290] So far concerning Judar; but as for his brothers, they went in next morning to his mother and said to her, "O our mother, our brother Judar is not awake." Said she, "Do ye wake him." Asked they, "Where lieth he?" and she answered, "With the guests." They rejoined, "Haply he went away with them whilst we slept, O mother.	She said, It hath reached me, O auspicious King, that they seized Judar and carrying him forth of the house under cover of the night, at once packed him off to Suez, where they shackled him and set him to work as a galley slave; and he ceased not to serve thus in silence a whole year.[f n # two hundred ninety] So far concerning Judar; but as for his brothers, they went in next morning to his mother and said to her, "O our mother, our brother Judar is not awake." Said she, "Do ye wake him." Asked they, "Where lieth he?" and she answered, "With the guests." They rejoined, "Haply he went away with them whilst we slept, O mother.	false	35.09	83.1	23.627708
7085_75810_000001_000001	It would seem that he had tasted of strangerhood and yearned to get at hidden hoards; for we heard him at talk with the Moors, and they said to him, 'We will take thee with us and open the treasure to thee.'" She enquired, "Hath he then been in company with Moors?;" and they replied, saying, "Were they not our guests yester night?" And she, "Most like he hath gone with them, but Allah will direct him on the right way; for there is a blessing upon him and he will surely come back with great good." But she wept, for it was grievous to her to be parted from her son.	It would seem that he had tasted of strangerhood and yearned to get at hidden hoards; for we heard him at talk with the Moors, and they said to him, 'We will take thee with us and open the treasure to thee.'" She enquired, "Hath he then been in company with Moors?;" and they replied, saying, "Were they not our guests yester night?" And she, "Most like he hath gone with them, but Allah will direct him on the right way; for there is a blessing upon him and he will surely come back with great good." But she wept, for it was grievous to her to be parted from her son.	true	83.1	122.74	24.562546
7085_75810_000001_000002	Then said they to her, "O accursed woman, dost thou love Judar with all this love, whilst as for us, whether we be absent or present, thou neither joyest in us nor sorrowest for us?	Then said they to her, "O accursed woman, dost thou love Judar with all this love, whilst as for us, whether we be absent or present, thou neither joyest in us nor sorrowest for us?	false	122.99	135.64	21.463707
7085_75810_000001_000003	Are we not thy sons, even as Judar is thy son?" She said, "Ye are indeed my sons: but ye are reprobates who deserve no favour of me, for since your father's death I have never seen any good in you; whilst as for Judar, I have had abundant good of him and he hath heartened my heart and entreated me with honour; wherefore it behoveth me to weep for him, because of his kindness to me and to you." When they heard this, they abused her and beat her; after which they sought for the saddle bags, till they found the two pairs and took the enchanted one and all the gold from one pouch and jewels from the other of the unenchanted, saying, "This was our father's good." Said their mother, "Not so, by Allah!, it belongeth to your brother Judar, who brought it from the land of the Magharibah." Said they, "Thou liest, it was our father's property; and we will dispose of it, as we please." Then they divided the gold and jewels between them; but a brabble arose between them concerning the enchanted saddle bags, S lim saying, "I will have them;" and Sal m, saying, "I will take them;" and they came to high words. Then said she, "O my sons, ye have divided the gold and the jewels, but this may not be divided, nor can its value be made up in money; and if it be cut in twain, its spell will be voided; so leave it with me and I will give you to eat from it at all times and be content to take a morsel with you.	Are we not thy sons, even as Judar is thy son?" She said, "Ye are indeed my sons: but ye are reprobates who deserve no favour of me, for since your father's death I have never seen any good in you; whilst as for Judar, I have had abundant good of him and he hath heartened my heart and entreated me with honour; wherefore it behoveth me to weep for him, because of his kindness to me and to you." When they heard this, they abused her and beat her; after which they sought for the saddle bags, till they found the two pairs and took the enchanted one and all the gold from one pouch and jewels from the other of the unenchanted, saying, "This was our father's good." Said their mother, "Not so, by Allah!, it belongeth to your brother Judar, who brought it from the land of the Magharibah." Said they, "Thou liest, it was our father's property; and we will dispose of it, as we please." Then they divided the gold and jewels between them; but a brabble arose between them concerning the enchanted saddle bags, S lim saying, "I will have them;" and Sal m, saying, "I will take them;" and they came to high words. Then said she, "O my sons, ye have divided the gold and the jewels, but this may not be divided, nor can its value be made up in money; and if it be cut in twain, its spell will be voided; so leave it with me and I will give you to eat from it at all times and be content to take a morsel with you.	false	135.74	238.42	23.115946
7085_75810_000001_000004	If ye allow me aught to clothe me, 'twill be of your bounty, and each of you shall traffic with the folk for himself.	If ye allow me aught to clothe me, 'twill be of your bounty, and each of you shall traffic with the folk for himself.	true	238.61	246.07	27.633566
7085_75810_000001_000005	Ye are my sons and I am your mother; wherefore let us abide as we are, lest your brother come back and we be disgraced." But they accepted not her words and passed the night, wrangling with each other.	Ye are my sons and I am your mother; wherefore let us abide as we are, lest your brother come back and we be disgraced." But they accepted not her words and passed the night, wrangling with each other.	true	246.14	259.93	24.358105
7085_75810_000001_000006	Now it chanced that a Janissary[FN#291] of the King's guards was a guest in the house adjoining Judar's and heard them through the open window.	Now it chanced that a Janissary[f n # two hundred ninety one] of the King's guards was a guest in the house adjoining Judar's and heard them through the open window.	false	259.97	269.11	23.625006
7085_75810_000001_000007	So he looked out and listening, heard all the angry words that passed between them and saw the division of the spoil.	So he looked out and listening, heard all the angry words that passed between them and saw the division of the spoil.	true	269.18	277.12	26
7085_75810_000001_000008	Next morning he presented himself before the King of Egypt, whose name was Shams al-Daulah,[FN#292] and told him all he had heard, whereupon he sent for Judar's brothers and put them to the question, till they confessed; and he took the two pairs of Saddle bags from them and clapped them in prison, appointing a sufficient daily allowance to their mother.	Next morning he presented himself before the King of Egypt, whose name was Shams al Daulah,[f n # two hundred ninety two] and told him all he had heard, whereupon he sent for Judar's brothers and put them to the question, till they confessed; and he took the two pairs of Saddle bags from them and clapped them in prison, appointing a sufficient daily allowance to their mother.	false	277.34	301.9	22.895847
7085_75810_000001_000009	Now as regards Judar, he abode a whole year in service at Suez, till one day, being in a ship bound on a voyage over the sea, a wind arose against them and cast the vessel upon a rock projecting from a mountain, where she broke up and all on board were drowned and none get ashore save Judar.	Now as regards Judar, he abode a whole year in service at Suez, till one day, being in a ship bound on a voyage over the sea, a wind arose against them and cast the vessel upon a rock projecting from a mountain, where she broke up and all on board were drowned and none get ashore save Judar.	false	302.18	325.92	22.42162
7085_75810_000001_000010	As soon as he landed he fared on inland, till he reached an encampment of Badawi, who questioned him of his case, and he told them he had been a sailor.[FN#293] Now there was in camp a merchant, a native of Jiddah, who took pity on him and said to him, "Wilt thou take service with me, O Egyptian, and I will clothe thee and carry thee with me to Jiddah?" So Judar took service with him and accompanied him to Jiddah, where he showed him much favour.	As soon as he landed he fared on inland, till he reached an encampment of Badawi, who questioned him of his case, and he told them he had been a sailor.[f n # two hundred ninety three] Now there was in camp a merchant, a native of Jiddah, who took pity on him and said to him, "Wilt thou take service with me, O Egyptian, and I will clothe thee and carry thee with me to Jiddah?" So Judar took service with him and accompanied him to Jiddah, where he showed him much favour.	false	325.92	357.28	25.24588
7085_75810_000001_000011	After awhile, his master the merchant set out on a pilgrimage to Meccah, taking Judar with him, and when they reached the city, the Cairene repaired to the Haram temple, to circumambulate the Ka'abah.	After awhile, his master the merchant set out on a pilgrimage to Meccah, taking Judar with him, and when they reached the city, the Cairene repaired to the Haram temple, to circumambulate the Ka'abah.	true	357.56	372.31	23.983868
7085_75810_000001_000012	As he was making the prescribed circuits,[FN#294] he suddenly saw his friend Abd al-Samad the Moor doing the like;-- And Shahrazad perceived the dawn of day and ceased to say her permitted say.	As he was making the prescribed circuits,[f n # two hundred ninety four] he suddenly saw his friend Abd al Samad the Moor doing the like;-- And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	372.68	387.31	22.333092
7085_75810_000002_000000	When it was the Six Hundred and Eighteenth Night,	When it was the Six Hundred and Eighteenth Night,	true	388.34	391.69	27.564554
7085_75810_000003_000000	She said, It hath reached me, O auspicious King, that Judar, as he was making the circuits, suddenly saw his friend Abd al-Samad also circumambulating; and when the Maghribi caught sight of him, he saluted him and asked him of his state; whereupon Judar wept and told him all that had befallen him.	She said, It hath reached me, O auspicious King, that Judar, as he was making the circuits, suddenly saw his friend Abd al Samad also circumambulating; and when the Maghribi caught sight of him, he saluted him and asked him of his state; whereupon Judar wept and told him all that had befallen him.	false	392	415.72	23.360638
7085_75810_000003_000001	So the Moor carried him to his lodging and entreated him with honour, clothing him in a dress of which the like was not, and saying to him, "Thou hast seen the end of thine ills, O Judar." Then he drew out for him a geomantic figure, which showed what had befallen S lim and Sal m and said to Judar, "Such and such things have befallen thy brothers and they are now in the King of Egypt's prison; but thou art right welcome to abide with me and accomplish thine ordinances of pilgrimage and all shall be well." Replied Judar, "O my lord, let me go and take leave of the merchant with whom I am and after I will come back to thee." "Dost thou owe money?" asked the Moor, and he answered, "No." Said Abd al-Samad, "Go thou and take leave of him and come back forth right, for bread hath claims of its own from the ingenuous." So Judar returned to the merchant and farewelled him, saying, "I have fallen in with my brother."[FN#295] "Go bring him here," said the merchant, "and we will make him an entertainment." But Judar answered, saying, "He hath no need of that; for he is a man of wealth and hath many servants." Then the merchant gave Judar twenty dinars, saying, "Acquit me of responsibility";[FN#296] and he bade him adieu and went forth from him.	So the Moor carried him to his lodging and entreated him with honour, clothing him in a dress of which the like was not, and saying to him, "Thou hast seen the end of thine ills, O Judar." Then he drew out for him a geomantic figure, which showed what had befallen S lim and Sal m and said to Judar, "Such and such things have befallen thy brothers and they are now in the King of Egypt's prison; but thou art right welcome to abide with me and accomplish thine ordinances of pilgrimage and all shall be well." Replied Judar, "O my lord, let me go and take leave of the merchant with whom I am and after I will come back to thee." "Dost thou owe money?" asked the Moor, and he answered, "no" Said Abd al Samad, "Go thou and take leave of him and come back forth right, for bread hath claims of its own from the ingenuous." So Judar returned to the merchant and farewelled him, saying, "I have fallen in with my brother."[f n # two hundred ninety five] "Go bring him here," said the merchant, "and we will make him an entertainment." But Judar answered, saying, "He hath no need of that; for he is a man of wealth and hath many servants." Then the merchant gave Judar twenty dinars, saying, "Acquit me of responsibility";[f n # two hundred ninety six] and he bade him adieu and went forth from him.	false	415.79	510.61	23.492115
7085_75810_000003_000002	Presently, he saw a poor man, so he gave him the twenty ducats and returned to the Moor, with whom he abode till they had accomplished the pilgrimage rites when Abd al-Samad gave him the seal ring, that he had taken from the treasure of Al-Shamardal, saying, "This ring will win thee thy wish, for it enchanteth and hath a servant, by name Al-Ra'ad al-K sif; so whatever thou hast a mind to of the wants of this world, rub this ring and its servant will appear and do all thou biddest him." Then he rubbed the ring before him, whereupon the Jinni appeared, saying, "Adsum, O my lord!	Presently, he saw a poor man, so he gave him the twenty ducats and returned to the Moor, with whom he abode till they had accomplished the pilgrimage rites when Abd al Samad gave him the seal ring, that he had taken from the treasure of Al Shamardal, saying, "This ring will win thee thy wish, for it enchanteth and hath a servant, by name Al Ra'ad al K sif; so whatever thou hast a mind to of the wants of this world, rub this ring and its servant will appear and do all thou biddest him." Then he rubbed the ring before him, whereupon the Jinni appeared, saying, "Adsum, O my lord!	false	510.92	555.615	21.269884
7085_75810_000003_000003	Ask what thou wilt and it shall be given thee.	Ask what thou wilt and it shall be given thee.	false	555.615	558.6	18
7085_75810_000003_000004	Hast thou a mind to people a ruined city or ruin a populous one?	Hast thou a mind to people a ruined city or ruin a populous one?	false	558.6	564.4	24.299555
7085_75810_000003_000005	to slay a king or to rout a host?" "O Ra'ad," said Abd al-Samad, "this is become thy lord; do thou serve him faithfully." Then he dismissed him and said to Judar, "Rub the ring and the servant will appear and do thou command him to do whatever thou desirest, for he will not gainsay thee.	to slay a king or to rout a host?" "O Ra'ad," said Abd al Samad, "this is become thy lord; do thou serve him faithfully." Then he dismissed him and said to Judar, "Rub the ring and the servant will appear and do thou command him to do whatever thou desirest, for he will not gainsay thee.	false	564.47	590.23	21.157894
