7139_75360_000002_000000	[Sidenote: Primacy of nature over spirit.]	[Sidenote: Primacy of nature over spirit.]
7139_75360_000003_000001	Natural society begins at home and radiates over the world, as more and more things become tributary to our personal being.	Natural society begins at home and radiates over the world, as more and more things become tributary to our personal being.
7139_75360_000003_000002	In marriage and the family, in industry, government, and war, attention is riveted on temporal existences, on the fortunes of particular bodies, natural or corporate.	In marriage and the family, in industry, government, and war, attention is riveted on temporal existences, on the fortunes of particular bodies, natural or corporate.
7139_75360_000003_000004	Things could not be near or far, worse or better, unless a definite life were taken as a standard, a life lodged somewhere in space and time.	Things could not be near or far, worse or better, unless a definite life were taken as a standard, a life lodged somewhere in space and time.
7139_75360_000003_000005	Reason is a principle of order appearing in a subject-matter which in its subsistence and quantity must be an irrational datum.	Reason is a principle of order appearing in a subject matter which in its subsistence and quantity must be an irrational datum.
7139_75360_000003_000006	Reason expresses purpose, purpose expresses impulse, and impulse expresses a natural body with self-equilibrating powers.	Reason expresses purpose, purpose expresses impulse, and impulse expresses a natural body with self equilibrating powers.
7139_75360_000004_000000	At the same time, natural growths may be called achievements only because, when formed, they support a joyful and liberal experience. Nature's works first acquire a meaning in the commentaries they provoke; mechanical processes have interesting climaxes only from the point of view of the life that expresses them, in which their ebb and flow grows impassioned and vehement.	At the same time, natural growths may be called achievements only because, when formed, they support a joyful and liberal experience. Nature's works first acquire a meaning in the commentaries they provoke; mechanical processes have interesting climaxes only from the point of view of the life that expresses them, in which their ebb and flow grows impassioned and vehement.
7139_75360_000004_000001	Nature's values are imputed to her retroactively by spirit, which in its material dependence has a logical and moral primacy of its own.	Nature's values are imputed to her retroactively by spirit, which in its material dependence has a logical and moral primacy of its own.
7139_75360_000004_000002	In themselves events are perfectly mechanical, steady, and fluid, not stopping where we see a goal nor avoiding what we call failures.	In themselves events are perfectly mechanical, steady, and fluid, not stopping where we see a goal nor avoiding what we call failures.
7139_75360_000004_000003	And so they would always have remained in crude experience, if no cumulative reflection, no art, and no science had come to dominate and foreshorten that equable flow of substance, arresting it ideally in behalf of some rational interest.	And so they would always have remained in crude experience, if no cumulative reflection, no art, and no science had come to dominate and foreshorten that equable flow of substance, arresting it ideally in behalf of some rational interest.
7139_75360_000005_000000	Thus it comes to pass that rational interests have a certain ascendancy in the world, as well as an absolute authority over it; for they arise where an organic equilibrium has naturally established itself.	Thus it comes to pass that rational interests have a certain ascendancy in the world, as well as an absolute authority over it; for they arise where an organic equilibrium has naturally established itself.
7139_75360_000005_000001	Such an equilibrium maintains itself by virtue of the same necessity that produced it; without arresting the flux or introducing any miracle, it sustains in being an ideal form.	Such an equilibrium maintains itself by virtue of the same necessity that produced it; without arresting the flux or introducing any miracle, it sustains in being an ideal form.
7139_75360_000005_000002	This form is what consciousness corresponds to and raises to actual existence; so that significant thoughts are something which nature necessarily lingers upon and seems to serve.	This form is what consciousness corresponds to and raises to actual existence; so that significant thoughts are something which nature necessarily lingers upon and seems to serve.
7139_75360_000005_000004	The mind spreads and soars in proportion as the body feeds on the surrounding world.	The mind spreads and soars in proportion as the body feeds on the surrounding world.
7139_75360_000005_000005	Noble ideas, although rare and difficult to attain, are not naturally fugitive.	Noble ideas, although rare and difficult to attain, are not naturally fugitive.
7139_75360_000006_000000	[Sidenote: All experience at bottom liberal.]	[Sidenote: All experience at bottom liberal.]
