7188_82904_000002_000000	CHAPTER VIII. -- Prescriptions.	CHAPTER eight. -- Prescriptions.
7188_82904_000003_000000	It was Sunday, the second day after the dance.	It was Sunday, the second day after the dance.
7188_82904_000003_000002	Down in the blacksmith shop Chip was putting new rowels into his spurs and whistling softly to himself while he worked.	Down in the blacksmith shop Chip was putting new rowels into his spurs and whistling softly to himself while he worked.
7188_82904_000004_000001	And they had laughed together over the juvenile seven and the subsequent indignation of the mothers who, with the exception of "Mary," had bundled up their offspring and gone home mad.	And they had laughed together over the juvenile seven and the subsequent indignation of the mothers who, with the exception of "Mary," had bundled up their offspring and gone home mad.
7188_82904_000005_000001	That was why he whistled.	That was why he whistled.
7188_82904_000006_000001	As the voices drew nearer, the soft, smooth, hated tones of Dunk Whitaker untangled from the Little Doctor's laugh, and Chip stopped whistling.	As the voices drew nearer, the soft, smooth, hated tones of Dunk Whitaker untangled from the Little Doctor's laugh, and Chip stopped whistling.
7188_82904_000006_000002	Dunk was making a good, long stay of it this time; usually he came one day and went the next, and no one grieved at his departure.	Dunk was making a good, long stay of it this time; usually he came one day and went the next, and no one grieved at his departure.
7188_82904_000008_000000	And the Little Doctor answered him frankly and distinctly: "Oh, very well, considering all things.	And the Little Doctor answered him frankly and distinctly: "Oh, very well, considering all things.
7188_82904_000008_000001	They furnish me with some amusement, and I give them something quite new to talk about, so we are quits.	They furnish me with some amusement, and I give them something quite new to talk about, so we are quits.
7188_82904_000008_000002	They are a good-hearted lot, you know--but SO ignorant!	They are a good hearted lot, you know-but SO ignorant!
7188_82904_000008_000003	I don't suppose--"	I don't suppose-"
7188_82904_000009_000000	The words trailed into an indistinct murmur, punctuated by Dunk's jarring cackle.	The words trailed into an indistinct murmur, punctuated by Dunk's jarring cackle.
7188_82904_000010_000001	As a matter of fact, it was the Densons, and the Pilgreens, and the Beckmans that were under discussion, and not the Flying U cowboys, as Chip believed.	As a matter of fact, it was the Densons, and the Pilgreens, and the Beckmans that were under discussion, and not the Flying U cowboys, as Chip believed.
7188_82904_000010_000002	He no longer smiled sympathetically.	He no longer smiled sympathetically.
7188_82904_000011_000001	That's good!	That's good!
