7240_92200_000002_000000	EARLY HARDSHIPS	EARLY HARDSHIPS
7240_92200_000003_000000	One of the earliest recollections of my adventurous childhood is the ride I had on a pony's side.	One of the earliest recollections of my adventurous childhood is the ride I had on a pony's side.
7240_92200_000003_000001	I was passive in the whole matter.	I was passive in the whole matter.
7240_92200_000003_000002	A little girl cousin of mine was put in a bag and suspended from the horn of an Indian saddle; but her weight must be balanced or the saddle would not remain on the animal's back.	A little girl cousin of mine was put in a bag and suspended from the horn of an Indian saddle; but her weight must be balanced or the saddle would not remain on the animal's back.
7240_92200_000003_000003	Accordingly, I was put into another sack and made to keep the saddle and the girl in position!	Accordingly, I was put into another sack and made to keep the saddle and the girl in position!
7240_92200_000003_000004	I did not object, for I had a very pleasant game of peek-a-boo with the little girl, until we came to a big snow-drift, where the poor beast was stuck fast and began to lie down.	I did not object, for I had a very pleasant game of peek a boo with the little girl, until we came to a big snow drift, where the poor beast was stuck fast and began to lie down.
7240_92200_000003_000005	Then it was not so nice!	Then it was not so nice!
7240_92200_000004_000000	This was the convenient and primitive way in which some mothers packed their children for winter journeys.	This was the convenient and primitive way in which some mothers packed their children for winter journeys.
7240_92200_000004_000001	However cold the weather might be, the inmate of the fur-lined sack was usually very comfortable--at least I used to think so.	However cold the weather might be, the inmate of the fur lined sack was usually very comfortable-at least I used to think so.
7240_92200_000004_000002	I believe I was accustomed to all the precarious Indian conveyances, and, as a boy, I enjoyed the dog-travaux ride as much as any.	I believe I was accustomed to all the precarious Indian conveyances, and, as a boy, I enjoyed the dog travaux ride as much as any.
7240_92200_000004_000003	The travaux consisted of a set of rawhide strips securely lashed to the tent-poles, which were harnessed to the sides of the animal as if he stood between shafts, while the free ends were allowed to drag on the ground.	The travaux consisted of a set of rawhide strips securely lashed to the tent poles, which were harnessed to the sides of the animal as if he stood between shafts, while the free ends were allowed to drag on the ground.
7240_92200_000004_000004	Both ponies and large dogs were used as beasts of burden, and they carried in this way the smaller children as well as the baggage.	Both ponies and large dogs were used as beasts of burden, and they carried in this way the smaller children as well as the baggage.
7240_92200_000005_000000	This mode of travelling for children was possible only in the summer, and as the dogs were sometimes unreliable, the little ones were exposed to a certain amount of danger.	This mode of travelling for children was possible only in the summer, and as the dogs were sometimes unreliable, the little ones were exposed to a certain amount of danger.
7240_92200_000005_000001	For instance, whenever a train of dogs had been travelling for a long time, almost perishing with the heat and their heavy loads, a glimpse of water would cause them to forget all their responsibilities.	For instance, whenever a train of dogs had been travelling for a long time, almost perishing with the heat and their heavy loads, a glimpse of water would cause them to forget all their responsibilities.
7240_92200_000005_000002	Some of them, in spite of the screams of the women, would swim with their burdens into the cooling stream, and I was thus, on more than one occasion, made to partake of an unwilling bath.	Some of them, in spite of the screams of the women, would swim with their burdens into the cooling stream, and I was thus, on more than one occasion, made to partake of an unwilling bath.
7240_92200_000006_000000	I was a little over four years old at the time of the "Sioux massacre" in Minnesota.	I was a little over four years old at the time of the "Sioux massacre" in Minnesota.
7240_92200_000006_000001	In the general turmoil, we took flight into British Columbia, and the journey is still vividly remembered by all our family.	In the general turmoil, we took flight into British Columbia, and the journey is still vividly remembered by all our family.
7240_92200_000006_000002	A yoke of oxen and a lumber-wagon were taken from some white farmer and brought home for our conveyance.	A yoke of oxen and a lumber wagon were taken from some white farmer and brought home for our conveyance.
