7258_91902_000002_000000	JESUS: AS GOD; AS A MAN	JESUS: AS GOD; AS A MAN
7258_91902_000004_000000	"These hereditary enemies of the Truth... have even had the heart to degrade this first preacher of the Mountain, the purest hero of Liberty; for, unable to deny that he was earth's greatest man, they have made of him heaven's smallest god."--Heine: Reisebilder.	"These hereditary enemies of the Truth... have even had the heart to degrade this first preacher of the Mountain, the purest hero of Liberty; for, unable to deny that he was earth's greatest man, they have made of him heaven's smallest god."--Heine: Reisebilder.
7258_91902_000005_000000	The doctrine of the divinity of Jesus, which, in whatever relation regarded, is full of self-contradictions and absurdities, is, above all, pernicious in its moral and spiritual results.	The doctrine of the divinity of Jesus, which, in whatever relation regarded, is full of self contradictions and absurdities, is, above all, pernicious in its moral and spiritual results.
7258_91902_000005_000001	Most myths have a certain justification in their beauty, in their symbolism of high truth.	Most myths have a certain justification in their beauty, in their symbolism of high truth.
7258_91902_000005_000002	This one distorts the beauty, degrades the sublimity, stultifies the meaning of the facts and the character wherein it has been founded, taking away all true grandeur from Jesus, benumbing our love and reverence.	This one distorts the beauty, degrades the sublimity, stultifies the meaning of the facts and the character wherein it has been founded, taking away all true grandeur from Jesus, benumbing our love and reverence.
7258_91902_000006_000000	Jesus, as a man, commands my heart's best homage.	Jesus, as a man, commands my heart's best homage.
7258_91902_000006_000001	His words, as reported by the Evangelists, are ever-flowing fountains of spiritual refreshments; and I feel that he was in himself even far more wise and good than he appears in the gospel.	His words, as reported by the Evangelists, are ever flowing fountains of spiritual refreshments; and I feel that he was in himself even far more wise and good than he appears in the gospel.
7258_91902_000006_000002	What disciple could be expected to report perfectly the words of a teacher so mystically sublime?	What disciple could be expected to report perfectly the words of a teacher so mystically sublime?
7258_91902_000006_000005	When we find sentences of the purest beauty and wisdom in the records of a man's conversation, we may safely proportion the whole philosophical character of the speaker to such sentences.	When we find sentences of the purest beauty and wisdom in the records of a man's conversation, we may safely proportion the whole philosophical character of the speaker to such sentences.
7258_91902_000006_000006	They mark the altitude at which his spirit loved to dwell.	They mark the altitude at which his spirit loved to dwell.
7258_91902_000006_000007	We are but completing the circle from the clearest fragment-arc left.	We are but completing the circle from the clearest fragment arc left.
7258_91902_000007_000000	Jesus as a man, whose words have been recorded by fallible men, is not lowered in my esteem by such contradictions as I find between his various speeches.	Jesus as a man, whose words have been recorded by fallible men, is not lowered in my esteem by such contradictions as I find between his various speeches.
7258_91902_000007_000001	Every proverb has its antagonist proverb, each being true to a certain extent, or in certain relations.	Every proverb has its antagonist proverb, each being true to a certain extent, or in certain relations.
7258_91902_000007_000002	Could we conceive an abstract intellect, we might conceive it dwelling continually in the sphere of abstract and absolute truth; but no man, however wise, dwells continually in this sphere.	Could we conceive an abstract intellect, we might conceive it dwelling continually in the sphere of abstract and absolute truth; but no man, however wise, dwells continually in this sphere.
7258_91902_000007_000004	The wise man finds himself surrounded and obstructed by certain concrete errors, and he attacks these errors with relative truths.	The wise man finds himself surrounded and obstructed by certain concrete errors, and he attacks these errors with relative truths.
7258_91902_000007_000006	For a wise man only attacks the errors that are in his way; things which he never meets he can scarcely think of as obstructions.	For a wise man only attacks the errors that are in his way; things which he never meets he can scarcely think of as obstructions.
7258_91902_000007_000007	Hannibal, whose business it is to get into Italy from Gaul, sets about blasting the Alps.	Hannibal, whose business it is to get into Italy from Gaul, sets about blasting the Alps.
7258_91902_000007_000008	Stephenson, whose business it is to get from Manchester to Liverpool, sets about filling up Chat Moss.	Stephenson, whose business it is to get from Manchester to Liverpool, sets about filling up Chat Moss.
7258_91902_000007_000009	The same man, who muffles himself in as many furs as he can get in Greenland, will strip himself to a linen robe in Jamaica.	The same man, who muffles himself in as many furs as he can get in Greenland, will strip himself to a linen robe in Jamaica.
