7286_92935_000000_000000	Again a subscription was collected and a monument was erected in her honor.	Again a subscription was collected and a monument was erected in her honor.	false	0	2.94	27.578964
7286_92935_000000_000001	Her father and mother lived to a ripe old age, reaping benefits from the money that Grace had left them.	Her father and mother lived to a ripe old age, reaping benefits from the money that Grace had left them.	false	2.94	8.82	20.578505
7286_92935_000000_000002	Perhaps some of their descendants are still tending the light at the present day, but at all events the name of the Darlings has been made immortal by the bravery of this girl.	Perhaps some of their descendants are still tending the light at the present day, but at all events the name of the Darlings has been made immortal by the bravery of this girl.	false	8.82	22.23	21.989136
7286_92935_000001_000000	CHAPTER XXV	CHAPTER twenty five	true	22.23	23.86	26.942543
7286_92935_000002_000000	FLORENCE NIGHTINGALE	FLORENCE NIGHTINGALE	true	23.9	25.57	22.593023
7286_92935_000003_000000	The Red Cross Nurse has become a heroic figure in the world to-day and has saved lives by hundreds of thousands in every quarter of the globe; she has labored under fire on the battlefield and in the reek of pestilence in the rear; her form is as familiar in war as that of the soldier, and her name betokens every charity and kindness--but of all the heroic women who ever bore their healing art into the dark places and black hours of history, no name stands out with the luster of Florence Nightingale.	The Red Cross Nurse has become a heroic figure in the world to day and has saved lives by hundreds of thousands in every quarter of the globe; she has labored under fire on the battlefield and in the reek of pestilence in the rear; her form is as familiar in war as that of the soldier, and her name betokens every charity and kindness-but of all the heroic women who ever bore their healing art into the dark places and black hours of history, no name stands out with the luster of Florence Nightingale.	true	26.54	58.09	22.3986
7286_92935_000004_000000	She was born in 1822 in the city of Florence in Italy, and was named after the place where she first drew breath.	She was born in eighteen twenty two in the city of Florence in Italy, and was named after the place where she first drew breath.	true	59.12	67.27	21.789265
7286_92935_000004_000001	Her father was William Nightingale, an English gentleman, and her elder sister, Parthenope, also took her name from the place where she was born, for Parthenope is the ancient term for Naples.	Her father was William Nightingale, an English gentleman, and her elder sister, Parthenope, also took her name from the place where she was born, for Parthenope is the ancient term for Naples.	true	67.37	80.05	24.491238
7286_92935_000005_000000	The Nightingale family did not remain long in Italy, and soon after the birth of his youngest child William Nightingale, with his wife and two little daughters, returned to England where the two girls spent their childhood in a rambling old house in Derbyshire with many traditions and stories attached to it.	The Nightingale family did not remain long in Italy, and soon after the birth of his youngest child William Nightingale, with his wife and two little daughters, returned to England where the two girls spent their childhood in a rambling old house in Derbyshire with many traditions and stories attached to it.	true	81.17	99.94	21.776846
7286_92935_000005_000001	Here Florence conceived a love for nursing and used to tend sick animals in the neighborhood and when she grew older, to sit up with and cheer the sick among the cottagers.	Here Florence conceived a love for nursing and used to tend sick animals in the neighborhood and when she grew older, to sit up with and cheer the sick among the cottagers.	true	100.07	110.79	22
7286_92935_000005_000002	There were not many people, even among those who were far older than herself, who could minister to the sick with her kindness and skill, and her fame soon was general through the neighborhood.	There were not many people, even among those who were far older than herself, who could minister to the sick with her kindness and skill, and her fame soon was general through the neighborhood.	false	110.79	122.505	23.23497
7286_92935_000005_000003	Poor men used to come hat in hand to the old house requesting that Miss Florence spend a few hours with a sick wife or a young mother, and the Nightingales were kind enough and sensible enough to allow their daughter to do the work for which she had so evident an inclination.	Poor men used to come hat in hand to the old house requesting that Miss Florence spend a few hours with a sick wife or a young mother, and the Nightingales were kind enough and sensible enough to allow their daughter to do the work for which she had so evident an inclination.	true	122.505	139.42	22.053825
7286_92935_000006_000000	There were no trained nurses in those days, and the general business of nursing as a profession was considered almost disreputable.	There were no trained nurses in those days, and the general business of nursing as a profession was considered almost disreputable.	false	140.54	148.23	20
7286_92935_000006_000001	Sick people were expected to be cared for by their relatives; hospitals were inefficient and badly run, and the comforts of the modern sickroom were unknown.	Sick people were expected to be cared for by their relatives; hospitals were inefficient and badly run, and the comforts of the modern sickroom were unknown.	true	148.23	158.89	23.454771
7286_92935_000006_000002	As Florence grew older she thought a great deal about these things, and finally decided that she would do something which at that time was regarded almost as strange as if she had declared her intention of visiting the North Pole--she said she was going to become a professional trained nurse, and went abroad to study nursing on the Continent which was far ahead of England in such matters.	As Florence grew older she thought a great deal about these things, and finally decided that she would do something which at that time was regarded almost as strange as if she had declared her intention of visiting the North Pole-she said she was going to become a professional trained nurse, and went abroad to study nursing on the Continent which was far ahead of England in such matters.	true	158.9	181.99	23
7286_92935_000007_000000	In a European hospital that was more in accord with the standards we know to-day and where comfort, skill and cleanliness went hand in hand, Florence Nightingale nursed the sick and acquired a mastery of the profession as it was then understood.	In a European hospital that was more in accord with the standards we know to day and where comfort, skill and cleanliness went hand in hand, Florence Nightingale nursed the sick and acquired a mastery of the profession as it was then understood.	false	183.11	198.015	22
7286_92935_000007_000001	It was so unusual for a woman of refinement to enter such a calling that she had become known in many places simply because she had decided to become a nurse; and after she returned to England she was at once offered the position of Superintendent at a Home for Sick Governesses in London.	It was so unusual for a woman of refinement to enter such a calling that she had become known in many places simply because she had decided to become a nurse; and after she returned to England she was at once offered the position of Superintendent at a Home for Sick Governesses in London.	true	198.015	215.02	19
7286_92935_000008_000000	This home, like many another benevolent institution in those times, was badly administered.	This home, like many another benevolent institution in those times, was badly administered.	true	215.84	221.775	21.774944
7286_92935_000008_000001	As it constantly showed a deficit, its friends had become discouraged in supporting it, and the subscriptions on which it lived had been falling off.	As it constantly showed a deficit, its friends had become discouraged in supporting it, and the subscriptions on which it lived had been falling off.	true	221.775	231.4	23.697998
7286_92935_000008_000002	The ladies who were compelled to remain there did not receive the care that they should have had, and were unhappy and dispirited.	The ladies who were compelled to remain there did not receive the care that they should have had, and were unhappy and dispirited.	true	231.47	238.815	24
