7384_84010_000000_000000	JACQUELINE OF HOLLAND: THE GIRL OF THE LAND OF FOGS, A.D. 1414.	JACQUELINE OF HOLLAND: THE GIRL OF THE LAND OF FOGS, a d fourteen fourteen.
7384_84010_000003_000000	Count William was a gallant and courtly knight, learned in all the ways of chivalry, the model of the younger cavaliers, handsome in person, noble in bearing, the surest lance in the tilting-yard, and the stoutest arm in the foray.	Count William was a gallant and courtly knight, learned in all the ways of chivalry, the model of the younger cavaliers, handsome in person, noble in bearing, the surest lance in the tilting yard, and the stoutest arm in the foray.
7384_84010_000004_000000	Like "Jephtha, Judge of Israel," of whom the mock-mad Hamlet sang to Polonius, Count William had	Like "Jephtha, Judge of Israel," of whom the mock mad Hamlet sang to Polonius, Count William had
7384_84010_000005_000000	"One fair daughter, and no more, The which he loved passing well;"	"One fair daughter, and no more, The which he loved passing well;"
7384_84010_000008_000000	As she sat, that day, in the great Hall of the Knights in the massive castle at The Hague, she could see, among all the knights and nobles who came from far and near to join in the festivities at Count William's court, not one that approached her father in nobility of bearing or manly strength--not even her husband.	As she sat, that day, in the great Hall of the Knights in the massive castle at The Hague, she could see, among all the knights and nobles who came from far and near to join in the festivities at Count William's court, not one that approached her father in nobility of bearing or manly strength-not even her husband.
7384_84010_000009_000000	Her husband?	Her husband?
7384_84010_000009_000001	Yes.	Yes.
7384_84010_000011_000000	Other young people were there, too,--nobles and pages and little ladies-in-waiting; and there was much of the stately ceremonial and flowery talk that in those days of knighthood clothed alike the fears of cowards and the desires of heroes.	Other young people were there, too,--nobles and pages and little ladies in waiting; and there was much of the stately ceremonial and flowery talk that in those days of knighthood clothed alike the fears of cowards and the desires of heroes.
7384_84010_000011_000001	For there have always been heroes and cowards in the world.	For there have always been heroes and cowards in the world.
7384_84010_000013_000000	Then uprose the young Lord of Arkell.	Then uprose the young Lord of Arkell.
7384_84010_000014_000001	"This Hubert of Malsen is but a craven, sirs, if he doth say the merchants of Dort are rascal cowards.	"This Hubert of Malsen is but a craven, sirs, if he doth say the merchants of Dort are rascal cowards.
7384_84010_000014_000002	Had they been fairly mated, he had no more dared to put his nose within the gates of Dort than dare one of you here to go down yonder amid Count William's lions!"	Had they been fairly mated, he had no more dared to put his nose within the gates of Dort than dare one of you here to go down yonder amid Count William's lions!"
7384_84010_000016_000000	"I said nothing of him, madam," replied Count Otto.	"I said nothing of him, madam," replied Count Otto.
7384_84010_000016_000001	"I did mean these young red hats here, who do no more dare to bait your father's lions than to face the Cods of Dort in fair and equal fight."	"I did mean these young red hats here, who do no more dare to bait your father's lions than to face the Cods of Dort in fair and equal fight."
7384_84010_000017_000000	At this bold speech there was instant commotion.	At this bold speech there was instant commotion.
7384_84010_000017_000001	For the nobles and merchants of Holland, four centuries and a half ago, were at open strife with one another.	For the nobles and merchants of Holland, four centuries and a half ago, were at open strife with one another.
7384_84010_000017_000004	So each faction had its leaders, its partisans, its badges, and its followers.	So each faction had its leaders, its partisans, its badges, and its followers.
7384_84010_000018_000000	Certain of the younger nobles, however, who were opposed to the reigning house of Holland, of which Count William, young Jacqueline's father, was the head, had espoused the cause of the merchants, seeing in their success greater prosperity and wealth for Holland.	Certain of the younger nobles, however, who were opposed to the reigning house of Holland, of which Count William, young Jacqueline's father, was the head, had espoused the cause of the merchants, seeing in their success greater prosperity and wealth for Holland.
7384_84010_000018_000001	Among these had been the young Lord of Arkell, now a sort of half prisoner at Count William's court because of certain bold attempts to favor the Cods in his own castle of Arkell.	Among these had been the young Lord of Arkell, now a sort of half prisoner at Count William's court because of certain bold attempts to favor the Cods in his own castle of Arkell.
7384_84010_000018_000002	His defiant words therefore raised a storm of protests.	His defiant words therefore raised a storm of protests.
7384_84010_000019_000001	Face YOU the lions, lord count, and I will warrant me they will not prove as forbearing as did she."	Face YOU the lions, lord count, and I will warrant me they will not prove as forbearing as did she."
7384_84010_000020_000001	So this fling of the Dauphin's cut deep.	So this fling of the Dauphin's cut deep.
7384_84010_000021_000000	But before the young Otto could return an angry answer, Jacqueline had interfered.	But before the young Otto could return an angry answer, Jacqueline had interfered.
7384_84010_000022_000000	"Nay, nay, my lord," she said to her husband, the Dauphin; "'t is not a knightly act thus to impeach the honor of a noble guest."	"Nay, nay, my lord," she said to her husband, the Dauphin; "'t is not a knightly act thus to impeach the honor of a noble guest."
7384_84010_000023_000000	But now the Lord of Arkell had found his tongue.	But now the Lord of Arkell had found his tongue.
7384_84010_000024_000000	"My lord prince," he said, bowing low with stately courtesy, "if, as my lady mother and good Count William would force me, I am to be loyal vassal to you, my lieges here, I should but follow where you dare to lead.	"My lord prince," he said, bowing low with stately courtesy, "if, as my lady mother and good Count William would force me, I am to be loyal vassal to you, my lieges here, I should but follow where you dare to lead.
7384_84010_000024_000001	Go YOU into the lions' den, lord prince, and I will follow you, though it were into old Hercules' very teeth."	Go YOU into the lions' den, lord prince, and I will follow you, though it were into old Hercules' very teeth."
7384_84010_000025_000000	It was a shrewd reply, and covered as good a "double-dare" as ever one boy made to another.	It was a shrewd reply, and covered as good a "double dare" as ever one boy made to another.
7384_84010_000025_000001	Some of the manlier of the young courtiers indeed even dared to applaud.	Some of the manlier of the young courtiers indeed even dared to applaud.
7384_84010_000025_000002	But the Dauphin John was stronger in tongue than in heart.	But the Dauphin john was stronger in tongue than in heart.
7384_84010_000026_000003	See, Lord of Arkell, you who can prate so loudly of Cods and lions: here before all, I dare you to face Count William's lions yourself!"	See, Lord of Arkell, you who can prate so loudly of Cods and lions: here before all, I dare you to face Count William's lions yourself!"
7384_84010_000027_000001	But without a word, with scarce a look toward his challenger, he turned to his nearest neighbor, a brave Zealand lad, afterward noted in Dutch history--Francis von Borselen.	But without a word, with scarce a look toward his challenger, he turned to his nearest neighbor, a brave Zealand lad, afterward noted in Dutch history-Francis von Borselen.
7384_84010_000028_000000	"Lend me your gabardine, friend Franz, will you not?" he said.	"Lend me your gabardine, friend Franz, will you not?" he said.
7384_84010_000029_000000	The young von Borselen took from the back of the settle, over which it was flung, his gabardine--the long, loose gray cloak that was a sort of overcoat in those days of queer costume.	The young von Borselen took from the back of the settle, over which it was flung, his gabardine-the long, loose gray cloak that was a sort of overcoat in those days of queer costume.
7384_84010_000030_000000	"It is here, my Otto," he said.	"It is here, my Otto," he said.
7384_84010_000031_000000	The Lord of Arkell drew the loose gray cloak over his rich silk suit, and turned toward the door.	The Lord of Arkell drew the loose gray cloak over his rich silk suit, and turned toward the door.
7384_84010_000032_000000	"Otto von Arkell lets no one call him fool or coward, lord prince," he said.	"Otto von Arkell lets no one call him fool or coward, lord prince," he said.
7384_84010_000032_000002	See, now: I will face Count William's lions!"	See, now: I will face Count William's lions!"
7384_84010_000033_000000	The Princess Jacqueline sprang up in protest.	The Princess Jacqueline sprang up in protest.
7384_84010_000034_000000	"No, no; you shall not!" she cried.	"No, no; you shall not!" she cried.
7384_84010_000034_000001	"My lord prince did but jest, as did we all.	"My lord prince did but jest, as did we all.
7384_84010_000034_000002	John," she said, turning appealingly to her young husband, who sat sullen and unmoved, "tell him you meant no such murderous test.	john," she said, turning appealingly to her young husband, who sat sullen and unmoved, "tell him you meant no such murderous test.
7384_84010_000034_000003	My father!" she cried, turning now toward Count William, whose attention had been drawn to the dispute, "the Lord of Arkell is pledged to face your lions!"	My father!" she cried, turning now toward Count William, whose attention had been drawn to the dispute, "the Lord of Arkell is pledged to face your lions!"
7384_84010_000035_000000	Count William of Holland dearly loved pluck and nerve.	Count William of Holland dearly loved pluck and nerve.
7384_84010_000037_000000	"But, my father," persisted the gentle-hearted girl, "spear and banner are not lions' jaws.	"But, my father," persisted the gentle hearted girl, "spear and banner are not lions' jaws.
7384_84010_000038_000000	"Nay, madam, have no fear," the Lord of Arkell said, bending in courteous recognition of her interest; "that which I do of mine own free will is no murder, even should it fail."	"Nay, madam, have no fear," the Lord of Arkell said, bending in courteous recognition of her interest; "that which I do of mine own free will is no murder, even should it fail."
7384_84010_000040_000000	A raised gallery looked down into the spacious inclosure in which Count William kept the living specimens of his own princely badge of the lion. And here the company gathered to see the sport.	A raised gallery looked down into the spacious inclosure in which Count William kept the living specimens of his own princely badge of the lion. And here the company gathered to see the sport.
7384_84010_000041_000000	With the gray gabardine drawn but loosely over his silken suit, so that he might, if need be, easily slip from it, Otto von Arkell boldly entered the inclosure.	With the gray gabardine drawn but loosely over his silken suit, so that he might, if need be, easily slip from it, Otto von Arkell boldly entered the inclosure.
7384_84010_000042_000000	"Soho, Juno!	"Soho, Juno!
7384_84010_000042_000001	up, Hercules; hollo, up, Ajax!" cried Count William, from the balcony.	up, Hercules; hollo, up, Ajax!" cried Count William, from the balcony.
7384_84010_000043_000000	Boldly and without hesitation, while all the watchers had eyes but for him alone, the young Lord of Arkell walked straight up to Hercules, the largest of the three, and laid his hand caressingly upon the shaggy mane.	Boldly and without hesitation, while all the watchers had eyes but for him alone, the young Lord of Arkell walked straight up to Hercules, the largest of the three, and laid his hand caressingly upon the shaggy mane.
7384_84010_000044_000000	But Ajax, fiercest of the three, took no notice of the lad.	But Ajax, fiercest of the three, took no notice of the lad.
7384_84010_000044_000001	Straight across his comrades he looked to where, scarce a rod behind the daring lad, came another figure, a light and graceful form in clinging robes of blue and undergown of cloth of gold--the Princess Jacqueline herself!	Straight across his comrades he looked to where, scarce a rod behind the daring lad, came another figure, a light and graceful form in clinging robes of blue and undergown of cloth of gold-the Princess Jacqueline herself!
7384_84010_000045_000000	The watchers in the gallery followed the lion's stare, and saw, with horror, the advancing figure of this fair young girl.	The watchers in the gallery followed the lion's stare, and saw, with horror, the advancing figure of this fair young girl.
7384_84010_000045_000001	A cry of terror broke from every lip.	A cry of terror broke from every lip.
7384_84010_000045_000002	The Dauphin John turned pale with fright, and Count William of Holland, calling out, "Down, Ajax! back, girl, back!" sprang to his feet as if he would have vaulted over the gallery rail.	The Dauphin john turned pale with fright, and Count William of Holland, calling out, "Down, Ajax! back, girl, back!" sprang to his feet as if he would have vaulted over the gallery rail.
7384_84010_000046_000000	But before he could act, Ajax himself had acted.	But before he could act, Ajax himself had acted.
7384_84010_000047_000001	Ajax slowly rose and looked up into the girl's calm face.	Ajax slowly rose and looked up into the girl's calm face.
7384_84010_000047_000002	Then the voice of Jacqueline rang out fresh and clear as, standing with her hand buried in the lion's tawny mane, she raised her face to the startled galleries.	Then the voice of Jacqueline rang out fresh and clear as, standing with her hand buried in the lion's tawny mane, she raised her face to the startled galleries.
7384_84010_000048_000000	"You who could dare and yet dared not to do!" she cried, "it shall not be said that in all Count William's court none save the rebel Lord of Arkell dared to face Count William's lions!"	"You who could dare and yet dared not to do!" she cried, "it shall not be said that in all Count William's court none save the rebel Lord of Arkell dared to face Count William's lions!"
7384_84010_000049_000000	The Lord of Arkell sprang to his comrade's side.	The Lord of Arkell sprang to his comrade's side.
7384_84010_000051_000000	And it WAS a rash and foolish act.	And it WAS a rash and foolish act.
7384_84010_000051_000001	But we must remember that those were days when such feats were esteemed as brave and valorous.	But we must remember that those were days when such feats were esteemed as brave and valorous.
7384_84010_000051_000002	For the Princess Jaqueline of Holland was reared in the school of so-called chivalry and romance, which in her time was fast approaching its end.	For the Princess Jaqueline of Holland was reared in the school of so-called chivalry and romance, which in her time was fast approaching its end.
7384_84010_000051_000003	She was, indeed, as one historian declares, the last heroine of knighthood.	She was, indeed, as one historian declares, the last heroine of knighthood.
7384_84010_000051_000004	Her very titles suggest the days of chivalry.	Her very titles suggest the days of chivalry.
7384_84010_000052_000000	All girls admire bravery, even though not themselves personally courageous.	All girls admire bravery, even though not themselves personally courageous.
7384_84010_000054_000000	The dream of future power and greatness as Queen of France, in which the girl wife of the Dauphin had often indulged, was thus rudely dispelled, and Jacqueline returned to her father's court in Holland, no longer crown princess and heiress to a throne, but simply "Lady of Holland."	The dream of future power and greatness as Queen of France, in which the girl wife of the Dauphin had often indulged, was thus rudely dispelled, and Jacqueline returned to her father's court in Holland, no longer crown princess and heiress to a throne, but simply "Lady of Holland."
7384_84010_000055_000000	But in Holland, too, sorrow was in store for her.	But in Holland, too, sorrow was in store for her.
7384_84010_000055_000001	Swiftly following the loss of her husband, the Dauphin, came the still heavier blow of her father's death.	Swiftly following the loss of her husband, the Dauphin, came the still heavier blow of her father's death.
7384_84010_000056_000001	The death of Count William showed the Cods a way toward greater liberty.	The death of Count William showed the Cods a way toward greater liberty.
7384_84010_000057_000000	And chief among the rebellious spirits, as leader and counsellor among the Cods, appeared the brave lad who had once been the companion of the princess in danger, the young Lord of Arkell.	And chief among the rebellious spirits, as leader and counsellor among the Cods, appeared the brave lad who had once been the companion of the princess in danger, the young Lord of Arkell.
7384_84010_000058_000000	It was he who lifted the standard of revolt against her regency.	It was he who lifted the standard of revolt against her regency.
7384_84010_000058_000002	The stout citadel of the town, was, however, garrisoned with loyal troops.	The stout citadel of the town, was, however, garrisoned with loyal troops.
7384_84010_000058_000003	This the Lord of Arkell beseiged, and, demanding its surrender, sent also a haughty challenge to the young countess, who was hastening to the relief of her beleaguered town.	This the Lord of Arkell beseiged, and, demanding its surrender, sent also a haughty challenge to the young countess, who was hastening to the relief of her beleaguered town.
7384_84010_000059_000000	Jacqueline's answer was swift and unmistakable.	Jacqueline's answer was swift and unmistakable.
7384_84010_000060_000000	Her doughty Dutch general, von Brederode, counselled immediate attack, but the girl countess, though full of enthusiasm and determination, hesitated.	Her doughty Dutch general, von Brederode, counselled immediate attack, but the girl countess, though full of enthusiasm and determination, hesitated.
7384_84010_000061_000000	From her station in the citadel she looked over the scene before her. Here, along the low bank of the river Maas, stretched the camp of her own followers, and the little gayly colored boats that had brought her army up the river from the red roofs of Rotterdam.	From her station in the citadel she looked over the scene before her. Here, along the low bank of the river Maas, stretched the camp of her own followers, and the little gayly colored boats that had brought her army up the river from the red roofs of Rotterdam.
7384_84010_000061_000001	There, stretching out into the flat country beyond the straggling streets of Gorkum, lay the tents of the rebels.	There, stretching out into the flat country beyond the straggling streets of Gorkum, lay the tents of the rebels.
7384_84010_000061_000002	And yet they were all her countrymen--rebels and retainers alike.	And yet they were all her countrymen-rebels and retainers alike.
7384_84010_000061_000003	Hollanders all, they were ever ready to combine for the defence of their homeland when threatened by foreign foes or by the destroying ocean floods.	Hollanders all, they were ever ready to combine for the defence of their homeland when threatened by foreign foes or by the destroying ocean floods.
7384_84010_000062_000000	Jacqueline's eye caught the flutter of the broad banner of the house of Arkell that waved over the rebel camp.	Jacqueline's eye caught the flutter of the broad banner of the house of Arkell that waved over the rebel camp.
7384_84010_000063_000000	Again she saw the brave lad who alone of all her father's court, save she, had dared to face Count William's lions; again the remembrance of how his daring had made him one of her heroes, filled her heart, and a dream of what might be possessed her.	Again she saw the brave lad who alone of all her father's court, save she, had dared to face Count William's lions; again the remembrance of how his daring had made him one of her heroes, filled her heart, and a dream of what might be possessed her.
7384_84010_000063_000002	But how much better, so she reasoned, that the name and might of her house as rulers of Holland should be upheld by a brave and fearless knight.	But how much better, so she reasoned, that the name and might of her house as rulers of Holland should be upheld by a brave and fearless knight.
7384_84010_000063_000003	On the impulse of this thought she summoned a loyal and trusted vassal to her aid.	On the impulse of this thought she summoned a loyal and trusted vassal to her aid.
7384_84010_000064_000001	Thus says the Lady of Holland: 'Were it not better, Otto of Arkell, that we join hands in marriage before the altar, than that we spill the blood of faithful followers and vassals in a cruel fight?'"	Thus says the Lady of Holland: 'Were it not better, Otto of Arkell, that we join hands in marriage before the altar, than that we spill the blood of faithful followers and vassals in a cruel fight?'"
