7515_220979_000003_000000	The true explanation of this subject is very difficult.	The true explanation of this subject is very difficult.
7515_220979_000003_000001	Know that beings are of two kinds: material and spiritual, those perceptible to the senses and those intellectual.	Know that beings are of two kinds: material and spiritual, those perceptible to the senses and those intellectual.
7515_220979_000004_000000	Things which are sensible are those which are perceived by the five exterior senses; thus those outward existences which the eyes see are called sensible.	Things which are sensible are those which are perceived by the five exterior senses; thus those outward existences which the eyes see are called sensible.
7515_220979_000004_000001	Intellectual things are those which have no outward existence but are conceptions of the mind.	Intellectual things are those which have no outward existence but are conceptions of the mind.
7515_220979_000004_000002	For example, mind itself is an intellectual thing which has no outward existence.	For example, mind itself is an intellectual thing which has no outward existence.
7515_220979_000004_000003	All man's characteristics and qualities form an intellectual existence and are not sensible.	All man's characteristics and qualities form an intellectual existence and are not sensible.
7515_220979_000005_000000	Briefly, the intellectual realities, such as all the qualities and admirable perfections of man, are purely good, and exist.	Briefly, the intellectual realities, such as all the qualities and admirable perfections of man, are purely good, and exist.
7515_220979_000005_000001	Evil is simply their nonexistence.	Evil is simply their nonexistence.
7515_220979_000005_000002	So ignorance is the want of knowledge; error is the want of guidance; forgetfulness is the want of memory; stupidity is the want of good sense.	So ignorance is the want of knowledge; error is the want of guidance; forgetfulness is the want of memory; stupidity is the want of good sense.
7515_220979_000005_000003	All these things have no real existence.	All these things have no real existence.
7515_220979_000006_000000	In the same way, the sensible realities are absolutely good, and evil is due to their nonexistence--that is to say, blindness is the want of sight, deafness is the want of hearing, poverty is the want of wealth, illness is the want of health, death is the want of life, and weakness is the want of strength.	In the same way, the sensible realities are absolutely good, and evil is due to their nonexistence-that is to say, blindness is the want of sight, deafness is the want of hearing, poverty is the want of wealth, illness is the want of health, death is the want of life, and weakness is the want of strength.
7515_220979_000007_000000	Nevertheless a doubt occurs to the mind--that is, scorpions and serpents are poisonous.	Nevertheless a doubt occurs to the mind-that is, scorpions and serpents are poisonous.
7515_220979_000007_000001	Are they good or evil, for they are existing beings?	Are they good or evil, for they are existing beings?
7515_220979_000007_000002	Yes, a scorpion is evil in relation to man; a serpent is evil in relation to man; but in relation to themselves they are not evil, for their poison is their weapon, and by their sting they defend themselves.	Yes, a scorpion is evil in relation to man; a serpent is evil in relation to man; but in relation to themselves they are not evil, for their poison is their weapon, and by their sting they defend themselves.
