7540_101799_000000_000000	CHAPTER ONE.	CHAPTER ONE.	false	0.57	12.03	23.498613
7540_101799_000001_000000	THE STORY OF THE BURIED TREASURE.	THE STORY OF THE BURIED TREASURE.	false	12.03	23.29	22.711021
7540_101799_000002_000000	Those of my readers who happen to be well acquainted with Weymouth, will also be assuredly acquainted with a certain lane, known as Buxton's Lane, branching off to the right from the high-road at Rodwell, and connecting that suburb with the picturesque little village of Wyke.	Those of my readers who happen to be well acquainted with Weymouth, will also be assuredly acquainted with a certain lane, known as Buxton's Lane, branching off to the right from the high road at Rodwell, and connecting that suburb with the picturesque little village of Wyke.	false	24.05	39.27	20.74258
7540_101799_000002_000001	I make this assertion with the most perfect confidence, because Buxton's Lane happens to afford one of the most charming walks in that charming neighbourhood; and no one can well be a sojourner for any length of time in Weymouth without discovering this fact for him or herself, either through inquiry or by means of personal exploration.	I make this assertion with the most perfect confidence, because Buxton's Lane happens to afford one of the most charming walks in that charming neighbourhood; and no one can well be a sojourner for any length of time in Weymouth without discovering this fact for him or herself, either through inquiry or by means of personal exploration.	false	39.27	59.71	23.269753
7540_101799_000003_000000	And of those who have enjoyed a saunter through this lane, some there will doubtless be who can remember a substantial stone-built house, standing back a distance of about a hundred yards or so from the roadway, and environed by a quaint old-fashioned garden, the entire demesne being situate on the crest of the rise just before Wyke is reached, and commanding an unparalleled view of the roadstead of Portland, with the open channel as far as Saint Alban's Head to the left, while on the right the West Bay (notorious for its shipwrecks) stretches from the Bill of Portland, far away westward, into the misty distance toward Lyme, and Beer, and Seaton; ay, and even beyond that, down to Berry Head, past Torquay, the headland itself having been distinctly seen from Wyke Nap on a clear day, so it is said, though I cannot remember that I ever saw it myself from that standpoint.	And of those who have enjoyed a saunter through this lane, some there will doubtless be who can remember a substantial stone built house, standing back a distance of about a hundred yards or so from the roadway, and environed by a quaint old-fashioned garden, the entire demesne being situate on the crest of the rise just before Wyke is reached, and commanding an unparalleled view of the roadstead of Portland, with the open channel as far as Saint Alban's Head to the left, while on the right the West Bay (notorious for its shipwrecks) stretches from the Bill of Portland, far away westward, into the misty distance toward Lyme, and Beer, and Seaton; ay, and even beyond that, down to Berry Head, past Torquay, the headland itself having been distinctly seen from Wyke Nap on a clear day, so it is said, though I cannot remember that I ever saw it myself from that standpoint.	false	60.92	114.52	21.397314
7540_101799_000004_000000	The house to which I refer is (or was, for I believe it no longer exists) known as "The Spaniards," and was built by my ancestor, Hubert Saint Leger, with a portion of the proceeds of the Spanish prize that-- having so harried and worried her that she at length became separated from the main body of the Great Armada--he drove into Weymouth Bay, and there, under the eyes of his admiring fellow-townsmen, fought her in his good ship _Golden Rose_, until she was fain to strike her colours and surrender to a craft of considerably less than half her size.	The house to which I refer is (or was, for I believe it no longer exists) known as "The Spaniards," and was built by my ancestor, Hubert Saint Leger, with a portion of the proceeds of the Spanish prize that- having so harried and worried her that she at length became separated from the main body of the Great Armada-he drove into Weymouth Bay, and there, under the eyes of his admiring fellow townsmen, fought her in his good ship underscore Golden Rose underscore, until she was fain to strike her colours and surrender to a craft of considerably less than half her size.	false	115.13	150.97	22.448483
7540_101799_000005_000000	"The Spaniards" had continued in possession of the Saint Leger family from the time of its building down to the date of my story; and under its roof I was born.	"The Spaniards" had continued in possession of the Saint Leger family from the time of its building down to the date of my story; and under its roof I was born.	false	151.61	160.9	23.665808
7540_101799_000005_000001	And to its roof I had returned from an Australian voyage, a day or two previous to the events about to be related, to find my dear mother in the direst of trouble.	And to its roof I had returned from an Australian voyage, a day or two previous to the events about to be related, to find my dear mother in the direst of trouble.	false	161.3	169.81	22.175398
7540_101799_000005_000002	My father, like all the rest of the male Saint Legers, for as many generations as we could trace back, had been a seaman, and had died abroad, leaving my mother such a moderate provision as would enable her, with care, to end her days in peace and comfort beneath the old roof-tree.	My father, like all the rest of the male Saint Legers, for as many generations as we could trace back, had been a seaman, and had died abroad, leaving my mother such a moderate provision as would enable her, with care, to end her days in peace and comfort beneath the old roof tree.	false	170.24	187.06	20.859724
7540_101799_000005_000003	It was a lonely life for her, poor soul! for I was her only child, and--being a Saint Leger--took naturally to the sea as a profession.	It was a lonely life for her, poor soul! for I was her only child, and-being a Saint Leger-took naturally to the sea as a profession.	false	187.67	196.21	24.142994
7540_101799_000005_000004	That I should do so was indeed so completely a foregone conclusion, that I was especially educated for it at Greenwich; upon leaving which, I had been bound apprentice to my father.	That I should do so was indeed so completely a foregone conclusion, that I was especially educated for it at Greenwich; upon leaving which, I had been bound apprentice to my father.	true	196.58	207.94	22.437925
7540_101799_000005_000005	And under him I had faithfully served my time, and had risen to the position of second mate when death claimed him, and he passed away in my arms, commending my mother to my tenderest care with his last breath.	And under him I had faithfully served my time, and had risen to the position of second mate when death claimed him, and he passed away in my arms, commending my mother to my tenderest care with his last breath.	true	208.4	222.01	21.541796
7540_101799_000006_000000	Since that terrible time I had made several voyages to our eastern possessions, and now, when my story opens, was chief mate of a fine clipper-ship, with some hopes of promotion to the rank of "captain" when a suitable vacancy should occur.	Since that terrible time I had made several voyages to our eastern possessions, and now, when my story opens, was chief mate of a fine clipper ship, with some hopes of promotion to the rank of "captain" when a suitable vacancy should occur.	false	222.29	236.5	22.615664
7540_101799_000007_000000	The voyage which I had just concluded had been a singularly fortunate one for me, for on our homeward passage, when a short distance to the eastward of the Cape, we had fallen in with a derelict, homeward-bound from the Moluccas and Philippines, with a cargo of almost fabulous value on board; and, having taken possession of her, I had been placed in command, with a crew of four hands, with instructions to take her into Table Bay, there to raise my crew to the full complement, and, having done so, to afterwards navigate her to her destination.	The voyage which I had just concluded had been a singularly fortunate one for me, for on our homeward passage, when a short distance to the eastward of the Cape, we had fallen in with a derelict, homeward bound from the Moluccas and Philippines, with a cargo of almost fabulous value on board; and, having taken possession of her, I had been placed in command, with a crew of four hands, with instructions to take her into Table Bay, there to raise my crew to the full complement, and, having done so, to afterwards navigate her to her destination.	false	236.78	269.8	23.126898
7540_101799_000007_000001	This I had successfully accomplished, arriving home only nine days after my own ship.	This I had successfully accomplished, arriving home only nine days after my own ship.	true	270.23	275.5	21.066055
7540_101799_000007_000002	A claim for salvage had been duly made, and I calculated that when the settling day arrived, my own share would fall very little short of three thousand pounds, if, indeed, it did not fully reach that figure.	A claim for salvage had been duly made, and I calculated that when the settling day arrived, my own share would fall very little short of three thousand pounds, if, indeed, it did not fully reach that figure.	true	275.96	289.45	21.394768
7540_101799_000008_000000	I have stated that when, upon the termination of an Australian voyage and the completion of my duties as chief mate, I returned to my ancestral home for the purpose of spending a brief holiday with my mother prior to my departure upon yet another journey to the antipodes, I had found her in dire trouble.	I have stated that when, upon the termination of an Australian voyage and the completion of my duties as chief mate, I returned to my ancestral home for the purpose of spending a brief holiday with my mother prior to my departure upon yet another journey to the antipodes, I had found her in dire trouble.	true	289.67	307.45	21.02044
7540_101799_000008_000001	This trouble was the natural--and I may say inevitable--result of my father's mistaken idea that he was as good a man of business as he was a seaman.	This trouble was the natural-and I may say inevitable-result of my father's mistaken idea that he was as good a man of business as he was a seaman.	true	307.97	317.68	20.985794
7540_101799_000008_000002	Acting under this impression, he had relied entirely upon his own unaided judgment in the investment of his savings; and, anxious only to secure as generous a provision as possible for my mother, had been tempted to put his hard-earned money into certain projects that, offering, in their inception, a too alluring promise of continuous prosperity and generous dividends, had failed to withstand the test of time and the altered conditions of trade; with the result that, after paying handsome percentages for a more or less lengthened period, they had suddenly collapsed like a pricked balloon, leaving my poor mother penniless.	Acting under this impression, he had relied entirely upon his own unaided judgment in the investment of his savings; and, anxious only to secure as generous a provision as possible for my mother, had been tempted to put his hard earned money into certain projects that, offering, in their inception, a too alluring promise of continuous prosperity and generous dividends, had failed to withstand the test of time and the altered conditions of trade; with the result that, after paying handsome percentages for a more or less lengthened period, they had suddenly collapsed like a pricked balloon, leaving my poor mother penniless.	true	318.47	357.91	22.573086
7540_101799_000008_000003	Of course everything had been done that was possible to save something, though it might be ever so little, from the wreck; but there had been nothing to save; every penny was gone; and when I reached home I found the poor soul literally at her wits' end to maintain a supply of the ordinary necessaries of life.	Of course everything had been done that was possible to save something, though it might be ever so little, from the wreck; but there had been nothing to save; every penny was gone; and when I reached home I found the poor soul literally at her wits' end to maintain a supply of the ordinary necessaries of life.	false	358.31	376.63	21.592606
7540_101799_000009_000000	My appearance upon the scene of course necessitated the raking up of the whole miserable story once more; but when I had been told everything, I saw at once that nothing more could be done, and that my poor mother would simply have to put up with the loss as best she might.	My appearance upon the scene of course necessitated the raking up of the whole miserable story once more; but when I had been told everything, I saw at once that nothing more could be done, and that my poor mother would simply have to put up with the loss as best she might.	false	377.21	394.15	20.687483
7540_101799_000010_000000	Then arose the question of what was best to be done under our altered circumstances.	Then arose the question of what was best to be done under our altered circumstances.	true	394.73	399.76	23.48335
7540_101799_000010_000001	The first conclusion at which we arrived was the obvious one that it would be quite impossible for my mother to maintain such an establishment as "The Spaniards" upon my income of ten pounds per month as chief mate; and she therefore suggested that we should let it upon a lease, if a suitable tenant could be found, and that she should retire, with her altered fortunes, into the obscurity of some small cottage.	The first conclusion at which we arrived was the obvious one that it would be quite impossible for my mother to maintain such an establishment as "The Spaniards" upon my income of ten pounds per month as chief mate; and she therefore suggested that we should let it upon a lease, if a suitable tenant could be found, and that she should retire, with her altered fortunes, into the obscurity of some small cottage.	false	400.46	423.97	23.336344
7540_101799_000010_000002	To this, however, I would in no wise consent; and it was while we were discussing the matter in all its bearings, and casting about for an acceptable alternative, that my mother let fall a remark, which, little as we suspected it at the moment, proved to be the key-note of the present story.	To this, however, I would in no wise consent; and it was while we were discussing the matter in all its bearings, and casting about for an acceptable alternative, that my mother let fall a remark, which, little as we suspected it at the moment, proved to be the key note of the present story.	false	424.64	443.53	21.137175
7540_101799_000011_000000	"Ah, my son," she ejaculated, with a hopeless sigh, "if we could but find the lost clue to Richard Saint Leger's buried treasure, all might yet be well with us!"	"Ah, my son," she ejaculated, with a hopeless sigh, "if we could but find the lost clue to Richard Saint Leger's buried treasure, all might yet be well with us!"	false	443.69	453.825	23.299002
7540_101799_000012_000000	"Ah!" I responded, with a still more hopeless sigh, "if only we could! But I suppose there is about as much chance of that as there is of my becoming Lord High Admiral of Great Britain.	"Ah!" I responded, with a still more hopeless sigh, "if only we could! But I suppose there is about as much chance of that as there is of my becoming Lord High Admiral of Great Britain.	true	453.825	465.73	20.959797
7540_101799_000012_000001	The clue must be irretrievably lost, or it would have been discovered long ere now.	The clue must be irretrievably lost, or it would have been discovered long ere now.	false	466.1	470.98	20.302189
7540_101799_000012_000002	I suppose every Saint Leger, from my great-great-great-grandfather Hugh, downwards, has taken his turn at hunting for that miserable lost clue; and the fact that they all failed to find it is conclusive evidence to me that it is no longer in existence."	I suppose every Saint Leger, from my great great great grandfather Hugh, downwards, has taken his turn at hunting for that miserable lost clue; and the fact that they all failed to find it is conclusive evidence to me that it is no longer in existence."	false	471.47	486.37	20.611256
7540_101799_000013_000000	"Well, I really don't know, my boy; I am not prepared to say so much as that," answered my mother.	"Well, I really don't know, my boy; I am not prepared to say so much as that," answered my mother.	true	487.01	493.15	20.63031
