7594_101832_000005_000000	As he was passing the house of Boo'koo, the big rat, that worthy gentleman invited him in.	As he was passing the house of Boo'koo, the big rat, that worthy gentleman invited him in.
7594_101832_000005_000001	So he went in, sat down, and remarked: "My father has died, and has left me a hive of honey.	So he went in, sat down, and remarked: "My father has died, and has left me a hive of honey.
7594_101832_000005_000002	I would like you to come and help me to eat it."	I would like you to come and help me to eat it."
7594_101832_000006_000000	Of course Bookoo jumped at the offer, and he and the hare started off immediately.	Of course Bookoo jumped at the offer, and he and the hare started off immediately.
7594_101832_000008_000000	In the midst of the feast, who should appear at the foot of the tree but Sim'ba, the lion?	In the midst of the feast, who should appear at the foot of the tree but Sim'ba, the lion?
7594_101832_000008_000001	Looking up, and seeing them eating, he asked, "Who are you?"	Looking up, and seeing them eating, he asked, "Who are you?"
7594_101832_000009_000001	Speak, I tell you!"	Speak, I tell you!"
7594_101832_000009_000002	This made Bookoo so scared that he blurted out, "It's only us!"	This made Bookoo so scared that he blurted out, "It's only us!"
7594_101832_000010_000000	Upon this the hare said to him: "You just wrap me up in this straw, call to the lion to keep out of the way, and then throw me down.	Upon this the hare said to him: "You just wrap me up in this straw, call to the lion to keep out of the way, and then throw me down.
7594_101832_000012_000000	After waiting a minute or two, Simba roared out, "Well, come down, I say!" and, there being no help for it, the big rat came down.	After waiting a minute or two, Simba roared out, "Well, come down, I say!" and, there being no help for it, the big rat came down.
7594_101832_000013_000000	As soon as he was within reach, the lion caught hold of him, and asked, "Who was up there with you?"	As soon as he was within reach, the lion caught hold of him, and asked, "Who was up there with you?"
7594_101832_000014_000001	Didn't you see him when I threw him down?"	Didn't you see him when I threw him down?"
7594_101832_000015_000000	"Of course I didn't see him," replied the lion, in an incredulous tone, and, without wasting further time, he ate the big rat, and then searched around for the hare, but could not find him.	"Of course I didn't see him," replied the lion, in an incredulous tone, and, without wasting further time, he ate the big rat, and then searched around for the hare, but could not find him.
7594_101832_000017_000000	"Whose honey?" inquired Kobay, cautiously.	"Whose honey?" inquired Kobay, cautiously.
7594_101832_000019_000000	"Oh, all right; I'm with you," said the tortoise, eagerly; and away they went.	"Oh, all right; I'm with you," said the tortoise, eagerly; and away they went.
7594_101832_000020_000000	When they arrived at the great calabash tree they climbed up with their straw, smoked out the bees, sat down, and began to eat.	When they arrived at the great calabash tree they climbed up with their straw, smoked out the bees, sat down, and began to eat.
7594_101832_000021_000000	Just then Mr. Simba, who owned the honey, came out again, and, looking up, inquired, "Who are you, up there?"	Just then mr Simba, who owned the honey, came out again, and, looking up, inquired, "Who are you, up there?"
7594_101832_000022_000001	You told me this honey was yours; am I right in suspecting that it belongs to Simba?"	You told me this honey was yours; am I right in suspecting that it belongs to Simba?"
7594_101832_000023_000000	So, when the lion asked again, "Who are you?" he answered, "It's only us." The lion said, "Come down, then;" and the tortoise answered, "We're coming."	So, when the lion asked again, "Who are you?" he answered, "It's only us." The lion said, "Come down, then;" and the tortoise answered, "We're coming."
7594_101832_000025_000001	I'll wait for you below.	I'll wait for you below.
7594_101832_000025_000002	He can't hurt you, you know."	He can't hurt you, you know."
7594_101832_000026_000000	"All right," said Kobay; but while he was wrapping the hare up he said to himself: "This fellow wants to run away, and leave me to bear the lion's anger.	"All right," said Kobay; but while he was wrapping the hare up he said to himself: "This fellow wants to run away, and leave me to bear the lion's anger.
